THPOS23,"T. Nishitani, R. Hajima, N. Kikuzawa, E.J. Minehara, R. Nagai, N. Nishimori, M. Sawamura, T. Yamauchi","JAERI 200 kV Electron Gun with an NEA-GaAs Photocathode",
THPOS25,"S. Satoh, A. Danjyo, M. Goto, W. Guan, N. Hayashi, S. Ihara, C. Yamabe, Y. Yamaguchi","Modification of Hydroxyapatite Crystal Using IR Laser",
THPOS26,"Y. Ogi, K. Tsukiyama","Vibrational Excitation of Ammonia Molecules by FEL-SUT",
THPOS27,"H. O. Ogawa, N. S. Sei, K. Y. Yamada, M. Y. Yasumoto","Optimization of the NIJI-IV FEL System for the Coherent Harmonic Generation in a Q-switched Regime",
THPOS28,"N. S. Sei, H. O. Ogawa, K. Y. Yamada, M. Y. Yasumoto","Performance of the Optical Klystron ETLOK-III for Developing Infrared Storage Ring Free Electron Lasers",
THPOS29,"K. Y. Yamada, H. O. Ogawa, N. S. Sei, K.W. Watanabe, M. Y. Yasumoto","Improved Performance of the NIJI-IV Compact VUV/IR FEL and its Application to the Surface Observation",
THPOS30,"M. Y. Yasumoto, H. O. Ogawa, N. S. Sei, K. Y. Yamada","Photo-Acoustic Spectroscopy with Infrared FEL",
THPOS33,"M.I. de la Fuente, K.-J. Boller, P.J.M. van der Slot","A mm-Wave, Table Top Cerenkov Free-Electron Laser",
THPOS35,"w.h. Huang, H.B. Chen, C. Cheng, Y. Cheng, Q. Du, t.b. Du, Y.Ch. Du, Y.Ch. Ge, X.Z. He, J.F. Hua, G. Huang, Y.Zh. Lin, Ch.X. Tang, B. Xia, M.J. Xu, X.D. Yuan, Sh.X. Zheng","Reasearches of Thomson Scattering X-Ray Source at Tsinghua University",
THPOS36,"W.K. Lau, C.W. Chen, H.Y. Chen, J.R. Chen, T.C. Fan, F.Z. Hsiao, K.T. Hsu, C.S. Hwang, C.C. Kuo, G.H. Luo, D.J. Wang, J.P. Wang, M.H. Wang","Preliminary Design of a Synchronized Narrow Bandwidth FEL for Taiwan Light Source",
