thppo014,"E.N. Zaplatin, FZJ, Jülich","Conical Half-wave Resonator Investigations",564 568,
thppo015,"E.N. Zaplatin, FZJ, Jülich; P. Bosland, P. Bredy, N. Grouas, P. Hardy, J. Migne, A. Mosnier, F. Orsini, J. Plouin, CEA, Gif-sur-Yvette","IFMIF-EVEDA SC beta=0.094 Half-wave Resonator Study",569 573,
thppo016,"M. Busch, F.D. Dziuba, H. Podlech, U. Ratzinger, IAP, Frankfurt am Main","Progress in Superconducting CH-Cavity Development",574 577,
thppo017,"F.D. Dziuba, M. Busch, H. Klein, H. Podlech, U. Ratzinger, C. Zhang, IAP, Frankfurt am Main","Development of Superconducting CH-Cavities for the EUROTRANS Injector Linac",578 581,
thppo019,"G. Bisoffi, F. Chiurlotto, G. Maggioni, A. Palmieri, A.M. Porcellato, A.A. Rossi, S. Stark, INFN/LNL, Legnaro, Padova","Improved Performance of the SC Ladder Resonator",582 584,
thppo022,"P. Murcek, A. Arnold, H. Büttig, FZD, Dresden; P. Kneisel, JLAB, Newport News, Virginia; P. Michel, K. Moeller, J. Teichert, R. Xiang, FZD, Dresden","Modified 3+1/2 Cell SC Cavity Made of Large Grain Niobium for the FZD SRF Photoinjector",585 588,
thppo023,"J.R. Delayen, JLAB, Newport News, Virginia; S.U. De Silva, J.R. Delayen, ODU, Norfolk, Virginia","Design Optimization of Superconducting Parallel-Bar Cavities*",589 593,
thppo024,"R.M. Jones, N. Juntong, UMAN, Manchester","High-Gradient SRF Cavity with Minimized Surface E.M. Fields and Superior Bandwidth for the ILC",594 598,
thppo025,"R.M. Jones, I.R.R. Shinton, B. Szczesny, UMAN, Manchester","Third Harmonic Cavity Modal Analysis",599 603,
thppo026,"M.A. Fraser, A. D'Elia, UMAN, Manchester; M.A. Fraser, CERN, Geneva; R.M. Jones, UMAN, Manchester; M. Pasini, Instituut voor Kern- en Stralingsfysica, K. U. Leuven, Leuven","Compensation of Transverse Field Asymmetry in the High-Beta Quarter-Wave Resonator of the Hie-Isolde Linac at CERN",604 608,
thppo027,"A. D'Elia, UMAN, Manchester; A. D'Elia, CERN, Geneva; R.M. Jones, UMAN, Manchester; M. Pasini, Instituut voor Kern- en Stralingsfysica, K. U. Leuven, Leuven","HIE-ISOLDE High Beta Cavity Study and Measurements",609 613,
thppo028,"A. D'Elia, UMAN, Manchester; A. D'Elia, CERN, Geneva; M. Pasini, Instituut voor Kern- en Stralingsfysica, K. U. Leuven, Leuven","Design and Characterization of the Power Coupler Line for HIE-ISOLDE High Beta Cavity",614 618,
thppo029,"S.M. Gerbick, M.P. Kelly, ANL, Argonne","A Clean Pumping and Venting System for SRF Cavities and Cryomodules",619 621,
thppo030,"M. Kedzie, J.D. Fuerst, S.M. Gerbick, M.P. Kelly, K.W. Shepard, ANL, Argonne","A Top Loading 2 Kelvin Test Cryostat for SRF Cavities",622 624,
thppo031,"H. Hahn, I. Ben-Zvi, L.R. Hammons, W. Xu, BNL, Upton, Long Island, New York","HOM Absorbers for ERL Cryomodules at BNL",625 629,
thppo032,"G. Devanz, P. Carbonnier, S. Chel, M. Desmons, Y. Gasser, A. Hamdi, D. Roudier, CEA, Gif-sur-Yvette","Tests of 704 MHz 1MW Power Coupler at Saclay",630 633,
thppo033,"J. Plouin, P. Bosland, P. Bredy, M. Desmons, G. Devanz, H. Jenhani, A. Mohamed, CEA, Gif-sur-Yvette","Main Choices and Preliminary Design for the IFMIF RF Couplers",634 637,
thppo034,"E.P. Chojnacki, S.S. Chapman, R.D. Ehrlich, E.N. Smith, V. Veshcherevich, CLASSE, Ithaca, New York","Cryogenic Heat Load of the Cornell ERL Main Linac Cryomodule",638 642,
thppo035,"E.P. Chojnacki, R.D. Ehrlich, M. Liepe, J. Sears, E.N. Smith, CLASSE, Ithaca, New York","DC Conductivity of RF Absorbing Materials",643 647,
thppo036,"Q. Huang, UCD, Davis, California; E.P. Chojnacki, CLASSE, Ithaca, New York; T.B. Holland, UCD, Davis, California; M. Liepe, M. Malloy, CLASSE, Ithaca, New York; A.K. Mukherjee, UCD, Davis, California; M. Tigner, CLASSE, Ithaca, New York","Carbon Nanotube RF Absorbing Materials",648 651,
thppo037,"A. Brinkmann, M. Lengkeit, DESY, Hamburg; J.A. Lorkiewicz, INFN-Roma II, Roma","TiN Coating of RF Power Components for the European XFEL",652 655,
thppo038,"A. Goessel, Th. Buettner, P.D. Gall, G. Grygiel, V. Gubarev, C. Mueller, DESY, Hamburg","The RF-Power-Conditioning-System for the FLASH RF Main Couplers",656 660,
thppo039,"S. Kotthoff, A. Goessel, C. Mueller, DESY, Hamburg","Development of a Remote-Controlled Coupler-Interlock for the XFEL Accelerator Module Test Facility (AMTF)",661 664,
thppo040,"A. Schmidt, G. Kreps, A. Matheisen, H. Weitkaemper, DESY, Hamburg","Updates on 1.3 GHz Cavity Weld to Helium Vessel and Application of the FMS",665 668,
thppo041,"J. Grimm, T.T. Arkan, M.H. Foley, T.N. Khabiboulline, D.J. Watkins, Fermilab, Batavia","1.3 GHz RF Nb Cavity to Ti Helium Vessel TIG Welding Process at Fermilab",669 671,
thppo042,"D.V. Mitchell, Fermilab, Batavia; J. Dwivedi, RRCAT, Indore (M.P.); J. Grimm, Fermilab, Batavia; N. Higashi, KEK, Ibaraki; J.S. Kerby, Fermilab, Batavia; P. Khare, RRCAT, Indore (M.P.); V.K. Mishra, BARC, Trombay, Mumbai; N. Ohuchi, KEK, Ibaraki; Y. Orlov, Fermilab, Batavia; A. Puntambekar, RRCAT, Indore (M.P.)","SRF Main Linac Cryomodule Design at Fermilab",672 674,
thppo043,"Y.M. Pischalnikov, E. Borissov, T.N. Khabiboulline, L. Ristori, W. Schappert, Fermilab, Batavia","A Tuner for a 325 MHz SRF Spoke Cavity",675 678,
thppo045,"W. Anders, A. Heugel, Helmholtz-Zentrum Berlin für Materialien und Energie GmbH, Elektronen-Speicherring BESSY II, Berlin; H.-G. Hoberg, BESSY GmbH, Berlin; S. Klauke, Helmholtz-Zentrum Berlin für Materialien und Energie GmbH, Elektronen-Speicherring BESSY II, Berlin; G. Mielczarek, T. Westphal, BESSY GmbH, Berlin","Highly Stable IOT Based 1,3 GHz / 16KW RF Power Source for CW Operated SC Linacs",679 682,
thppo046,"O. Kugeler, W. Anders, A. Frahm, S. Klauke, J. Knobloch, A. Neumann, M. Rohloff, M. Schuster, Helmholtz-Zentrum Berlin für Materialien und Energie GmbH, Elektronen-Speicherring BESSY II, Berlin","Warm Test of a Modified TTF-III Input Coupler up to 10 kW CW RF-power",683 683,
thppo047,"H. Sakai, T. Furuya, KEK, Ibaraki; A. Ishii, N. Nakamura, ISSP/SRL, Chiba; S. Sakanaka, KEK, Ibaraki; M. Sawamura, JAEA/ERL, Ibaraki; K. Shinoe, ISSP/SRL, Chiba; T. Takahashi, K. Umemori, KEK, Ibaraki","Development of Input Power Coupler for ERL Main Linac in Japan",684 688,
thppo048,"R. Eichhorn, A. Araz, U. Bonnes, F. Hug, M. Konrad, A. Richter, TU Darmstadt, Darmstadt; R. Stassen, FZJ, Jülich","The Baseband Low Level RF Control for the S-DALINAC: A Flexible Solution for Other Frequencies?",689 692,
thppo049,"A. Bosotti, INFN/LASA, Segrate (MI); C. Albrecht, K. Jensch, L. Lilje, DESY, Hamburg; R. Paparella, INFN/LASA, Segrate (MI)","A Fully Automated Device For Checking XFEL Piezo-Tuner Installation",693 697,
thppo050,"M. Sawamura, JAEA/ERL, Ibaraki; T. Furuya, H. Sakai, KEK, Ibaraki; K. Shinoe, ISSP/SRL, Chiba; K. Umemori, KEK, Ibaraki","ERL HOM Absorber Development",698 701,
thppo051,"M. Kuntzsch, H. Büttig, P. Michel, R. Schurig, G.S. Staats, FZD, Dresden","Simple Multichannel Phase Supervising Circuit at Elbe",702 704,
thppo052,"P. Goudket, STFC/DL/ASTeC, Daresbury, Warrington, Cheshire; P.K. Ambattu, Cockcroft Institute, Lancaster University, Lancaster; C.D. Beard, R.K. Buckley, STFC/DL/ASTeC, Daresbury, Warrington, Cheshire; G. Burt, A.C. Dexter, Cockcroft Institute, Lancaster University, Lancaster; B.D. Fell, J.-L. Fernandez-Hernando, STFC/DL/ASTeC, Daresbury, Warrington, Cheshire; B.D.S. Hall, Cockcroft Institute, Lancaster University, Lancaster; P.A. McIntosh, S.M. Pattalwar, STFC/DL/ASTeC, Daresbury, Warrington, Cheshire; M.I. Tahir, Cockcroft Institute, Lancaster University, Lancaster","ILC Crab Cavity Vertical Test Results",705 709,
thppo053,"S.M. Pattalwar, R. Bate, STFC/DL/ASTeC, Daresbury, Warrington, Cheshire; G. Cox, STFC/DL, Daresbury, Warrington, Cheshire; P.A. McIntosh, STFC/DL/ASTeC, Daresbury, Warrington, Cheshire; A. Oates, STFC/DL, Daresbury, Warrington, Cheshire","Instrumentation and Control System for the International ERL Cryomodule",710 714,
thppo054,"A.K. Mitra, K. Fong, R.E. Laxdal, J. Lu, R.W. Shanks, Q. Zheng, V. Zvyagintsev, TRIUMF, Vancouver","Solid State Amplifiers for Linear Accelerators at TRIUMF",715 717,
thppo055,"G. Cheng, JLAB, Newport News, Virginia; E. Daly, ITER, St Paul lez Durance; M. Wiseman, JLAB, Newport News, Virginia","Pressure Safety of JLAB 12GeV Upgrade Cryomodule",718 722,
thppo056,"M. Stirbet, G.K. Davis, T.S. Elliott, L.K. King, T. Powers, R.A. Rimmer, R.L. Walker, JLAB, Newport News, Virginia","High Power RF Tests on WR650 Pre-Stressed Planar Windows",723 727,
thppo057,"P. Kneisel, JLAB, Newport News, Virginia; J.K. Sekutowicz, DESY, Hamburg","Update on Coaxial Coupling Scheme for ILC-Type Cavities",728 730,
thppo058,"P. Kneisel, G. Ciovati, JLAB, Newport News, Virginia; I. Jelezov, W. Singer, X. Singer, DESY, Hamburg","Performance of 3-Cell Seamless Niobium Cavities",731 734,
thppo059,"R.L. Geng, S. Castagnola, A.C. Crawford, D. Forehand, B.A. Golden, C.E. Reece, S. Williams, JLAB, Newport News, Virginia","Improving Gradient and Q Performance of BCP Etched Multi-Cell Cavities by Applying a Light EP",735 737,
thppo060,"H. Tian, C.E. Reece, JLAB, Newport News, Virginia","Evaluation of the Diffusion Coefficient of Fluorine during the Electropolishing of Niobium",738 741,
