A-01,"H.W. Schreuder, KVI, Groningen, The Netherlands","Invited Paper: AGOR: Initial Beam Tests, Transport and Commissioning",6 11,
j-01,"E. Pedroni, H. Blattmann, T. Boehringer, A. Coray, E. Egger, S. Lin, A. Lomax, G. Munkel, B. Schaffner, PSI, Villigen, Switzerland","Invited Paper: Commissioning and Use of the PSI Spot-Scanning Isocentric System for Proton Therapy",483 490,
j-02,"D.T.L. Jones, A.N. Schreuder, J.E. Symons, National Accelerator Centre, Faure, Republic of South Africa","Invited Paper: Particle Therapy at NAC: Physical Aspects",491 498,
j-03,"J. Flanz, S. Durlacher, M. Goitein, A. Smith, S. Woods, . IBA Staff, . Bechtel Staff, Massachusetts General Hospital, Boston, Massachusets, USA","Invited Paper: The Northeast Proton Therapy Center at Massachusetts General Hospital",499 503,
j-04,"R.L. Maughan, J.D. Forman, A.T. Porter, M. Yudelev, Harper Hospital  Wayne State University, Detroit, Michigan, USA; H.G. Blosser, NSCL, East Lansing, Michigan, USA; E.B. Blosser, G.F. Blosser, MedCyc Corporation, Haslett, Michigan, USA","Four Years of Operating Experience with the Harper Hospital Superconducting Cyclotron for Neutron Radiation Therapy",504 507,
j-05,"J.S. Chai, Y.S. Kim, D.H. Lee, J.D. Lee, S.Y. Yoo, KAERI, Seoul, South Korea","Operation Experience of KCCH Cyclotron for 10 years and Prospect of Cyclotron in Korea",508 511,
j-06,"M.A. Chaudhri, Austin Hospital  The University of Melbourne, Melbourne, Australia","Fast Neutron Beams for Therapy: The Current Status and Room for Improvement?",512 514,
j-07,"F.D. Brooks, M.S. Allie, C.C. Bowley, A. Buffler, University of Cape Town, Rondebosch, South Africa; D.T.L. Jones, J.E. Symons, National Accelerator Centre, Faure, Republic of South Africa","Energy Spectra in the NAC Proton Therapy Beam",515 518,
j-09,"R. Risler, R. Emery, J. Jacky, I. Kalet, M. Patrick, P. Wootton, F. Ziai, University of Washington, Seattle, Washington, USA","Clinical Cyclotron Seattle: Eleven Years of Operation",519 522,
j-10,"A.N. Schreuder, T. Fulcher, D.T.L. Jones, A. Kiefer, J.E. Symons, National Accelerator Centre, Faure, Republic of South Africa","The NAC Proton Therapy Beam Delivery System",523 526,
j-11,"Yu.P. Vakhrushin, Yu.N. Gavrish, Yu.A. Svistunov, M.F. Vorogushin, D.V. Efremov Scientific Research Institute of Electrophysical Apparatus, St. Petersburg, Russia","10 MeV Cyclotron and RF Linac as Installation for Neutron Therapy",527 529,
j-12,"J. Zhang, H. Chang, B. Guo, J. Wei, H. Xiao, Institute of Nuclear Research, Academia Sinica, Shanghai, China","The Cyclotron Based Fast Neutron Therapy Facility of SINR",530 532,
j-13,"S. Fukumoto, KEK, Ibaraki, Japan","Cyclotron versus Synchrotron for Proton Beam Therapy",533 536,
k-01,"J.C. Clark, University of Cambridge, Cambridge, UK","Invited Paper: To What Extent Will Cyclotrons in Future Replace Reactors in the Field of Isotope Production?",537 537,
k-02,"D.M. Lewis, Amersham Laboratories, Buckinghamshire, UK","Isotope Production and the Future Potential of Accelerators",538 540,
k-03,"S.M. Qaim, G. Blessing, W. Bräutigam, N. Lavi, B. Scholten, G. Stöcklin, F. Tárkányi, FZJ, Jülich, Germany","Production of Longer-Lived Positron Emitters 73Se, 82mRb and 124I",541 544,
