fr1a01,"F. Marti [FRIB, East Lansing, Michigan, USA] ","Heavy Ion Strippers",1050 1054,
tupb054,"A.I. Sukhanov, I.V. Gonin, T.N. Khabiboulline, A. Lunin, A. Saini, N. Solyak, A. Vostrikov, V.P. Yakovlev [Fermilab, Batavia, USA] ","Coherent Effects of High Current Beam in Project-X Linac",597 599,
tupb055,"W.M. Yue, X.L. Guo, S. He, Y. He, R.X. Wang, P.R. Xiong, M.X. Xu, B. Zhang, C. Zhang, S.H. Zhang, S.X. Zhang, H.W. Zhao [IMP, Lanzhou, People's Republic of China] ","R&D of IMP Superconducting HWR for China ADS",600 602,
tupb056,"C. Zhang, S. He, Y. He, S.C. Huang, Y.L. Huang, T.C. Jiang, R.X. Wang, M.X. Xu, Y.Z. Yang, W.M. Yue, S.H. Zhang, S.X. Zhang, H.W. Zhao [IMP, Lanzhou, People's Republic of China] ","The Multipacting Simulation for the New-shaped QWR using TRACK3P",603 605,
tupb057,"C. Zhang, S. He, Y. He, S.C. Huang, Y.L. Huang, T.C. Jiang, R.X. Wang, M.X. Xu, Y.Z. Yang, W.M. Yue, S.H. Zhang, S.X. Zhang, H.W. Zhao [IMP, Lanzhou, People's Republic of China] ","Structural Analysis of the New-Shaped QWR for HIAF in IMP",606 608,
tupb058,"Z.Q. He, Z. Zheng [TUB, Beijing, People's Republic of China] Z.Q. He, Z. Liu, J. Wei, Y. Zhang [FRIB, East Lansing, Michigan, USA] ","An Analytical Cavity Model for Fast Linac-Beam Tuning",609 611,
tupb060,"Z. Zheng, A. Facco, Z. Liu, J. Popielarski, K. Saito, J. Wei, Y. Xu, Y. Zhang [FRIB, East Lansing, Michigan, USA] Z. Zheng [TUB, Beijing, People's Republic of China] ","Multipacting Suppression Modeling for Half Wave Resonator and RF Coupler*",612 614,
tupb061,"Z. Zheng, Z. Liu, J. Wei, Y. Zhang, S. Zhao [FRIB, East Lansing, Michigan, USA] Z. Zheng [TUB, Beijing, People's Republic of China] ","ADRC Control for Beam Loading and Microphonics",615 617,
tupb062,"G.I. Cancelo, B. Chase, Y.I. Eidelman, S. Nagaitsev, N. Solyak [Fermilab, Batavia, USA] ","Longitudinal Dynamic Analysis for the Project X 3-8 GeV Pulsed Linac",618 620,
tupb066,"Z.A. Conway, S.M. Gerbick, M. Kedzie, M.P. Kelly, J.W. Morgan, R.C. Murphy, P.N. Ostroumov, T. Reid [ANL, Argonne, USA] ","Reduced-beta Cavities for High-intensity Compact Accelerators",621 623,
tupb067,"Z.A. Conway, R.L. Fischer, S.M. Gerbick, M. Kedzie, M.P. Kelly, S.V. Kutsaev, B. Mustapha, P.N. Ostroumov, K.W. Shepard [ANL, Argonne, USA] I.V. Gonin, A. Lunin, V.P. Yakovlev [Fermilab, Batavia, USA] ","Development of a Superconducting Half-Wave Resonator for PXIE",624 626,
tupb068,"Z.A. Conway, G.L. Cherry, R.L. Fischer, S.M. Gerbick, M. Kedzie, M.P. Kelly, S.H. Kim, J.W. Morgan, P.N. Ostroumov, K.W. Shepard [ANL, Argonne, USA] ","Cryomodule Designs for Superconducting Half-Wave Resonators",627 629,
tupb069,"A.V. Samoshin [MEPhI, Moscow, Russia] ","BEAMDULAC-SCL Code for Complex Approach of Beam Dynamic Investigation in SC LINAC",630 632,
tupb070,"A.V. Samoshin, S.M. Polozov [MEPhI, Moscow, Russia] ","Development of Proton Therapy at the SC Linac with BEAMDULAC-SCL Code",633 635,
tupb071,"M. Busch, F.D. Dziuba, H. Podlech, U. Ratzinger [IAP, Frankfurt am Main, Germany] M. Amberg [HIM, Mainz, Germany] W.A. Barth, S. Mickat [GSI, Darmstadt, Germany] M. Pekeler [RI Research Instruments GmbH, Bergisch Gladbach, Germany] ","First Measurements on the 325 MHz Superconducting CH Cavity",636 638,
tupb072,"F.D. Dziuba, M. Amberg, M. Busch, H. Podlech, U. Ratzinger [IAP, Frankfurt am Main, Germany] K. Aulenbacher [IKP, Mainz, Germany] W.A. Barth, S. Mickat [GSI, Darmstadt, Germany] ","Status of the Superconducting CW Demonstrator for GSI",639 641,
tupb073,"L. Lu [RIKEN, Saitama, Japan] O. Kamigaito, N. Sakamoto, K. Suda, K. Yamada [RIKEN Nishina Center, Wako, Japan] ","Design and Simulation of a Test Model for a Tri-Spoke Cavity at RIKEN",642 644,
tupb074,"W.A. Barth, V. Gettmann, S. Mickat [GSI, Darmstadt, Germany] W.A. Barth, P. Gerhard [HIM, Mainz, Germany] ","Superconducting CW Heavy Ion Linac at GSI",645 647,
tupb075,"Z. Li, P. Cheng, H. Geng, Z. Guo, C. Meng, B. Sun, J.Y. Tang, F. Yan [IHEP, Beijing, People's Republic of China] ","Beam Dynamics Design of China ADS Proton Linac",648 650,
tupb077,"S. Peggs [BNL, Upton, Long Island, New York, USA] R. Cywinski, R. Seviour [University of Huddersfield, Huddersfield, United Kingdom] S. Peggs [ESS, Lund, Sweden] ","Thorium Energy",651 653,
tupb079,"K. Yanagida, H. Hanaki, S. Suzuki [JASRI/SPring-8, Hyogo-ken, Japan] ","Design and Beam Test of Six-Electrode BPMs for Second-Order Moment Measurement",654 656,
tupb080,"H. Tomizawa, K. Ogawa, T. Sato, M. Yabashi [RIKEN SPring-8 Center, Sayo-cho, Sayo-gun, Hyogo, Japan] M. Aoyama [JAEA/Kansai, Kyoto, Japan] A. Iwasaki, S. Owada [The University of Tokyo, Tokyo, Japan] S. Matsubara, Y. Okayasu, T. Togashi [JASRI/SPring-8, Hyogo, Japan] T. Matsukawa, H. Minamide [RIKEN ASI, Sendai, Miyagi, Japan] E. Takahashi [RIKEN, Saitama, Japan] ","Non-destructive Real-time Monitor to Measure 3D Bunch Charge Distribution with Arrival Timing to Maximize 3D Overlapping for HHG-Seeded EUV-FEL",657 659,
tupb081,"V.A. Verzilov, P.S. Birney, D.P. Cameron, J.V. Holek, S.Y. Kajioka, S. Kellogg, M. Lenckowski, M. Minato, W.R. Rawnsley [TRIUMF, Vancouver, Canada] J.M. Abernathy, D. Karlen, D.W. Storey [Victoria University, Victoria, B.C., Canada] ","Beam Diagnostics Development for Triumf E-Linac",660 662,
tupb082,"H. Sako, T. Maruta, A. Miura [JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken, Japan] ","Beam Loss Track Measurements by a Fast Trigger Scheme in J-PARC Linac",663 665,
tupb084,"C. Deibele [ORNL, Oak Ridge, Tennessee, USA] D. Curry, R. Dickson [ORNL RAD, Oak Ridge, Tennessee, USA] ","High Dynamic-Range High Speed Linac Current Measurements",666 668,
tupb090,"Y. Fuwa, Y. Iwashita, H. Tongu [Kyoto ICR, Uji, Kyoto, Japan] S. Fukuda, S. Michizono [KEK, Ibaraki, Japan] ","Development of Permanent Magnet Focusing System for Klystrons",669 671,
tupb091,"A.Yu. Smirnov, E.V. Ivanov, A.A. Krasnov, K.I. Nikolskiy, N.V. Tikhomirova [Siemens Research Center, Moscow,, Russia] O. Heid, T.J.S. Hughes [Siemens AG, Erlangen, Germany] ","176 MHz Solid State Microwave Generator Design",672 674,
