fr1a01,"F. Marti [FRIB, East Lansing, Michigan, USA] ","Heavy Ion Strippers",1050 1054,
mopb023,"S. Pei, J. Cao, Y.L. Chi, B. Deng, C.D. Deng, H.S. Guo, D.Y. He, X. He, M. Hou, X.C. Kong, Q. Le, X. Li, J. Liu, R.L. Liu, W.B. Liu, K. Lv, C. Ma, H.Z. Ma, G. Pei, H. Song, L. Wang, S.H. Wang, X. Wang, Q. Yang, J. Yue, J.R. Zhang, F. Zhao, J.B. Zhao, J.X. Zhao, Z.S. Zhou [IHEP, Beijing, People's Republic of China] M.I. Ayzatskiy, I.M. Karnaukhov, V.A. Kushnir, V.V. Mytrochenko, A.Y. Zelinsky [NSC/KIPT, Kharkov, Ukraine] Y. Gohar [ANL, Argonne, USA] ","Progress on the Design and Construction of the 100 MeV / 100 kW Electron Linac for the NSC KIPT Neutron Source",222 224,
mopb024,"A. Chakrabarti, S. Dechoudhury, V. Naik [VECC, Kolkata, India] F. Ames, R.A. Baartman, Y.-C. Chao, R.E. Laxdal, M. Marchetto, L. Merminga, F. Yan [TRIUMF, Vancouver, Canada] G. Goh [SFU, Burnaby, BC, Canada] ","Beam Dynamics Simulation and Optimization for 10 MeV Superconducting e-Linac Injector for VECC-RIB Facility",225 227,
mopb025,"M. Kuriki, S. Hosoda, H. Iijima [HU/AdSM, Higashi-Hiroshima, Japan] H. Hayano, J. Urakawa, K. Watanabe [KEK, Ibaraki, Japan] G. Isoyama, R. Kato, K. Kawase [ISIR, Osaka, Japan] S. Kashiwagi [Tohoku University, Research Center for Electron Photon Science, Sendai, Japan] A. Kuramoto [Sokendai, Ibaraki, Japan] K. Sakaue [RISE, Tokyo, Japan] ","1ms Multi-bunch Electron Beam Acceleration by a Normal Conducting RF Gun and Superconducting Accelerator",228 230,
mopb026,"R.E. Laxdal, F. Ames, Y.-C. Chao, K. Fong, C. Gong, A. Laxdal, M. Marchetto, W.R. Rawnsley, S. Saminathan, V.A. Verzilov, Q. Zheng, V. Zvyagintsev [TRIUMF, Vancouver, Canada] J.M. Abernathy, D. Karlen, D.W. Storey [Victoria University, Victoria, B.C., Canada] A. Chakrabarti, V. Naik [VECC, Kolkata, India] ","TRIUMF/VECC e-Linac Injector Beam Test",231 233,
mopb029,"C. Limborg-Deprey, C. Adolphsen, M.P. Dunning, S. Gilevich, C. Hast, R.K. Jobe, D.J. McCormick, A. Miahnahri, T.O. Raubenheimer, A.E. Vlieks, D.R. Walz, S.P. Weathersby [SLAC, Menlo Park, California, USA] ","Commissioning of the X-Band Test Area at SLAC",234 236,
mopb030,"M.A. Drury, A. Burrill, G.K. Davis, J. Hogan, L.K. King, F. Marhauser, H. Park, J.P. Preble, C.E. Reece, A.V. Reilly, R.A. Rimmer, H. Wang, M. Wiseman [JLAB, Newport News, Virginia, USA] ","Performance of First C100 Cryomodules for the CEBAF 12 GeV Upgrade Project",237 239,
mopb031,"G.K. Davis, J. Matalevich, T. Powers, M. Wiseman [JLAB, Newport News, Virginia, USA] ","Vibration Response Testing of the CEBAF 12 GeV Upgrade Cryomodules",240 242,
mopb032,"A. Dubrovskiy [JINR, Dubna, Moscow Region, Russia] B.N. Bathe, S. Srivastava [BARC, Mumbai, India] F. Tecker [CERN, Geneva, Switzerland] ","Stabilization of the Beam Intensity in the Linac at the CTF3 CLIC Test Facility",243 245,
mopb033,"A.K. Mitra, Z.T. Ang, S. Calic, P.R. Harmer, S.R. Koscielniak, R.E. Laxdal, W.R. Rawnsley, R.W. Shanks [TRIUMF, Vancouver, Canada] ","High Power Coupler Test for TRIUMF E-linac SC Cavities",246 248,
mopb034,"V. Litvinenko [BNL, Upton, Long Island, New York, USA] ","Novel Technique of Suppressing TBBU in High-energy ERLs",249 251,
mopb035,"K. Jin, Y. Hong, G. Huang, D. Jia, S.C. Zhang [USTC/NSRL, Hefei, Anhui, People's Republic of China] ","The Linear Accelerating Structure Development for HLS Upgrade",252 254,
mopb036,"T. Atkinson, A.V. Bondarenko, A.N. Matveenko, Y. Petenev [HZB, Berlin, Germany] ","Feasibility Study of Short Pulse Mode Operation for Multi-turn ERL Light Source",255 257,
mopb037,"Y. Petenev, T. Atkinson, A.V. Bondarenko, A.N. Matveenko [HZB, Berlin, Germany] ","Linac Optics Design for Multi-turn ERL Light Source",258 260,
mopb038,"Y. Shoji, K. Takeda [LASTI, Hyogo, Japan] ","Single Shot Bunch-by-Bunch Beam Emittance Measurement of the SPring-8 Linac",261 263,
mopb041,"A. Kanareykin, S.P. Antipov, J.E. Butler, C.-J. Jing [Euclid TechLabs, LLC, Solon, Ohio, USA] W. Gai [ANL, Argonne, USA] V. Yakimenko [BNL, Upton, Long Island, New York, USA] ","Advances in Beam Tests of Dielectric Based Accelerating Structures",264 266,
mopb042,"J. Pfingstner, D. Schulte [CERN, Geneva, Switzerland] ","On-line Dispersion Free Steering for the Main Linac of CLIC",267 269,
mopb043,"V.F. Khan, A. Grudiev [CERN, Geneva, Switzerland] ","Detailed Analysis of the Long-Range Wakefield in the Baseline Design of the CLIC Main Linac",270 272,
mopb045,"A. Gerbershagen, A. Andersson, D. Schulte [CERN, Geneva, Switzerland] P. Burrows [JAI, Oxford, United Kingdom] F.O. Ilday (F.Ö. Ilday) [Bilkent University, Bilkent, Ankara, Turkey] ","Specifications of the Distributed Timing System for the CLIC Main Linac",273 275,
mopb046,"G. Pei, Y.L. Chi, M.H. Dai, D.Y. He, X. He, X. Li, J. Liu, C. Ma, X. Wang, X.W. Yang, C.H. Yu, F. Zhao, J. Zhao, Z.S. Zhou [IHEP, Beijing, People's Republic of China] Y. Feng, H. Huang, S. Shi, E. Tang, X. Yang, Q. Yuan, Z. Zhu [Institute of High Energy Physics (IHEP), People's Republic of China] Z. Li, X. Zhang [Wuxi EL PONT Radiation Technology Ltd, Wuxi, People's Republic of China] ","A 10 MeV L-band Linac for Irradiation Applications in China",276 278,
mopb047,"C.-J. Jing, S.P. Antipov, A. Kanareykin, P. Schoessow [Euclid TechLabs, LLC, Solon, Ohio, USA] M.E. Conde, W. Gai, J.G. Power [ANL, Argonne, USA] ","Applications of Compact Dielectric Based Accelerators",279 281,
mopb048,"A.E. Levichev, A.M. Barnyakov, V.M. Pavlov [BINP SB RAS, Novosibirsk, Russia] Y.D. Chernousov [ICKC, Novosibirsk, Russia] V. Ivannikov, I.V. Shebolaev [ICKC SB RAS, Novosibirsk, Russia] ","Linear Accelerator Based on Parallel Coupled Accelerating Structure",282 284,
mopb049,"H. Yang, M.-H. Cho, W. Namkung [POSTECH, Pohang, Kyungbuk, Republic of Korea] S.H. Kim [ANL, Argonne, USA] J.-S. Oh [NFRI, Daejon, Republic of Korea] ","Design of Compact C-Band Standing-Wave Accelerator for Medical Radiotherapy",285 287,
mopb051,"Y. Socol [Falcon Analytics, Netanya, Israel] ","Changing Attitude to Radiation Hazards and Consequent Opportunities for LINAC Applications",288 290,
mopb052,"C.M. Ginsburg [Fermilab, Batavia, USA] ","Fermilab 1.3 GHz Superconducting RF Cavity and Cryomodule Program for Future Linacs",291 293,
mopb053,"Y. Iwashita, Y. Fuwa, M. Hashida, K. Otani, S. Sakabe, S. Tokita, H. Tongu [Kyoto ICR, Uji, Kyoto, Japan] H. Hayano, K. Watanabe, Y. Yamamoto [KEK, Ibaraki, Japan] ","Non-destructive Inspections for SC Cavities",294 296,
mopb054,"E.R. Harms, K. Carlson, B. Chase, D.J. Crawford, E. Cullerton, D.R. Edstrom, Jr, A. Hocker, M.J. Kucera, J.R. Leibfritz, O.A. Nezhevenko, D.J. Nicklaus, Y.M. Pischalnikov, P.S. Prieto, J. Reid, W. Schappert, P. Varghese [Fermilab, Batavia, USA] ","Test Results of Tesla-style Cryomodules at Fermilab",297 299,
mopb055,"J.P. Holzbauer, A. Nassiri, G.J. Waldschmidt, G. Wu [ANL, Argonne, USA] ","Development of Superconducting Radio-Frequency (SRF) Deflecting Mode Cavities and Associated Waveguide Dampers for the APS Upgrade Short Pulse X-Ray Project",300 302,
mopb056,"C.S. Hopper, J.R. Delayen [ODU, Norfolk, Virginia, USA] ","Multipacting Analysis of High-Velocity Superconducting Spoke Resonators",303 305,
mopb057,"S. He, Y. He, S.C. Huang, F.F. Wang, R.X. Wang, M.X. Xu, Y.Z. Yang, W.M. Yue, C. Zhang, S.H. Zhang, S.X. Zhang, H.W. Zhao [IMP, Lanzhou, People's Republic of China] ","Mechanical Study of the First Superconducting Half-wave Resonator for Injector II of CADS Project",306 308,
mopb059,"M.X. Xu, S. He, Y. He, S.C. Huang, Y.L. Huang, T.C. Jiang, R.X. Wang, Z.J. Wang, J.W. Xia, Y.Z. Yang, W.M. Yue, C. Zhang, S.H. Zhang, S.X. Zhang, H.W. Zhao [IMP, Lanzhou, People's Republic of China] ","The Superconducting CH Cavity Development in IMP*",309 311,
mopb060,"B. P. Xiao, G.V. Eremeev, H.L. Phillips, C.E. Reece [JLAB, Newport News, Virginia, USA] M.J. Kelley, B. P. Xiao [The College of William and Mary, Williamsburg, USA] ","RF Surface Impedance Characterization of Potential New Materials for SRF-based Accelerators",312 314,
mopb061,"C.E. Reece, A.V. Reilly [JLAB, Newport News, Virginia, USA] ","The New 2nd Generation SRF R&D Facility at Jefferson Lab: TEDF",315 317,
mopb062,"C.E. Reece, A.D. Palczewski, H. Tian [JLAB, Newport News, Virginia, USA] ","A New Internal Optical Profilometry System for Characterization of RF Cavity Surfaces – CYCLOPS",318 320,
mopb063,"S.A. Belomestnykh, I. Ben-Zvi, J.C. Brutus, H. Hahn, D. Kayran, V. Litvinenko, G.J. Mahler, G.T. McIntyre, V. Ptitsyn, R. Than, J.E. Tuozzolo, W. Xu, A. Zaltsman [BNL, Upton, Long Island, New York, USA] S.A. Belomestnykh [Stony Brook University, Stony Brook, USA] ","Superconducting RF Linac for eRHIC",321 323,
mopb064,"S.A. Belomestnykh, Z. Altinbas, I. Ben-Zvi, J.C. Brutus, D.M. Gassner, H. Hahn, L.R. Hammons, J.P. Jamilkowski, D. Kayran, J. Kewisch, V. Litvinenko, G.J. Mahler, G.T. McIntyre, D. Pate, D. Phillips, T. Rao, S.K. Seberg, T. Seda, B. Sheehy, J. Skaritka, K.S. Smith, R. Than, J.E. Tuozzolo, E. Wang, Q. Wu, W. Xu, A. Zaltsman [BNL, Upton, Long Island, New York, USA] S.A. Belomestnykh, J. Dai, M. Ruiz-Oses (M. Ruiz-Osés), T. Xin [Stony Brook University, Stony Brook, USA] C.H. Boulware, T.L. Grimm [Niowave, Inc., Lansing, Michigan, USA] A. Burrill [JLAB, Newport News, Virginia, USA] R. Calaga [CERN, Geneva, Switzerland] M.D. Cole, A.J. Favale, D. Holmes, J. Rathke, T. Schultheiss, A.M.M. Todd [AES, Medford, NY, USA] X. Liang [SBU, Stony Brook, New York, USA] ","Developing of Superconducting RF Guns at BNL",324 326,
mopb065,"J.M. Vogt, J. Knobloch, O. Kugeler [HZB, Berlin, Germany] ","Impact of Trapped Magnetic Flux and Systematic Flux Expulsion in Superconducting Niobium",327 329,
mopb066,"B. Riemann, T. Weis [DELTA, Dortmund, Germany] A. Neumann [HZB, Berlin, Germany] ","Alternative Approaches for HOM-Damped Cavities",330 332,
mopb067,"A. Neumann, W. Anders, J. Knobloch [HZB, Berlin, Germany] K. Brackebusch, T. Flisgen, T. Galek, K. Papke, U. van Rienen [Rostock University, Faculty of Computer Science and Electrical Engineering, Rostock, Germany] B. Riemann, T. Weis [DELTA, Dortmund, Germany] ","Results and Performance Simulations of the Main Linac Design for BERLinPro",333 335,
mopb069,"P.V. Tyagi [Sokendai, Ibaraki, Japan] H. Hayano, S. Kato, T. Saeki, M. Sawabe [KEK, Ibaraki, Japan] ","Study of HPR Created Oxide Layer at Nb Surfaces",336 338,
mopb070,"R. Oweiss, K. Elliott, A. Facco, M. Hodek, I.M. Malloch, J. Popielarski, L. Popielarski, K. Saito [FRIB, East Lansing, Michigan, USA] ","Quality Control of Cleanroom Processing Procedures of SRF Cavities for Mass Production",339 341,
