frioa06,"E. Gschwendtner [CERN, Geneva, Switzerland] ","AWAKE: Advanced Proton Driven Plasma Wakefield Acceleration Experiment at CERN",1196 1201,
mopp054,"A. Hocker, A.C. Crawford, M. Geynisman, J.P. Holzbauer, A. Lunin, D.A. Sergatskov, N. Solyak, A.I. Sukhanov [Fermilab, Batavia, Illinois, USA] ","Continuous-Wave Horizontal Tests of Dressed 1.3 GHz SRF Cavities for LCLS-II",177 179,
mopp055,"A. Hocker, E. Cullerton, B.M. Hanna, W. Schappert, A.I. Sukhanov [Fermilab, Batavia, Illinois, USA] ","RF Tests of Dressed 325 MHz Single-Spoke Resonators at 2 K",180 182,
mopp058,"J.C.T. Thangaraj, C.M. Baffes, D.R. Broemmelsiek, D.J. Crawford, R.M. Thurman-Keup [Fermilab, Batavia, Illinois, USA] W.B. Wortley [University of Rochester, Rochester, New York, USA] ","Z-slicer: A Simple Scheme for Electron Beam Current Profile Shaping in a Linac",183 186,
mopp059,"F. Maimone, G. Clemente, W. Vinzenz [GSI, Darmstadt, Germany] ","Study and Design of the High Power RF Coupler for the CH-Cavity of the Fair pLINAC",187 189,
mopp060,"S. Mickat, W.A. Barth, G. Clemente, X. Du, L. Groening, A. Orzhekhovskaya, B. Schlitt, H. Vormann, C. Xiao, S.G. Yaramyshev [GSI, Darmstadt, Germany] M. Droba, H. Hähnel, U. Ratzinger, R. Tiede [IAP, Frankfurt am Main, Germany] ","Status of the GSI Poststripper - HE-Linac",190 192,
mopp061,"F.D. Dziuba, M. Amberg, M. Basten, M. Busch, H. Podlech, U. Ratzinger [IAP, Frankfurt am Main, Germany] M. Amberg, K. Aulenbacher, W.A. Barth, S. Mickat [HIM, Mainz, Germany] K. Aulenbacher [IKP, Mainz, Germany] W.A. Barth, S. Mickat [GSI, Darmstadt, Germany] ","First RF Measurements of the Superconducting 217 MHz CH Cavity for the CW Demonstrator at GSI",193 195,
mopp062,"H. Hähnel, U. Ratzinger, R. Tiede [IAP, Frankfurt am Main, Germany] ","Proposal of a Conventional Matching Section as an Alternative to the Existing HSI MEBT Superlens at GSI UNILAC",196 198,
mopp063,"B. Klump, U. Ratzinger, W. Schweizer, K. Volk [IAP, Frankfurt am Main, Germany] ","Development of a Pepper Pot Emittance Measurement Device for FRANZ",199 201,
mopp064,"D. Mäder, M. Basten, D. Koser, H.C. Lenz, N.F. Petry, H. Podlech, A. Schempp, M. Schwarz, M. Vossberg [IAP, Frankfurt am Main, Germany] C. Zhang [GSI, Darmstadt, Germany] ","R&D of the 17 MeV MYRRHA Injector",202 204,
mopp065,"D. Noll, M. Droba, O. Meusel, U. Ratzinger, K. Schulte, C. Wiesner [IAP, Frankfurt am Main, Germany] ","Investigations of Space-Charge Compensation in Low-Energy Beam Transport (LEBT) Sections Using a Particle-in-Cell Code",205 207,
mopp066,"A. Almomani, U. Ratzinger [IAP, Frankfurt am Main, Germany] ","High Gradient CH-Type Cavity Development for 10 – 100 AMeV Beams",208 210,
mopp067,"E. Feldmeier, R. Cee, Th. Haberer [HIT, Heidelberg, Germany] ","Operation of the LINAC and the LINAC RF System for the Ion-Beam Therapy Center Heidelberg",211 213,
mopp068,"M. Amberg, M. Busch, F.D. Dziuba, H. Podlech, U. Ratzinger [IAP, Frankfurt am Main, Germany] K. Aulenbacher [HIM, Mainz, Germany] W.A. Barth, V. Gettmann, S. Mickat [GSI, Darmstadt, Germany] ","The Fast Piezo-Based Frequency Tuner for SC CH-Cavities",214 216,
mopp070,"A. Neumann, J. Knobloch [HZB, Berlin, Germany] K. Brackebusch, T. Flisgen, T. Galek, U. van Rienen [Rostock University, Faculty of Computer Science and Electrical Engineering, Rostock, Germany] B. Riemann, T. Weis [DELTA, Dortmund, Germany] ","Final Design for the BERLinPro Main Linac Cavity",217 220,
mopp071,"A.V. Velez, J. Knobloch, A. Neumann [HZB, Berlin, Germany] ","BESSY VSR 1.5 GHz Cavity Design and Considerations on Waveguide Damping",221 223,
mopp072,"Z. Fang, Y. Fukui, K. Futatsukawa, T. Kobayashi, S. Michizono [KEK, Ibaraki, Japan] E. Chishiro, F. Sato, S. Shinozaki [JAEA/J-PARC, Tokai-mura, Japan] ","Present Status of J-PARC LINAC LLRF Systems",224 226,
mopp074,"F. Qiu, D.A. Arakawa, H. Katagiri, H. Matsumoto, S. Michizono, T. Miura [KEK, Ibaraki, Japan] ","Digital Filters Used for Digital Feedback System at cERL",227 229,
mopp076,"M. Yoshioka, H. Kobayashi, T. Kurihara, S.-I. Kurokawa, H. Matsumoto, N. Matsumoto [KEK, Ibaraki, Japan] T. Hashirano, T. Sugano [MHI, Hiroshima, Japan] F. Hiraga [Hokkaido University, Sapporo, Japan] H. Kumada, Su. Tanaka [Tsukuba University, Graduate School of Comprehensive Human Sciences, Ibaraki, Japan] A. Matsumura, H. Sakurai [Tsukuba University, Ibaraki, Japan] N. Nagura, T. Ohba [Nippon Advanced Technology Co. Ltd., Ibaraki-prefecture, Japan] T.N. Nakamoto, T. Zagar [Cosylab, Ljubljana, Slovenia] T. Nakamura [JAEA, Ibaraki-ken, Japan] T. Ouchi [ATOX, Ibaraki, Japan] ","Construction of an Accelerator-based BNCT Facility at yhe Ibaraki Neutron Medical Research Center",230 232,
mopp077,"Y. Seimiya, M. Kuriki [HU/AdSM, Higashi-Hiroshima, Japan] S. Kashiwagi [Tohoku University, Research Center for Electron Photon Science, Sendai, Japan] T. Okugi, T. Omori, M. Satoh, J. Urakawa [KEK, Ibaraki, Japan] T. Takahashi [Hiroshima University, Graduate School of Science, Higashi-Hiroshima, Japan] ","Electron-Driven Positron Capture Simulation for ILC",233 235,
mopp078,"J. Lesrel, C. Joly [IPN, Orsay, France] E. Plechov, A. Schnase, G. Schreiber, W. Vinzenz [GSI, Darmstadt, Germany] ","RF Power Systems for the FAIR Proton Linac",236 238,
mopp080,"H. Jang, H.J. Kim [IBS, Daejeon, Republic of Korea] J.G. Hwang [KNU, Deagu, Republic of Korea] B.H. Oh [POSTECH, Pohang, Kyungbuk, Republic of Korea] ","Beam Dynamics Study for RAON Superconducting Linac",239 241,
mopp081,"M.J. Joung, Y. Jung, H.J. Kim [IBS, Daejeon, Republic of Korea] ","The ECT System for RAON's Cavities",242 244,
mopp082,"H.J. Kim, H.J. Cha, M.O. Hyun, H.C. Jung, Y.J.K. Kim, M. Lee [IBS, Daejeon, Republic of Korea] ","Superconducting Linac for RISP",245 247,
mopp083,"S.V. Kuzikov, A.V. Savilov, A.A. Vikharev [IAP/RAS, Nizhny Novgorod, Russia] A.V. Savilov [NNGU, Nizhny Novgorod, Russia] ","Helical Waveguides for Short Wavelength Accelerators and RF Undulators",248 250,
mopp084,"S.V. Kuzikov, M.B. Goykhman, A.V. Gromov, A.V. Palitsin, Yu.V. Rodin, A.A. Vikharev [IAP/RAS, Nizhny Novgorod, Russia] ","Nondestructive Diagnostics of Proton Beam Halo and Transverse Bunch Position by Cerenkov Slow Wave Structures",251 253,
