frioa06,"E. Gschwendtner [CERN, Geneva, Switzerland] ","AWAKE: Advanced Proton Driven Plasma Wakefield Acceleration Experiment at CERN",1196 1201,
tupp045,"Y. Yamazaki, N.K. Bultman, A. Facco, Z.Q. He, M. Ikegami, M.J. Johnson, S.M. Lidia, F. Marti, G. Pozdeyev, K. Saito, J. Wei, X. Wu, Y. Zhang, Q. Zhao [FRIB, East Lansing, Michigan, USA] ","Beam Physics Challenge in FRIB Driver Linac",532 534,
tupp047,"P. Berrutti, T.N. Khabiboulline, V. Poloubotko, G.V. Romanov, J. Steimel, V.P. Yakovlev [Fermilab, Batavia, Illinois, USA] D. Li, J.W. Staples [LBNL, Berkeley, California, USA] ","PXIE RFQ Bead Pull Measurements",535 537,
tupp049,"S. Kazakov, B.M. Hanna, T.N. Khabiboulline, V. Poloubotko, O.V. Pronitchev, V.P. Yakovlev [Fermilab, Batavia, Illinois, USA] ","Test Stand for 325 MHz Power Couplers",538 540,
tupp052,"D. Passarelli [Fermilab, Batavia, Illinois, USA] ","SSR1 Tuner Mechanism: Passive and Active Device",541 543,
tupp054,"A. Saini, N. Solyak, V.P. Yakovlev [Fermilab, Batavia, Illinois, USA] T.O. Raubenheimer [SLAC, Menlo Park, California, USA] ","Study of Beam-Based Alignment for the LCLS-II SC Linac",544 546,
tupp055,"E.N. Zaplatin [FZJ, Jülich, Germany] T.L. Grimm [Niowave, Inc., Lansing, Michigan, USA] A. Kanareykin [Euclid TechLabs, LLC, Solon, Ohio, USA] V.P. Yakovlev [Fermilab, Batavia, Illinois, USA] ","Progress on Euclid SRF Conical Half-Wave Resonator Project",547 549,
tupp056,"W.A. Barth, A. Adonin, P. Gerhard, M. Heilmann, R. Hollinger, W. Vinzenz, H. Vormann [GSI, Darmstadt, Germany] ","High Current Proton Beam Operation at GSI UNILAC",550 552,
tupp057,"P. Gerhard, L. Groening, K.-O. Voss [GSI, Darmstadt, Germany] ","In Situ Measurement of Mechanical Vibrations of a 4-Rod RFQ at GSI",553 555,
tupp058,"B. Schlitt, M. Hoerr, A. Schnase, G. Schreiber, W. Vinzenz [GSI, Darmstadt, Germany] ","RF System Development for the New 108 MHz Heavy Ion High-Energy Linac at GSI",556 558,
tupp059,"S.G. Yaramyshev, W.A. Barth, L.A. Dahl, P. Gerhard, L. Groening, M.T. Maier, S. Mickat, A. Orzhekhovskaya, B. Schlitt, H. Vormann [GSI, Darmstadt, Germany] ","Advanced Beam Matching to a High Current RFQ",559 562,
tupp060,"M. Basten, M. Amberg, M. Busch, F.D. Dziuba, D. Mäder, H. Podlech [IAP, Frankfurt am Main, Germany] M. Amberg, K. Aulenbacher, W.A. Barth, S. Mickat [HIM, Mainz, Germany] W.A. Barth, S. Mickat [GSI, Darmstadt, Germany] ","Development of a 217 MHz Superconducting CH Structure",563 565,
tupp062,"M. Schwarz, C. Claessens, M. Heilmann, O. Hinrichs, D. Koser, O. Meusel, D. Mäder, H. Podlech, U. Ratzinger, A. Seibel [IAP, Frankfurt am Main, Germany] ","A Rebunching CH Cavity for Intense Proton Beams",566 568,
tupp063,"R. Tiede, D. Mäder, N.F. Petry, H. Podlech, U. Ratzinger, C. Zhang [IAP, Frankfurt am Main, Germany] ","Improvements of the LORASR Code and their Impact on Current Beam Dynamics Designs",569 571,
tupp064,"J.-M. Lagniel [GANIL, Caen, France] ","Zero-Current Longitudinal Beam Dynamics",572 574,
tupp065,"V.F. Khan, W. Anders, A. Burrill, J. Knobloch, O. Kugeler, A. Neumann [HZB, Berlin, Germany] H. Wang [JLab, Newport News, Virginia, USA] ","RF Input Power Couplers for High Current SRF Applications",575 577,
tupp066,"A. Arnold, M. Freitag, P. Murcek, J. Teichert, H. Vennekate, R. Xiang [HZDR, Dresden, Germany] G. Ciovati, P. Kneisel, L. Turlington [JLab, Newport News, Virginia, USA] ","Commissioning Results of the 2nd 3.5 Cell SRF Gun for ELBE",578 580,
tupp067,"K. Futatsukawa, Z. Fang, Y. Fukui, T. Kobayashi, S. Michizono [KEK, Ibaraki, Japan] E. Chishiro, K. Hirano, F. Sato, S. Shinozaki [JAEA/J-PARC, Tokai-mura, Japan] ","Chopper Operation for the Tandem Scrapers at the J-PARC Linac",581 583,
tupp068,"H. Hayano [KEK, Ibaraki, Japan] ","New SRF Facility at KEK for Mass-Production Study in Collaboration with Industries",584 586,
tupp070,"M. Kawamura, Y. Fukui, K. Futatsukawa, F. Naito [KEK, Ibaraki, Japan] E. Chishiro, K. Hasegawa, F. Sato, S. Shinozaki [JAEA/J-PARC, Tokai-mura, Japan] T. Hori [JAEA, Ibaraki-ken, Japan] ","Status and Recent Modifications to 324-MHz RF Source in J-PARC LINAC",587 589,
tupp071,"T. Kubo [KEK, Ibaraki, Japan] ","Vortex-Penetration Field at a Groove with a Depth Smaller than the Penetration Depth",590 592,
tupp072,"Y. Liu, T. Maruta [KEK/JAEA, Ibaraki-Ken, Japan] K. Futatsukawa [KEK, Ibaraki, Japan] A. Miura [JAEA/J-PARC, Tokai-mura, Japan] ","Studies on Wake Field in Annular Coupled Structure",593 595,
tupp073,"F. Naito, K. Takata [KEK, Ibaraki, Japan] H. Ao, K. Hasegawa, K. Hirano, T. Morishita, N. Ouchi [JAEA/J-PARC, Tokai-mura, Japan] ","Study of the ACS Cavity Without a Bridge Cavity",596 598,
tupp075,"S. Sakanaka, M. Adachi, S. Adachi, M. Akemoto, D.A. Arakawa, S. Asaoka, K. Enami, K. Endo, S. Fukuda, T. Furuya, K. Haga, K. Hara, K. Harada, T. Honda, Y. Honda, H. Honma, T. Honma, K. Hosoyama, K. Hozumi, A. Ishii, X. Jin, E. Kako, Y. Kamiya, H. Katagiri, H. Kawata, Y. Kobayashi, Y. Kojima, Y. Kondou, O.A. Konstantinova, T. Kume, T. Matsumoto, H. Matsumura, H. Matsushita, S. Michizono, T. Miura, T. Miyajima, H. Miyauchi, S. Nagahashi, H. Nakai, H. Nakajima, N. Nakamura, K. Nakanishi, K. Nakao, K.N. Nigorikawa, T. Nogami, S. Noguchi, S. Nozawa, T. Obina, T. Ozaki, F. Qiu, H. Sagehashi, H. Sakai, S. Sasaki, K. Satoh, M. Satoh, T. Shidara, M. Shimada, K. Shinoe, T. Shioya, T. Shishido, M. Tadano, T. Tahara, T. Takahashi, R. Takai, H. Takaki, T. Takenaka, Y. Tanimoto, M. Tobiyama, K. Tsuchiya, T. Uchiyama, A. Ueda, K. Umemori, K. Watanabe, M. Yamamoto, Y. Yamamoto, Y. Yano, M. Yoshida [KEK, Ibaraki, Japan] E. Cenni [Sokendai, Ibaraki, Japan] R. Hajima, S. Matsuba, R. Nagai, N. Nishimori, M. Sawamura, T. Shizuma [JAEA, Ibaraki-ken, Japan] J.G. Hwang [KNU, Deagu, Republic of Korea] M. Kuriki, Y. Seimiya [HU/AdSM, Higashi-Hiroshima, Japan] A. Valloni [CERN, Geneva, Switzerland] ","The First Beam Recirculation and Beam Tuning in the Compact ERL at KEK",599 602,
tupp077,"F.M. Mirapeix, J. Añel [HTS, Mendaro, Spain] J. Amores, J. Presa, A. Urzainki [DMP, Mendaro, Spain] ","High Precision Manufacturing for LINAC's",603 606,
tupp078,"M. Kuriki, Y. Seimiya [HU/AdSM, Higashi-Hiroshima, Japan] H. Hayano, K. Ohmi [KEK, Ibaraki, Japan] S. Kashiwagi [Tohoku University, Research Center for Electron Photon Science, Sendai, Japan] R. Kato [ISIR, Osaka, Japan] ","High Gain FEL with a Micro-bunch Structured Beam by the Transverse-Longitudinal Phase Space Rotation",607 609,
tupp080,"J.-L. Biarrotte, F. Chatelet, M. El Yakoubi, N. Gandolfo, C. Joly, J. Lesrel, H. Saugnac [IPN, Orsay, France] A. Bosotti, R. Paparella, P. Pierini [INFN/LASA, Segrate (MI), Italy] F. Bouly [LPSC, Grenoble Cedex, France] I. Martin-Hoyo [ADEX, Madrid, Spain] ","Commissioning of the MAX 700 MHz Test Stand",610 612,
tupp082,"H. Saugnac, J.-L. Biarrotte, S. Blivet, P. Duchesne, N. Gandolfo, J. Lesrel, G. Olry, E. Rampnoux, D. Reynet [IPN, Orsay, France] ","The MYRRHA Spoke Cryomodule Design",613 615,
tupp083,"M.O. Hyun, H.C. Jung, H.J. Kim [IBS, Daejeon, Republic of Korea] ","Design and Analysis of Slow Tuner in the Superconducting Cavity of RISP",616 618,
tupp084,"J. Joo, D. Jeon, M.J. Joung, Y. Jung, H.J. Kim, M. Lee [IBS, Daejeon, Republic of Korea] ","Surface Treatment Facilities for SCRF Cavities at RISP",619 621,
tupp085,"W.K. Kim, H. Kim, H.J. Kim, Y. Kim, M. Lee, G.-T. Park [IBS, Daejeon, Republic of Korea] ","RAON Cryomodule Design for QWR, HWR, SSR1 and SSR2",622 624,
tupp086,"H. Kim, D. Jeon, Y.W. Jo, Y. Jung, S.A. Kim, W.K. Kim, S.J. Lee, S.W. Nam, G.-T. Park, J.H. Shin [IBS, Daejeon, Republic of Korea] ","RAON Superconducting Radio Frequency Test Facility Construction",625 627,
tupp088,"G.-T. Park, H.J. Cha, Y. Jung, H. Kim, W.K. Kim [IBS, Daejeon, Republic of Korea] ","The Fabrication of the =0.12 HWR at RISP",628 630,
tupp089,"M.R. Khalvati [IPM, Tehran, Iran] S. Ramberger [CERN, Geneva, Switzerland] ","Tuning and Field Stabilization of the CERN Linac4 Drift Tube Linac",631 633,
tupp090,"A.S. Plastun, A. Kolomiets [ITEP, Moscow, Russia] ","Spatially Periodic RF Quadrupole LINAC",634 636,
tupp091,"M. Znidarcic (M. Žnidarčič) [I-Tech, Solkan, Slovenia] C. Kim, S.J. Lee [PAL, Pohang, Kyungbuk, Republic of Korea] ","3 BPM Study at PAL ITF",637 639,
tupp092,"S. Ghosh, R. Ahuja, J. Antony, S. Babu, J. Chacko, G.K. Chaudhari, A. Chaudhary, T.S. Datta, R.N. Dutt, R. Joshi, D. Kanjilal, S. Kar, J. Karmakar, M. Kumar, R. Kumar, D.S. Mathuria, K.K. Mistri, A. Pandey, P. Patra, P.N. Potukuchi, A. Rai, J. Sacharias, B.K. Sahu, A. Sarkar, S.S.K. Sonti, S. K. Suman [IUAC, New Delhi, India] A. Roy [VECC, Kolkata, India] ","Developmental and Operational Aspects of Nb QWR Based Heavy Ion LINAC System at IUAC Delhi",640 642,
tupp093,"E. Fagotti, L. Antoniazzi, M.G. Giacchini, F. Grespan, M. Montis, A. Palmieri, A. Pisent, C. R. Roncolato [INFN/LNL, Legnaro (PD), Italy] ","The Couplers for the IFMIF-EVEDA RFQ High Power Test Stand at LNL: Design, Construction and Operation",643 645,
tupp094,"T. Maruta [J-PARC, KEK  JAEA, Ibaraki-ken, Japan] K. Futatsukawa, T. Miyao [KEK, Ibaraki, Japan] M. Ikegami [FRIB, East Lansing, Michigan, USA] Y. Liu [KEK/JAEA, Ibaraki-Ken, Japan] A. Miura, H. Sako [JAEA/J-PARC, Tokai-mura, Japan] ","Recent Progress of Beam Commissioning at J-PARC Linac",646 648,
tupp095,"T. Morishita, K. Hasegawa, K. Hirano, Y. Kondo, H. Oguri, S. Yamazaki [JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken, Japan] T. Hori [JAEA, Ibaraki-ken, Japan] F. Naito, T. Sugimura, A. Takagi [KEK, Ibaraki, Japan] ","High-Power Test Results of the RFQ III in J-PARC Linac",649 652,
tupp096,"A.P. Sumbaev, A.S. Kayukov, V. Kobets, V. Minashkin, V.G. Pyataev, V.A. Shvets [JINR, Dubna, Moscow Region, Russia] V. Shabratov [JINR/VBLHEP, Moscow, Russia] V.N. Shvetsov [JINR/FLNP, Moscow Region, Russia] ","LUE-200 Linac. Status & Development",653 655,
tupp097,"H.S. Kim, Y.-S. Cho, H.-J. Kwon [KAERI, Daejon, Republic of Korea] ","100-MeV Proton Beam Phase Measurement by Using Stripline BPM",656 658,
tupp100,"M.A. Baylac, A. Billebaud, P. Boge, D. Bondoux, J. Bouvier, S. Chabod, G. Dargaud, E. Froidefond, E. Labussière, R. Micoud, S. Rey [LPSC, Grenoble Cedex, France] A. Kochetkov, J. Mertens, F. Van Gestel, C. Van Grieken, B. Van Houdt, G. Vittiglio [SCK-CEN, Mol, Belgium] F.R. Lecolley, J.L. Lecouey, G. Lehaut, N. Marie-Nourry [CNRS/IN2P3/LPC CAEN, Caen, France] ","Operation Of The Versatile Accelerator Driving the Low Power ADS GUINEVERE at SCKCEN",659 661,
tupp101,"K.N. Nii, V. Chouhan, Y.I. Ida, T.Y. Yamaguchi [MGH, Hyogo-ken, Japan] P. Carbonnier, F. Eozénou (F. Éozénou), C. Servouin [CEA/DSM/IRFU, France] H. Hayano, S. Kato, H. Monjushiro, T. Saeki, M. Sawabe [KEK, Ibaraki, Japan] K. Ishimi [MGI, Chiba, Japan] C. Madec, L. Maurice [CEA/IRFU, Gif-sur-Yvette, France] ","Vertical Electro-Polishing of Nb Single-Cell Cavity Using Cathode with Variable-Geometry Wings and Its Results of Vertical Test",662 664,
tupp103,"A.V. Samoshin, I.A. Ashanin, S.M. Polozov [MEPhI, Moscow, Russia] ","The Beam Envelope Control in SC Linac for the Proton Radiotherapy",665 667,
tupp105,"Y. Shoji [LASTI, Hyogo, Japan] T. Asaka, H. Dewa, H. Hanaki, T. Kobayashi, Y. Minagawa, A. Mizuno, T. Shinomoto, S. Suzuki, Y. Takemura, T. Taniuchi, K. Yanagida [JASRI/SPring-8, Hyogo-ken, Japan] ","Storage Ring as a Linac Beam Monitor – Its Operation and Contribution to the Stable Top-up Injection",668 670,
tupp106,"T. Sakai, M. Inagaki, K. Nakao, K. Nogami, T. Tanaka [LEBRA, Funabashi, Japan] M.K. Fukuda, T. Takatomi, J. Urakawa, M. Yoshida [KEK, Ibaraki, Japan] T.S. Shintomi [Nihon University, Tokyo, Japan] ","RF Characteristics of 20K Cryogenic 2.6-cell Photocathode RF-gun Test Cavity",671 673,
tupp108,"S.U. De Silva, J.R. Delayen, B.R.P. Gamage, G.A. Krafft, T. Satogata [ODU, Norfolk, Virginia, USA] R.G. Olave [Old Dominion University, Norfolk, Virginia, USA] ","HOM and Impedance Study of RF Separators for LCLS II",674 676,
tupp109,"C.S. Hopper, J.R. Delayen, H. Park [ODU, Norfolk, Virginia, USA] J.R. Delayen, H. Park [JLab, Newport News, Virginia, USA] ","Cryogenic Testing of High-Velocity Spoke Cavities",677 679,
tupp110,"S.K. Barber, G. Andonian, B.D. O'Shea, J.B. Rosenzweig, Y. Sakai, O. Williams [UCLA, Los Angeles, USA] M. Ferrario [INFN/LNF, Frascati (Roma), Italy] P. Muggli [MPI, Muenchen, Germany] ","Quasi Nonlinear Plasma Wakefield Acceleration Experiments",680 682,
tupp111,"A. Hauff, M. Broennimann, I. Brunnenkant, A. Dietrich, Z. Geng, F. Gärtner, M. Jurcevic, R. Kalt, S. Mair, A. Rezaeizadeh, L. Schebacher, T. Schilcher, W. Sturzenegger [PSI, Villigen PSI, Switzerland] ","SwissFEL C-band LLRF Prototype System",683 685,
tupp112,"M. Schaer, A. Citterio, P. Craievich, L. Stingelin, R. Zennaro [PSI, Villigen PSI, Switzerland] ","Study of a C-Band TW Electron Gun for SwissFEL",686 688,
tupp113,"W.L. Xia, J.E. Chen, S.L. Gao, F.J. Jia, Y.R. Lu, Z. Wang, J. Zhao, K. Zhu [PKU, Beijing, People's Republic of China] ","High RF Power Test of Coupled RFQ-SFRFQ Cavity",689 691,
tupp116,"L. Faillace, R.B. Agustsson, P. Frigola, A. Verma [RadiaBeam, Santa Monica, California, USA] ","Status of the FERMI II RF Gun at Sincrotrone Trieste",692 694,
tupp117,"S.C. Joshi, A. Chauhan, P. Fatnani, P.D. Gupta, M.K. Kumar, P.K. Kush, P. Mohania, S. Raghvendra, P. Shrivastava, S.K. Suhane [RRCAT, Indore (M.P.), India] ","Commissioning of Vertical Test Stand Facility for 2 K Testing of Superconducting Cavities at RRCAT",695 698,
tupp119,"A.R. Jana, V. Kumar [RRCAT, Indore, India] ","Design Studies for Medium and High beta SCRF Cavities for Indian Spallation Neutron Source",699 701,
tupp120,"A.A. Starostenko, A.E. Levichev, D.A. Nikiforov [BINP SB RAS, Novosibirsk, Russia] ","Commissioning of BINP Injection Complex VEPP-5",702 704,
tupp121,"V.V. Paramonov [RAS/INR, Moscow, Russia] ","Limitations for Acceleration of Intermediate Mass Particles with Traveling Wave Structure",705 707,
tupp122,"K.L.F. Bane, G.V. Stupakov [SLAC, Menlo Park, California, USA] ","Roughness Tolerances in the Undulator Vacuum Chamber of LCLS-II",708 711,
tupp123,"M. Dal Forno, A. Jensen, R.D. Ruth, S.G. Tantawi [SLAC, Menlo Park, California, USA] ","Design of Novel RF Sources to Reduce the Beam Pace-Charge Effects",712 714,
tupp127,"W. Fang, Q. Gu, M. Zhang, Z.T. Zhao [SINAP, Shanghai, People's Republic of China] A.A. Aksoy, O. Yavas (Ö. Yavaş) [Ankara University, Accelerator Technologies Institute, Golbasi / Ankara, Turkey] D. Angal-Kalinin, J.A. Clarke [Cockcroft Institute, Warrington, Cheshire, United Kingdom] C.J. Bocchetta, A.I. Wawrzyniak [Solaris, Krakow, Poland] M.J. Boland [SLSA, Clayton, Australia] G. D'Auria, S. Di Mitri, C. Serpico [Elettra-Sincrotrone Trieste S.C.p.A., Basovizza, Italy] T.J.C. Ekelöf, R.J.M.Y. Ruber, V.G. Ziemann [Uppsala University, Uppsala, Sweden] E.N. Gazis [National Technical University of Athens, Athens, Greece] A. Grudiev, A. Latina, D. Schulte, S. Stapnes, W. Wuensch [CERN, Geneva, Switzerland] ","R&D of X-band Accelerating Structure for Compact XFEL at SINAP",715 718,
tupp128,"D. Huang, Q. Gu, Z. Wang, Z.T. Zhao [SINAP, Shanghai, People's Republic of China] D. Xiang [Shanghai Jiao Tong University, Shanghai, People's Republic of China] ","ECHO-enabled Tunable Terahertz Radiation Generation with a Laser-modulated Relativistic Electron Beam",719 721,
tupp130,"V.V. Altsybeyev, D.A. Ovsyannikov [St. Petersburg State University, St. Petersburg, Russia] ","Optimization of Beam Parameters in APF Channel",722 725,
tupp133,"S. Shin, J.-S. Chai [SKKU, Suwon, Republic of Korea] ","Optimization of the RF Cavity of the Medical Purpose Electron Linac by Using Genetic Algorithm",726 728,
tupp135,"F. Hug, M. Arnold, L.E. Juergensen (L.E. Jürgensen), T. Kuerzeder (T. Kürzeder), N. Pietralla, M. Schilling [TU Darmstadt, Darmstadt, Germany] ","Beam Dynamics Calculations and Magnet Design for Future Measurements of Transverse Beam Break-Up at the S-DALINAC*",729 732,
tupp137,"G.B. Sharkov, A.I. Botyachkova, E.V. Ivanov, N.G. Kalugin, A.A. Krasnov, K.K. Naraianamurtkhi, K.I. Nikolskiy, S.A. Polikhov, I. Rezanov, A.Yu. Smirnov, P. Yazev [Siemens Research Center, Moscow,, Russia] A.I. Botyachkova [National Research Nuclear University (MEPhI), Moscow, Russia] ","High Power Solid-State Amplifiers. New Developments and Technology Comparison",733 735,
tupp138,"A.D. Palczewski, R.L. Geng, C.E. Reece [JLab, Newport News, Virginia, USA] ","Analysis of New High-Q0 SRF Cavity Tests by Nitrogen Gas Doping at Jefferson Lab",736 739,
tupp139,"B. Yasatekin, G. Turemen [Ankara University, Faculty of Sciences, Ankara, Turkey] A. Alacakir [TAEK, Ankara, Turkey] G. Unel [UCI, Irvine, California, USA] ","Design Studies with DEMIRCI for SPP RFQ",740 742,
tupp140,"B.D. O'Shea, G. Andonian, K.L. Fitzmorris, S. Hakimi, J. Harrison, J.B. Rosenzweig, O. Williams [UCLA, Los Angeles, California, USA] M.J. Hogan, V. Yakimenko [SLAC, Menlo Park, California, USA] ","Observation of >GV/m Decelerating Fields in Dielectric Lined Waveguides",743 745,
weioa01,"A.G. Tribendis, Y.A. Biryuchevsky, E. Kendjebulatov, Ya.G. Kruchkov, E. Rotov, A.A. Zhukov [BINP SB RAS, Novosibirsk, Russia] Y. Cuvet, A. Dallocchio, J.-F. Fuchs, F. Gerigk, J.-M. Giguet, J. Hansen, T. Muranaka, E. Page, B. Riffaud, N. Thaus, M. Tortrat, M. Vretenar, R. Wegner [CERN, Geneva, Switzerland] M.Y. Naumenko [RFNC-VNIITF, Snezhinsk, Chelyabinsk region, Russia] ","Construction and RF Conditioning of the Cell-Coupled Drift Tube Linac (CCDTL) for Linac4 at CERN",746 750,
weioa04,"A.C. Dexter [Cockcroft Institute, Lancaster University, Lancaster, United Kingdom] ","Phase Locked Magnetrons for Accelerators",751 755,
weioa05,"M. Jensen, G. Göransson, C. Marrelli, C. Martins, R. Montano (R. Montaño), A. Sunesson, R.A. Yogi, R. Zeng [ESS, Lund, Sweden] A.J. Johansson [Lund University, Lund, Sweden] ","High Power RF Sources for the ESS RF Systems",756 759,
weioa06,"J. Branlard [DESY, Hamburg, Germany] ","Low Level RF for SRF Accelerators",760 764,
weiob01,"C. Wiesner, M. Droba, O. Meusel, D. Noll, O. Payir, U. Ratzinger, P.P. Schneider [IAP, Frankfurt am Main, Germany] ","Chopping High-Intensity Ion Beams at FRANZ",765 769,
weiob02,"A. Kreisel, A. Arenshtam, Y. Ben Aliz, D. Berkovits, Y. Buzaglo, O. Dudovich, Y. Eisen, I. Eliyahu, G. Feinberg, I. Fishman, I.G. Gertz, A. Grin, S. Halfon, Y.F. Haruvy, T. Hirsch, D. Hirschmann, Z. Horvitz, B. Kaizer, D. Kijel, J. Luner, I. Mor, J. Rodnizki, G. Shimel, A. Shor, I. Silverman, D. Vartsky, L. Weissman, E. Zemach [Soreq NRC, Yavne, Israel] ","SARAF Phase-I Proton / Deuteron Linac Beam Operation Status",770 774,
weiob03,"D. Jeon, H.J. Kim [IBS, Daejeon, Republic of Korea] ","Status of RAON Heavy Ion Accelerator Project",775 779,
weiob04,"S.V. Kutsaev, B. Mustapha, J.A. Nolen, P.N. Ostroumov [ANL, Argonne, USA] ","CW Heavy Ion Accelerator With Adjustable Energy for Material Science",780 784,
