FRXAPA01,"M.S. Zisman, LBNL, Berkeley, California","Neutrino Factories and Beta Beams",
WEPCH102,"C. Steier, S. Marks, S. Prestemon, D. Robin, D. Schlueter, W. Wan, W. Wittmer, LBNL, Berkeley, California","Studies of the Nonlinear Dynamics Effects of APPLE-II Type EPUs at the ALS",
WEPCH103,"L. Wang, T.O. Raubenheimer, SLAC, Menlo Park, California; A. Wolski, Liverpool University, Science Faculty, Liverpool","Ion Effects in the Electron Damping Ring of the International Linear Collider",
WEPCH104,"W. Fischer, R. Calaga, BNL, Upton, Long Island, New York; U. Dorda, CERN, Geneva; A.C. Kabel, SLAC, Menlo Park, California; J.-P. Koutchouk, CERN, Geneva; J. Qiang, LBNL, Berkeley, California; V.H. Ranjibar, T. Sen, Fermilab, Batavia, Illinois; J. Shi, KU, Lawrence, Kansas; F. Zimmermann, CERN, Geneva","Observation of the Long-range Beam-beam Effect in RHIC and Plans for Compensation",
WEPCH106,"O. Mouton, CEA, Bruyères-le-Châtel","Stationary Beam Electron Transport in AIRIX for the TRAJENV Code",
WEPCH107,"N. Pichoff, M. Caron, F. Cartier, D.C. Collignon, A. Compant La Fontaine, G. Grandpierre, L.H. Hourdin, M. Mouillet, D.P. Paradis, CEA, Pontfaverger-Moronvilliers","Contributors to AIRIX Focal Spot Size",
WEPCH109,"V. Serriere, N. Guillotin, J. Jacob, ESRF, Grenoble; F. Marhauser, E. Weihreter, BESSY GmbH, Berlin","Comprehensive Benchmark of Electromagnetic 3D Codes in Time and Frequency Domain",
WEPCH110,"H. Henke, TET, Berlin; W. Bruns, CERN, Geneva","Calculation of Wake Potentials in General 3D Structures",
WEPCH111,"M. Filtz, H. Henke, TET, Berlin","Time Domain Radiation of a Gaussian Charge Sheet Passing a Slit in a Conducting Screen",
WEPCH112,"W. Ackermann, TEMF, Darmstadt; J. Enders, H.-D. Gräf, TU Darmstadt, Darmstadt; W.F.O. Müller, TEMF, Darmstadt; A. Richter, TU Darmstadt, Darmstadt; B. Steiner, T. Weiland, TEMF, Darmstadt","Database Extension for the Beam Dynamics Simulation Tool V-code",
WEPCH113,"B. Doliwa, H. De Gersem, T. Weiland, TEMF, Darmstadt","Numerical Impedance Calculations for the GSI SIS-100/300 Kickers",
WEPCH114,"S. Schnepp, E. Gjonaj, T. Weiland, TEMF, Darmstadt","On the Development of a Self-consistent Particle-in-cell (PIC) Code Using a Time-adaptive Mesh Technique",
WEPCH115,"N. Somjit, TEMF, Darmstadt; R. Eichhorn, J. Enders, H.-D. Gräf, C. Heßler, TU Darmstadt, Darmstadt; W.F.O. Müller, TEMF, Darmstadt; Y. Poltoratska, A. Richter, TU Darmstadt, Darmstadt; T. Weiland, TEMF, Darmstadt","Numerical Simulation and Optimization of a 3-GHz Chopper/Prebuncher System for the S-DALINAC",
WEPCH116,"B. Steiner, TEMF, Darmstadt; J. Enders, H.-D. Gräf, C. Heßler, G. Iancu, TU Darmstadt, Darmstadt; W.F.O. Müller, TEMF, Darmstadt; A. Richter, M. Roth, TU Darmstadt, Darmstadt; T. Weiland, TEMF, Darmstadt","Recent Simulation Results of the Polarized Electron Injector (SPIN) of the S-DALINAC",
WEPCH117,"A. Bechtold, M. Otto, A. Schempp, IAP, Frankfurt-am-Main","Beam Dynamics of an Integrated RFQ-drifttube-combination",
WEPCH118,"R. Tiede, G. Clemente, IAP, Frankfurt-am-Main; S. Minaev, ITEP, Moscow; H. Podlech, U. Ratzinger, A.C. Sauer, IAP, Frankfurt-am-Main","LORASR Code Development",
WEPCH119,"A. Lehrach, FZJ, Jülich; O. Boine-Frankenheim, R.W. Hasse, GSI, Darmstadt; F. Hinterberger, Universitaet Bonn, Helmholtz-Institut fuer Strahlen- und Kernphysik, Bonn; R. Maier, D. Prasuhn, FZJ, Jülich","Beam Performance with Internal Targets in the High-energy Storage Ring (HESR)",
WEPCH120,"A. Markovik, Rostock University, Faculty of Computer Science and Electrical Engineering, Rostock; K. Floettmann, DESY, Hamburg; G. Pöplau, U. van Rienen, Rostock University, Faculty of Computer Science and Electrical Engineering, Rostock","Simulation of 3D Space-charge Fields of Bunches in a Beam Pipe of Elliptical Shape",
WEPCH121,"G. Pöplau, Rostock University, Faculty of Computer Science and Electrical Engineering, Rostock; K. Floettmann, DESY, Hamburg; U. van Rienen, Rostock University, Faculty of Computer Science and Electrical Engineering, Rostock","3D Space-charge Calculations for Bunches in the Tracking Code ASTRA",
WEPCH122,"C. Schmidt, Rostock University, Institute for General Electrical Engn., Rostock; H.-W. Glock, U. van Rienen, Rostock University, Faculty of Engineering, Rostock","2D Wake Field Calculations of Tapered Structures with Different FDTD Discretization Schemes",
WEPCH123,"A. Bungau, Cockcroft Institute, Warrington, Cheshire; R.J. Barlow, UMAN, Manchester","Large Simulation of High Order Short Range Wakefields",
WEPCH124,"I.V. Agapov, G.A. Blair, J. Carter, Royal Holloway, University of London, Surrey; O. Dadoun, LAL, Orsay","BDSIM - Beamline Simulation Toolkit Based on Geant4",
WEPCH125,"D. Battaglia, L. Calabretta, D. Campo, M.M. Maggiore, L.A.C. Piazza, D. Rifuggiato, INFN/LNS, Catania","New Design Tools for a Cyclotron Central Region",
WEPCH126,"M. Cavenago, INFN/LNL, Legnaro, Padova; V. Antoni, F. Sattin, CNR/RFX, Padova","Issues in Modelling of Negative Ion Extraction",
WEPCH127,"V. Petrillo, Universita' degli Studi di Milano, Milano; G. Alberti, Università degli Studi di Milano, Milano; A. Bacci, INFN-Milano, Milano; M. Ferrario, INFN/LNF, Frascati (Roma); C. Maroli, Universita' degli Studi di Milano, Milano; A.R. Rossi, L. Serafini, INFN-Milano, Milano","Analysis of Radiative Effects in the Electron Emission from the Photocathode and in the Acceleration inside the RF Cavity of a Photoinjector using the 3D Numerical Code RETAR",
WEPCH128,"H. Harada, Hiroshima University, Higashi-Hiroshima; K. Furukawa, KEK, Ibaraki; H. Hotchi, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; S. Machida, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon; F. Noda, H. Sako, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; K. Shigaki, Hiroshima University, Higashi-Hiroshima; H. Suzuki, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken","Virtual Accelerator as an Operation Tool at J-PARC 3 GeV Rapid Cycling Synchrotron (RCS)",
WEPCH130,"S. Sakanaka, KEK, Ibaraki","Analysis of Symmetry in Accelerating Structures with Group Theory",
WEPCH131,"H. Kawaguchi, Muroran Institute of Technology, Department of Electrical and Electronic Engineering, Muroran; K. Fujita, Hokkaido University, Sapporo","Development of Numerical Code for Self-consistent Wake Field Analysis with Curved Trajectory Electron Bunches",
WEPCH132,"K. Fujita, T. Enoto, Hokkaido University, Sapporo; H. Kawaguchi, Muroran Institute of Technology, Department of Electrical and Electronic Engineering, Muroran","Design Study of Dedicated Computer System for Wake Field Analysis with Time Domain Boundary Element Method",
WEPCH134,"S.A. Kostromin, JINR, Dubna, Moscow Region","Development of Code for Simulation of Acceleration of Ions from Internal Source to End of Extraction System in Cyclotrons and Preliminary Design Study of 8MeV Cyclotron for Production of Radioisotopes",
WEPCH136,"O.A. Bezshyyko, K.A. Bezshyyko, National Taras Shevchenko University of Kyiv, The Faculty of Physics, Kyiv; A. Dolinskii, NASU/INR, Kiev; I.M. Kadenko, R.V. Yermolenko, National Taras Shevchenko University of Kyiv, The Faculty of Physics, Kyiv; V.G. Ziemann, UU/ISV, Uppsala","Monte Carlo Simulation Model of Internal Pellet Targets",
WEPCH137,"W. Bruns, D. Schulte, F. Zimmermann, CERN, Geneva","FAKTOR2: A Code to Simulate the Collective Effects of Electrons and Ions",
WEPCH138,"U. Dorda, F. Zimmermann, CERN, Geneva","Simulations of Long-range Beam-beam Interaction and Wire Compensation with BBTRACK",
WEPCH139,"P. Hagen, M. Giovannozzi, J.-P. Koutchouk, T. Risselada, S. Sanfilippo, E. Todesco, E.Y. Wildner, CERN, Geneva","WISE: An Adaptative Simulation of the LHC Optics",
WEPCH140,"A. Latina, H. Burkhardt, CERN, Geneva; P. Eliasson, Uppsala University, Uppsala; L. Neukermans, CERN, Geneva; J. Resta-López, IFIC, Valencia; G. Rumolo, D. Schulte, R. Tomas, CERN, Geneva","Recent Improvements of PLACET",
WEPCH141,"F. Zimmermann, CERN, Geneva; D.T. Abell, Tech-X, Boulder, Colorado; R. Bartolini, Diamond, Oxfordshire; R. Basset, E. Benedetto, CERN, Geneva; O. Boine-Frankenheim, GSI, Darmstadt; Y. Cai, SLAC, Menlo Park, California; Y.H. Chin, KEK, Ibaraki; S.M. Cousineau, V.V. Danilov, ORNL, Oak Ridge, Tennessee; U. Dorda, CERN, Geneva; L. Farvacque, ESRF, Grenoble; G. Franchetti, GSI, Darmstadt; A. Friedman, LLNL, Livermore, California; M.A. Furman, LBNL, Berkeley, California; M. Giovannozzi, CERN, Geneva; D.P. Grote, LBNL, Berkeley, California; I. Hofmann, GSI, Darmstadt; J.A. Holmes, ORNL, Oak Ridge, Tennessee; D. Kaltchev, TRIUMF, Vancouver; T.C. Katsouleas, USC, Los Angeles, California; E.-S. Kim, PAL, Pohang, Kyungbuk; S. Machida, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon; K. Ohmi, K. Oide, KEK, Ibaraki; Y. Papaphilippou, CERN, Geneva; J. Payet, CEA, Gif-sur-Yvette; T. Pieloni, CERN, Geneva; M.T.F. Pivi, SLAC, Menlo Park, California; J. Qiang, LBNL, Berkeley, California; F. Ruggiero, G. Rumolo, CERN, Geneva; G.L. Sabbi, LBNL, Berkeley, California; F. Schmidt, CERN, Geneva; P.A. Seidl, LBNL, Berkeley, California; T. Sen, Fermilab, Batavia, Illinois; A.P. Shishlo, ORNL, Oak Ridge, Tennessee; E. Todesco, CERN, Geneva; J.-L. Vay, LBNL, Berkeley, California; J. Wei, BNL, Upton, Long Island, New York; B. Zotter, Honorary CERN Staff Member, Grand-Saconnex","Accelerator Physics Code Web Repository",
WEPCH143,"V.I. Nikiforov, A. Dovbnya, N.A. Dovbnya, V.L. Uvarov, NSC/KIPT, Kharkov","Electron Linac Based e,X-radiation Facility",
WEPCH144,"G. Bassi, J.A. Ellison, K.A. Heinemann, UNM, Albuquerque, New Mexico","CSR Effects in a Bunch Compressor: Influence of the Transverse Force and Shielding",
WEPCH145,"H. Nishimura, T. Scarvie, LBNL, Berkeley, California","Particle Tracking and Simulation on the .NET Framework",
WEPCH146,"I. Reichel, A. Wolski, LBNL, Berkeley, California","Intrabeam Scattering Studies for the ILC Damping Rings Using a New Matlab Code",
WEPCH147,"C. Nieter, J.R. Cary, P. Messmer, D.S. Smithe, P. Stoltz, Tech-X, Boulder, Colorado; G.R. Werner, CIPS, Boulder, Colorado","Simulations of Electron Effects in Superconducting Cavities with the VORPAL Code",
WEPCH148,"G.H. Gillespie, G.H. Gillespie Associates, Inc., Del Mar, California","Computing TRANSPORT/TURTLE Transfer Matrices from MARYLIE/MAD Lie Maps",
WEPCH149,"G.H. Gillespie, W. Hill, G.H. Gillespie Associates, Inc., Del Mar, California","PBO LAB (tm) Tools for Comparing MARYLIE/MAD Lie Maps and TRANSPORT/TURTLE Transfer Matrices",
WEPCH150,"D. Sagan, Cornell University, Laboratory for Elementary-Particle Physics, Ithaca, New York; D.A. Bates, LBNL, Berkeley, California; M. Forster, Cornell University, Laboratory for Elementary-Particle Physics, Ithaca, New York; T. Larrieu, Jefferson Lab, Newport News, Virginia; T.A. Pelaia, ORNL, Oak Ridge, Tennessee; S. Reiche, UCLA, Los Angeles, California; Y. Roblin, Jefferson Lab, Newport News, Virginia; F. Schmidt, CERN, Geneva; P. Tenenbaum, SLAC, Menlo Park, California; N.J. Walker, DESY, Hamburg; A. Wolski, LBNL, Berkeley, California; M. Woodley, SLAC, Menlo Park, California","The Accelerator Markup Language and the Universal Accelerator Parser",
WEPCH152,"W.W. MacKay, BNL, Upton, Long Island, New York","Comment on Healy's Symplectification Algorithm",
WEPCH153,"W.W. MacKay, A.U. Luccio, BNL, Upton, Long Island, New York","Symplectic Interpolation",
WEPCH154,"E. Manola-Poggioli, PL. Lienard, T. Pettersson, CERN, Geneva","SPS Access System Upgrade",
WEPCH155,"C. Johnstone, Fermilab, Batavia, Illinois; S.R. Koscielniak, TRIUMF, Vancouver","Tune-stabilized Linear-field FFAG for Carbon Therapy",
WEPCH156,"E. Manola-Poggioli, L. Scibile, CERN, Geneva","CERN Safety Alarms Monitoring System (CSAM)",
WEPCH157,"Th. Strodl, ATI, Wien","Design and Beam Dynamics Simulation for the Ion-injector of the Austrian Hadron Therapy Accelerator",
WEPCH158,"M.J. Bajard, UCBL, Villeurbanne","Status of the Hadrontherapy ETOILE-Project in Lyon",
WEPCH159,"S.P. Møller, F.S. Albrechtsen, T. Andersen, Danfysik A/S, Jyllinge; K. Blasche, GSI, Darmstadt; A. Elkjaer, Danfysik A/S, Jyllinge; S. Emhofer, Siemens AG, Medical Solutions, Erlangen; B. Franczak, GSI, Darmstadt; N. Hauge, T. Holst, I. Jensen, Danfysik A/S, Jyllinge; H.K. Kerscher, V.L. Lazarev, Siemens AG, Medical Solutions, Erlangen; S.M. Madsen, Danfysik A/S, Jyllinge; H. Rohdjess, Siemens AG, Medical Solutions, Erlangen","Accelerator Systems for Particle Therapy",
WEPCH160,"S.P. Møller, F.S. Albrechtsen, T. Andersen, Danfysik A/S, Jyllinge; K. Blasche, GSI, Darmstadt; A. Elkjaer, Danfysik A/S, Jyllinge; B. Franczak, GSI, Darmstadt; N. Hauge, T. Holst, I. Jensen, S.M. Madsen, Danfysik A/S, Jyllinge","A Novel Proton and Light Ion Synchrotron for Particle Therapy",
WEPCH161,"F. Meot, CEA, Gif-sur-Yvette; B. Autin, J. Collot, J.F. Fourrier, E. Froidefond, LPSC, Grenoble; J.L. Lancelot, SIGMAPHI, Vannes; F. Martinache, LPSC, Grenoble; D. Neuveglise, SIGMAPHI, Vannes","The FFAG Ramp;D and Medical Application Project RACCAM",
WEPCH162,"E. Froidefond, LPSC, Grenoble; B. Autin, CERN, Geneva","Magnet Simulations for Medical FFAG",
WEPCH164,"L. Picardi, C. Cianfarani, ENEA C.R. Frascati, Frascati (Roma); E. Cisbani, S.F. Frullani, ISS, Rome; G. Messina, G.L. Orlandi, C. Ronsivalle, ENEA C.R. Frascati, Frascati (Roma)","High Power RF Tests of the First Module of the TOP Linac SCDTL Structure",
WEPCH165,"C. Ronsivalle, C. Cianfarani, ENEA C.R. Frascati, Frascati (Roma); E. Cisbani, S.F. Frullani, ISS, Rome; G. Messina, G.L. Orlandi, L. Picardi, ENEA C.R. Frascati, Frascati (Roma)","A Nonlinear Transport Line for the Optimization of F18 Production by the TOP Linac Injector",
WEPCH166,"K. Dobashi, UTNL, Ibaraki; M. Akemoto, KEK, Ibaraki; A. Fukasawa, UTNL, Ibaraki; H. Hayano, T. Higo, KEK, Ibaraki; M. D. Meng, T. Natsui, F. Sakamoto, M. Uesaka, UTNL, Ibaraki; J. Urakawa, KEK, Ibaraki; T. Yamamoto, UTNL, Ibaraki","Beam Test of Thermionic Cathode X-band RF-gun and Linac for Monochromatic Hard X-ray Source",
WEPCH167,"T. Furukawa, K. Noda, S. Sato, S. Shibuya, E. Takada, M. Torikoshi, S. Yamada, NIRS, Chiba-shi","Study of Scatterer Method to Compensate Asymmetric Distribution of Slowly Extracted Beam at HIMAC Synchrotron",
WEPCH168,"T. Furukawa, T. Kanai, NIRS, Chiba-shi; M. Katsumata, AEC, Chiba; K. Noda, S. Sato, NIRS, Chiba-shi; T. Shimojyu, T. Shiraishi, AEC, Chiba; E. Takada, M. Torikoshi, S. Yamada, NIRS, Chiba-shi","Development toward Turn-key Beam Delivery for Therapeutic Operation at HIMAC",
WEPCH169,"Y. Iwata, NIRS, Chiba-shi; T. Fujimoto, AEC, Chiba; T. Fujisawa, T. Furukawa, S. H. Hojo, M. Kanazawa, NIRS, Chiba-shi; T. Mitsumoto, SHI, Tokyo; N. M. Miyahara, T. Murakami, M. Muramatsu, K. Noda, H. Ogawa, Y. S. Sakamoto, NIRS, Chiba-shi; T. Takeuchi, AEC, Chiba; H. Tsutsui, T. Ueda, T. Watanabe, SHI, Tokyo; S. Yamada, K. Yamamoto, NIRS, Chiba-shi","Alternating Phase Focused IH-DTL for Heavy-ion Medical Accelerators",
WEPCH170,"S. Sato, T. Furukawa, K. Noda, NIRS, Chiba-shi","Development of Intensity Control System with RF-knockout Extraction at the HIMAC Synchrotron",
WEPCH172,"T. Kondoh, S. Tagawa, J. Yang, Y. Yoshida, ISIR, Osaka","Electron Beam Pulse Processing toward the Intensity Modified Radiation Therapy (IMRT)",
WEPCH173,"H.B. Hong, J.-S. Chai, KIRAMS, Seoul; H.H. Cho, Yonsei University, Seoul; M.G. Hur, H.S. Jang, J. Kang, KIRAMS, Seoul; K.M. Kim, Yonsei University, Seoul","The Performance of Double-grid O-18 Water Target for FDG Production",
WEPCH175,"A.V. Poseryaev, MSU, Moscow; M.F. Ballester, Yu.A. Kubyshin, UPC, Barcelona; V.I. Shvedunov, MSU, Moscow","Design of 12 MEV RTM for Multiple Applications",
WEPCH177,"V.L. Uvarov, N.P. Dikiy, A. Dovbnya, V.I. Nikiforov, NSC/KIPT, Kharkov","Conception of Medical Isotope Production at Electron Accelerator",
WEPCH178,"R. Kuroda, M.K. Koike, AIST, Tsukuba, Ibaraki; N. Nakajyo, SHI, Tokyo; H. Ogawa, AIST, Tsukuba, Ibaraki; F. Sakai, SHI, Tokyo; N. Sei, H. Toyokawa, K. Y. Yamada, AIST, Tsukuba, Ibaraki; T. Yanagida, SHI, Tokyo; M.Y. Yasumoto, AIST, Tsukuba, Ibaraki","Simulation Study of Compact Hard X-ray Source via Laser Compton Scattering",
WEPCH179,"D. Friesel, V. Anferov, J.C. Collins, J.E. Katuin, S. Klein, D. Nichiporov, M. Wedeikind, IUCF, Bloomington, Indiana","The Indiana University Proton Therapy System",
WEPCH180,"D. Trbojevic, R.C. Gupta, BNL, Upton, Long Island, New York; E. Keil, CERN, Geneva; B. Parker, BNL, Upton, Long Island, New York; A. Sessler, LBNL, Berkeley, California","A Dramatically Reduced Size in the Gantry design for the Proton-Carbon Therapy",
WEPCH181,"F. Belloni, D. Doria, A. Lorusso, V. Nassisi, INFN-Lecce, Lecce","Ion Implantation Via Laser Ion Source",
WEPCH182,"T. Yamamoto, UTNL, Ibaraki; M. Akemoto, KEK, Ibaraki; K. Dobashi, The University of Tokyo, Nuclear Professional School, Ibaraki-ken; S. Fukuda, T. Higo, KEK, Ibaraki; T. Natsui, UTNL, Ibaraki; E. Tanabe, AET Japan, Inc., Kawasaki-City; M. Uesaka, UTNL, Ibaraki; M. Yoshida, KEK, Ibaraki","Design of 9.4 GHz 950 keV X-band Linac for Nondestructive Testing",
WEPCH183,"B.S. Kim, Hankuk Aviation University, KyungKi-Do; K. R. Kim, J.S. Lee, KAERI, Daejon; S.-Y. Lee, Hankuk Aviation University, KyungKi-Do","Enhancement of Mechanical Properties of High Chromium Steel by Nitrogen Ion Implantation",
WEPCH184,"Y. Noh, B.Y. Kim, K. R. Kim, J.S. Lee, KAERI, Daejon","Mechanical Properties of WC-Co by Nitrogen Ion Implantation: Improvement of Industrial Tools",
WEPCH186,"M. Tanigaki, KURRI, Osaka; S. Fukumoto, Mitsubishi Electric Corp, Energy amp; Public Infrastructure Systems Center, Kobe; M. Inoue, KURRI, Osaka; Y. Ishi, Mitsubishi Electric Corp, Energy amp; Public Infrastructure Systems Center, Kobe; S. Machida, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon; K. Mishima, KURRI, Osaka; Y. Mori, KEK, Ibaraki; S. Shiroya, KURRI, Osaka","Present Status of FFAG Accelerators in KURRI for ADS Study",
WEPCH187,"L. Auditore, L. Auditore, R.C. Barnà, D. De Pasquale, INFN amp; Messina University, S. Agata, Messina; U. Emanuele, A. Italiano, INFN - Gruppo Messina, S. Agata, Messina; D. Loria, A. Trifirò, M. Trimarchi, INFN amp; Messina University, S. Agata, Messina","A Compact 5 MeV, S-band, Electron Linac Based X-ray Tomography System",
WEPCH188,"M. Washio, Y. Hama, RISE, Tokyo; H. Hayano, KEK, Ibaraki; Y. Kamiya, RISE, Tokyo; S. Kashiwagi, ISIR, Osaka; M. Kawaguchi, RISE, Tokyo; R. Kuroda, AIST, Tsukuba, Ibaraki; R. Moriyama, H. Nagai, K. Sakaue, RISE, Tokyo; J. Urakawa, KEK, Ibaraki; K.U. Ushida, RIKEN, Saitama","Compact Picosecond Pulse Radiolysis System Using Photo-cathode RF Gun",
WEPCH189,"K. R. Kim, Jae-Keun Kil. Kil, C.-Y. Lee, J.S. Lee, B.-S. Park, KAERI, Daejon","Design of the 20 MeV User Facilities of Proton Engineering Frontier Project",
WEPCH190,"Y.K. Lim, K. R. Kim, KAERI, Daejon","A Ridge Filter for 36 MeV Proton Beam Applied to BT and ST",
WEPCH191,"J.S. Lee, Jae-Keun Kil. Kil, C.-Y. Lee, KAERI, Daejon","The Design and Manufacture of a 300 keV Heavy Ion Implanter for Surface Modification of Materials",
WEPCH192,"D.A. Zavadtsev, A.I. Fadin, A.A. Krasnov, N.P. Sobenin, MEPhI, Moscow; A.A. Zavadtsev, Introscan, Moscow","Compact Electron Linear Accelerator RELUS-5 for Radiation Technology Application",
WEPCH194,"V.M. Pirozhenko, V.M. Belugin, V.V. Elyan, MRTI RAS, Moscow; Yu.Ya. Kokorovets, Communar, Kharkov; A.N. Korolev, ISTOK, Moscow Region; A.V. Mischenko, N.E. Rozanov, MRTI RAS, Moscow; V.D. Ryzhikov, N.A. Shumeiko, Communar, Kharkov; K.G. Simonov, ISTOK, Moscow Region; B.S. Sychev, V.V. Vetrov, MRTI RAS, Moscow; S.Ya. Yatsenko, Communar, Kharkov","Complex for X-ray Inspection of Large Containers",
WEPCH195,"M. Petrichenkov, N. Alinovsky, A.D. Goncharov, V. Klyuev, A. Kozhemyakin, A. Kryuchkov, V.V. Parkhomchuk, S. Rastigeev, V.B. Reva, BINP SB RAS, Novosibirsk","Status of the Russian Accelerator Mass Spectrometer Project",
WEPLS001,"S.J. Brooks, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon","Secondary Particle Production and Capture for Muon Accelerator Applications",
WEPLS002,"K. Tilley, D.J. Adams, P. Drumm, CCLRC/RAL/ISIS, Chilton, Didcot, Oxon; T.J. Roberts, Muons, Inc, Batavia; K.a. Walaron, University of Glasgow, Glasgow","Design and Expected Performance of the Muon Beamline for the Muon Ionisation Cooling Experiment",
WEPLS003,"C.T. Rogers, Imperial College of Science and Technology, Department of Physics, London; R. Sandstrom, DPNC, Genève","Simulation of MICE Using G4MICE",
WEPLS005,"C.N. Booth, L.C. Howlett, Sheffield University, Sheffield; N. Schofield, University of Manchester, School of Electrical and Electronic Engineering, Manchester; P.J. Smith, Sheffield University, Sheffield","The Target Drive for the MICE Experiment",
WEPLS006,"A.P. Blondel, DPNC, Genève","Requirements for Accelerator-based Neutrino Facilities",
WEPLS007,"R.P. Johnson, M. Alsharo'a, M.A.C. Cummings, Muons, Inc, Batavia; D.M. Kaplan, Illinois Institute of Technology, Chicago, Illinois; V.S. Kashikhin, Fermilab, Batavia, Illinois; M. Kuchnir, K. Paul, T.J. Roberts, Muons, Inc, Batavia; V. Yarba, K. Yonehara, Fermilab, Batavia, Illinois","A Six-dimensional Muon Beam Cooling Experiment",
WEPLS009,"R.P. Johnson, K. Paul, Muons, Inc, Batavia; V. Yarba, Fermilab, Batavia, Illinois","Summary of the Low Emittance Muon Collider Workshop (February 6-10, 2006)",
WEPLS010,"G. Rees, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon; C. Johnstone, Fermilab, Batavia, Illinois; F. Meot, CEA, Gif-sur-Yvette","20 - 50 GeV Muon Storage Rings for a Neutrino Factory",
WEPLS011,"C. Johnstone, Fermilab, Batavia, Illinois; F. Meot, CEA, Gif-sur-Yvette; G. Rees, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon","General Design Considerations for a High-intensity Muon Storage Ring for a Neutrino Factory",
WEPLS012,"D.V. Neuffer, Fermilab, Batavia, Illinois; K. Paul, Muons, Inc, Batavia","Use of Gas-filled Cavities in Muon Capture for a Muon Collider or Neutrino Factory",
WEPLS016,"R.P. Johnson, Muons, Inc, Batavia; Y.S. Derbenev, Jefferson Lab, Newport News, Virginia; K. Paul, T.J. Roberts, Muons, Inc, Batavia; K. Yonehara, Fermilab, Batavia, Illinois","Studies of a Gas-filled Helical Muon Beam Cooling Channel",
WEPLS017,"M.S. Zisman, LBNL, Berkeley, California","International Scoping Study of a Future Accelerator Neutrino Complex",
WEPLS018,"R.P. Johnson, Muons, Inc, Batavia; S.A. Bogacz, Y.S. Derbenev, Jefferson Lab, Newport News, Virginia","Optics for Phase Ionization Cooling of Muon Beams",
WEPLS019,"R.P. Johnson, Muons, Inc, Batavia; Y.S. Derbenev, Jefferson Lab, Newport News, Virginia","Parameters for Absorber-based Reverse Emittance Exchange of Muon Beams",
WEPLS020,"F. Marcellini, D. Alesini, INFN/LNF, Frascati (Roma)","The RF Deflector for the CTF3 Delay Loop",
