FRXAPA01,"M.S. Zisman, LBNL, Berkeley, California","Neutrino Factories and Beta Beams",
MOPCH059,"T. van Oudheusden, O.J. Luiten, W.P.E.M. Op 't Root, M.J. Van der Wiel, S.B. van der Geer, TUE, Eindhoven","From Pancake to Waterbag: Creation of High-brightness Electron Bunches",
MOPCH062,"C.-X. Wang, W. Guo, ANL, Argonne, Illinois","Centroid, Size, and Emittance of a Slice in a Kicked Bunch",
MOPCH064,"F. Bødker, Danfysik A/S, Jyllinge; N. Marks, N. Thompson, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire","The Specification, Design and Measurement of Magnets for the Energy Recovery Linac Prototype (ERLP) at Daresbury Laboratory",
MOPCH065,"P. vom Stein, ACCEL, Bergisch Gladbach; R. Bate, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; S. Bauer, ACCEL, Bergisch Gladbach; C.D. Beard, D.M. Dykes, P.A. McIntosh, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; M. Pekeler, ACCEL, Bergisch Gladbach; B. Todd, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; H. Vogel, ACCEL, Bergisch Gladbach","Fabrication and Installation of Superconducting Accelerator Modules for the ERL Prototype (ERLP) at Daresbury",
MOPCH066,"J.A. Clarke, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire","The Conceptual Design of 4GLS at Daresbury Laboratory",
MOPCH069,"B.D. Muratori, M.A. Bowler, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; S.V. Miginsky, BINP SB RAS, Novosibirsk; H.L. Owen, S.L. Smith, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire","Lattice Design for the Fourth Generation Light Source at Daresbury Laboratory",
MOPCH070,"D.J. Holder, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; N. Bliss, CCLRC/DL, Daresbury, Warrington, Cheshire; J.A. Clarke, P.A. McIntosh, M.W. Poole, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; E.A. Seddon, CCLRC/DL/SRD, Daresbury, Warrington, Cheshire; S.L. Smith, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire","The Status of the Daresbury Energy Recovery Prototype Project",
MOPCH071,"M. Shimada, A. Enomoto, T. Suwada, K. Yokoya, KEK, Ibaraki","Optimization of Optics at 200 MeV KEK-ERL Test Facility for Suppression of Emittance Growth Induced by CSR",
MOPCH072,"M.V. Lalayan, M.A. Gusarova, V.I. Kaminsky, A.A. Krasnov, V.A. Makarov, N.P. Sobenin, MEPhI, Moscow; A.A. Zavadtsev, D.A. Zavadtsev, Introscan, Moscow","Adjustable Input Coupler Development for Superconducting Accelerating Cavity",
MOPCH073,"A.V. Bondarenko, BINP SB RAS, Novosibirsk; Y.H. Han, Y.U. Jeong, B.C. Lee, KAERI, Daejon; S.V. Miginsky, BINP SB RAS, Novosibirsk; S. H. Park, KAERI, Daejon","A Project of a High-power FEL Driven by an SC ERL at KAERI",
