mod1a01,"G. Rehm, M. G. Abbott, J. Rowland, I. Uzun, Diamond, Oxfordshire","Digital EBPMs at Diamond: Operational Experience and Integration into a Fast Global Orbit Feedback",24 26,
weo3a01,"D. M. Treyer, PSI, Villigen","Low-Latency High-Resolution Single-Shot Beam Position Monitors",376 380,
weo3a02,"M. Schwickert, A. Peters, GSI, Darmstadt","Diagnostic Instrumentation for Medical Accelerator Facilities",381 385,
wepb01,"M. Justus, FZD, Dresden; P. Evtushenko, Jefferson Lab, Newport News, Virginia; U. Lehnert, P. Michel, FZD, Dresden","Design of an Electron Beam Energy Control Loop Using Transverse Dispersion",229 231,
wepb02,"B. Keil, G. J. Behrmann, M. Dehler, R. Kramert, PSI, Villigen; J. Lund-Nielsen, DESY, Hamburg; G. Marinkovic, PSI, Villigen; D. Noelle, DESY, Hamburg; P. Pollet, M. Roggli, M. Rohrer, T. Schilcher, V. Schlott, PSI, Villigen; M. Siemens, DESY, Hamburg; D. M. Treyer, PSI, Villigen; S. Vilcins, DESY, Hamburg","Design of an Intra-Bunch-Train Feedback System for the European X-Ray FEL",232 234,
wepb03,"A. Winter, DESY, Hamburg; F. O. Ilday, Bilkent University, Bilkent, Ankara; B. Steffen, DESY, Hamburg","Femtosecond Yb-Doped Fiber Laser System at 1 um of Wavelength with 100-nm Bandwidth and Variable Pulse Structure for Accelerator Diagnostics",235 237,
wepb04,"A. N. Zhuravlev, S. I. Gluhov, V. F. Gurko, A. D. Khilchenko, V. A. Kiselev, A. N. Kvashnin, E. B. Levichev, O. I. Meshkov, P. A. Piminov, V. V. Smaluk, P. V. Zubarev, BINP SB RAS, Novosibirsk","The VEPP-4M Dynamic Aperture Determination Through the Precise Measurement of the Beam Lifetime",238 240,
wepb05,"M. Labat, L. Cassinari, M.-E. Couprie, R. Nagaoka, D. Pedeau, SOLEIL, Gif-sur-Yvette","Streak Camera Measurements of the SOLEIL Bunch Length",241 243,
wepb06,"O. I. Meshkov, V. A. Kiselev, N. Yu. Muchnoi, S. V. Sinyatkin, V. V. Smaluk, V. N. Zhilich, A. N. Zhuravlev, BINP SB RAS, Novosibirsk","Direct Comparison of the Methods of Beam Energy Spread Determination in the VEPP-4M Collider",244 246,
wepb07,"V. A. Verzilov, R. E. Laxdal, M. Marchetto, W. R. Rawnsley, TRIUMF, Vancouver","Time Domain Diagnostics for the ISAC-II Superconducting Heavy Ion Linac",247 249,
wepb08,"B. Lorbeer, TUHH, Hamburg; F. Loehl, DESY, Hamburg; B. Lorbeer, TUHH, Hamburg; F. Ludwig, J. M. Mueller, H. Schlarb, A. Winter, DESY, Hamburg","Noise and drift characterization of critical components for the laser based synchronization system at FLASH",250 252,
wepb09,"D. B. Belohrad, S. Longo, OP. Odier, S. Thoulet, CERN, Geneva","Mechanical Design of the Intensity Measurement Devices for the LHC",253 255,
wepb12,"T. Obina, T. Mitsuhashi, KEK, Ibaraki","Measurement of Bunch Lengthening Effects Using a Streak Camera with Reflective Optics",256 258,
wepb13,"L. G. Sukhikh, TPU, Tomsk; A. S. Aryshev, KEK, Ibaraki; S. T. Boogert, V. Karataev, JAI, Egham, Surrey; G. A. Naumenko, A. Potylitsyn, TPU, Tomsk; J. Urakawa, KEK, Ibaraki","Focusing of Optical Transition and Diffraction Radiation by a Spherical Target",259 261,
wepb15,"F. Loehl, K. E. Hacker, H. Schlarb, DESY, Hamburg","A Sub-50 Femtosecond bunch arrival time monitor system for FLASH",262 264,
wepb16,"F. Loehl, DESY, Hamburg; J. Chen, F. X. Kaertner, J. Kim, MIT, Cambridge, Massachusetts; H. Schlarb, DESY, Hamburg","First prototype of an optical cross-correlation based fiber-link stabilization for the FLASH synchronization system",265 267,
wepb18,"A. Warner, K. Carlson, G. M. Kazakevich, L. R. Prost, M. Sutherland, Fermilab, Batavia, Illinois","Electron Beam Temperature Measurements at the Fermilab Medium Energy Electron Cooler",268 270,
wepb19,"P.-A. Duperrex, G. G. Gamma, B. Keil, M. U. Müller, PSI, Villigen","Digital Analysis of Beam Diagnostic Noise",271 273,
wepb20,"J. W. Baehr, H. L. Luedecke, DESY Zeuthen, Zeuthen; J. Roensch, Uni HH, Hamburg","Optical System for Measuring Electron Bunch Length and Longitudinal Phase Space at Pitz: Extension and Methodical Investigations",274 276,
wepb21,"P. Hartmann, J. Fuersch, DELTA, Dortmund; R. Wagner, Bergische Universität Wuppertal, Wuppertal; T. Weis, K. Wille, DELTA, Dortmund","Kicker Based Tune Measurement for DELTA",277 279,
