fro03,"A. Facco, INFN/LNL, Legnaro, Padova","High Intensity Proton Sources",755 762,
tup08,"A. Facco, V. Zviagintsev, INFN/LNL, Legnaro, Padova; C. Compton, T.L. Grimm, W. Hartung, F. Marti, R.C. York, NSCL, East Lansing, Michigan","Mechanical Design of a 161 MHz, =0.16 Superconducting Quarter Wave Resonator with Steering Correction for RIA",297 299,
tup09,"A. Facco, V. Zviagintsev, INFN/LNL, Legnaro, Padova","A 352 MHz, =0.31 Superconducting Half Wave Resonator for High Intensity Beams",300 301,
tup10,"M. Foley, L. Bellantoni, H. Edwards, Fermilab, Batavia","Fabrication of Superconducting Cavities for the RF Separated Kaon Beam",302 304,
tup11,"J.D. Fuerst, W.F. Toter, K.W. Shepard, ANL, Argonne","Niobium to Stainless Steel Braze Transition Development",305 307,
tup12,"P.D. Gall, A. Gössel, V. Gubarev, DESY, Hamburg","A Database for Superconducting Cavities for the TESLA Test Facility",308 310,
tup13,"R.L. Geng, A. Crawford, G. Eremeev, H. Padamsee, Cornell University, Ithaca, New York","Continuous Current Oscillation Electropolishing and Applications to Half-Cells",311 312,
tup14,"W. Hartung, J. Bierwagen, S. Bricker, J. Colthorp, C. Compton, T.L. Grimm, S. Hitchcock, F. Marti, L. Saxton, R.C. York, NSCL, East Lansing, Michigan; A. Facco, V. Zviagintsev, INFN/LNL, Legnaro, Padova","Niobium Quarter-Wave Resonator Development for the Rare Isotope Accelerator",313 316,
tup16,"S. Noguchi, E. Kako, KEK, Ibaraki","Multi-Beam Accelerating Structures",317 319,
tup17,"P. Khare, P.K. Kush, M.G. Karmarkar, CAT, Indore","Approach Towards Establishing Cryogenic Test Facility for SCRF Cavities of 10 MeV Proton LINAC",320 321,
tup18,"N. Krupka, T. Ebeling, K. Escherich, A. Matheisen, H. Morales Zimmermann, B. Petersen, D. Reschke, N. Steinhau-Kühl, F. Zhu, DESY, Hamburg","Quality Control at the TTF-Cleanroom Infrastructure for Cavity-Processing",322 326,
tup19,"L. Lilje, D. Reschke, A. Matheisen, K. Twarowski, J. Hao, DESY, Hamburg; B. Henkel, HENKEL Electropolishing Technology Ltd, Neustadt-Glewe","Electropolishing of Niobium Mono-cell Cavities at Henkel Electropolishing Technology Ltd. (Germany)",327 329,
tup20,"N.R. Lobanov, D.C. Weisser, ANU, Canberra","Lead-Tin Plating Split Loop Resonators",330 333,
tup21,"N.R. Lobanov, D.C. Weisser, ANU, Canberra; E. Zaplatin, FZJ, Jülich","Multi-Stub Superconducting RF Resonators for the ANU Heavy Ion Accelerator",334 338,
tup22,"A.K. Mitra, R.E. Laxdal, R. Poirier, K. Fong, TRIUMF, Vancouver","HFSS Computation of Frequency Sensitivity of ISAC-II Medium Beta Superconducting Cavities",339 341,
tup23,"Y. Morita, K. Hara, K. Hosoyama, A. Kabe, Y. Kojima, H. Nakai, KEK, Ibaraki; Md. M. Rahman, K. Nakanishi, Graduate University for Advanced Studies, Ibaraki","Multipacting in the Crab Cavity",342 347,
tup24,"H. Padamsee, B. Barstow, I. Bazarov, S. Belomestnykh, M. Liepe, R.L. Geng, V. Shemelin, C. Sinclair, K. Smolenski, M. Tigner, V. Veshcherevich, Cornell University, Ithaca, New York","Overview of the Cornell ERL Injector Cryomodule",348 350,
tup25,"C. Bonavolonta, Naples University Federico II, Napoli; F. Laviano, Turin Politecnic, Turin; V. Palmieri, INFN/LNL, Legnaro, Padova; M. Valentino, INFM, Napoli, Napoli","Application of Flux Gate Magnetometry to Electropolishing",351 356,
tup26,"V. Palmieri, INFN/LNL, Legnaro, Padova","Advancements on Spinning of Seamless Multicell Reentrant Cavities",357 361,
tup27,"A. Chincarini, R. Ballantini, G. Gemme, R. Parodi, INFN Genova, Genova","Pipe Cooling of Superconducting Cavities",362 367,
tup28,"M. Pekeler, S. Bauer, M. Tradt, J. Schwellenbach, P. vom Stein, H. Vogel, ACCEL, Bergisch Gladbach","Superconducting Cavity Production and Preparation at ACCEL Instruments GmbH",368 371,
tup29,"H. Podlech, H. Deitinghoff, H. Klein, H. Liebermann, U. Ratzinger, A. Sauer, X. Yan, IAP, Frankfurt am Main","Status of the Development of a Superconducting 352 MHz CH-Prototype Cavity",372 374,
tup30,"A.M. Porcellato, A. Beltramin, L. Bertazzo, A. Capuzzo, T. Contran, M. De Lazzari, V. Palmieri, S. Stark, F. Stivanello, INFN/LNL, Legnaro, Padova","Completion of ALPI Medium Beta Section Upgrading",375 378,
tup31,"M. Drury, I.E. Campisi, E. Daly, G.K. Davis, J.R. Delayen, C. Grenoble, J. Hogan, L. King, T. Powers, J. Preble, M. Stirbet, H. Wang, M. Wiseman, JLAB, Newport News","SNS Medium Beta Cryomodule Performance",379 381,
