abc-01,"B.W. Allardyce, CERN, Geneva, Switzerland","The CERN Synchrocyclotron Today",55 58,
fp-04,"R. Burge, TRIUMF, Vancouver, Canada; R. Vader, KVI, Groningen, The Netherlands","A Beam Phase Measuring System for the TRIUMF Cyclotron",593 595,
fp-05,"Y. Sato, Y. Kumamoto, H. Ogawa, T. Yamada, NIRS, Chiba-shi, Japan","Internal Beam Phase Measurement in the NIRS-Chiba Isochronous Cyclotron",597 599,
fp-06,"J.C. Collins, Wm. Manwaring, Indiana University, Bloomington, Indiana, USA","Use of Microcomputers in the IUCF Control System",601 603,
fp-07,"J. Bialy, H. Heinzmann, W.-R. Kappel, B. Kögel, H. Schweickert, T.J. Thouw, FZK, Karlsruhe, West Germany","Computer Control for the New Compact Cyclotron-Installation of Karlsruhe",605 607,
fp-08,"P. Bardon, R. Baumgarten, L. Cardin, J. Clément, L. David, P. Duneau, P. Jeannel, E. Lecorché, C. Le Poec, S. Leveel, J.M. Loyant, F. Loyer, T.T. Luong, B. Piquet, C. Ponthieux, M. Promé, G. Rist, M. Ulrich, M. Vassent, GANIL, Caen, France","The GANIL Control System as Seen from the Control Room",609 611,
fp-09,"F. Aghion, G. Rivoltella, L. Troiano, University of Milan & INFN Milan, Milan, Italy","Outline of the Control System for the Milan Superconducting Cyclotron",613 615,
fp-10,"Yu.N. Denisov, V.N. Anosov, JINR, Dubna, USSR","Automatic Parameter Measuring Systems and Control Systems for Cyclotrons",617 620,
fp-11,"J. Hicks, Wm. Manwaring, Indiana University, Bloomington, Indiana, USA","The Radiation Area Interlock System at IUCF",621 623,
fp-12,"M. Gallis, G. Tousset, M. Van den Bossche, GANIL, Caen, France","The Radiological Safety System in GANIL",625 627,
fp-13,"S. Fujita, T. Shikata, S. Yamaji, RIKEN, Saitama, Japan","Status of Neutron Shielding for the IPCR SSC",629 631,
gc-01,"A.M. Koehler, Harvard University, Cambridge, Massachusetts, USA","Cost Effective Proton Beam Therapy with a Cyclotron",667 672,
gc-02,"M.A. Chaudhri, Austin Hospital  University of Melbourne, Melbourne, Australia","Cyclotron Production of Fast Neutrons for Therapy",673 677,
gc-03,"M.A. Chaudhri, Austin Hospital  University of Melbourne, Melbourne, Australia; J.C. Clark, C.J. Parnell, Hammersmith Hospital, London, England","A Heavy Water Target for Fast Neutron Production by Cyclotrons",679 681,
gi-01,"M. Lefort, GANIL, Caen, France","New Aspects of Nuclear Physics with Heavy Ion Beams Delivered by Cyclotrons",635 644,
gi-02,"D. Comar, CEA, Orsay, France","Production of Cyclotron Radioisotopes and Radiopharmaceuticals for Medical Use",645 652,
gi-03,"D.K. Bewley, Hammersmith Hospital, London, England","Medical Uses of Cyclotrons: Treatment and Diagnosis",653 660,
gi-04,"G. Schatz, FZK, Karlsruhe, West Germany","Industrial and Environmental Applications of Cyclotrons",661 665,
gp-01,"M.A. Chaudhri, Austin Hospital  University of Melbourne, Melbourne, Australia","The Yields of Cyclotron Produced Medical Isotopes",683 692,
gp-02,"C. Birattari, M. Bonardi, F. Resmini, A. Salomone, University of Milan & INFN Milan, Milan, Italy","Status Report on Radioisotope Production for Biomedical Purposes at Milan AVF Cyclotron",693 695,
gp-03,"G. Goin, J. Vernois, CNRS, Orléans, France; C. Cimetière, J. Léger, CEA-Saclay, Gif-sur-Yvette, France","Iodine-123 Production by Irradiation at the CNRS Cyclotron in Orleans",697 698,
