mobla01,"P.C. Chiu, J. Chen, Y.-S. Cheng, K.T. Hsu, K.H. Hu, C. H. Huang, C.H. Kuo, D. Lee, C.Y. Liao, C.Y. Wu [NSRRC, Hsinchu, Taiwan] ","The Role of Beam Diagnostics in the Rapid Commissioning of the TPS Booster and Storage Ring",99 98,
tupb025,"E. Mulyani [Sokendai, Ibaraki, Japan] J.W. Flanagan [KEK, Ibaraki, Japan] ","Design of Coded Aperture Optical Elements for SuperKEKB X-ray Beam Size Monitors",377 380,
tupb026,"N. Hayashi [JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken, Japan] ","Machine Stability Analysis by Pulse Based Data Archiver of the J-PARC RCS",381 385,
tupb027,"A. Miura, N. Hayashi [JAEA/J-PARC, Tokai-mura, Japan] S. Fukuoka [University of Tsukuba, Graduate School of Pure and Applied Sciences,, Tsukuba, Ibaraki, Japan] Y. Liu [KEK/JAEA, Ibaraki-Ken, Japan] T. Maruta [J-PARC, KEK  JAEA, Ibaraki-ken, Japan] T. Miyao [KEK, Ibaraki, Japan] ","Bunch Length Analysis of Negative Hydrogen Ion Beam in J-PARC Linac",386 389,
tupb028,"H.Z. Ma, J.S. Cao, Y.F. Sui, Q. Ye [IHEP, Beijing, People's Republic of China] ","Status of BPMs In the First Stage of Commissioning at CADS Injector I",390 392,
tupb030,"H. Jiang [TUB, Beijing, People's Republic of China] P. Li, T.G. Xu [IHEP, Beijing, People's Republic of China] ","Measurements of Beam Halo by Wire Scanner Monitor",393 395,
tupb035,"Z.C. Chen, Y.B. Leng [SSRF, Shanghai, People's Republic of China] ","Bunch-by-Bunch Study of the Transient State of Injection at the SSRF",396 398,
tupb036,"L.W. Lai, Z.C. Chen, Y.B. Leng, Y.B. Yan, L.Y. Yu, R.X. Yuan, W.M. Zhou [SSRF, Shanghai, People's Republic of China] ","Progress of Cavity Beam Position Monitor at SXFEL",399 401,
tupb037,"Y.B. Leng, H.J. Chen, J. Chen, Z.C. Chen, Y.B. Yan [SSRF, Shanghai, People's Republic of China] ","Interferometer Data Analyzing Using the PCA Method at SSRF",402 404,
tupb041,"J.G. Hwang, S.Y. Noh [KIRAMS/KHIMA, Seoul, Republic of Korea] P. Forck [GSI, Darmstadt, Germany] C. Kim [PAL, Pohang, Kyungbuk, Republic of Korea] T.K. Yang [KIRAMS, Seoul, Republic of Korea] ","Development of Capacitive Linear-Cut Beam Position Monitor for Heavy-Ion Synchrotron of KHIMA Project",405 409,
tupb043,"S.Y. Noh, S.D. Chang, J.G. Hwang [KIRAMS/KHIMA, Seoul, Republic of Korea] G. Hahn, T.K. Yang [KIRAMS, Seoul, Republic of Korea] ","Development of a Scintillation Screen Monitor for Transverse Ion Beam Profile Measurment at the Khima Project",410 413,
tupb046,"A. Olmos, U. Iriso, J. Moldes, F. Perez (F. Pérez) [ALBA-CELLS Synchrotron, Cerdanyola del Vallès, Spain] M.G. Abbott, G. Rehm, I.S. Uzun [DLS, Oxfordshire, United Kingdom] ","Integration of the Diamond Transverse Multibunch Feedback System at ALBA",414 417,
