moa1pl01,"H. Bartosik [CERN, Geneva, Switzerland] ","Challenges in Understanding Space Charge Dynamics",99 98,
tua2wd02,"S. Igarashi [KEK, Ibaraki, Japan] ","High-Power Beam Operation at J-PARC",147 152,
tua2wd03,"T. Kanesue, E.N. Beebe, S. Binello, B.D. Coe, M.R. Costanzo, L. DeSanto, S. Ikeda, J.P. Jamilkowski, N.A. Kling, D. Lehn, C.J. Liaw, V. Lo Destro, D.R. McCafferty, J. Morris, M. Okamura, R.H. Olsen, D. Raparia, R. Schoepfer, F. Severino, L. Smart, K. Zeno [BNL, Upton, Long Island, New York, USA] ","Automated Operation of EBIS Injector at BNL",153 157,
tup1wa02,"A. Adelmann [PSI, Villigen PSI, Switzerland] C.T. Rogers [STFC/RAL/ISIS, Chilton, Didcot, Oxon, United Kingdom] S.L. Sheehy [STFC/RAL/ASTeC, Chilton, Didcot, Oxon, United Kingdom] ","Fixed Field Accelerators and Space Charge Modeling",158 162,
tup1wa03,"H. Timko, T. Argyropoulos, I. Karpov, E.N. Shaposhnikova [CERN, Geneva, Switzerland] ","Beam Instabilities After Injection to the LHC",163 167,
tup1we02,"D. Mirarchi, H. Garcia Morales, A. Mereghetti, S. Redaelli, J.F. Wagner [CERN, Geneva, Switzerland] W. Fischer, X. Gu [BNL, Upton, Long Island, New York, USA] H. Garcia Morales [Royal Holloway, University of London, Surrey, United Kingdom] D. Mirarchi [The University of Manchester, The Photon Science Institute, Manchester, United Kingdom] G. Stancari [Fermilab, Batavia, Illinois, USA] J.F. Wagner [IAP, Frankfurt am Main, Germany] ","Hollow Electron-Lens Assisted Collimation and Plans for the LHC",92 98,
tup1we03,"S.I. Meigo [JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken, Japan] ","Beam Instruments for High Power Spallation Neutron Source and Facility for ADS",99 103,
tup2wa01,"J.D. Jarvis, V.A. Lebedev, H. Piekarz, P. Piot, A.L. Romanov, J. Ruan [Fermilab, Batavia, Illinois, USA] M.B. Andorf, P. Piot [Northern Illinois University, DeKalb, Illinois, USA] ","Optical Stochastic Cooling Experiment at the Fermilab IOTA Ring",168 173,
tup2wa02,"D. Quartullo, T. Argyropoulos, A. Lasheen [CERN, Geneva, Switzerland] ","Momentum Slip-Stacking Simulations for CERN SPS Ion Beams with Collective Effects",174 179,
tup2wa03,"M. Schwarz, H. Bartosik, E. Chapochnikova, A. Lasheen, J. Repond, H. Timko [CERN, Geneva, Switzerland] ","Studies of Capture and Flat-Bottom Losses in the SPS",180 185,
tup2wa04,"P. Li, Z. Dong, M. Li, J.C. Yang [IMP/CAS, Lanzhou, People's Republic of China] L.H.J. Bozyk [GSI, Darmstadt, Germany] ","Dynamic Vacuum Simulation for the BRing",186 188,
tup2wa05,"A. Farricker, M.S. Beck, J. Repond, C. Vollinger [CERN, Geneva, Switzerland] ","Effect of the Extraction Kickers on the Beam Stability in the CERN SPS",189 194,
tup2we01,"W. Blokland, C.F. Luck, A. Rakhman [ORNL, Oak Ridge, Tennessee, USA] N.J. Evans [ORNL RAD, Oak Ridge, Tennessee, USA] ","Injection Foil Temperature Measurements at the SNS Accelerator",104 109,
tup2we02,"Y. Lee, R. Miyamoto, T.J. Shea [ESS, Lund, Sweden] H.D. Thomsen [ISA, Aarhus, Denmark] ","The Beam Conditions on the Target and its Operational Impacts on Beam Intercepting Devices at European Spallation Source",110 115,
tup2we03,"Y. Iwamoto, D. Satoh [JAEA, Ibaraki-ken, Japan] Y. Ishi, Y. Kuriyama, T. Uesugi, H. Yashima, T. Yoshiie [Kyoto University, Research Reactor Institute, Osaka, Japan] H. Matsuda, S.I. Meigo [JAEA/J-PARC, Tokai-mura, Japan] T. Nakamoto [KEK, Ibaraki, Japan] K. Niita [Research Organization for Information Science  Technology, Ibaraki, Japan] R.M. Ronningen [FRIB, East Lansing, Michigan, USA] T. Shima [RCNP, Osaka, Japan] ","Radiation Damage Calculation in PHITS and Benchmarking Experiment for Cryogenic-Sample High-Energy Proton Irradiation",116 121,
tup2we04,"L. Teofili, D. Carbajo Perez, I. Lamas Garcia, M. Migliorati, A. Perillo [CERN, Geneva, Switzerland] M. Migliorati [INFN-Roma1, Rome, Italy] M. Migliorati [Sapienza University of Rome, Rome, Italy] ","Design of the Target Dump Injection Segmented (TDIS) in the Framework of the High Luminosity Large Hadron Collider (HL-LHC) Project",122 126,
wea1pl01,"A.P. Shishlo [ORNL, Oak Ridge, Tennessee, USA] ","What is Missing for the Design and Operation of High-Power Linacs?",195 199,
wea1wa01,"G. Franchetti [GSI, Darmstadt, Germany] ","Sum Resonances with Space Charge",226 230,
