thoc4,"H. Aoyagi, JASRI/SPring-8, Hyogo-ken; Y. Asano, RIKEN/SPring-8, Hyogo; T. Bizen, JASRI/SPring-8, Hyogo-ken; T. Itoga, H. Kitamura, RIKEN/SPring-8, Hyogo; N. Nariyama, JASRI/SPring-8, Hyogo-ken; T. Tanaka, RIKEN/SPring-8, Hyogo","Improvement in High-Frequency Properties of Beam Halo Monitor Using Dimond Detectors for SPring-8 XFEL",700 703,
thoci1,"H. Sinn, S. Dastjani-Farahan, I. Freijo-Martin, G. Galasso, J. Gaudin, L. Samoylova, A. Trapp, F. Yang, European XFEL GmbH, Hamburg","Design of Photon Beamlines at the European XFEL",683 689,
thoci2,"H.-D. Nuhn, F.-J. Decker, Y.T. Ding, P. Emma, J.C. Frisch, Z. Huang, R.H. Iverson, Yu.I. Levashov, H. Loos, M. Messerschmidt, D.F. Ratner, J.L. Turner, J.J. Welch, Z.R. Wolf, J. Wu, SLAC, Menlo Park, California","Characterization of Second Harmonic Afterburner Radiation at the LCLS*",690 695,
thpa01,"Y. Otake, N. Hosoda, H. Maesaka, RIKEN/SPring-8, Hyogo; S. Matsubara, JASRI/SPring-8, Hyogo-ken; T. Ohshima, RIKEN/SPring-8, Hyogo","Development of a 770 Nm Pump-Probe Laser Directly Triggered by a 1540 nm Optical Master Oscillator at XFEL/SPring-8",566 569,
thpa02,"G. Geloni, European XFEL GmbH, Hamburg; V. Kocharyan, E. Saldin, DESY, Hamburg","Control of the Amplification Process in Baseline XFEL Undulators With Mechanical SASE Switchers",570 573,
thpa03,"G. Geloni, European XFEL GmbH, Hamburg; V. Kocharyan, E. Saldin, DESY, Hamburg","Scheme for Femtosecond-Resolution Pump-Probe Experiments at XFELs With Two-Color Ten GW-Level X-Ray Pulses",574 577,
thpa04,"P. Gessler, M.K. Bock, M. Felber, K.E. Hacker, W. Koprek, F. Ludwig, H. Schlarb, B. Schmidt, S. Schulz, DESY, Hamburg","Longitudinal Bunch Arrival-Time Feedback at FLASH",578 580,
thpa05,"S. Schulz, Uni HH, Hamburg; M.K. Bock, M. Felber, P. Gessler, K.E. Hacker, T. Lamb, F. Ludwig, H. Schlarb, B. Schmidt, DESY, Hamburg; L.-G. Wißmann, Uni HH, Hamburg","Performance of the FLASH Optical Synchronization System Utilizing a Commercial SESAM-Based Erbium Laser",581 584,
thpa06,"P. Gessler, M.K. Bock, M. Felber, K.E. Hacker, F. Ludwig, H. Schlarb, B. Schmidt, S. Schulz, DESY, Hamburg; J. Szewinski, Warsaw University of Technology, Institute of Electronic Systems, Warsaw","Real-Time Sampling and Processing Hardware for Bunch Arrival-Time Monitors at FLASH and XFEL",585 587,
thpa08,"M. Aiba, H.-H. Braun, M. Böge, C. Calvi, T. Garvey, B. Keil, S. Reiche, V. Schlott, T. Schmidt, PSI, Villigen","Study of Beam Based Alignment and Orbit Feedback for SwissFEL",588 591,
