THPMA061,"C. Diao, H.O. Moser, SSLS, Singapore","Numerical study of field errors due to mechanical tolerances in superconducting miniundulators",711 713,
THPMA062,"Q.G. Zhou, M. Zhang, SINAP, Shanghai","An APPLE-II Type Helical Undulator for SSRF",714 716,
THPMA063,"S.H. Kim, Y.J. Han, J.Y. Huang, S.-C. Kim, S.H. Nam, S.S. Park, PAL, Pohang, Kyungbuk","Energy Stabilization of 2.5 GeV Linac using DeQing",717 719,
THPMA064,"K.V. Nagesh, S. Acharya, R. Agarwal, D.P. Chakravarthy, S. Mitra, K.C. Mittal, D.D. Praveen Kumar, R.N. Rajan, S.R. Raul, P.C. Saroj, A.S. Sharma, D.K. Sharma, BARC, Mumbai","Development of a 200keV Linear Induction Accelerator",720 722,
THPMA065,"K.V. Nagesh, K.V. Nagesh, BARC, Mumbai","Theoretical Analysis of the Recovery Times in Low Pressure Sparkgaps - Positive Ion Diffusion Method",723 725,
THPMA066,"K.V. Nagesh, K.V. Nagesh, BARC, Mumbai","Theoretical Analysis of the Recovery Times In Low Pressure Sparkgaps- Anode Temperature Decay Method",726 728,
THPMA067,"J.-S. Oh, C.W. Chung, S. D. Jang, PAL, Pohang, Kyungbuk; I.S. Ko, POSTECH, Pohang, Kyungbuk; S.J. Kwon, PAL, Pohang, Kyungbuk; W. Namkung, POSTECH, Pohang, Kyungbuk; Y. G. Son, J.-H. Suh, PAL, Pohang, Kyungbuk","Stability Analysis of a Klystron-Modulator for PAL XFEL",729 731,
THPMA070,"A.S. Sharma, S. Acharya, BARC, Mumbai; U. Kumar, G.R. Nagabhushana, IISC, Bangalore; K.V. Nagesh, BARC, Mumbai","Characterisation of Amorphous Magnetic Material with Multiple Pulse Excitation",732 734,
THPMA071,"S. Mitra, D.P. Chakravarthy, K.V. Nagesh, D.D. Praveen Kumar, A.K. Ray, A.S. Sharma, BARC, Mumbai","Study of Insulation Coordination in the Presence of Multiple Dielectric Materials",735 737,
THPMA073,"A. Gokhale, Terna Collage of Engineering, Navi Mumbai; B.P. Dubey, Bhabha Atomic Research Center, Computer Division, Mumbai; A.S. Sharma, BARC, Mumbai","Artificial Neural Network Calculates Backward Wave Oscillator Parameters Reliably For Pulsed Accelerators",738 739,
THPMA074,"S.S. Park, J.Y. Huang, S.H. Kim, S.-C. Kim, PAL, Pohang, Kyungbuk","Operational Analysis of Klystron-Modulator System for PLS 2.5-GeV Electron Linac",740 742,
THPMA076,"Y. G. Son, C.W. Chung, D.E. Kim, S.J. Kwon, J.-S. Oh, PAL, Pohang, Kyungbuk","Development of the Klystron Modulator using a High-voltage Inverter Power Supply",743 745,
THPMA078,"C. Defrance, J.F. Bergoz, BERGOZ Instrumentation, Saint Genis Pouilly; L. Ducimetière, E. Vossenberg, CERN, Geneva","Wideband Current Transformers for the Surveillance of the Beam Extraction Kicker System of the Large Hadron Collider",746 748,
THPMA081,"L. Tsai, T.-C. Fan, S.Y. Perng, D.-J. Wang, NSRRC, Hsinchu","Precise Positioning of Magnetic Field Centers of Quadrupole Magnets on the Girder",749 751,
THPMA083,"M.J. Shirakata, K. Ishii, K. Niki, K.O. Okamura, T. Oogoe, E. Yanaoka, M. Yoshioka, KEK, Ibaraki","The Magnet Alignment Method For The J-PARC Main Ring",752 754,
THPMA084,"L. Yin, H.W. Du, D.K. Jiang, X. Wang, Z.B. Yan, C.H. Yu, Q.G. Zhou, SINAP, Shanghai","A Mechanical Installation Prototype for the SSRF Storage Ring",755 757,
THPMA085,"S. Dutta, S.C. Bapna, J. Dwivedi, RRCAT, Indore (M.P.); C. Garion, CERN, Geneva; S. Kotaiah, A. Kumar, RRCAT, Indore (M.P.); A. Poncet, CERN, Geneva; R.S. Sandha, RRCAT, Indore (M.P.); B. Skoczen, CERN, Geneva; H.C. Soni, RRCAT, Indore (M.P.)","Mechanical Coupling between the LHC Cryogenic Distribution Line and the Short Straight Section housing the Superconducting Quadrupole.Theoretical Analysis and Experimental Validation",758 760,
THPMA086,"V. Prasad, D. Barapatre, M. Jagannath, R.K. Sahu, K.P. Sharma, G. Singh, RRCAT, Indore (M.P.)","Precise Survey and Alignment of Synchrotron Radiation Source Indus-2",761 763,
