FRA35,"Nosochkov, Yuri; Raubenheimer, Tor O.; Thompson, K.; Woods, Mike","The Next Linear Collider Extraction Line Design",
FRA37,"Jones, Roger M.; Kroll, Norman M.  ; Miller, Roger H.; Higo, Toshiyasu; Li, Zenghai; Ruth, Ronald D.; Wang, J.W.","The Transverse Long-Range Wakefield in RDDS1 for the JLC/NLC X-Band Linacs",
FRA38,"Jones, Roger M.; Kroll, Norman M.; Miller, Roger H.","Including Internal Losses in the Equivalent Circuit Model of the SLAC Damped Detuned Structure DDS",
FRA39,"Jones, Roger M.; Bane, Karl L.F.; Kroll, Norman M.  ; Miller, Roger H.; Raubenheimer, Tor O.; Stupakov, Gennady V.","Emittance Dilution and Beam Break Up in the JLC/NLC",
FRA40,"Adolphsen, Christopher D.; Bane, Karl L.F.; Jones, Roger M.; Kroll, Norman M.  ; McCormick, Douglas J. ; Miller, Roger H.; Ross, Marc C.; Slaton, Timothy; Wang, Juwen; Higo, Toshiyasu","Wakefield and Beam Centering Measurements of a Damped and Detuned X-Band Accelerator Structure",
FRA41,"Li, Zenghai; Irwin, John; Ko, Kwok; Loewen, Roderick J.; Lundah, Eric W.; McCandless, Brian; Miller, Roger H.; Ruth, Ronald D.; Sun, Yong; Vaillancourt, Kurt W.; Wang, Juwen","RDDS Cell Design and Optimization for the Linear Collider Linacs",
FRA43,"Li, Zenghai; Raubenheimer, Tor O.; Miller, Roger H.","Beam Loading Compensation for the Low Frequency Linacs and Compressors in the NLC",
FRA44,"Li, Zenghai; Raubenheimer, Tor O.; Bane, Karl F.; Sheppard, John C.; Miller, Roger H.","Parameter Optimization for the Low Frequency Linacs in the NLC",
FRA46,"Thompson, Kathleen A.; Barklow, Timothy L.; Markiewicz, Thomas W.; Raubenheimer, Tor O.","Optimization of the Luminosity Spectrum in the NLC",
FRA49,"Nezhevenko, Oleg A.; Yakovlev, Vyacheslav P.","Traveling-Wave Accelerating Test Structure at 34.3 Ghz",
FRA5,"Elzhov, Artem V.; Kaminsky, Alexander A.; Kaminsky, Alim K.; Kazacha, Vladimir I.; Laziev, Eduard M.; Perelstein, Elkuno A.; Sedykh, Sergey N. ; Sergeev, Anatoly P.","Study of Modified TBA Driver Scheme",
FRA50,"Wang, X.J.; Ben-Zvi, Ilan; Sheehan, J.; Yakimenko, Vitaly","Brookhaven Accelerator Test Facility Energy Upgrade",
FRA51,"Delayen, Jean R.","Upgrade of the CEBAF Acceleration System",
FRA52,"Aleksandrov, Vladimir S.; Ivanov, Alexander P.; Kazarinov, Nikolai Yu.; Perelstein, Elkuno A.; Sazonov, Michael N.; Billing, Michael G.","Study of the Operation of the Cornell Linac for Positron Production at High Multibunch Currents",
FRA54,"Nam, S.H.; Han, Y.J.; Kim, K.R.; Kim, Y.C.","Status of PLS 2-GeV Electron Linac",
