fraau01,"K. Honkavaara, B. Faatz, S. Schreiber, DESY, Hamburg","Status of FLASH",533 536,
mopph064,"T.-Y. Lee, PAL, Pohang, Kyungbuk","RMS Mode Size of the XFEL Radiation",128 130,
mopph066,"M.-E. Couprie, C. Benabderrahmane, SOLEIL, Gif-sur-Yvette; C. Bruni, LAL, Orsay; O. V. Chubar, SOLEIL, Gif-sur-Yvette; E. Collet, University of Rennes, Rennes; J. Denard, P. Dumas, J.-M. Filhol, SOLEIL, Gif-sur-Yvette; D. Garzella, CEA, Gif-sur-Yvette; L. Giannessi, ENEA C. R. Frascati, Frascati (Roma); M. Idir, M. Labat, SOLEIL, Gif-sur-Yvette; G. Lambert, LOA, Palaiseau; P. Lebasque, A. Lestrade, M. Louvet, SOLEIL, Gif-sur-Yvette; J. Luning, CCPMR, Paris; P. Marchand, O. Marcouillé, P. Mercere, SOLEIL, Gif-sur-Yvette; M. Meyer, LIXAM, Orsay; P. Morin, L. S. Nadolski, L. Nahon, SOLEIL, Gif-sur-Yvette; P. Zeitoun, LOA, Palaiseau","The ARC-EN-CIEL Fourth Generation Light Source Proposal",131 134,
mopph068,"S. Huang, G. Swift, Y. K. Wu, FEL/Duke University, Durham, North Carolina","Controlling Wiggler Harmonic Radiation to Reduce Damage to FEL Cavity Mirrors",135 138,
mopph069,"S. F. Mikhailov, S. Huang, J. Li, V. Popov, Y. K. Wu, FEL/Duke University, Durham, North Carolina","A Pass-by-Pass Gain Measurement Technique for Oscillator FELs",139 142,
mopph072,"M. Labat, CEA, Gif-sur-Yvette; M.-E. Couprie, SOLEIL, Gif-sur-Yvette; M. Hosaka, Nagoya University, Nagoya; M. Katoh, M. Shimada, UVSOR, Okazaki","Operation of the UVSOR-II FEL in Helical Mode",143 146,
mopph073,"N. Sei, H. Ogawa, K. Yamada, M. Y. Yasumoto, AIST, Tsukuba, Ibaraki","Near-Infrared Free Electron Laser Experiment with the Storage Ring NIJI-IV",147 150,
mopph075,"L. Gupta, IPS ACADEMY, Indore; S. C. Bapna, RRCAT, Indore (M. P.); Y. Choyal, K. P. Maheshwari, Devi Ahilya University, Indore","Experimental Study of an Unneutralized Relativistic Electron Beam Transportation through the Waveguides",151 154,
mopph077,"J. Park, H.-S. Kang, C. Kim, PAL, Pohang, Kyungbuk","Electron-Linac Based fs-THz Program at Pohang Accelerator Laboratory",155 156,
mopph078,"D. Li, ILT, Suita, Osaka; M. R. Asakawa, Kansai University, Osaka; G. Huo, Oil Production Research Institute, Dongying; K. Imasaki, ILT, Suita, Osaka; W. Liu, UESTC, Chengdu, Sichuan; G. S. Park, SNU, Seoul","Terahertz Cherenkov Free--Electron Laser",157 159,
mopph080,"R. P. Walker, Diamond, Oxfordshire","Considerations for a New Light Source for the UK",160 162,
