frioa01,"R. Calaga, E. Jensen [CERN, Geneva, Switzerland] ","LHC Crab Cavity .Progress and Outlook",1161 1164,
mop025,"P. Murcek, A. Arnold, P.N. Lu, J. Teichert, H. Vennekate, R. Xiang [HZDR, Dresden, Germany] P. Kneisel [JLAB, Newport News, Virginia, USA] ","The SRF Photo Injector at ELBE – Design and Status 2013",148 150,
mop026,"H. Vennekate, A. Arnold, P.N. Lu, P. Murcek, J. Teichert, R. Xiang [HZDR, Dresden, Germany] P. Kneisel [JLAB, Newport News, Virginia, USA] I. Will [MBI, Berlin, Germany] ","Emittance Compensation for an SRF Photo Injector",151 154,
mop027,"W. Xu, Z. Altinbas, S.A. Belomestnykh, I. Ben-Zvi, J. Dai, S. Deonarine, D.M. Gassner, H. Hahn, J.P. Jamilkowski, P. Kankiya, D. Kayran, N. Laloudakis, L. Masi, G.T. McIntyre, D. Pate, D. Phillips, T. Seda, K.S. Smith, A.N. Steszyn, T.N. Tallerico, R. Than, R.J. Todd, D. Weiss, A. Zaltsman [BNL, Upton, Long Island, New York, USA] I. Ben-Zvi, J. Dai [Stony Brook University, Stony Brook, USA] ","BNL SRF Gun Commissioning",155 158,
mop029,"S. Barbanotti, J. Eschke, K. Jensch, W. Maschmann, O. Sawlanski [DESY, Hamburg, Germany] W. Gaj, L.M. Kolwicz-Chodak, W. Maciocha [IFJ-PAN, Kraków, Poland] X. Wang [ESS, Lund, Sweden] ","Cryo-Losses Measurements of the XFEL Prototype and Pre-Series Cryomodules",162 164,
mop030,"S. Barbanotti, W. Benecke, K. Jensch, M. Noak, M. Schloesser (M. Schlösser) [DESY, Hamburg, Germany] ","Post-Production Dimensional Control of the Cold Masses and Vacuum Vessels for the XFEL Cryomodules",165 167,
mop031,"S. Barbanotti, H. Hintz, K. Jensch, W. Maschmann [DESY, Hamburg, Germany] ","Quality Control of the Vessel and Cold Mass Production for the 1.3 GHz XFEL Cryomodules",168 170,
mop032,"A. Brinkmann, S. Arnold, A. Ermakov, J. Iversen, M. Lengkeit, A. Poerschmann, L. Schaefer, W. Singer, X. Singer [DESY, Hamburg, Germany] ","Statistic to Eddy-Current Scanning of Niobium Sheets for European XFEL",171 173,
mop033,"C. Compton, D. Miller [FRIB, East Lansing, USA] T.R. Bieler, D. Kang [Michigan State University, East Lansing, USA] S.K. Chandrasekaran, N.T. Wright [MSU, East Lansing, USA] ","Quality Assurance and Acceptance Testing of Niobium Material for Use in the Construction of the Facility for Rare Isotope Beams (FRIB) at Michigan State University (MSU)",174 179,
mop034,"A. Gresele, M. Giaretta, A. Visentin [Ettore Zanon S.p.A., Nuclear Division, Schio, Italy] A.A. Sulimov, J.H. Thie [DESY, Hamburg, Germany] ","The Statistics of Industrial XFEL Cavities Fabrication at E.ZANON",180 182,
mop035,"J. Iversen, A. Brinkmann, J.A. Dammann, A. Poerschmann, W. Singer, J.H. Thie [DESY, Hamburg, Germany] ","Using an Engineering Data Management System for Series Cavity Production for the European XFEL",183 185,
mop036,"P. Khare, R. Arya, J. Dwivedi, R. Ghosh, G. Gilankar, C. Gupta, P.D. Gupta, A. Jain, S.C. Joshi, G.V. Kane, R. Kaul, P.K. Kush, G. Mundra, S.M. Oak, C.K. Pithawa, P. Ram Sankar, S.B. Roy, V.C. Sahni, R.S. Sandha, P. Shrivastava, B.N. Upadhyay [RRCAT, Indore (M.P.), India] C.A. Cooper, C.M. Ginsburg, A. Grassellino, C.S. Mishra, A.M. Rowe [Fermilab, Batavia, USA] ","New Technique and Result of Laser Welded SCRF Cavity Developed at RRCAT",186 190,
