frioa01,"R. Calaga, E. Jensen [CERN, Geneva, Switzerland] ","LHC Crab Cavity .Progress and Outlook",1161 1164,
tup093,"S. Lagotzky, G. Mueller (G. Müller) [Bergische Universitaet Wuppertal, Wuppertal, Germany] P. Kneisel [JLAB, Newport News, Virginia, USA] ","Field Emitter Current Conditioning on Nb Single Crystals with Different Roughness due to Varying EP/BCP Ratio",686 689,
tup094,"S. Lagotzky, G. Mueller (G. Müller) [Bergische Universitaet Wuppertal, Wuppertal, Germany] A. Matheisen, D. Reschke [DESY, Hamburg, Germany] ","Influence of Heat Treatments on Field Emitters on Nb Crystals",690 693,
tup095,"F. Marhauser, R.P. Johnson, R. Rodriguez [Muons, Inc, Illinois, USA] P. Degtiarenko, A. Hutton, G. Kharashvili, C.E. Reece, R.A. Rimmer [JLAB, Newport News, Virginia, USA] ","Field Emission and Consequences as Observed and Simulated for CEBAF Upgrade Cryomodules",694 696,
tup096,"V. Volkov [BINP SB RAS, Novosibirsk, Russia] J. Knobloch, A.N. Matveenko, A. Neumann [HZB, Berlin, Germany] ","High Power Processing at a High Order Mode Frequency",697 699,
tup097,"A. Ganshin, F. Furuta, D.L. Hartill, G.H. Hoffstaetter, K.M. Price, E.N. Smith [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Study of the Temperature Interface Between Niobium and Superfluid Helium. Temperature Waves Measurements from Heat Sources",700 704,
tup100,"O.S. Melnychuk, A. Grassellino, A.I. Sukhanov [Fermilab, Batavia, USA] ","Medium Field Q-Slope Studies in High Frequency Cavities",705 709,
tup102,"M. Bertucci, A. Bosotti, L. Garolfi, P. Michelato, L. Monaco, D. Sertore [INFN/LASA, Segrate (MI), Italy] C. Pagani [Università degli Studi di Milano  INFN, Segrate, Italy] ","Quench Detection Diagnostics on 3.9 GHz XFEL Cavities",710 713,
tup103,"M. Fouaidy, F. Dubois, J.-M. Dufour, D. Longuevergne, A. Maroni, G. Michel, J.-F. Yaniche [IPN, Orsay, France] ","Calibration and Characterization of Capacitive OST Quench Detectors in SRF Cavities at IPN Orsay",714 718,
tup104,"A. Ganshin, R.G. Eichhorn, D.L. Hartill, G.H. Hoffstaetter, E.N. Smith, N.R.A. Valles [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] X. Mi [Cornell University, Ithaca, New York, USA] ","Temperature Waves in SRF Research",719 723,
tup105,"G.M. Ge, D. Gonnella, G.H. Hoffstaetter, M. Liepe, H. Padamsee [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] F. Furuta [Cornell University, Ithaca, New York, USA] ","Investigation of the Surface Resistivity of SRF Cavities via the Heat and Srimp Program as Well as the Multi-Cell T-Map System",724 727,
tup106,"S.T. Sievers, U. Bonnes, C. Burandt, F. Hug, T. Kuerzeder (T. Kürzeder), N. Pietralla, A. Richter [TU Darmstadt, Darmstadt, Germany] ","Second-Sound Measurements on a 3 GHz SRF Cavity at Low Acceleration Fields*",728 730,
tup108,"S. Kato, H. Hayano, T. Kubo, T. Noguchi, T. Saeki, M. Sawabe [KEK, Ibaraki, Japan] ","Study on Niobium Scratch and Tantalum or Carbonaceous Contamination at Niobium Surface with Field Emission Scanner",731 735,
tup110,"P. Michelato, M. Bertucci [INFN/LASA, Segrate (MI), Italy] A. Navitski, W. Singer, X. Singer [DESY, Hamburg, Germany] C. Pagani [Università degli Studi di Milano  INFN, Segrate, Italy] Y. Tamashevich [Uni HH, Hamburg, Germany] ","An X-Ray Fluorescence Probe for Defect Detection in Superconducting 1.3 GHz Cavities",736 738,
tup111,"J. Plouin, J.-P. Charrier, C. Magne, J. Novo [CEA/DSM/IRFU, France] L. Maurice [CEA/IRFU, Gif-sur-Yvette, France] ","Experimental Investigations of the Quench Phenomena for the Quench Localization by the Second Sound Wave Method",739 742,
tup112,"S. Antipov [University of Chicago, Chicago, Illinois, USA] E. Efimenko [MIPT, Dolgoprudniy, Moscow Region, Russia] A. Romanenko, D.A. Sergatskov [Fermilab, Batavia, USA] ","Time-Resolved Measurements of High-Field Quench in SRF Cavities",743 746,
tup114,"H. Tongu, Y. Iwashita [Kyoto ICR, Uji, Kyoto, Japan] H. Hayano, Y. Yamamoto [KEK, Ibaraki, Japan] ","XT-map System for Locating SC Cavity Quench Position",747 750,
tup116,"Y. Yamamoto, E. Kako, T. Shishido [KEK, Ibaraki, Japan] ","Quench field and Location in Vertical Tests at KEK-STF",751 753,
weioa01,"A-M. Valente-Feliciano [JLAB, Newport News, Virginia, USA] ","HiPIMS: a New Generation of Film Deposition Techniques for SRF Applications",754 760,
weioa02,"M. Krishnan, I. Irfan [AASC, San Leandro, California, USA] ","Energetic Condensation Growth of Niobium Films",761 766,
weioa03,"W. Venturini Delsolaro, S. Calatroni, A. D'Elia, B. Delaup, N.M. Jecklin, Y. Kadi, P. Maesen, I. Mondino, A. Sublet, M. Therasse [CERN, Geneva, Switzerland] A. D'Elia [UMAN, Manchester, United Kingdom] D.A. Franco Lespinasse, G. Keppel, V. Palmieri, S. Stark [INFN/LNL, Legnaro (PD), Italy] ","Nb Sputtered Quarter Wave Resonators for the HIE-ISOLDE",767 772,
weioa04,"M. Liepe, S. Posen [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Nb3Sn for SRF Application",773 776,
weiob01,"T. Tajima, L. Civale, D.J. Devlin, G.C. Martinez, R.K. Schulze [LANL, Los Alamos, New Mexico, USA] ","Status of MgB2 Coating Studies for SRF Applications",777 781,
weiob02,"R.A. Lukaszew, D. Beringer, W.M. Roach [The College of William and Mary, Williamsburg, USA] G.V. Eremeev, A-M. Valente-Feliciano [JLAB, Newport News, Virginia, USA] C.E. Reece [JLab, Newport News, Virginia, USA] X. Xi [TU, Philadelphia, USA] ","Proof of Concept Thin Films and Multilayers Toward Enhanced Field Gradients in SRF Cavities",782 784,
weioc01,"S. Aull, S. Doebert (S. Döbert), T. Junginger [CERN, Geneva, Switzerland] S. Aull, J. Knobloch [University of Siegen, Siegen, Germany] J. Knobloch [HZB, Berlin, Germany] ","High Resolution Surface Resistance Studies",785 788,
weioc02,"C. B. Baumier, G. Martinet [IPN, Orsay, France] C.Z. Antoine [CEA/IRFU, Gif-sur-Yvette, France] F. F. Fortuna [CSNSM, ORSAY CAMPUS, France] J.C. Villegier [CEA/INAC, Grenoble Cedex 9, France] ","Multilayers Activities at Saclay / Orsay",789 793,
weioc04,"S. Posen, M. Liepe [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] G. Catelani [Forschungszentrum Juelich, Peter Gruenberg Institut (PGI-2), Juelich, Germany] J.P. Sethna [Cornell University, Ithaca, New York, USA] M.K. Transtrum [M.D.A.C.C., Houston, Texas, USA] ","Theoretical Field Limits for Multi-Layer Superconductors",794 799,
weiod01,"R.E. Laxdal [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","Review of Magnetic Shielding Designs of Low-Beta Cryomodules",800 807,
weiod02,"M. Masuzawa, A. Terashima, K. Tsuchiya [KEK, Ibaraki, Japan] A. Dael (A. Daël), O. Napoly, J. Plouin [CEA/DSM/IRFU, France] ","Magnetic Shielding: Our Experience with Various Shielding Materials",808 811,
