MP703,"G. Chiozzi, B. Jeram, H. Sommer, R. Georgieva (ESO) M. Sekoranja, I. Verstovsek, D. Vitas, K. Zagar (JSI and Cosylab) D. Fugate (NRAO) R. Cirami, P. Di Marcantonio (AOT)","The ALMA Common Software (ACS): Status and Developments",
MP704,"K. Zagar, M. Plesko, M. Sekoranja, I. Verstovsek, D. Vitas (JSI and Cosylab) G. Chiozzi, B. Jeram, H. Sommer, R. Georgieva (ESO)  D. Fugate (NRAO) R. Cirami, P. Di Marcantonio (AOT)","ACS - Overview of Technical Features",
MP705,"A. Götz, E. Taurel, J.L. Pons, P. Verdier, J.M. Chaize, J. Meyer, F. Poncet, G. Heunen, E. Götz (ESRF) A. Buteau, N. Leclercq, M. Ounsy (Soleil)","TANGO a CORBA Based Control System",
MP707,"K. Furukawa, M. Satoh (KEK) I. Mejuev (PFU Ltd.) K. Nakao (Nihon Univ.)","A Java-based EPICS Archive Viewer with SOAP Interface for Data Retrieval",
MP708,"N. Yamamoto (KEK)","Displaying an EPICS Waveform Data as an Image in Python/Tkinter.",
MP709,"J. Hill (LANL)","Spectrum Signal Processing Capabilities for EPICS",
MP711,"S. Hunt (PSI)","An Integrated Environment for Control System Development",
TH111,"W. Treutterer, K. Behler, A. Lohs, G. Neu, G. Raupp, D. Zasche, T. Zehetbauer, ASDEX Upgrade Team (Max-Planck-Institut) R. Cole, K. Lüddecke (Unlimited Computer Systems)","Software Structure and Real-Time Signal Exchange for the ASDEX Upgrade Tokamak Control System",
TH112,"J. Feikes, K. Holldack, P. Kuske, R. Müller (BESSY)","Beam Stabilization at BESSY: Set-up, Performance, Plans",
TH113,"J. van Zeijts, A. Marusic (BNL)","Ramp Design and Implementation for the RHIC Deuteron-Gold and Polarized Proton Runs",
TH114,"E. Carrone, A. Tsirou (CERN)","Control System Design of the CERN/CMS Tracker Thermal Screen",
TH115,"F. Saint-Laurent, J. Bucalossi, Y. Buravand, E. Chatelier, B. Guillerminet, F. Leroux, G. Martin, D. Moulin, P. Spuig, D. Van Houtte (CEA/DRFC)","Real Time Control of Long Duration Plasma Discharges in Tore Supra",
TH212,"R. Schmidt, A. Dinius, R. Giachino, J.G. Vicente, B. Puccio, Ph. Nouchi, J. Wenninger (CERN)","Beam Interlocks for LHC and SPS",
TH213,"E. Carlier, A. Antoine, P. Bobbio, G. Gräwer, A. Marchand, J. Uythoven, H. Verhagen (CERN)","Design Aspects Related to the Reliability of the Control Architecture of the LHC Beam Dump Kicker Systems",
TH214,"S. Lüders, R.B. Flockhart, G. Morpurgo, S.M. Schmeling (CERN)","The CERN Detector Safety System for the LHC Experiments",
TH215,"I. Jirousek, A. Coray, G. Dave, T. Korhonen, A. Mezger, E. Pedroni, M. Schippers (PSI)","The Concept of the PROSCAN Patient Safety System",
TH501,"M. Clausen (DESY)","Industrial and Collaborative Control Systems - A Complementary Symbiosis",
TH512,"F. Calderini, B. Pawlowski, N. Stapley, M.W. Tyrrell (CERN)","Moving Towards a Common Alarm Service for the LHC Era.",
TH513,"P. Duval, Z. Kakucs (DESY) D. Golob, M. Kadunc, I. Kriznar, M. Plesko, A. Pucelj, G. Tkacik (JSI and Cosylab)","The Babylonization of Control Systems Part II - The Rise of the Fallen Tower",
TH514,"P.A. Gurd, W.H. Strong (SNS/ORNL) J. Creel (TJNAF)","Programming PLCs under EPICS at the SNS Project : Further Experiences in Collaboration",
TH601,"J.B. Lister, B.P. Duval, X. Llobet (CRPP) W. Spears (ITER) T.J. Fredian, M. Greenwald, J.A. Stillerman (MIT), J. How, F. Saint-Laurent (CEA/DRFC) J.W. Farthing (Culham Science Centre)","The ITER Project and its Data Handling Requirements",
TH612,"S. Dasgupta (VECC)","Control System Progress for K500 Superconducting Cyclotron",
TH613,"T. Tanabe, T. Masuoka, K. Yoshida, K. Kumagai, M. Komiyama, T. Emoto, M. Kase (RIKEN)","Current Status of the Control System Development at RIKEN RI-Beam Factory",
TH614,"H.J. Burckhart, J. Cook, F. Varela, B. Varnai (CERN) V. Filimonov, V. Khomoutnikov, Y. Ryabov, (PNPI)","The Supervisor of the ATLAS Detector Control System",
TS000,"R. Tanaka (SPring-8)","Technical Summary Report",
TU101,"T. Wijnands, C. Pignard, R. Rausch, A. Tsoulou (CERN)","Radiation Constraints in the Design and Conception of LHC Control Systems",
TU102,"M. Stettler, L. Day, J. Power (LANL)","PC based Instrumentation, Current Efforts and Future Technology",
TU113,"T. Fukui, T. Masuda, S. Sasaki, T. Takashima, R. Tanaka (SPring-8)","Applications of Reconfigurable Logic Devices for Accelerator Controls",
TU114,"Y. Chernousko, A. Gonias, M.T. Heron (Diamond Light Source) T. Korhonen (PSI), J. Pietarinen (Micro-Research)","Diamond Timing System Developments",
TU115,"F. Tamura, H. Yoshikawa (JAERI)  J. Chiba, M. Yoshii, M. Tanaka, S. Shimazaki (KEK)","J-PARC Timing System",
TU201,"P.C. Burkimsher (CERN)","JCOP Experience with a Commercial SCADA Product, PVSS",
TU212,"L. Del Cano (CERN)","Extending the Capabilities of SCADA - Device Modelling for the LHC Experiments",
TU213,"W. Busse, C. Rethfeldt (HMI-Berlin)","The ISL-Control-System Upgrade: A Move from an In-House Implementation to a Commercial Control-System",
TU214,"D. Blanc (CERN)","Integration of the Process Control Systems for the Automation of the LHC Cooling and Ventilation Plants",
TU501,"D. Beltrán (LLS) M. Gonzalez (CERN)","A Proposal for Modeling the Control System for the Spanish Light Source in UML",
TU512,"V. Baggiolini, P. Bailly, B. Chauchaix, F. Follin, J. Fullerton, Ph. Malacarne, L. Mateos-Miret, L. Pereira (CERN)","The CESAR Project - Using J2EE for Accelerator Controls",
TU513,"K. Zagar, A. Vodovnik, J. Stefan (JSI and Cosylab)","Application of Model Driven Development to Control Systems",
TU514,"D. Thompson, W. Blokland (SNS-ORNL)","A Shared Memory Interface between LabVIEW and EPICS",
TU601,"R. Lange (BESSY) J.B. Anderson, A. Johnson, M.R. Kraimer, W.E. Norum (ANL) L. Dalesio, J. Hill (LANL)","EPICS: Recent Developments and Future Perspectives",
TU602,"J. Patrick (FNAL)","Evolution of the Fermilab Control System",
TU614,"L. Dalesio, H. Shoaee (LANL) M.R. Kraimer, W.E. Norum (ANL) N. Yamamoto (KEK) M. Clausen (DESY)","EPICS-2010 - A Visionary Look at the Evolution of a Collaborative Control Toolkit",
TU615,"J. Meyer, J.M. Chaize, R. Dimper, F. Epaud, A. Götz, F. Poncet, P. Pinel, J.L. Pons, E. Taurel, P. Verdier (ESRF)","Upgrading the ESRF Control System after 10 Years of Operation",
TU616,"C.H. Wang, J. Zhao, J. Liu, S. Huang (IHEP)","A Prototype of the Power Supply Control System in BEPCII",
TU617,"T. Masuda, T. Asaka, T. Fukui, H. Hanaki, M. Ishii, A. Mizuno, T. Ohata, S. Suzuki, R. Tanaka, T. Taniuchi, A. Yamashita, K. Yanagida (SPring-8)","Upgrade of the SPring-8 Linac Control by Re-engineering the VME Systems for Maximizing Availability",
WE101,"M. Plesko, G. Tkacik (JSI and Cosylab)","Where and What Exactly is 'Knowledge' in Control Systems",
WE112,"R. Kammering, O. Hensler,  K. Rehlich (DESY) A. Petrosyan (YPI, DESY)","Review of Two Years Experience with an Electronic Logbook",
WE113,"J.D. Purcell, J. Galambos, J. Patton (ORNL)","Initial Experience with Database Applications",
WE114,"J. Cuperus, R. Billen, M. Lelaizant (CERN)","The Configuration Database for the CERN Accelerator Control System",
WE115,"P. Vannerem, C. Gaspar, B. Jost, N. Neufeld  (CERN)","Distributed Control and Monitoring of High-Level Trigger Processes on the LHCb On-Line Farm.",
WE116,"C.K. Allen, C. McChesney (LANL) C.M. Chu, J. Galambos, W.-D. Klotz, T. Pelaia, A. Shishlo (ORNL)","A Novel Online Simulator for Applications Requiring a Model Reference",
WE201,"K. Kostro, J. Andersson, F. Di Maio, S. Jensen (CERN) N. Trofimov (IHEP, Russia)","The Controls Middleware (CMW) at CERN - Status and Usage",
WE202,"A. Götz (ESRF), D. Schmidt (UCI), M. Clausen (DESY)","Middleware in Accelerator and Telescope Control Systems",
WE203,"I. Verstovsek, M. Kadunc, J. Kamenik, I. Kriznar, G. Pajor, M. Plesko, A. Pucelj, M. Sekoranja, G. Tkacik, D. Vitas (JSI and Cosylab)","Abeans: Application Development Framework for Java",
WE204,"J. Galambos, C.M. Chu, W.-D. Klotz, T. Pelaia, A. Shishlo (ORNL), C.K. Allen, C. McChesney (LANL), I. Kriznar, M. Plesko, A. Pucelj (JSI and Cosylab)","XAL Application Programming Framework",
WE601,"L.R. Doolittle (LBNL)","Embedded Networked Front Ends - Beyond the Crate",
WE612,"A. Guerrero, J.J. Gras, J-L. Nougaret, M. Ludwig, M. Arruat, S. Jackson, (CERN)","CERN Front-End Software Architecture for Accelerator Controls",
WE613,"D. Nicklaus (FNAL)","Java-based Open Access Front Ends in the Fermilab Controls System",
WE614,"R. Ursic, B. Solar, B. Rolfe, S. Bremec, M. Franceskin, A. Kosicek, U. Mavric, P. Paglovec, B. Repic (Instrumentation Technologies)","Beam Position Monitoring Using Intelligent Front-Ends and High Speed Interconnect Technologies",
WE615,"D. Golob, U. Platise, M. Plesko, M. Sekoranja (JSI and Cosylab)","I/O Cards with Built-in Linux and TCP/IP Become Turnkey Systems",
WE616,"D. Bulfone, R. De Monte, V. Forchi', G. Gaio, M. Lonza, L. Pivetta (Sincrotrone Trieste)","New Front-End Computers Based on Linux-RTAI and PPC",
WE617,"T. Ohata (SPring-8)","Real-Time Control with VMEbus Multi-Master Configuration",
WP502,"S. Deghaye, D. Jacquet, I. Kozsar, J. Serrano (CERN)","OASIS: a New System to Acquire and Display the Analog Signals for LHC",
WP503,"B. Kim, K. Kwon, D.H. Han, D. Son, K. Cho, J. Kim, Y.D. Oh (CHEP/KNU) J. Lee (KISTI)","EUDG Implementation in Korea for High-Energy Physics Study",
WP504,"D.A. Dohan, N.D. Arnold (ANL)","Integrated Relational Modeling of Software, Hardware, and Cable Databases at the APS",
WP505,"T.B. Bolshakov, A.D. Petrov, S.L. Lackey (FNAL)","Synoptic Display - A Client-Server System for Graphical Data Representation",
WP506,"M. Kadunc, J. Kamenik, A. Kosmrlj, I. Kriznar, G. Pajor, A. Pucelj, G. Tkacik, I. Verstovsek, D. Vitas, K. Zagar (JSI and Cosylab) P. Duval, H. Wu (DESY)","Deployment of Abeans Release 3 for the TINE Control System at DESY",
WP507,"K. Cho, D.H. Han, Y.D. Oh, D. Son (CHEP/KNU) J. Lee (KISTI)","A Test-bed of DCAF (DeCentralized Analysis Farm) in Korea",
WP508,"J. Hill (LANL), K. Furukawa (KEK) S. Hunt (PSI) A. Johnson (ANL) R. Lange (BESSY) J. Sage (TJNAF) E. Williams (ORNL)","EPICS and WANs: Tradeoffs between Isolation, Security, Robustness, and Transparency",
WP509,"J.J. Pon, E. Klassen, K.S. Lee, M.M. Mouat, P.J. Yogendran (TRIUMF)","Preliminary Use of PDAs in TRIUMF's Central Control System",
WP510,"J.J. Pon, E. Klassen, K.S. Lee, M.M. Mouat, T. Tateyama, P.J. Yogendran (TRIUMF)","Early Control System Applications Using PDAs at TRIUMF",
WP511,"S. Ramamoorthy, S. Buda, J. Oliva, G. Ramirez (BNL)","PLC Interface to NSLS Front-End Systems",
WP512,"S.V. Davis, M.T. Heron, A. Oates, B.G. Martlew, A. Quigley (Daresbury Laboratory)","Principles of Status Control and Interlock Protection System for the SRS",
WP513,"L. Scibile, R. Bartolome, A. Chouvelon, S. Grau, P. Ninin, M. Trebulle (CERN)","Experience Using the Functional Safety Principles to Design the CERN Safety Alarm Monitoring System",
WP514,"M. Zerlauth, C. Dehavay, B. Puccio, R. Schmidt, E. Veyrunes (CERN)","From the LHC Reference Database to the Powering Interlock System",
WP515,"M.C. Wilson, K.A.R. Baker, E.V. Buckley, M.T. Heron (Diamond Light Source) J.R. Alexander (Daresbury Laboratory)","Diamond Personnel Safety System",
WP516,"S. Xiong, Y. Tan, W. Man, Y. Yang (IHEP)","PLC- and SCADA-based Equipment Protection Systems for the New Beamlines at BSRF",
WP517,"Y. Takeuchi (KEK)","Personnel Protection System of Japan Proton Accelerator Research Complex",
WP519,"S. Hunt (PSI)","The Design of Very High Availability Accelerator Control Systems",
WP521,"T. Ladzinski, M. Gateau, P. Martel,  A. Siemko, D. Widegren (CERN)","Configuration Management System for the LHC Superconducting Magnet Test Benches",
WP522,"A. Raimondo, P. Coutinho-Ferreira, G. D'Angelo, H. França-Santos, M. Gateau, M. Peryt, H. Reymond, A. Rijllart, A. Siemko (CERN)","The Hardware Recognition System for the SM18 LHC Cryomagnet Test Benches",
WP523,"E. Lécorché, G. Sénécal (CEA/GANIL)","Use of a CMMS Piece of Software to Improve Maintenance Management at Ganil",
WP524,"G. Lei, C.H. Wang, Z. Zhao, K.J. Yue, S. Huang, J. Zhao (IHEP)","Constructing a Distributed Developing Environment Using EPICS for BEPCII Control System",
WP525,"Z. Zhao, C.H. Wang, G. Lei, J. Zhao, K.J. Yue, J. Liu (IHEP)","Realization of Linux Platform in Distributed Control System by EPICS at BEPCII",
WP526,"S. Baek, K. Kim, H. Yonekawa, Y.K. Oh, Y. Chu (KBSI)","Relational Database Design for the Test of the KSTAR Superconducting Magnet System",
WP527,"G. Neu, K. Behler, A. Lohs, G. Raupp, W. Treutterer, D. Zasche, T. Zehetbauer, ASDEX Upgrade Team (Max-Planck-Institut) R. Cole, K. Lüddecke (Unlimited Computer Systems)","ASDEX Upgrade Control Parameter Organisation and Configuration Management",
WP528,"S. Kusano, M. Tanaka (Mitsubishi)  K. Furukawa, N. Kamikubota, M. Satoh, N. Yamamoto (KEK)","The Operation Logbook System at KEKB Linac and Ring",
WP530,"R. Broomfield, M. Heiniger, T. Korhonen, T. Pal (PSI)","Database Applications for Control System Hardware Management",
WP531,"A. Yamashita (SPring-8)","Distributed Database in SPring-8",
WP532,"S. Schaffner, M. Bickley, L. Clancy, K. White, B. Bevins  (TJNAF)","Knowledge-based Software Management",
WP533,"M. Albert, G. Crockford, E. Hatziangeli, S. Lopienski (CERN)","Software Deployment and Configuration of the CERN Accelerator Control Rooms Consoles",
WP534,"R. Fleischhauer, B. Kuner, G. Meyer, J. Rahn, C. Winkler (BESSY)","Integrating PLCs with an OPC Interface into an EPICS Based Control System",
WP537,"H. Kleines, J. Sarkadi, F. Suxdorf, K. Zwoll (Forschungszentrum Jülich)","PROFInet - an Integrated Automation Concept Based on Ethernet",
WP539,"K. Höppner, G. Fröhlich, L. Hechler, U. Krause, V.RW Schaa (GSI) I. Kriznar, M. Plesko, A. Pucelj, M. Sekoranja, I. Verstovsek (JSI and Cosylab)","Integration of Abeans and ACS in the GSI Controls Environment",
WP540,"M. Plesko, G. Tkacik (JSI and Cosylab)","A Reflection on Introspection",
WP541,"I. Kriznar, G. Pajor, M. Plesko, M. Sekoranja, G. Tkacik, D. Vitas (JSI and Cosylab) K. Cerff, W. Mexner (ANKA-ISS)","The Upgrade of the ANKA Control System to ACS (Advanced Control System)",
WP542,"D. Bulfone, M. Chiandone, M. Lonza, L. Pivetta, C. Scafuri (Sincrotrone Trieste)","Toward the ELETTRA New Injector Control System",
WP545,"P. Gayet, C.H. Sicard (CERN)","Deployment and Integration of Industrial Controls: The Case of LHC Cryogenics Controls",
WP547,"G. Waters, R. Nussbaumer (TRIUMF)","TRIUMF/ISAC EPICS IOCs Using a PC104 Platform",
WP548,"M.T. Heron, K.A.R. Baker, S. Lay (Diamond Light Source) P.D. Woods (Daresbury Laboratory)","Use of Industrial Control Solutions in the Diamond Project",
