FOAA001,"M.A.C. Cummings, Northern Illinois University, DeKalb, Illinois","New Technology in Hydrogen Absorbers for Muon Cooling Channels",
FPAP001,"C. Vaccarezza, INFN/LNF, Frascati (Roma); G. Bellodi, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon; R. Cimino, A. Drago, INFN/LNF, Frascati (Roma); K. Ohmi, KEK, Ibaraki; M.T.F. Pivi, SLAC, Menlo Park, California; G. Rumolo, GSI, Darmstadt; D. Schulte, F. Zimmermann, CERN, Geneva; M. Zobov, INFN/LNF, Frascati (Roma)","Electron Cloud Build-Up Study for DAFNE",
FPAP002,"C. Vaccarezza, R. Cimino, INFN/LNF, Frascati (Roma); A. Giglia, N. Mahne, ELETTRA, Basovizza, Trieste; S. Nannarone, UNIMORE, Modena","Experimental Determination of E-Cloud Simulation Input Parameters for DAFNE",
FPAP003,"H. Fukuma, KEK, Ibaraki; L. Wang, BNL, Upton, Long Island, New York","Simulation Study of the Electron Cloud Instability in SuperKEKB",
FPAP004,"K. Ohmi, J.W. Flanagan, H. Fukuma, S. Hiramatsu, H. Ikeda, KEK, Ibaraki; E. Perevedentsev, BINP SB RAS, Novosibirsk; M. Tobiyama, KEK, Ibaraki","Simulation Analysis of Head-Tail Motion Caused by Electron Cloud",
FPAP005,"M. Tobiyama, J.W. Flanagan, H. Fukuma, S.-I. Kurokawa, K. Ohmi, S.S. Win, KEK, Ibaraki","Coupled Bunch Instability Caused by Electron Cloud",
FPAP007,"K.-I. Kanazawa, H. Fukuma, H. Hisamatsu, Y. Suetsugu, KEK, Ibaraki","Measurement of the Electron Cloud Density Around the Beam",
FPAP011,"Y. Golub, MRTI RAS, Moscow","New Vortices in Axisymmetric Beams in Inhomogeneous Magnetic Field",
FPAP012,"Y. Golub, MRTI RAS, Moscow","The Effect of Inhomogeneous Magnetic Field on Budker-Chirikov Instability",
FPAP013,"E. Benedetto, E. Benedetto, Politecnico di Torino, Torino; G. Franchetti, GSI, Darmstadt; K. Ohmi, KEK, Ibaraki; D. Schulte, F. Zimmermann, CERN, Geneva","Emittance Growth Caused by Electron Cloud Below the Fast TMCI Threshold: Numerical Noise or True Physics?",
FPAP014,"D. Schulte, G. Arduini, V. Baglin, J.M. Jimenez, F. Zimmermann, CERN, Geneva","Electron Cloud Measurements in the SPS in 2004",
FPAP015,"P.A. Seidl, D. Baca, F.M. Bieniosek, LBNL, Berkeley, California; R.H. Cohen, A. Friedman, D.P. Grote, M. Kireeff Covo, S.M. Lund, A.W. Molvik, LLNL, Livermore, California; J.-L. Vay, LBNL, Berkeley, California","Electron and Gas Effects on Intense, Space-Charge Dominated Ion Beams in Magnetic Quadrupoles: Comparison of Experiments and Simulations",
FPAP016,"J.-L. Vay, LBNL, Berkeley, California; R.H. Cohen, A. Friedman, LLNL, Livermore, California; M.A. Furman, LBNL, Berkeley, California; D.P. Grote, LLNL, Livermore, California","Initial Self-Consistent 3-D Electron-Cloud Simulations of LHC Beam with the Code WARP+POSINST",
FPAP017,"J. Wu, T.O. Raubenheimer, SLAC, Menlo Park, California","Luminosity Optimization With Offset, Crossing Angle, and Distortion",
FPAP018,"J. Wu, A. Chao, T.O. Raubenheimer, A. Seryi, SLAC, Menlo Park, California; C.K. Sramek, Rice University, Houston, Texas","Luminosity Loss Due to Beam Distortion and the Beam-Beam Instability",
FPAP020,"P. Stoltz, A. Prideaux, Tech-X, Boulder, Colorado","Close-Coupling R-Matrix Approach to Simulating Ion-Atom Collisions for Accelerator Applications",
FPAP021,"S.A. Veitzer, Tech-X, Boulder, Colorado; R.H. Cohen, A.W. Molvik, LLNL, Livermore, California; P. Stoltz, Tech-X, Boulder, Colorado; J.-L. Vay, LBNL, Berkeley, California","A Cross-Platform Numerical Model of Ion-Wall Collisions",
FPAP022,"B. Feng, USC, Los Angeles, California; E. Benedetto, CERN, Geneva; V.K. Decyk, UCLA, Los Angeles, California; A.F. Ghalam, T.C. Katsouleas, USC, Los Angeles, California; W.B. Mori, UCLA, Los Angeles, California; F. Zimmermann, CERN, Geneva","Long Time Simulation of LHC Beam Propagation in Electron Clouds",
FPAP024,"L. Wang, BNL, Upton, Long Island, New York; S.M. Cousineau, S. Henderson, ORNL, Oak Ridge, Tennessee; H.-C. Hseuh, Y.Y. Lee, D. Raparia, J. Wei, BNL, Upton, Long Island, New York","Electron Cloud in the Collimator- and Injection- Region of the Spallation Neutron Source's Accumulator Ring",
FPAP026,"R.C. Davidson, S.R. Hudson, I. Kaganovich, H. Qin, E. Startsev, PPPL, Princeton, New Jersey","Multispecies Weibel Instability for Intense Ion Beam Propagation Through Background Plasma",
FPAP027,"I. Kaganovich, R.C. Davidson, E. Startsev, PPPL, Princeton, New Jersey","Hybrid Quantum MechanicalQuasi-Classical Model for Evaluating Ionization and Stripping Cross Sections in Atom-Ion Collisions",
FPAP028,"I. Kaganovich, R.C. Davidson, E. Startsev, PPPL, Princeton, New Jersey","Ion Beam Pulse Interaction with Background Plasma in a Solenoidal Magnetic Field",
FPAP029,"H. Qin, R.C. Davidson, S.R. Hudson, E. Startsev, PPPL, Princeton, New Jersey","Nonlinear Delta-f Particle Simulations of Collective Effects in High-Intensity Bunched Beams",
FPAP031,"V.G. Dudnikov, G. Dudnikova, BTG, New York","Model of Electron Cloud Build Up with Secondary Ion-Electron Emission as a Source of Delayed Electrons",
FPAP033,"M. Kireeff Covo, LLNL, Livermore, California; D. Baca, LBNL, Berkeley, California; J.J. Barnard, LLNL, Livermore, California; F.M. Bieniosek, C.M. Celata, LBNL, Berkeley, California; R.H. Cohen, A. Friedman, D.P. Grote, LLNL, Livermore, California; J.W. Kwan, LBNL, Berkeley, California; S.M. Lund, A.W. Molvik, LLNL, Livermore, California; P.A. Seidl, J.-L. Vay, LBNL, Berkeley, California; J.L. Vujic, UCB, Berkeley, California; G.A. Westenskow, LLNL, Livermore, California","Beam Energy Scaling of Ion-Induced Electron Yield from K+ Ions Impact on Stainless Steel Surfaces",
FPAP034,"S.M. Lund, LLNL, Livermore, California; S. R. Chawla, UCB, Berkeley, California","Space-Charge Transport Limits in Periodic Channels",
FPAP036,"J.F. McCarrick, G.J. Caporaso, Y.-J. Chen, LLNL, Livermore, California","Beam Transport in a Compact Dielectric Wall Induction Accelerator System for Pulsed Radiography",
FPAT002,"R.D. Lifshitz, Technion, Haifa; D. Schulte, CERN, Geneva","Automatic Steering for the CTF3 Linear Accelerator",
FPAT003,"N. Malitsky, K.A. Brown, N. D'Imperio, A.V. Fedotov, J. Kewisch, A.U. Luccio, F.C. Pilat, V. Ptitsyn, T. Satogata, BNL, Upton, Long Island, New York; R.M. Talman, Cornell University, Laboratory for Elementary-Particle Physics, Ithaca, New York; S. Tepikian, J. Wei, BNL, Upton, Long Island, New York","Joining the RHIC Online and Offline Models",
FPAT005,"P. Lebrun, T. Sen, Fermilab, Batavia, Illinois; E. Todesco, CERN, Geneva; J. You, Z.Y. Yuan, Fermilab, Batavia, Illinois","A Betatron Tune Fitting Package for the Tevatron 21.4 MHz Schottky",
FPAT006,"L. Michelotti, J.-F. Ostiguy, Fermilab, Batavia, Illinois","CHEF: An Interactive Program for Accelerator Optics Calculations",
FPAT007,"J.-F. Ostiguy, M. Kriss, M. McCusker-Whiting, L. Michelotti, Fermilab, Batavia, Illinois","The Fermilab Lattice Information Repository",
FPAT008,"V. Papadimitriou, T.B. Bolshakov, P. Lebrun, S. Panacek, A.J. Slaughter, A. Xiao, Fermilab, Batavia, Illinois","SDA-Based Diagnostic and Analysis Tools for Collider Run II",
FPAT010,"C.K. Allen, LANL, Los Alamos, New Mexico; E. Schuster, Lehigh University, Bethlehem, Pennsylvania","Automated Beam Steering Using Optimal Control",
FPAT011,"J. Beebe-Wang, BNL, Upton, Long Island, New York","Fast Automated Decoupling at RHIC",
FPAT012,"A. Xiao, T.B. Bolshakov, P. Lebrun, E.S. McCrory, V. Papadimitriou, A.J. Slaughter, Fermilab, Batavia, Illinois","Tevatron Beam Lifetimes at Injection Using the Shot Data Analysis System",
FPAT014,"W. Blokland, ORNL, Oak Ridge, Tennessee; A.V. Liyu, RAS/INR, Moscow; C.D. Long, Innovative Design, Knoxville, Tennessee; D.J. Murphy, J.D. Purcell, ORNL, Oak Ridge, Tennessee; M. Sundaram, University of Tennessee, Knoxville, Tennessee","Dynamic Visualization of SNS Diagnostics Summary Report and System Status",
FPAT015,"C. Chu, T.A. Pelaia, ORNL, Oak Ridge, Tennessee","Beam Trajectory Correction for SNS",
FPAT016,"J. Galambos, A.V. Aleksandrov, C. Deibele, S. Henderson, ORNL, Oak Ridge, Tennessee","PASTA  An RF Phase and Amplitude Scan and Tuning Application",
FPAT017,"M. Sundaram, University of Tennessee, Knoxville, Tennessee; W. Blokland, ORNL, Oak Ridge, Tennessee; C.D. Long, Innovative Design, Knoxville, Tennessee","SNS Diagnostics Tools for Data Acquisition and Display",
FPAT018,"S.J. Cooke, B. Levush, NRL, Washington, DC","Rapid Electromagnetic Analysis of Entire Accelerator Structures",
FPAT020,"A.V. Novikov-Borodin, V.A. Kutuzov, RAS/INR, Moscow; P.N. Ostroumov, ANL, Argonne, Illinois","A Fast Chopper for Intensity Adjustment of Heavy-Ion Beams",
FPAT021,"E.H.R. Gaxiola, J. Bertin, F. Caspers, L. Ducimetière, T. Kroyer, CERN, Geneva","Experience with Kicker Beam Coupling Reduction Techniques",
FPAT022,"E.H.R. Gaxiola, G. Arduini, W. Höfle, F. Roncarolo, E. Vogel, E. Vossenberg, CERN, Geneva","Performance of the CERN SPS Fast Extraction for the CNGS Facility",
FPAT025,"L. Yin, LANL, Los Alamos, New Mexico; MJ.B. Berninger, Bechtel Nevada, Los Alamos, New Mexico; K. J. Bowers, R.C. Carlson, BG.D. DeVolder, J. T. Kwan, JR.S. Smith, CM.S. Snell, LANL, Los Alamos, New Mexico","Electron Dynamics of the Rod-Pinch Diode in the Cygnus Experiment at Los Alamos",
FPAT026,"C.M. Celata, F.M. Bieniosek, LBNL, Berkeley, California; A. Friedman, D.P. Grote, LLNL, Livermore, California; L.R. Prost, Fermilab, Batavia, Illinois; P.A. Seidl, LBNL, Berkeley, California","The Dynamic Aperture of an Electrostatic Quadrupole Lattice",
FPAT028,"E. Henestroza, LBNL, Berkeley, California; R.J. Briggs, SAIC, Alamo, California; D.P. Grote, LLNL, Livermore, California; C. Peters, S. Yu, LBNL, Berkeley, California","Extraction Compression and Acceleration of High Line Charge Density Ion Beams",
FPAT029,"W. Waldron, LBNL, Berkeley, California; R.J. Briggs, SAIC, Alamo, California; L. R. Reginato, LBNL, Berkeley, California","High Voltage Operation of Helical Pulseline Structures for Ion Acceleration",
FPAT030,"J.Z. Zhou, C. Chen, MIT/PSFC, Cambridge, Massachusetts","Parametric Studies of Image-Charge Effects in Small-Aperture Alternating-Gradient Focusing Systems",
FPAT031,"W. Zhang, J. Sandberg, W.-T. Weng, BNL, Upton, Long Island, New York","High Energy Pulsed Power System for AGS Super Neutrino Focusing Horn",
FPAT032,"S.R. Reeves, C.C. Jensen, Fermilab, Batavia, Illinois","NuMI Proton Kicker Extraction Magnet Termination Resistor System",
FPAT033,"T.P. Hughes, ATK-MR, Albuquerque, New Mexico; H. Davis, LANL, Los Alamos, New Mexico; T.C. Genoni, ATK-MR, Albuquerque, New Mexico; M. Kang, B.A. Prichard, LANL, Los Alamos, New Mexico","Numerical Model of the DARHT Accelerating Cell",
FPAT034,"G.J. Caporaso, LLNL, Livermore, California; R.J. Briggs, SAIC, Alamo, California; S.D. Nelson, B.R. Poole, LLNL, Livermore, California","Dispersion Analysis of the Pulseline Accelerator",
FPAT035,"Y.-J. Chen, J.F. McCarrick, S.D. Nelson, LLNL, Livermore, California","Transverse Beam Instability in a Compact Dielectric Wall Induction Accelerator",
FPAT036,"W. J. DeHope, D.A. Goerz, R. Kihara, M.M. Ong, G.E. Vogtlin, J.M. Zentler, LLNL, Livermore, California","An Induction Linac Test Stand",
FPAT037,"S.D. Nelson, LLNL, Livermore, California; R.J. Briggs, SAIC, Alamo, California; G.J. Caporaso, A. Friedman, B.R. Poole, LLNL, Livermore, California; W. Waldron, LBNL, Berkeley, California","Electromagnetic Simulations of Helical-Based Ion Acceleration Structures",
FPAT038,"S.D. Nelson, B.R. Poole, LLNL, Livermore, California","Electromagnetic Simulations of Dielectric Wall Accelerator Structures for Electron Beam Acceleration",
FPAT040,"B.R. Poole, LLNL, Livermore, California; S. Langdon, REMCOM Incorporated, State College, Pennsylvania; S.D. Nelson, LLNL, Livermore, California","Advanced Electric and Magnetic Material Models for FDTD Electromagnetic Codes",
FPAT041,"L. Wang, T.L. Houck, G.A. Westenskow, LLNL, Livermore, California","Design and Simulation of an Anode Stalk Support Insulator",
FPAT042,"T. Kikuchi, Utsunomiya University, Utsunomiya; K. Horioka, TIT, Yokohama; T. Katayama, CNS, Saitama; S. Kawata, Utsunomiya University, Utsunomiya; M. Nakajima, TIT, Yokohama; T. Someya, Utsunomiya University, Utsunomiya","Beam Dynamics and Pulse Duration Control During Final Beam Bunching in Driver System for Heavy Ion Inertial Fusion",
FPAT043,"T. Kikuchi, Utsunomiya University, Utsunomiya; K. Horioka, TIT, Yokohama; T. Katayama, CNS, Saitama; S. Kawata, Utsunomiya University, Utsunomiya","Application of Selected Momentum Correction Method Using Induction Voltage Modulator",
FPAT044,"A.A. Malafronte, M.N. Martins, USP/LAL, Bairro Butantan","Low Cost Magnetic Field Controller",
FPAT045,"D. Schmied, E. Burtin, P. Guerin, M. Hahn, R. Kersevan, ESRF, Grenoble","Upgrade of the ESRF Vacuum Control System",
FPAT046,"V. Ayvazyan, G.M. Petrosyan, K. Rehlich, S. Simrock, P. Vetrov, DESY, Hamburg","RF Control System for the DESY VUV-FEL Linac",
FPAT047,"H. Takahashi, JAERI/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; Y. Ito, Total Saport System Corp., Naka-gun, Ibaraki; Y. Kato, M. Kawase, JAERI/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; H. Sakaki, JAERI/LINAC, Ibaraki-ken; H. Sako, JAERI/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; M. Sugimoto, Mitsubishi Electric Control Software Corp, Kobe; H. Yoshikawa, JAERI, Ibaraki-ken","Control System of 3 GeV Rapid Cycling Synchrotron at J-PARC",
FPAT049,"Y. Tanimoto, T. Nogami, T. Obina, KEK, Ibaraki","Upgrade of the PF Ring Vacuum Control System",
FPAT050,"J.C. Yoon, J. Choi, H.-S. Kang, J.-W. Lee, PAL, Pohang, Kyungbuk","Improvement RF Control System for the 20 Mev Proton Linac of PEFP",
FPAT051,"G.Y. Kurkin, BINP SB RAS, Novosibirsk; S.M. Hartman, S. Mikhailov, DU/FEL, Durham, North Carolina; I.P. Pinayev, BNL, Upton, Long Island, New York; Y.K. Wu, DU/FEL, Durham, North Carolina","A New Timing System for the Duke Booster and Storage Ring",
FPAT053,"A.V. Liyu, RAS/INR, Moscow; W. Blokland, D.H. Thompson, ORNL, Oak Ridge, Tennessee","LabVIEW Library to EPICS Channel Access",
FPAT055,"C.R. Chen, F.D. Chang, S.-P. Kao, Joseph. Liu, R.J. Sheu, J.P. Wang, NSRRC, Hsinchu","The Radiation Safety Interlock System for Top-Up Mode Operation at NSRRC",
FPAT056,"V.P. Suller, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; M.G. Fedurin, P. Jines, D.J. Launey, LSU/CAMD, Baton Rouge, Louisiana","RF Control System Upgrade at CAMD",
FPAT057,"R. Soliday, ANL, Argonne, Illinois","A TCL/TK Widget for Display of MEDM Screens",
FPAT058,"R. Soliday, M. Borland, ANL, Argonne, Illinois","Creating EPICS Soft Channels the Easy Way with sddspcas: Features and Applications",
FPAT059,"K.A. Brown, S. Binello, M. Harvey, J. Morris, A. Rusek, N. Tsoupas, BNL, Upton, Long Island, New York","Event Driven Automatic State Modification of BNL's Booster for NASA Space Radiation Laboratory Solor Particle Simulator",
FPAT060,"R. H. Carcagno, SF. Feher, M.J. Lamm, A. Makulski, R. Nehring, D.F. Orris, Y.M.P. Pischalnikov, M. Tartaglia, Fermilab, Batavia, Illinois","An FPGA-Based Quench Detection and Protection System for Superconducting Accelerator Magnets",
FPAT061,"T.L. Allison, T. Powers, Jefferson Lab, Newport News, Virginia","CEBAF Distributed Data Acquisition System",
FPAT063,"M.E. Bannister, F.W. Meyer, J. W. Sinclair, ORNL, Oak Ridge, Tennessee","Control System for the ORNL Multicharged Ion Research Facility High-Voltage Platform",
FPAT064,"K. Evans, M. Smith, ANL, Argonne, Illinois","Experience with the EPICS PV Gateway at the APS",
FPAT065,"N. Kamikubota, KEK, Ibaraki","Experience of Prototype Control System for the J-PARC Proton Linac",
FPAT066,"S. Peng, ORNL, Oak Ridge, Tennessee; L.T. Hoff, K. Smith, BNL, Upton, Long Island, New York","The SNS Ring LLRF Control System",
FPAT067,"J.Y. Tang, J.A. Crandall, P. Ladd, D.C. Williams, ORNL, Oak Ridge, Tennessee","The Design Performance of the Integrated Spallation Neutron Source Vacuum Control System",
FPAT068,"J.Y. Tang, A.V. Aleksandrov, M.M. Champion, ORNL, Oak Ridge, Tennessee; A. Feschenko, RAS/INR, Moscow; P.E. Gibson, ORNL, Oak Ridge, Tennessee; Y. Kiselev, A.S. Kovalishin, L.V. Kravchuk, A.I. Kvasha, RAS/INR, Moscow; J.P. Schubert, ORNL, Oak Ridge, Tennessee","Spallation Neutron Source Drift Tube Linac Resonance Control Cooling System Modeling",
FPAT069,"S.M. Hartman, S. Mikhailov, Y.K. Wu, DU/FEL, Durham, North Carolina","A Control System for the Duke Booster Synchrotron",
FPAT070,"S.M. Hartman, DU/FEL, Durham, North Carolina","Performance of COTS I/O Modules in an Accelerator Control System",
FPAT071,"F. Tamura, JAERI/LINAC, Ibaraki-ken; J.C. Chiba, T. Katoh, M. Yoshii, KEK, Ibaraki","Timing System for J-PARC",
FPAT072,"G. Liu, X. Bao, C. Li, USTC/NSRL, Hefei, Anhui; J. Li, DU/FEL, Durham, North Carolina; W. Li, J. Wang, Xie. Xie, K. Xuan, USTC/NSRL, Hefei, Anhui","The Status of HLS Control System",
FPAT075,"W.R. DeVan, S.E. Hicks, G.S. Lawson, W.H. Wagner, D.M. Wantland, E. Williams, ORNL, Oak Ridge, Tennessee","Using a Control System Ethernet Network as a Field Bus",
FPAT076,"H. Ohgaki, Kyoto IAE, Kyoto; Y. Iwasaki, S. Koda, Y. Takabayashi, T. Tomimasu, Saga Synchrotron Light Source, Industry Promotion Division, Saga City; H. Toyokawa, AIST, Ibaraki; K. Yoshida, Saga Synchrotron Light Source, Industry Promotion Division, Saga City","PC-LabView Based Control System in SAGA-LS",
FPAT077,"G.J. Portmann, LBNL, Berkeley, California; W.J. Corbett, A. Terebilo, SLAC, Menlo Park, California","An Accelerator Control Middle Layer Using Matlab",
FPAT078,"J. Buerger, J.A. Dammann, L. Hagge, J.I. Iversen, A. Matheisen, W. Singer, DESY, Hamburg","Supporting Cavity Production Using an Engineering Data Management System",
FPAT079,"W. Ackermann, T. Weiland, TEMF, Darmstadt","Data Base Extension for the Ensemble Model Using a Flexible Implementation",
FPAT080,"M. Cavenago, INFN/LNL, Legnaro, Padova","Simulations of Beam Injection and Extraction into Ion Sources",
FPAT081,"G. Robert-Demolaize, R.W. Assmann, S. Redaelli, F. Schmidt, CERN, Geneva","A New Version of SixTrack with Collimation and Aperture Interface",
FPAT082,"A. Adelmann, PSI, Villigen; R.D. Ryne, J.M. Shalf, C. Siegerist, LBNL, Berkeley, California","From Visualisation to Data Mining with Large Data Sets",
FPAT083,"A. Adelmann, PSI, Villigen; R.D. Ryne, J.M. Shalf, C. Siegerist, LBNL, Berkeley, California","H5Part: A Portable High Performance Parallel Data Interface for Particle Simulations",
FPAT085,"D. Sagan, Cornell University, Department of Physics, Ithaca, New York; J.C. Smith, Cornell University, Laboratory for Elementary-Particle Physics, Ithaca, New York","The TAO Accelerator Simulation Program",
FPAT086,"P. Tenenbaum, SLAC, Menlo Park, California","Lucretia: A Matlab-Based Toolbox for the Modeling and Simulation of Single-Pass Electron Beam Transport Systems",
FPAT087,"M. Borland, ANL, Argonne, Illinois","elegantRingAnalysis: An Interface for High-Throughput Analysis of Storage Ring Lattices Using elegant",
FPAT088,"R.W. Garnett, J.A. Billen, LANL, Los Alamos, New Mexico; K.R. Crandall, TechSource, Santa Fe, New Mexico; P.N. Ostroumov, ANL, Argonne, Illinois; J. Qiang, R.D. Ryne, LBNL, Berkeley, California; T.P. Wangler, LANL, Los Alamos, New Mexico; R.C. York, Q. Zhao, NSCL, East Lansing, Michigan","Advanced Beam-Dynamics Simulation Tools for RIA",
FPAT089,"H. Shang, M. Borland, ANL, Argonne, Illinois","A Parallel Simplex Optimizer and Its Application to High-Brightness Storage Ring Design",
FPAT090,"H. Shang, M. Borland, ANL, Argonne, Illinois","ExperimentDesigner: A Tcl/Tk Interface for Creating Experiments in EPICS",
FPAT091,"P. Emma, K.L.F. Bane, SLAC, Menlo Park, California","LiTrack: A Fast Longitudinal Phase Space Tracking Code with Graphical User Interface",
FPAT092,"E. Schuster, Lehigh University, Bethlehem, Pennsylvania; C.K. Allen, LANL, Los Alamos, New Mexico; M. Krstic, UCSD, La Jolla, California","Optimized Beam Matching Using Extremum Seeking",
MOAA001,"C. Jarlskog, CERN, Geneva","Einstein, Nobel Prize, and Accelerators",
MOAA003,"J. Seeman, SLAC, Menlo Park, California","PEP-II and KEKB Operational Status",
MOAA004,"T. Roser, BNL, Upton, Long Island, New York","RHIC Operational Status",
MOAA005,"D.P. McGinnis, Fermilab, Batavia, Illinois","FNAL Tevatron Operational Status",
MOPA001,"P. Bauer, G. Annala, Fermilab, Batavia, Illinois; L. Bottura, CERN, Geneva; M.A. Martens, Fermilab, Batavia, Illinois; N.J. Sammut, CERN, Geneva; V.D. Shiltsev, G. Velev, Fermilab, Batavia, Illinois","Advances in the Understanding and Operations of Superconducting Colliders",
MOPA002,"W. Fischer, BNL, Upton, Long Island, New York","Performance Limitations in High-Energy Ion Colliders",
MOPA003,"V. Chohan, CERN, Geneva","Testing of the LHC Magnets in Cryogenic Conditions: Operation Challenges, Status, and Outlook",
MOPA004,"K. Seiya, T. Berenc, B. Chase, J.E. Dey, I. Kourbanis, J.A. MacLachlan, K.G. Meisner, R.J. Pasquinelli, J. Reid, C.H. Rivetta, J. Steimel, Fermilab, Batavia, Illinois","Status of Slip Stacking at Fermilab Main Injector",
MOPA005,"J. Wenninger, R. Schmidt, CERN, Geneva","Protection Against Accidental Beam Losses at the LHC",
MOPA006,"Y. Alexahin, Fermilab, Batavia, Illinois","Theory and Reality of Beam-Beam Effects at Hadron Colliders",
MOPA007,"M. Bai, L. Ahrens, BNL, Upton, Long Island, New York; I.G. Alekseev, ITEP, Moscow; J.G. Alessi, J. Beebe-Wang, M. Blaskiewicz, A. Bravar, J.M. Brennan, D. Bruno, G. Bunce, J.J. Butler, P. Cameron, R. Connolly, T. D'Ottavio, J. DeLong, K.A. Drees, W. Fischer, G. Ganetis, C.J. Gardner, J. Glenn, T. Hayes, H.-C. Hseuh, H. Huang, P. Ingrassia, U. Iriso, J.S. Laster, R.C. Lee, A.U. Luccio, Y. Luo, W.W. MacKay, Y. Makdisi, G.J. Marr, A. Marusic, G.T. McIntyre, R.J. Michnoff, C. Montag, J. Morris, T. Nicoletti, P. Oddo, B. Oerter, O. Osamu, F.C. Pilat, V. Ptitsyn, T. Roser, T. Satogata, K. Smith, BNL, Upton, Long Island, New York; D. Svirida, ITEP, Moscow; S. Tepikian, R. Tomas, D. Trbojevic, N. Tsoupas, J.E. Tuozzolo, K. Vetter, M. Wilinski, A. Zaltsman, A. Zelenski, K. Zeno, S.Y. Zhang, BNL, Upton, Long Island, New York","Polarized Proton Collisions at RHIC",
