FOAA001,"M.A.C. Cummings, Northern Illinois University, DeKalb, Illinois","New Technology in Hydrogen Absorbers for Muon Cooling Channels",
FPAE045,"J.-H. Jang, Y.-S. Cho, Y.-H. Kim, H.-J. Kwon, KAERI, Daejon","Design of the PEFP MEBT",
FPAE046,"H.-S. Kim, Y.-S. Cho, S.-H. Han, KAERI, Daejon; Y.-S. Hwang, SNU, Seoul; J.-H. Jang, Y.-H. Kim, H.-J. Kwon, M.-Y. Park, K.T. Seol, KAERI, Daejon","Initial Test of the PEFP 20MeV DTL",
FPAE047,"H.-S. Kim, Y.-S. Cho, KAERI, Daejon; Y.-S. Hwang, SNU, Seoul; Y.-H. Kim, H.-J. Kwon, K.T. Seol, KAERI, Daejon","Test Scheme Setup for the PEFP 20MeV DTL",
FPAE048,"H.-J. Kwon, Y.-S. Cho, J.-H. Jang, H.-S. Kim, Y.-H. Kim, KAERI, Daejon","Fabrication of the PEFP 3MeV RFQ Upgrade",
FPAE049,"A. Feschenko, RAS/INR, Moscow; A.V. Aleksandrov, ORNL, Oak Ridge, Tennessee; S. Bragin, RAS/INR, Moscow; J. Galambos, S. Henderson, ORNL, Oak Ridge, Tennessee; Y. Kiselev, L.V. Kravchuk, RAS/INR, Moscow; A.P. Shishlo, ORNL, Oak Ridge, Tennessee; O. Volodkevich, RAS/INR, Moscow","Development and Implementation of ?T Procedure for the SNS Linac",
FPAE050,"D. Raparia, J.G. Alessi, A. Ruggiero, W.-T. Weng, BNL, Upton, Long Island, New York","Injector Linac for the BNL Super Neutrino Beam Project",
FPAE051,"V.P. Derenchuk, V. Anferov, G.W. East, D. Friesel, IUCF, Bloomington, Indiana; R.W. Hamm, AccSys, Pleasanton, California; W.P. Jones, IUCF, Bloomington, Indiana; J.W. Staples, LBNL, Berkeley, California","Performance of a CW RFQ Injector for the IUCF Cyclotron",
FPAE052,"V.P. Derenchuk, D.V. Baxter, A. Bogdanov, W.P. Jones, T. Rinckel, K. A. Solberg, IUCF, Bloomington, Indiana","The LENS 7 MeV, 10 mA Proton Linac",
FPAE053,"Y. Liu, J.R. Beene, ORNL, Oak Ridge, Tennessee; A.C. Havener, University of Tennessee, Knoxville, Tennessee; C.C. Havener, J. F. Liang, ORNL, Oak Ridge, Tennessee","Isobar Suppression by Photodetachment in a Gas-Filled RF Quadrupole Ion Guide",
FPAE054,"P.N. Ostroumov, ANL, Argonne, Illinois; G.W. Foster, I.G. Gonin, G. Romanov, Fermilab, Batavia, Illinois; K.W. Shepard, ANL, Argonne, Illinois","Front End Design of a Multi-GeV H-minus Linac",
FPAE055,"P.N. Ostroumov, V.N. Aseev, ANL, Argonne, Illinois; A. Kolomiets, ITEP, Moscow","Heavy-Ion Beam Dynamics in the RIA Post-Accelerator",
FPAE056,"P.N. Ostroumov, ANL, Argonne, Illinois; J.R. Delayen, Jefferson Lab, Newport News, Virginia; K.W. Shepard, ANL, Argonne, Illinois","Review of a Spoke-Cavity Design Option for the RIA Driver Linac",
FPAE057,"S. Henderson, A.V. Aleksandrov, D.A. Bartkoski, C. Chu, S.M. Cousineau, V.V. Danilov, G.W. Dodson, J. Galambos, D.-O. Jeon, M.A. Plum, M.P. Stockli, ORNL, Oak Ridge, Tennessee","Beam Dynamics Studies and Beam Quality in the SNS Normal-Conducting Linac",
FPAE058,"S. Henderson, I.E. Campisi, J. Galambos, D.-O. Jeon, Y. Zhang, ORNL, Oak Ridge, Tennessee","Spallation Neutron Source Superconducting Linac Commissioning Algorithms",
FPAE059,"D.-O. Jeon, C. Chu, V.V. Danilov, ORNL, Oak Ridge, Tennessee","Transverse Matching Techniques for the SNS Linac",
FPAE061,"S. Mikhailov, DU/FEL, Durham, North Carolina; O. Anchugov, BINP SB RAS, Protvino, Moscow Region; M.D. Busch, M. Emamian, J.F. Faircloth, DU/FEL, Durham, North Carolina; N. Gavrilov, BINP SB RAS, Novosibirsk; S.M. Hartman, DU/FEL, Durham, North Carolina; G.Y. Kurkin, BINP SB RAS, Novosibirsk; J. Li, DU/FEL, Durham, North Carolina; Yu. Matveev, BINP SB RAS, Novosibirsk; V. Popov, DU/FEL, Durham, North Carolina; D. Shvedov, BINP SB RAS, Novosibirsk; G. Swift, DU/FEL, Durham, North Carolina; N. Vinokurov, BINP SB RAS, Novosibirsk; V. Vylet, P.W. Wallace, P. Wang, Y.K. Wu, DU/FEL, Durham, North Carolina","Status of the Booster Injector for the Duke FEL Storage Ring",
FPAE062,"V.V. Mytrochenko, M.I. Ayzatskiy, V.N. Boriskin, A. Dovbnya, I.V. Khodak, V.A. Kushnir, A. Opanasenko, S.A. Perezhogin, A.N. Savchenko, D.L. Stepin, V.I. Tatanov, Z.V. Zhiglo, NSC/KIPT, Kharkov","Beam Parameters of a Two-Sectional Electron Linac with the Injector Based on a Resonance System with Evanescent Oscillations",
FPAE063,"H. Hanaki, T. Asaka, H. Dewa, T. Kobayashi, A. Mizuno, S. Suzuki, T. Taniuchi, H. Tomizawa, K. Yanagida, JASRI/SPring-8, Hyogo","Enhancements of Machine Reliability and Beam Quality in SPring-8 Linac for Top-Up Injection into Two Storage Rings",
FPAE066,"M.L. Lopes, M.N. Martins, P.B. Rios, J. Takahashi, USP/LAL, Bairro Butantan","The IFUSP Microtron New Configuration",
FPAE067,"P.K. Saha, N. Hayashi, H. Hotchi, Y. Irie, JAERI/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; S. Machida, KEK, Ibaraki; F. Noda, JAERI/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; I. Sakai, KEK, Ibaraki; T. Takayanagi, JAERI/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken","Present Design and Calculation for the Injection-Dump Line of the RCS at J-PARC",
FPAE068,"H. Ryuto, N. Fukunishi, A. Goto, H. Hasebe, N. Inabe, O. Kamigaito, M. Kase, Y. Yano, S. Yokouchi, RIKEN/RARF/CC, Saitama","Charge Strippers in the RIKEN RI-Beam Factory",
FPAE069,"L. Liljeby, G. Andler, L. Bagge, M. Blom, MSL, Stockholm; H. Cederquist, Stockholm University, Department of Physics, Stockholm; H. Danared, A. Källberg, MSL, Stockholm; M. Larsson, Stockholm University, Department of Physics, Stockholm; S. Leontein, P. Löfgren, A. Paal, K.-G. Rensfelt, MSL, Stockholm; H.T. Schmidt, K. Schmidt, Stockholm University, Department of Physics, Stockholm; A. Simonsson, Ö. Skeppstedt, MSL, Stockholm","DESIREE - A Double Electrostatic Storage Ring for Low Energy Ion-Ion Collisions",
FPAE070,"J. Pasternak, C.B. Bal, C. Carli, M. Chanel, E. Mahner, CERN, Geneva","A Collimation Scheme for Ions Changing Charge State in the LEIR Ring",
FPAE071,"P.K. Roy, A. Anders, D. Baca, F.M. Bieniosek, J.E. Coleman, LBNL, Berkeley, California; R.C. Davidson, P. Efthimion, PPPL, Princeton, New Jersey; S. Eylon, LBNL, Berkeley, California; E.P. Gilson, PPPL, Princeton, New Jersey; W.G. Greenway, E. Henestroza, LBNL, Berkeley, California; I. Kaganovich, PPPL, Princeton, New Jersey; M. Leitner, B. G. Logan, LBNL, Berkeley, California; D. Rose, ATK-MR, Albuquerque, New Mexico; A.B. Sefkow, PPPL, Princeton, New Jersey; W.M. Sharp, LLNL, Livermore, California; D. Shuman, LBNL, Berkeley, California; C.H. Thoma, ATK-MR, Albuquerque, New Mexico; D.L. Vanecek, W. Waldron, LBNL, Berkeley, California; D.R. Welch, ATK-MR, Albuquerque, New Mexico; S. Yu, LBNL, Berkeley, California","Initial Results on Neutralized Drift Compression Experiments (NDCX-IA) for High Intensity Ion Beam",
FPAE072,"D. Gorelov, V. Andreev, D. Bazin, M. Doleans, T.L. Grimm, F. Marti, J. Vincent, X. Wu, NSCL, East Lansing, Michigan","RF-Kicker System for Secondary Beams at NSCL/MSU",
FPAE073,"P.T. Spampinato, ORNL, Oak Ridge, Tennessee; A. Fabich, CERN, Geneva; T.A. Gabriel, V.B. Graves, ORNL, Oak Ridge, Tennessee; H. Haseroth, CERN, Geneva; H.G. Kirk, BNL, Upton, Long Island, New York; J. Lettry, CERN, Geneva; K.T. McDonald, PU, Princeton, New Jersey; M.J. Rennich, ORNL, Oak Ridge, Tennessee; N. Simos, BNL, Upton, Long Island, New York; P. Titus, MIT/PSFC, Cambridge, Massachusetts; T. Tsang, BNL, Upton, Long Island, New York","A Free Hg Jet System for Use in a High-Power Target Experiment",
FPAE074,"M.A. Plum, M. Holding, T. McManamy, ORNL, Oak Ridge, Tennessee","Beam Parameter Measurement and Control at the SNS Target",
FPAE075,"E. Mustafin, J. Kaugerts, GSI, Darmstadt; L.N. Latysheva, RAS/INR, Moscow; G. Moritz, GSI, Darmstadt; N. Sobolevskiy, RAS/INR, Moscow; G. Walter, GSI, Darmstadt","Radiation Damage to the Elements of the SIS300 Dipoles",
FPAE076,"P. Junphong, Mr. Ano, Mr. Lekprasert, Dr. Suwannakachorn, N. Thongnopparat, T. Vilaithong, FNRF, Chiang Mai; H. Wiedemann, SLAC, Menlo Park, California","The System of Nanosecond 280-keV-He+ Pulsed Beam",
FPAE077,"C.H. Thoma, ATK-MR, Albuquerque, New Mexico; S. Eylon, LBNL, Berkeley, California; E.P. Gilson, PPPL, Princeton, New Jersey; E. Henestroza, P.K. Roy, LBNL, Berkeley, California; D.R. Welch, ATK-MR, Albuquerque, New Mexico; S. Yu, LBNL, Berkeley, California","LSP Simulations of the Neutralized Drift Compression Experiment",
