fra001,"M. Boyes, SLAC, Menlo Park, California; T. A. Pelaia, ORNL, Oak Ridge, Tennessee","Introducing CAML II",922 924,
thp024,"A. A. Maltsev, JINR, Dubna, Moscow Region; M. V. Maltseva, TENZOR, Dubna, Moscow region","About the Opportunity to Use Solid-State Photo Multipliers for not Destroying Synchrotron Diagnostics of High Energy Proton Beams",99 98,
thp025,"A. A. Maltsev, JINR, Dubna, Moscow Region","The Scyntillation Solid-State Detector for Complex Control and Diagnostics System of Subcritical Electronuclear Installation",99 98,
thp026,"A. Araz, U. Bonnes, R. Eichhorn, F. Hug, M. Konrad, A. Richter, TU Darmstadt, Darmstadt","Development of an FPGA Based RF Control System For the S-DALINAC",718 720,
thp027,"D. E. Berkaev, O. V. Belikov, P. B. Cheblakov, A. S. Kasaev, V. R. Kozak, F. V. Podgorny, A. S. Stankevich, BINP SB RAS, Novosibirsk","Control System for Injection Channels of VEPP-2000 Collider",721 723,
thp028,"D. E. Berkaev, P. B. Cheblakov, A. N. Kirpotin, I. Koop, V. R. Kozak, E. A. Kuper, A. P. Lysenko, A. S. Medvedko, Yu. A. Rogovsky, P. Yu. Shatunov, Y. M. Shatunov, BINP SB RAS, Novosibirsk","VEPP-2000 Collider Control System",724 726,
thp030,"M. Drochner, A. Erven, L. Fleischhauer-Fuss, J. Heinen, H. Kleines, D. Korolkov, S. Mattauch, M. Monkenbusch, M. Wagener, FZJ, Jülich","New Developments for the JCNS Neutron Scattering Instruments",727 729,
thp031,"T. Matsumoto, T. Kudo, T. Masuda, R. Tanaka, JASRI/SPring-8, Hyogo-ken","Upgrade of RF Control System at SPring-8",730 732,
thp032,"A. C. Mezger, D. Anicic, M. Gasche, T. Korhonen, H. Lutz, PSI, Villigen","Upgrading the PROSCAN Control System to EPICS: A Success Story",733 735,
thp034,"P. Duval, P. K. Bartkiewicz, S. W. Herb, M. Lomperski, DESY, Hamburg; S. Weisse, DESY Zeuthen, Zeuthen","TINE Release 4.1: Responding to the User's Needs",736 738,
thp035,"S. E. Karnaev, D. Bolkhovityanov, S. I. Mishnev, O. A. Plotnikova, A. G. Shamov, BINP SB RAS, Novosibirsk","Automation of the Experiment on the VEPP-4 Facility",99 98,
thp036,"L. R. Dalesio, D. Dohan, BNL, Upton, Long Island, New York; R. Lange, Helmholtz-Zentrum Berlin für Materialien und Energie GmbH, Elektronen-Speicherring BESSY II, Berlin","A Proposal for Introspection In EPICS",739 740,
thp038,"D. Schirmer, O. Kopitetzki, P. Towalski, DELTA, Dortmund","First Experience with the Introduction of Virtualization Techniques into the DELTA Control System",741 743,
thp040,"A. C. Caruso, F. Consoli, INFN/LNS, Catania; A. Longhitano, ALTEK, San Gregorio (CATANIA); A. Spartà, INFN/LNS, Catania; L. Xia, CIAE, Beijing","New PC-Based Control for the RF System at INFN/LNS",744 746,
thp042,"G. Di Pirro, F. A. Anelli, M. Bellaveglia, E. Chiadroni, INFN/LNF, Frascati (Roma); A. Cianchi, Università di Roma II Tor Vergata, Roma; L. Cultrera, D. Filippetto, S. Fioravanti, E. Pace, INFN/LNF, Frascati (Roma); M. Quattromini, V. Surrenti, ENEA C. R. Frascati, Frascati (Roma)","The SPARC Control System",747 749,
thp043,"E. Pace, G. Di Pirro, S. Fioravanti, INFN/LNF, Frascati (Roma)","PostgreSQL Usage within the SPARC Control System",750 752,
thp044,"E. Pace, F. A. Anelli, A. Clozza, G. Di Pirro, S. Fioravanti, INFN/LNF, Frascati (Roma)","The SPARC Vacuum System",753 755,
thp045,"R. P. Mannix, STFC/RAL/ISIS, Chilton, Didcot, Oxon","Controls Evolution on ISIS, an Accelerator Based Neutron Production Facility",756 758,
thp047,"T. Hoffmann, GSI, Darmstadt; J. Bobnar, Cosylab, Ljubljana; K. Höppner, GSI, Darmstadt; G. Jansa, Cosylab, Ljubljana; P. Kowina, K. Lang, GSI, Darmstadt; S. Sah, Cosylab, Ljubljana; M. Schwickert, GSI, Darmstadt; M. Sekoranja, I. Verstovsek, Cosylab, Ljubljana","A New DAQ Installation for the SIS18 Beam Position Monitoring System at GSI",759 761,
thp049,"V. Sharma, BARC-EBC, Mumbai; S. Acharya, BARC, Mumbai; K. C. Mittal, BARC-EBC, Mumbai","Distributed Control System for an Industrial Electron Accelerator",99 98,
thp050,"T. Fukui, T. Hasegawa, N. Hosoda, H. Maesaka, RIKEN/SPring-8, Hyogo; T. Masuda, T. Morinaga, T. Ohata, JASRI/SPring-8, Hyogo-ken; T. Ohshima, Y. Otake, K. Shirasawa, RIKEN/SPring-8, Hyogo; S. Takahashi, M. Yamaga, A. Yamashita, JASRI/SPring-8, Hyogo-ken","RF Test Stand Control System for XFEL/SPring-8",762 764,
thp052,"K. Furukawa, KEK, Ibaraki; A. Kazakov, Sokendai, Ibaraki; T. Kudou, S. Kusano, T. Nakamura, MELCO SC, Tsukuba; T. T. Nakamura, M. Satoh, T. Suwada, KEK, Ibaraki","New Event-based Control System for Simultaneous Top-up Operation at KEKB and PF",765 767,
thp053,"P. Krejcik, S. Allison, A. Chan, S. Chevtsov, P. Chu, D. Fairley, E. Grunhaus, D. Rogind, H. Shoaee, G. R. White, E. Williams, S. Zelazny, SLAC, Menlo Park, California","Experience with the SLAC Controls Architecture Evolving to the Needs of the LCLS",99 98,
thp055,"C. X. Yin, D. K. Liu, M. Liu, S. W. Tang, L. Y. Zhao, SINAP, Shanghai","SSRF Fast Orbit Feedback System Design and Commissioning",99 98,
thp056,"H.-J. Kreidel, M. Dehn, IKP, Mainz","Computer Models to Optimise the Setting of the MAMI Double Sided Microtron",768 770,
thp057,"I. I. Morozov, BINP SB RAS, Novosibirsk","Stabilisation of an Orbit of Particles for VEPP-4M Electron-pozitron Collider",771 772,
thp058,"Y. A. Bashmakov, V. A. Karpov, LPI, Moscow","Control of Duration and Time Uniformity of Beam Extracted from a Synchrotron.",99 98,
thp059,"R. Müller, R. Goergen, R. Lange, I. Mueller, J. Rahn, Helmholtz-Zentrum Berlin für Materialien und Energie GmbH, Elektronen-Speicherring BESSY II, Berlin","Introducing Fast Orbit Feedback at BESSY",773 775,
thp061,"T. Tanabe, D. Chabot, O. V. Chubar, L. R. Dalesio, D. A. Harder, J. Rank, BNL, Upton, Long Island, New York","NSLS-II Insertion Device Controls Plan",776 778,
thp062,"P. C. Chiu, K. T. Hsu, C. H. Kuo, NSRRC, Hsinchu","Performance Studies of an Integrated Orbit Feedback System with Slow and Fast Correctors",779 781,
thp063,"R. Lange, R. Goergen, I. Mueller, R. Müller, J. Rahn, Helmholtz-Zentrum Berlin für Materialien und Energie GmbH, Elektronen-Speicherring BESSY II, Berlin","Preparing Slow Controls at BESSY for Fast Orbit Feedback",782 784,
thp064,"C. H. Kuo, J. Chen, P. C. Chiu, K. T. Hsu, K. H. Hu, NSRRC, Hsinchu","Orbit Feedback in Taiwan Light Source",785 787,
thp065,"F. Saint-Laurent, Association EURATOM-CEA, St Paul Lez Durance; J. Blum, C. Boulbe, Université de Nice Sophia-Antipolis, Nice; S. P. Bremond, Association EURATOM-CEA, St Paul Lez Durance; B. Faugeras, Université de Nice Sophia-Antipolis, Nice; P. Moreau, Association EURATOM-CEA, St Paul Lez Durance","Plasma Position Control and Current Profile Reconstruction for Tokamaks",788 790,
thp066,"P. Hartmann, D. Schirmer, G. Schuenemann, P. Towalski, T. Weis, DELTA, Dortmund","Fast Orbit Feedbacks for DELTA",791 793,
thp067,"B. Bradu, P. Gayet, CERN, Geneva","PROCOS: a Real Time Process Simulator Coupled to the Control System",794 796,
thp068,"U. R. Ristau, EMBL, Hamburg","Feedbacks and Controls of the EMBL Petra III Beamlines",99 98,
thp069,"M. Boyes, SLAC, Menlo Park, California","Laser Heater Controls Overview at the Linac Coherent Light Source",99 98,
thp070,"A. Kosicek, P. Leban, I-Tech, Solkan","Libera Brilliance and Libera Photon Working Together in Fast Orbit Feedback",797 799,
thp071,"H. Hassanzadegan, ESS Bilbao, Bilbao; F. J. Bermejo, Bilbao, Faculty of Science and Technology, Bilbao; I. Del Campo, University of the Basque Country, Bilbao; V. Etxebarria, University of the Basque Country, Faculty of Science and Technology, Bilbao; N. Garmendia, ESS Bilbao, Bilbao","Design and Implementation of the Pulsed Digital LLRF System of the ESS-Bilbao Ion Source Test Stand",800 802,
thp072,"T. Nakamura, T. Aoki, K. Fukami, K. Kobayashi, M. Shoji, H. Yonehara, JASRI/SPring-8, Hyogo-ken","Tune Tracking RFKO Bunch Purification with Bunch-by-bunch Feedback at SPring-8",803 805,
