fraa01,"R. Paparella [INFN/LASA, Segrate (MI), Italy] ","Overview of Recent Tuner Development on Elliptical and Low-Beta Cavities",1425 1431,
mopb041,"D. Gonnella, B. Clasby, R.G. Eichhorn, B. Elmore, F. Furuta, G.M. Ge, D.L. Hall, Y. He, G.H. Hoffstaetter, J.J. Kaufman, P.N. Koufalis, M. Liepe, J.T. Maniscalco, T.I. O'Connell, P. Quigley, D.M. Sabol, E.N. Smith, V. Veshcherevich [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] A. Grassellino, C.J. Grimm, J.P. Holzbauer, O.S. Melnychuk, Y.M. Pischalnikov, A. Romanenko, W. Schappert, D.A. Sergatskov [Fermilab, Batavia, Illinois, USA] A.D. Palczewski, C.E. Reece [JLab, Newport News, Virginia, USA] ","Cryomodule Testing of Nitrogen-Doped Cavities",182 186,
mopb042,"D. Gonnella, T. Gruber, J.J. Kaufman, P.N. Koufalis, M. Liepe, J.T. Maniscalco, B. Yu [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Fundamental Studies on Doped SRF Cavities",187 190,
mopb045,"D. Kang, D.C. Baars, T.R. Bieler [Michigan State University, East Lansing, Michigan, USA] C. Compton [FRIB, East Lansing, Michigan, USA] A. Mapar, F. Pourboghrat [MSU, East Lansing, Michigan, USA] ","Study of Slip and Deformation in High Purity Single Crystal Nb for Accelerator Cavities",191 195,
mopb047,"M. Basovic, S. Popovic (S. Popović), M. Tomovic, L. Vuskovic (L. Vušković) [ODU, Norfolk, Virginia, USA] F. Cuckov (F. Čučkov), A. Samolov [University of Massachusetts Boston, Boston, Massachusetts, USA] ","Secondary Electron Yield of Electron Beam Welded Areas of SRF Cavities",196 200,
mopb049,"T. Junginger [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] P. Horn [TU Dresden, Dresden, Germany] T. Koettig, K.C. Liao, A. Macpherson [CERN, Geneva, Switzerland] B.J. Peters [KIT, Karlsruhe, Germany] ","High Flux Three Dimensional Heat Transport in Superfluid Helium and Its Application to a Trilateration Algorithm for Quench Localization With OSTs",201 204,
mopb050,"R.E. Laxdal, T.J. Buck, T. Junginger, P. Kolb, Y.Y. Ma, L. Yang, Z.Y. Yao [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] S.H. Abidi [University of Toronto, Toronto, Ontario, Canada] R. Kiefl [UBC  TRIUMF, Vancouver, British Columbia, Canada] ","Characterization of SRF Materials at the TRIUMF muSR Facility",205 209,
mopb051,"S. Gheidi [UBC, Vancouver, B.C., Canada] T.J. Buck, T. Junginger, R.E. Laxdal, G. Morris [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] M. Dehn [TUM/Physik, Garching bei München, Germany] R. Kiefl [UBC  TRIUMF, Vancouver, British Columbia, Canada] ","Muon Spin Rotation on Treated Nb Samples in Parallel Field Geometry",210 213,
mopb052,"S. Chetri, D.C. Larbalestier, Z-H. Sung [ASC, Tallahassee, Florida, USA] P. Dhakal [JLab, Newport News, Virginia, USA] P.J. Lee [NHMFL, Tallahassee, Florida, USA] ","Determination of Bulk and Surface Superconducting Properties of N2-Doped Cold Worked, Heat Treated and Electro-polished SRF Grade Niobium",214 218,
mopb054,"Z. Zhao, T.R. Bieler, D. Kang [Michigan State University, East Lansing, Michigan, USA] C. Compton [FRIB, East Lansing, Michigan, USA] ","An Investigation of Correlations Between Mechanical and Microstructural Properties of High Purity Polycrystalline Niobium",219 222,
mopb055,"Y. Trenikhina, A. Grassellino, O.S. Melnychuk, A. Romanenko [Fermilab, Batavia, Illinois, USA] ","Characterization of Nitrogen Doping Recipes for the Nb SRF Cavities",223 227,
mopb057,"A. Mapar, F. Pourboghrat [MSU, East Lansing, Michigan, USA] T.R. Bieler, D. Kang [Michigan State University, East Lansing, Michigan, USA] C. Compton [FRIB, East Lansing, Michigan, USA] ","Crystal Plasticity Modeling of Single Crystal Nb",228 232,
mopb058,"S. Lagotzky, G. Mueller (G. Müller) [Bergische Universitaet Wuppertal, Wuppertal, Germany] ","Field Emission From a Thermally Oxidized Nb Sample",233 236,
mopb059,"S. Lagotzky, G. Mueller (G. Müller) [Bergische Universitaet Wuppertal, Wuppertal, Germany] A. Navitski [DESY, Hamburg, Germany] A.L. Prudnikava, Y. Tamashevich [University of Hamburg, Institut fuer Experimentalphysik, Hamburg, Germany] ","Field Emission Investigation of Centrifugal-Barrel-Polished Nb Samples",237 241,
