fraa01,"R. Paparella [INFN/LASA, Segrate (MI), Italy] ","Overview of Recent Tuner Development on Elliptical and Low-Beta Cavities",1425 1431,
tupb040,"S. Wilde, B. Chesca [Loughborough University, Loughborough, Leicestershire, United Kingdom] E. Alves [Associação EURATOM/IST, Instituto de Plasmas e Fusão Nuclear, Lisboa, Portugal] N.P. Barradas [Universidade de Lisboa, Instituto Superior Técnico, Bobadela, Portugal] A.N. Hannah, O.B. Malyshev, S.M. Pattalwar, R. Valizadeh [STFC/DL/ASTeC, Daresbury, Warrington, Cheshire, United Kingdom] G.B.G. Stenning [STFC/RAL/ISIS, Chilton, Didcot, Oxon, United Kingdom] ","High Power Impulse Magnetron Sputtering of Thin Films for Superconducting RF Cavities",647 650,
tupb041,"R.E. Laxdal, T.J. Buck [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] S. Gheidi [UBC, Vancouver, B.C., Canada] R. Kiefl [UBC  TRIUMF, Vancouver, British Columbia, Canada] M. Liepe, S. Posen [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Testing Nb3Sn Coating Using muSR",651 655,
tupb042,"T. Junginger [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] S. Calatroni, G. Terenziani [CERN, Geneva, Switzerland] T. Prokscha, Z. Salman, A. Suter [PSI, Villigen PSI, Switzerland] Th. Proslier [ANL, Argonne, Illinois, USA] G. Terenziani [Sheffield University, Sheffield, United Kingdom] J. Zasadzinski [IIT, Chicago, Illinois, USA] ","Low Energy Muon Spin Rotation and Point Contact Tunneling Applied to Niobium Films for SRF Cavities",656 660,
tupb044,"D.L. Hall, B. Clasby, H. Conklin, R.G. Eichhorn, T. Gruber, G.H. Hoffstaetter, J.J. Kaufman, M. Liepe [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","High Quality Factor Studies in SRF Nb3Sn Cavities",661 664,
tupb045,"D.L. Hall, H. Conklin, T. Gruber, J.J. Kaufman, M. Liepe, J.T. Maniscalco, B. Yu [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] Th. Proslier [ANL, Argonne, Illinois, USA] ","Surface Analysis and Material Property Studies of Nb3Sn on Niobium for Use in SRF Cavities",665 668,
tupb046,"J. Tuggle, M.J. Kelley [Virginia Polytechnic Institute and State University, Blacksburg, USA] G.V. Eremeev, M.J. Kelley, C.E. Reece [JLab, Newport News, Virginia, USA] M.J. Kelley, H. Xu [The College of William and Mary, Williamsburg, Virginia, USA] ","Structure and Composition of Nb3Sn Diffusion Coated Films on Nb",669 672,
tupb047,"C. Schlemper, X. Jiang, M. Vogel [University Siegen, Siegen, Germany] ","Next Generation of SRF-Guns: Low Secondary Electron Yield Based on a Thin Film Approach",673 677,
tupb048,"S. Posen, M. Merio, A. Romanenko, Y. Trenikhina [Fermilab, Batavia, Illinois, USA] ","Fermilab Nb3Sn R&D Program",678 680,
tupb049,"S. Posen, O.S. Melnychuk, A. Romanenko, D.A. Sergatskov, Y. Trenikhina [Fermilab, Batavia, Illinois, USA] D.L. Hall, M. Liepe [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Cutout Study of a Nb3Sn Cavity",681 685,
tupb050,"S. Aull, T. Junginger, H. Neupert [CERN, Geneva, Switzerland] S. Aull, J. Knobloch [University of Siegen, Siegen, Germany] J. Knobloch [HZB, Berlin, Germany] ","Secondary Electron Yield of SRF Materials",686 690,
tupb051,"G.J. Rosaz, S. Calatroni, F.M. Leaux, F. Motschmann, Z. Mydlarz, M. Taborelli, W. Vollenberg [CERN, Geneva, Switzerland] ","Development of Nb3Sn Coatings by Magnetron Sputtering for SRF Cavities",691 694,
tupb052,"S. Calatroni [CERN, Geneva, Switzerland] ","HTS Coatings for Impedance Reduction of Beam-Induced RF Image Currents in the FCC",695 699,
tupb053,"T. Tajima, L. Civale, R.K. Schulze [LANL, Los Alamos, New Mexico, USA] ","Research on MgB2 at LANL for the Application to SRF Structures",700 702,
tupb054,"U. Pudasaini, M.J. Kelley [The College of William and Mary, Williamsburg, Virginia, USA] G.V. Eremeev, M.J. Kelley, C.E. Reece [JLab, Newport News, Virginia, USA] ","Local Composition and Topography of Nb3Sn Diffusion Coatings on Niobium",703 707,
tupb056,"Y. Trenikhina, S. Posen, A. Romanenko [Fermilab, Batavia, Illinois, USA] D.L. Hall [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] M. Liepe [Cornell University, Ithaca, New York, USA] ","Characterization of Nb3Sn Coated Nb Samples",708 711,
tupb058,"N. Katyan, C.Z. Antoine [CEA/DSM/IRFU, Grenoble, France] C.Z. Antoine [CEA/IRFU, Gif-sur-Yvette, France] ","Characterization of Thin Films Using Local Magneometer",712 715,
tupb059,"O.B. Malyshev, K.D. Dumbell, L. Gurran, N. Pattalwar, S.M. Pattalwar, R. Valizadeh [STFC/DL/ASTeC, Daresbury, Warrington, Cheshire, United Kingdom] K.D. Dumbell, S.M. Pattalwar, R. Valizadeh [Cockcroft Institute, Warrington, Cheshire, United Kingdom] A.V. Gurevich [ODU, Norfolk, Virginia, USA] L. Gurran [Lancaster University, Lancaster, United Kingdom] L. Gurran [Cockcroft Institute, Lancaster University, Lancaster, United Kingdom] ","A Facility for Magnetic Field Penetration Measurements on Multilayer S-I-S Structures",716 719,
tupb060,"S.I. Sosa Guitron, J.R. Delayen, A.V. Gurevich [ODU, Norfolk, Virginia, USA] E. Chang Beom, C. Sundahl [University of Wisconsin-Madison, Madison, USA] G.V. Eremeev [JLab, Newport News, Virginia, USA] ","Measurements of RF Properties of Thin Film Nb3Sn Superconducting Multilayers Using a Calorimetric Technique",720 722,
tupb062,"Y. Iwashita, Y. Fuwa [Kyoto ICR, Uji, Kyoto, Japan] M. Hino [Kyoto University, Research Reactor Institute, Osaka, Japan] T. Kubo, T. Saeki [KEK, Ibaraki, Japan] ","Evaluation of Sc Property Coated on a Surface",723 725,
tupb063,"J.K. Spradlin, C.E. Reece, A-M. Valente-Feliciano [JLab, Newport News, Virginia, USA] ","A Multi-Sample Residual Resistivity Ratio System for High Quality Superconductor Measurements",726 730,
tupb064,"P. Goudket, K.D. Dumbell, L. Gurran, O.B. Malyshev, N. Pattalwar, S.M. Pattalwar, R. Valizadeh [STFC/DL/ASTeC, Daresbury, Warrington, Cheshire, United Kingdom] G. Burt, L. Gurran [Cockcroft Institute, Lancaster University, Lancaster, United Kingdom] G. Burt, L. Gurran [Lancaster University, Lancaster, United Kingdom] P. Goudket, O.B. Malyshev, S.M. Pattalwar, R. Valizadeh [Cockcroft Institute, Warrington, Cheshire, United Kingdom] T.J. Jones, E.S. Jordan [STFC/DL, Daresbury, Warrington, Cheshire, United Kingdom] ","Superconducting Thin Film Test Cavity Commissioning",731 734,
tupb065,"P.B. Welander, M.A. Franzi, S.G. Tantawi [SLAC, Menlo Park, California, USA] ","Cryogenic RF Characterization of Superconducting Materials at SLAC With Hemispherical Cavities",735 738,
tupb067,"S. Keckert, R. Kleindienst, J. Knobloch, O. Kugeler [HZB, Berlin, Germany] ","Design and First Measurements of an Alternative Calorimetry Chamber for the HZB Quadrupole Resonator",739 743,
tupb071,"C.S. Hopper, J.R. Delayen, H. Park [ODU, Norfolk, Virginia, USA] J.R. Delayen, H. Park [JLab, Newport News, Virginia, USA] ","Development and Testing of a 325 MHz beta0 = 0.82 Single-Spoke Cavity",744 746,
tupb072,"G.-T. Park, H.J. Cha, H. Kim, W.K. Kim [IBS, Daejeon, Republic of Korea] Z.Y. Yao [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","Report of Vertical Test of the =0.12 Half-Wave Resonator at RISP",747 749,
tupb073,"L. Ristori, A. Grassellino, O.S. Melnychuk, D.A. Sergatskov, A.I. Sukhanov [Fermilab, Batavia, Illinois, USA] K.K. Mistri, P.N. Potukuchi, A. Rai, J. Sacharias, S.S.K. Sonti [IUAC, New Delhi, India] ","Cold Tests of SSR1 Resonators Manufactured by IUAC for the Fermilab PIP-II Project",750 753,
tupb074,"D. Passarelli, T.H. Nicol, M. Parise, L. Ristori [Fermilab, Batavia, Illinois, USA] ","High-Vacuum Simulations and Measurements on the SSR1 Cryomodule Beam-Line",754 756,
tupb075,"F.D. Dziuba, M. Amberg, M. Basten, M. Busch, H. Podlech [IAP, Frankfurt am Main, Germany] M. Amberg, K. Aulenbacher, W.A. Barth, S. Mickat [HIM, Mainz, Germany] K. Aulenbacher [IKP, Mainz, Germany] W.A. Barth, S. Mickat [GSI, Darmstadt, Germany] ","Measurements on the Superconducting 217 MHz CH Cavity During the Manufacturing Phase",757 759,
tupb076,"P. Zhang, W. Venturini Delsolaro [CERN, Geneva, Switzerland] ","The Multipacting Study of Niobium Sputtered High-Beta Quarter-Wave Resonators for HIE-ISOLDE",760 764,
tupb077,"P. Zhang, G.J. Rosaz, A. Sublet, M. Therasse, W. Venturini Delsolaro [CERN, Geneva, Switzerland] ","The Influence of Cooldown Conditions at Transition Temperature on the Quality Factor of Niobium Sputtered Quarter-Wave Resonators for HIE-ISOLDE",765 769,
tupb078,"A.V. Velez (A.V. Vélez), A. Frahm, J. Knobloch, A. Neumann [HZB, Berlin, Germany] ","Developments on a Cold Bead-Pull Test Stand for SRF Cavities",770 773,
tupb079,"Y. Tamashevich [University of Hamburg, Hamburg, Germany] E. Elsen, A. Navitski [DESY, Hamburg, Germany] ","Second Sound Quench Detection of Dressed TESLA-Shape SRF Cavities",774 777,
tupb080,"A. Macpherson, S. Aull, A. Benoit, P.F. Fernández López, K.G. Hernández-Chahín, C. Jarrige, P. Maesen, K.M. Schirm, R. Torres-Sanchez, R. Valera Teruel [CERN, Geneva, Switzerland] K.G. Hernández-Chahín [DCI-UG, León, Mexico] T. Junginger [HZB, Berlin, Germany] T. Junginger [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","Diagnostic Developments at CERN's SRF Testing Facility",778 782,
tupb081,"F. Furuta, R.G. Eichhorn, G.M. Ge, D. Gonnella, D.L. Hartill, G.H. Hoffstaetter, J.J. Kaufman, M. Liepe, E.N. Smith [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Multi-Cell Temperature Mapping and Conclusions",783 787,
tupb082,"G.V. Eremeev [JLab, Newport News, Virginia, USA] D.C. Iriks [Santa Rosa Junior College, Santa Rosa, USA] ","Automatic Surface Defect Detection and Sizing for Superconducting Radio Frequency Cavity Using Haar Cascades",788 790,
tupb083,"H. Li, A.K. Bhattacharyya, V.A. Goryashko, L. Hermansson, R.J.M.Y. Ruber, R. Santiago Kern [Uppsala University, Uppsala, Sweden] D.S. Dancila [Uppsala University, Department of Engineering Sciences, Uppsala, Sweden] G. Olry [IPN, Orsay, France] ","Test Characterization of Superconducting Spoke Cavities at Uppsala University",791 794,
tupb085,"M. Wenskat, L. Steder [DESY, Hamburg, Germany] ","Characterization of Optical Surface Properties of 1.3 GHz SRF Cavities for the European XFEL",795 798,
tupb087,"M. Bertucci, P. Michelato, L. Monaco, M. Moretti, C. Pagani [INFN/LASA, Segrate (MI), Italy] A. Navitski [DESY, Hamburg, Germany] ","Development of an X-Ray Fluorescence Probe for Inner Cavity Inspection",799 803,
tupb088,"S.R. Markham, R.G. Eichhorn, D.L. Hartill, G.H. Hoffstaetter [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","On Quench Propagation, Quench Detection and Second Sound in SRF Cavities",804 809,
tupb089,"V.A. Goryashko, K.J. Gajewski, L. Hermansson, H. Li, H. Nicander, R.J.M.Y. Ruber, R. Santiago Kern, S. Teerikoski [Uppsala University, Uppsala, Sweden] D.S. Dancila [Uppsala University, Department of Engineering Sciences, Uppsala, Sweden] ","High-Precision Measurements of the Quality Factor of Superconducting Cavities at the FREIA Laboratory",810 813,
tupb091,"W. Schappert, J.P. Holzbauer, Y.M. Pischalnikov, D.A. Sergatskov [Fermilab, Batavia, Illinois, USA] ","Systematic Uncertainties in RF-Based Measurement of Superconducting Cavity Quality Factors",814 818,
tupb093,"M.T. Crofford, J.A. Ball, M. Doleans, S.-H. Kim, S.W. Lee, J.D. Mammosser, J. Saunders [ORNL, Oak Ridge, Tennessee, USA] T.L. Davidson, S. Whaley [ORNL RAD, Oak Ridge, Tennessee, USA] ","Initial Commissioning Experience with the Spallation Neutron Source Vertical Test Area RF System",819 822,
tupb094,"T. Powers, M.L. Morrone [JLab, Newport News, Virginia, USA] ","Jefferson Lab Vertical Test Area RF System Improvement",823 827,
tupb095,"W. Schappert, J.P. Holzbauer, Y.M. Pischalnikov [Fermilab, Batavia, Illinois, USA] D. Gonnella [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] M. Liepe [Cornell University, Ithaca, New York, USA] ","Resonance Control for Narrow-Bandwidth, Superconducting RF Applications",828 831,
tupb096,"L. Yang, R.E. Laxdal, V. Zvyagintsev [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","Mechanical Damper Study for ISAC-II Quarter Wave Resonators",832 836,
tupb097,"Z. Gao, W. Chang, Y. He, W.M. Yue, S.H. Zhang, Z.L. Zhu [IMP/CAS, Lanzhou, People's Republic of China] Q. Chen [IHEP, Beijing, People's Republic of China] T. Powers [JLab, Newport News, Virginia, USA] ","The Study on Microphonics of Low Beta HWR Cavity at IMP",837 839,
tupb098,"G. Wu, S. Aderhold, M. Checchin, M. Martinello, J.P. Ozelis [Fermilab, Batavia, Illinois, USA] ","Error Analysis on RF Measurement Due to Imperfect RF Components",840 843,
tupb099,"G. Wu, S. Aderhold, S.K. Chandrasekaran, A.C. Crawford, A. Grassellino, C.J. Grimm, J.P. Ozelis, D.A. Sergatskov, A. Vostrikov [Fermilab, Batavia, Illinois, USA] ","Magnetic Foils for SRF Cryomodule",844 846,
tupb100,"J. Plouin, F. Leseigneur [CEA/DSM/IRFU, France] N. Bazin, P. Charon, G. Devanz, H. Dzitko, P. Hardy, J. Neyret, O. Piquet [CEA/IRFU, Gif-sur-Yvette, France] ","CEA Experience and Effort to Limit Magnetic Flux Trapping in Superconducting Cavities",847 851,
tupb101,"N. Templeton, T.J. Jones [STFC/DL, Daresbury, Warrington, Cheshire, United Kingdom] K. Artoos, R. Calaga, O. Capatina, T. Capelli, F. Carra, R. Leuxe, C. Zanoni [CERN, Geneva, Switzerland] G. Burt, S.M. Pattalwar [Cockcroft Institute, Warrington, Cheshire, United Kingdom] G. Burt [Cockcroft Institute, Lancaster University, Lancaster, United Kingdom] G. Burt [Lancaster University, Lancaster, United Kingdom] K.B. Marinov, A.J. May, S.M. Pattalwar [STFC/DL/ASTeC, Daresbury, Warrington, Cheshire, United Kingdom] A. Ratti [LBNL, Berkeley, California, USA] ","Design of the Thermal and Magnetic Shielding for the LHC High Luminosity Crab-Cavity Upgrade",852 856,
tupb102,"S.K. Chandrasekaran, K. Saito [FRIB, East Lansing, Michigan, USA] ","Validation of Local Magnetic Shielding for FRIB Using a Prototype Cryomodule",857 860,
tupb103,"Z.Y. Yao, R.E. Laxdal, W.R. Rawnsley, V. Zvyagintsev [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","Cryomodule Protection for ARIEL e-Linac",861 864,
tupb104,"B. van der Horst, M. Helmig, A. Matheisen, S. Saegebarth, M. Schalwat [DESY, Hamburg, Germany] ","Series Production of BQU at DESY for the EU-XFEL Module Assembly at CEA Saclay",865 868,
tupb105,"M. Schmoekel (M. Schmökel), R. Bandelmann, A. Daniel, A. Matheisen, P. Schilling, B. van der Horst [DESY, Hamburg, Germany] R. Paparella, P. Pierini, D. Sertore [INFN/LASA, Segrate (MI), Italy] ","String Assembly for the EU-XFEL 3.9 GHz Module at DESY",869 873,
tupb106,"M. Therasse, G. Barlow, S. Bizzaglia, J.A. Bousquet, A. Chrul, P. Demarest, J-B. Deschamps, J.A. Ferreira Somoza, J. Gayde, M. Gourragne, A. Harrison, G. Kautzmann, D. Mergelkuhl, V. Parma, M. Struik, W. Venturini Delsolaro, L.R. Williams, P. Zhang [CERN, Geneva, Switzerland] J. Dequaire [Intitek, Lyon, France] ","First HIE-ISOLDE Cryo-module Assembly at CERN",874 878,
tupb107,"N. Bazin, G. Devanz, P. Hardy, C. Servouin [CEA/DSM/IRFU, France] J.K. Chambrillon [CERN, Geneva, Switzerland] H. Dzitko, J. Neyret [CEA/IRFU, Gif-sur-Yvette, France] F. Toral [CIEMAT, Madrid, Spain] ","Development of a Test Bench to Prepare the Assembly of the IFMIF LIPAC Cavity String",879 882,
tupb108,"S. Barbanotti, C. Buhr, H. Hintz, K. Jensch, L. Lilje, W. Maschmann, P. Pierini, A. Wagner [DESY, Hamburg, Germany] P. Pierini [INFN/LASA, Segrate (MI), Italy] ","Connection of EU-XFEL Cryomodules, Caps, Boxes in EU-XFEL Main Linac and Injector: Welding of Cryo-Pipes and Assembly of Beam-Line Absorbers Under Requirements of PED Regulation",883 887,
tupb109,"T. Shishido, K. Hara, E. Kako, Y. Kojima, H. Nakai, Y. Yamamoto [KEK, Ibaraki, Japan] ","Assembly and Cool-Down Tests of STF2 Cryomodule at KEK",888 892,
tupb110,"T.T. Arkan, C.M. Ginsburg, Y. He, J.A. Kaluzny, Y.O. Orlov, T.J. Peterson, K. Premo [Fermilab, Batavia, Illinois, USA] ","LCLS-II 1.3 GHz Design Integration for Assembly and Cryomodule Assembly Facility Readiness at Fermilab",893 897,
tupb113,"E. Daly, J. Armstrong, G. Cheng, M.A. Drury, J.F. Fischer, D. Forehand, K. Harding, J. Henry, K. Macha, J.P. Preble, A.V. Reilly, K.M. Wilson [JLab, Newport News, Virginia, USA] ","JLab Cryomodule Assembly Infrastructure Modifications for LCLS-II",898 901,
tupb114,"E. Thoeng [UBC  TRIUMF, Vancouver, British Columbia, Canada] R.E. Laxdal [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","Transient Study of Beam Loading and Feed-Forward LLRF Control of ARIEL Superconducting RF e-LINAC",902 905,
tupb115,"J. Swierblewski (J. Świerbleski), M. Bednarski, B. Dzieza, W. Gaj, L. Grudnik, P. Halczynski, A. Kotarba, A. Krawczyk, K. Myalski, T. Ostrowicz, B. Prochal, J. Rafalski, M. Sienkiewicz, M. Skiba, M. Wartak, M. Wiencek, J. Zbroja, P. Ziolkowski [IFJ-PAN, Kraków, Poland] ","Improvements of the Mechanical, Vacuum and Cryogenic Procedures for European XFEL Cryomodule Testing",906 909,
tupb117,"M. Wiencek, K. Krzysik, J. Swierblewski (J. Świerbleski) [IFJ-PAN, Kraków, Poland] J. Chodak [DESY, Hamburg, Germany] ","Cavities and Cryomodules Managing System at AMTF",910 913,
tupb118,"M. Wiencek, K. Kasprzak, D. Konwisorz, S. Myalski, K. Turaj, A. Zwozniak [IFJ-PAN, Kraków, Poland] ","Improvements of the RF Test Procedures for European XFEL Cryomodule Testing",914 918,
tupb120,"R.R. Nagimov, P.R. Harmer, D. Kishi, A. Koveshnikov, R.E. Laxdal, H. Liu, N. Muller [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","The Cryogenic Infrastructure for SRF Testing at TRIUMF",919 922,
wea1a02,"D. Longuevergne, F. Chatelet, G. Michel, G. Olry, F. Rabehasy, L. Renard [IPN, Orsay, France] ","Surface Resistance Study on Low Frequency (Low Beta) Cavities",923 929,
wea1a04,"R. Kleindienst, A. Burrill, S. Keckert, J. Knobloch, O. Kugeler [HZB, Berlin, Germany] ","Commissioning Results of the HZB Quadrupole Resonator",930 936,
wea1a05,"Y. Trenikhina, A. Romanenko [Fermilab, Batavia, Illinois, USA] J. Kwon, J.-M. Zuo [UIUC, Urbana, USA] ","Nanostructure of the Penetration Depth in Nb Cavities: Debunking the Myths and New Findings",937 942,
wea2a01,"C.S. Hopper [ODU, Norfolk, Virginia, USA] H. Park [JLab, Newport News, Virginia, USA] ","High-Velocity Spoke Cavities",943 947,
wea2a02,"S. Arsenyev [MIT/PSFC, Cambridge, Massachusetts, USA] C.H. Boulware, T.L. Grimm, A. Rogacki [Niowave, Inc., Lansing, Michigan, USA] W.B. Haynes, D.Y. Shchegolkov, E.I. Simakov, T. Tajima [LANL, Los Alamos, New Mexico, USA] ","High Gradient Testing of the Five-Cell Superconducting RF Module With a PBG Coupler Cell",948 954,
weba02,"A.A. Sulimov [DESY, Hamburg, Germany] ","RF Measurements for Quality Assurance During SC Cavity Mass Production",955 960,
weba03,"C. Compton, A. Facco, S.J. Miller, J. Popielarski, L. Popielarski, A.P. Rauch, K. Saito, G.J. Velianoff, E.M. Wellman, K. Witgen, T. Xu [FRIB, East Lansing, Michigan, USA] ","Production Status of SRF Cavities for the Facility for Rare Isotope Beams (FRIB) Project",961 966,
weba04,"C. Marchand, P. Bosland, G. Devanz, O. Piquet [CEA/IRFU, Gif-sur-Yvette, France] P.-E. Bernaudin, R. Ferdinand [GANIL, Caen, France] Y. Gomez (Y. Gómez Martínez) [LPSC, Grenoble Cedex, France] D. Longuevergne, G. Olry [IPN, Orsay, France] ","Performances of Spiral2 Low and High Beta Cryomodules",967 972,
weba05,"Z.A. Conway, A. Barcikowski, G.L. Cherry, R.L. Fischer, S.M. Gerbick, C.S. Hopper, M. Kedzie, M.P. Kelly, S.H. Kim, S.W.T. MacDonald, B. Mustapha, P.N. Ostroumov, T. Reid [ANL, Argonne, USA] ","Achieving High Peak Fields and Low Residual Resistance in Half-Wave Cavities",973 975,
weba06,"N. Sakamoto, O. Kamigaito, H. Okuno, K. Ozeki, K. Suda, Y. Watanabe, K. Yamada [RIKEN Nishina Center, Wako, Japan] H. Hara, K. Okihira, K. Sennyu, T. Yanagisawa [MHI, Hiroshima, Japan] E. Kako, H. Nakai, K. Umemori [KEK, Ibaraki, Japan] ","Design Studies for Quarter-Wave Resonators and Cryomodules for the Riken SC-LINAC",976 981,
weba07,"Q. Wu, S.A. Belomestnykh, I. Ben-Zvi, M. Blaskiewicz, T. Hayes, K. Mernick, F. Severino, K.S. Smith, A. Zaltsman [BNL, Upton, Long Island, New York, USA] S.A. Belomestnykh, I. Ben-Zvi [Stony Brook University, Stony Brook, USA] ","Beam Commissioning of the 56 MHz QW Cavity in RHIC",982 986,
