CT01,"M. Wendt Hamburg, Germany","BPM Read-Out Electronics Based on the Broadband AM/PM Normalization Schema",,"instrumentation, diagnostics, pick-up, closed-orbit"
PS09,"A. Peters, P. Forck, A. Weiss, A. Bank Gesellschaft für Schwerionenforschung, Darmstadt, Germany","Transverse Beam Profile Measurements Using Optical Methods",,"instrumentation, diagnostics, GSI, linac, emittance"
PS10,"T. Hoffmann Gesellschaft für Schwerionenforschung, Darmstadt, Germany; D.A. Liakin Institute for Theoretical and Experimental Physics, Moscow, Russia","Control and Data Analysis for Emittance Measuring Devices",,"instrumentation, diagnostics, controls, GSI, emittance"
PS11,"P. Forck, T. Hoffmann Gesellschaft für Schwerionenforschung, Darmstadt, Germany","Test of Different Beam Loss Detectors at the GSI Heavy Ion Synchrotron",,"instrumentation, diagnostics, beam-losses, GSI, synchrotron"
PS12,"O. Chubar, M. Drakopoulos, A. Snigirev, T. Weitkamp European Synchrotron Radiation Facility, Grenoble, France","Source Imaging with Compound Refractive Lenses",,"instrumentation, diagnostics"
PS13,"C. David Laboratory for Micro- and Nanotechnology, Paul Scherrer Institute, Villigen, Switzerland; V. Schlott, A. Jaggi Swiss Light Source, Paul Scherrer Institute, Villigen, Switzerland","A Zone Plate Based Beam Monitor for the Swiss Light Source",,"instrumentation, diagnostics, PSI, emittance"
PS14,"E. Plouviez European Synchrotron Radiation Facility, Grenoble, France","Microwave Pickups for the Observation of Multi GHz Signals Induced by the ESRF Storage Ring Electron Bunches",,"instrumentation, diagnostics, pick-up, ESRF, storage-ring, emittance"
PS15,"M. Werner, K. Wittenburg Deutsches Elektronen-Synchrotron, Hamburg, Germany","A New Wirescanner Control Unit",,"instrumentation, diagnostics, controls, DESY, emittance"
PS17,"M. Masaki, S. Takano Japan Synchrotron Radiation Research Institute SPring-8, Japan","Beam Size Measurement of the Spring-8 Storage Ring by Two-Dimensional Interferometer",,"instrumentation, diagnostics, synchrotron-radiation, SPring-8, emittance"
PS18,"S. Takano, M. Masaki, H. Ohkuma, S. Sasaki, M. Shoji, K. Tamura Japan Synchrotron Radiation Research Institute, SPring-8, Hyogo, Japan","Planned X-Ray Imaging of the Electron Beam at the SPRING-8 Diagnostics Beamline BL38B2",,"instrumentation, diagnostics, synchrotron-radiation, SPring-8, emittance"
PS19,"U. Berges, K. Wille Institute for Accelerator Physics and Synchrotron Radiation, University of Dortmund, Dortmund, Germany","Status of the Delta Synchrotron Light-Monitoring-System",,"instrumentation, diagnostics, DELTA, synchrotron-radiation, controls"
PS20,"S.R. Smith Stanford Linear Accelerator, Stanford, CA, USA","Beam Diagnostic for the Next Linear Collider",,"instrumentation, diagnostics, linear-collider, NLC"
PS21,"J. Bähr, I. Bohnet, D. Lipka, H. Lüdecke, F. Stephan, Q. Zhao Deutsches Elektronen-Synchrotron, Zeuthen, Germany; K. Flöttmann Deutsches Elektronen-Synchrotron, Hamburg, Germany; I. Tsakov Institute for Nuclear Reseach and Nuclear Energy of the Bulgarian Academy of Science, Sofia, Bulgaria","Diagnostics for the Photon Injector Test Facility in Desy Zeuthen",,"instrumentation, diagnostics, PITZ, free-electron-laser, linac, emittance"
