FRAAU02,"V. Bykovsky; I. Meshkov; V. Pavlov; R. Pivin; A. Rudakov; G. Trubnikov; S. Yakovenko; M.K. Eseev","DEVELOPMENT OF THE POSITRON INJECTOR FOR LEPTA FACILITY",
TUBPH02,"L.G. Sukhikh; G.A. Naumenko; A.P. Potylitsyn; J. Urakawa; A.S. Aryshev; S. Boogert; P.V. Karataev","FEASIBILITY OF PRE-BUNCHED FEL BASED ON COHERENT DIFFRACTION RADIATION",
TUBPH03,"A. Anoshin; E. Fomin; V. Korchuganov; S. Tomin","POSSIBILITY TO REACH THE DIFFRACTION LIMITED X-RAY SOURCE IN KURCHATOV CENTER OF SYNCHROTRON RADIATION",
TUBPH04,"V.N. Korchuganov; N.V. Smolyakov; N.Yu. Svechnikov","EDGE RADIATION AT SIBERIA-2 STORAGE RING",
TUCAU01,"J.L. Conradie","THE ACCELERATOR FACILITIES OF THE NATIONAL RESEARCH FOUNDATION IN SOUTH AFRICA",
TUCPH02,"K.M. Gorchakov; S.S. Vasichev; V.F. Veremeenko; V.R. Kozak; A.S. Medvedko; R.Z. Pronik; V.P. Prosvetov; O.A. Proskurina","POWER SUPPLIES FOR THE BENDING MAGNETS OF THE BEP AND VEPP-2000 STORAGE RING",
TUCPH03,"V.M. Zorina; V.A. Zasenko; A.V. Nikiforovsky; A.V. Pozhensky; Yu.I. Stogov; A.P. Strokach; S.Yu. Udovichenko","RESEARCH FACILITY FOR AUTOMATED MEASUREMENTS OF THE CYCLOTRON MAGNETIC FIELD TOPOGRAPHY",
TUCPH04,"B.Z. Movshevich","FORMERS OF HIGH VOLTAGE RECTANGULAR IMPULSES FOR POWERFUL MICROWAVE DEVICESFORMERS OF HIGH VOLTAGE RECTANGULAR IMPULSES FOR POWERFUL MICROWAVE DEVICES",
TUCPH05,"Yu.I. Golubenko; N.K. Kuksanov; P.I. Nemytov; I.K. Chakin","DIRECT METHODS OF MEASURING AND STABILIZATION OF DC ACCELERATING VOLTAGE IN ELV ACCELERATORS DESIGNED ON THE BASIS OF CASCADE GENERATORS",
TUCPH07,"I.A. Gusev; A.S. Medvedko; A.Yu. Protopopov; D.N. Pureskin; D.V. Senkov","HIGH-VOLTAGE SOURCE WITH OUTPUT VOLTAGE UP TO 60 KV WITH OUTPUT CURRENT UP TO 500MA",
TUCPH09,"O. Belikov; A. Chernyakin; V. Kozak; A. Medvedko","BYPASS SYSTEM FOR SHUNTING OF ELECTROMAGNETS FOR ACCELERATORS AND STORAGE RINGS",
TUCPH10,"Y.D. Menshov","CALCULATION OF THE VACUUM SYSTEM  OF THE MCC 30/15 CYCLOTRON",
TUCPH11,"D. Churanov; A. Krasnov; M. Urbant; A. Zavadtsev; D. Zavadtsev","SOLID STATE MODULATOR FOR LINEAR ACCELERATORS",
TUCPH12,"D. Berkaev; O. Belikov; V. Kozak; P. Shatunov; A. Medvedko","SYSTEM OF POWER SUPPLY RIPPLES MEASUREMENT FOR VEPP-2000 COLLIDER",
TUDAU01,"N.A. Vinokurov; E.N. Dementyev; B.A. Dovzhenko; N.G. Gavrilov; B.A. Knyazev; E.I. Kolobanov; V.V. Kubarev; G.N. Kulipanov; A.N. Matveenko; L.E. Medvedev; S.V. Miginsky; L.A. Mironenko; V.K. Ovchar; V.M. Popik; T.V. Salikova; M.A. Scheglov; S.S. Serednyakov; O.A. Shevchenko; A.N. Skrinsky; V.G. Tcheskidov; Yu.F. Tokarev; P.D. Vobly","NOVOSIBIRSK FREE ELECTRON LASER: OPERATION AND SECOND STAGE COMMISSIONING",
TUDAU02,"A. Valentinov; V. Korchuganov; M. Kovalchuk; Yu. Krylov; V. Kvardakov; D. Odintsov; Yu. Yupinov; S. Khrushev; N. Mezentsev; E. Miginsky; V. Shkaruba; V. Tsukanov","FIRST RESULTS OF SIBERIA-2 STORAGE RING OPERATION WITH 7.5 T SUPERCONDUCTING WIGGLER",
TUDPH01,"I.V. Bogdanov; S.S. Kozub; P.A. Shcherbakov; L.S. Shirshov; P.I. Slabodchikov; L.M. Tkachenko; V.V. Zubko","CROSSOVER RESISTANCE OF SUPERCONDUCTING CABLE FOR FAST-RAMPING MAGNETS OF PARTICLE ACCELERATORS",
TUDPH02,"L. Shirshov; I. Bogdanov; S. Kozub; P. Shcherbakov; P. Slabodchikov; L. Tkachenko; V. Zubko","STABILITY STUDY OF HIGH-CURRENT SUPERCONDUCTING CABLES FOR ACCELERATOR MAGNETS",
TUDPH03,"M.V. Lalayan; O.V. Novicov; N.P. Sobenin; A.A. Krasnov; A.A. Zavadtsev; D.A. Zavadtsev","CAPACITIVE HIGH POWER INPUT COUPLER FOR SUPERCONDUCTING CAVITIES POWER",
WEAAU01,"A. Anoshin; M. Blokhov; V. Leonov; E. Fomin; G. Kovachev; V. Korchuganov; M. Kovalchuk; Yu. Krylov; V. Kvardakov; M. Martynenko; V. Moryakov; D. Odintsov; S. Pesterev; S. Tomin; Yu. Tarasov; V. Ushkov; A. Valentinov; A. Vernov; Yu. Yupinov; A. Zabelin","MODERNIZATION AND DEVELOPMENT OF KURCHATOV CENTER OF SYNCHROTRON RADIATION AND NANOTECHNOLOGY",
WEAAU02,"V.A. Karpov; G.G.Subbotin; A.V. Serov; V.V. Mikhailin","OPERATION OF SYNCHROTRON PAKHRA IN SYNCHROTRON RADIATION SOURCE MODE",
WEAAU03,"A.P. Potylitsyn; Yu.A. Popov; A.V. Vukolov; I.V. Zaitsev; A.R. Wagner; V.N. Zabaev","THE COMPARISON OF MONOCHROMATIC X-RAY SOURCES BASED ON X-RAY TUBE AND 5 MEV MICROTRON FOR POSSIBLE APPLICATION IN MEDICINE",
WEAAU05,"M.A. Gorbunov; A.N. Lebedev","PARTIALLY COHERENT EM RADIATION OF AN ELECTRON BUNCH",
WEAPH01,"A.Yu. Baranov; A.N. Kamanin; N.I. Pakhomov; V.I. Shvedunov","DIFFRACTION ACCELERATING STRUCTURE FIELD DISTRIBUTION MEASUREMENTS",
WEAPH02,"A.A. Anisimov; R.O. Bolgov; S.V. Kutsaev; N.P. Sobenin; M. Ferderer; A.A. Zavadtsev; A.A. Krasnov","ACCELERATING STRUCTURE FOR C-BAND ELECTRON LINEAR ACCELERATOR",
WEAPH03,"M.A. Gusarova; I.V. Isaev; V.I. Kaminsky; S.V. Kutsaev; M.V. Lalayan; N.P. Sobenin; L.V. Kravchuk","MULTIPACTOR SIMULATIONS IN AXISYMMETRIC AND NON-AXISYMMETRIC RADIO FREQUENCY STRUCTURES",
WEAPH04,"A.I. Kvasha; V.L. Serov","DEVELOPMENT of the INR DTL RF SYSTEM CROWBAR OPERATION",
WEAPH05,"A. Markin; V. Chubrik; S. Ivanov; O. Lebedev; I. Sulygin","UPGRADE OF FEEDBACK LOOPS IN ACCELERATING CAVITIES OF THE U70",
WEAPH06,"V. Moiseev","RF-GAP MODEL PRESENTATION",
WEAPH07,"I.N. Vasilchenko; V.G. Mudrolubov; A.P. Strokach","THE RF POWER SUPPLY SYSTEM OF THE МСС-30/15 CYCLOTRON",
WEAPH08,"S.V. Kuzikov; S.Yu. Kazakov; M.E. Plotkin; J.L. Hirshfield","HIGH-GRADIENT TWO-BEAM ACCELERATING STRUCTURE",
WEAPH09,"S. Kuzikov; M. Plotkin","THEORY OF THERMAL FATIGUE OF A COPPER SURFACE UNDER THE ACTION OF PULSED MICROWAVE HEATING",
WEAPH11,"V.G. Kurakin","EXTERNAL PARAMETERS CALCULATIONS FOR RF RESONATOR EXCITED OVER AN APERTURE",
WEBAU01,"A. Anoshin; E. Fomin; V. Korchuganov; Yu. Krylov; V. Kvardakov; S. Pesterev; S. Tomin; V. Ushkov","A NEW INJECTION SYSTEM FOR KURCHATOV SOURCE OF SR",
WEBAU02,"Yu.G. Alenitcky; E.V. Samsonov; A.F. Chesnov; S.A. Kostromin; D.V. Emeljanov; V.G. Kaplun; A.G. Suzikov; C.V. Jagolnikov","CORRECTION OF THE CYCLOTRON RIC-30 MAGNETIC FIELD",
WEBAU03,"O. Belikov; V. Kozak; A. Medvedko","FOUR-QUADRANT POWER SUPPLIES FOR STEERING ELECTROMAGNETS FOR ELECTRON-POSITRON COLLIDERS",
WEBPH02,"S.G. Arutunian; I.E. Vasiniuk; G. Decker; G.S. Harutyunyan","HEAT COUPLING IN MULTI-WIRE VIBRATING WIRE MONITOR",
WEBPH03,"E.A. Bekhtenev; E.N. Dementev; G.V. Karpov; Yu.A. Rogovsky","BEAM POSITION MEASUREMENT SYSTEM FOR THE VEPP 2000 COLLIDER",
WEBPH04,"V.N. Boriskin; S.K. Romanovski; A.N. Savchenko; A.A. Sarvilov; D.L. Stepin; G.N. Tsebenko; A.S. Chepurnov; I.V. Gribov; A.F. Shamarin","POWER SUPPLY CONTROL SYSTEM FOR THE LINAC OF THE NESTOR STORAGE RING",
WEBPH05,"E. Kaportsev; Yu. Krylov; V. Korchuganov; K. Kuznetsov; L. Moseiko; N. Moseiko; Yu. Yupinov","THE PROGRAM TOOLS FOR KSRS OPERATION",
WEBPH07,"L. Moseiko; N. Moseiko; A. Shirokov","INTELLECTUAL CRATE-CONTROLLER K167",
WEBPH08,"P. Reinhardt-Nickoulin; A. Feschenko; A. Mirzojan","MODERNIZATION OF BCT FOR INR LINAC",
WEBPH09,"P. Reinhardt-Nickoulin; A. Feschenko; S. Gavrilov","ION MONITOR OF TRANSVERSE BEAM PARAMETERS FOR INR PROTON LINAC",
WEBPH11,"A.S. Alimov; E.A. Alimov; A.N. Kamanin; V.V. Khankin; N.I. Pakhomov; V.I. Shvedunov; A.V. Gryzlov; S.V. Lamonov; A.P. Musatov; V.N. Sigalaev","BEAM PARAMETERS MEASUREMENT OF TECHNOLOGICAL 10 MEV LINAC",
WEBPH12,"V. Voevodin","INFORMATION TECHNOLOGIES IN THE IHEP U-70 ACCELERATOR COMPLEX CONTROL SYSTEM",
WEBPH14,"D. Berkaev; P. Cheblakov; I. Koop; I. Ostanin; V. Kozak","CONTROL SYSTEM FOR INJECTION CHANNELS OF VEPP-2000 COLLIDER",
WEBPH15,"D. Berkaev; I. Ostanin; V. Kozak; V. Cherepanov; V. Repkov; E. Bykov","BEAM MEASUREMENT SYSTEM OF VEPP-2000 INJECTION CHANNELS",
WEBPH18,"O.I. Meshkov; A.N. Zhuravlev","MULTI-PINHOLE CAMERA FOR BEAM POSITION AND VERTICAL ANGLE STABILIZATION",
WECAU01,"A. Ageyev; A. Bakay; L.Kalashnikov; A.Kaltchuk; S. Kozub; M. Muraviev; A. Orlov; A.P. Orlov; V. Solomko; S. Unjakov; A. Khartchenko; L. Shirshov; Ju. Shovkun; S. Zintchenko","STARTING-UP AND ADJUSTMENT WORKS ON CRYOGENIC AND VACUUM SYSTEM OF THE SUPERCONDUCTING RADIO-FREQUENCY SEPARATOR",
