fra002,"G.R. Neil, JLAB, Newport News","High Power FELs Driven by RF Superconducting Linacs",593 601,
srf95f16,"K. Chan, R.W. Garnett, R.C. Gentzlinger, E.R. Gray, F.L. Krawczyk, D.E. Rees, A.S. Rohlev, B. Rusnak, D.L. Schrage, P.J. Tallerico, T.P. Wangler, LANL, Los Alamos, New Mexico; B. Felker, LLNL, Livermore, California","Superconducting High-Intensity RF Proton Accelerator for Transmutation Technologies",623 627,
srf95f17,"D.L. Schrage, E. Swensen, B. Rusnak, LANL, Los Alamos, New Mexico","Static and Dynamic Analysis of Superconducting Cavities for a High Performance Proton Linac",629 633,
srf95f18,"M. Castellano, M. Ferrario, M. Minestrini, P. Patteri, F. Tazzioli, INFN/LNF, Frascati (Roma); L. Catani, S. Tazzari, INFN-Roma II, Roma; G. Cavallari, CERN, Geneva","Operating Experience with the LISA Superconducting Accelerator",635 639,
srf95f19,"D. Boussard, P. Brown, J. Tückmantel, CERN, Geneva","Electroacoustic Instabilities in the LEP2 Superconducting Cavities",641 645,
srf95f20,"C.Z. Antoine, B. Bonin, H. Safa, B. Berthier, E. Tessier, P. Trocelier, CEA-Saclay, Gif-sur-Yvette; A. Chevarier, N. Chevarier, B. Roux, Institut de Physique Nucléaire de Lyon, Lyon","Evidence of Preferential Diffusion and Segregation of Impurities at Grain Boundaries in very Pure Niobium used for Radiofrequency Cavities",647 647,
srf95f21,"H. Safa, Y. Boudigou, E. Jacques, F. Koechlin, D. Moffat, CEA-Saclay, Gif-sur-Yvette","Nb Purification by Ti Gettering",649 652,
srf95f22,"W. Singer, B. Dwersteg, DESY, Hamburg","Influence of Heat Treatment on Thin Electrodeposited Cu Layers",653 657,
srf95f23,"A. Boucheffa, M.X. Francois, IPN, Orsay","Kapitza Conductance of Noibium for Superconducting Cavities in the Temperature Range 1.6K - 2.1K",659 663,
srf95f24,"F. Koechlin, B. Bonin, CEA-Saclay, Gif-sur-Yvette","Parametrisation of the Niobium Thermal Conductivity in the Superconducting State",665 669,
srf95f25,"K. Hosoyama, K. Akai, T. Furuya, K. Hara, A. Kabe, Y. Kojima, Y. Morita, H. Nakai, K. Saito, KEK, Ibaraki; H. Hattori, S. Imatake, MHI, Kobe Shipyard, Hyogo-ku","Crab Cavity for KEKB",671 675,
srf95f26,"G. Bisoffi, A. Lombardi, INFN/LNL, Legnaro (PD); G. Algise, Università di Padova, Padova","Superconducting RFQ Cavities of the New Heavy Ion Injector at Legnaro",677 681,
srf95f27,"A.A. Vasiliev, O.A. Voinalovich, Russian Federation Ministry for Atomic Energy, Moscow; A.A. Glazkov, A.D. Koliaskin, A.G. Ponomarenko, Moscow State Engineering Physics Institute, Moscow; S.S. Chermenin, L.M. Sevryukova, I.A. Zvonarev, IHEP Protvino, Protvino, Moscow Region","The Project of Technological Superconducting Linear Electron Accelerator for 5 MeV Energy",683 688,
srf95f28,"S. Buhler, P. Blache, R. Chevrollier, T. Junquera, IPN, Orsay; N. Colombel, R. Panvier, LAL, Orsay; J. Gastebois, CEA-Saclay, Gif-sur-Yvette","Status Report of the TTF Capture Cavity Cryostat",689 693,
srf95f29,"C. Chateau, Y. Beroud, M. Durand, SICN, Veurey Voroize","SICN's Experience in the Fabrication of Complex Mechanical Components",695 699,
srf95f30,"X. Hanus, A. Mosnier, CEA-Saclay, Gif-sur-Yvette","Coaxial TW Window for Power Couplers and Multipactor Considerations",701 705,
srf95f31,"E. Haebel, H.P. Kindermann, C. Wyss, CERN, Geneva; M. Stirbet, Institute of Atomic Physics, Bucharest; V. Veshcherevich, Institute of Nuclear Physics, Novosibirsk","Gas Condensation on Cold Surfaces, A Source of Multipacting Discharges in the LEP2 Power Coupler",707 711,
srf95f32,"T. Powers, P. Kneisel, CEBAF, Newport News","Arcing Phenomena on CEBAF RF Windows at Cryogenic Temperatures",713 717,
srf95f33,"S. Döbert, R. Eichhorn, H. Genz, H.-D. Gräf, R. Hahn, T. Hampel, H. Loos, M. Reichenbach, A. Richter, V. Schlott, E. Spamer, A. Stascheck, M. Thomas, O. Titze, T. Wesp, TH Darmstadt, Darmstadt","Beam Diagnostics using Transition Radiation",719 722,
srf95f34,"T. Higuchi, T. Suzuki, Nomura Plating Co. Ltd., Kanuma, Tochigi; Y. Funahashi, H. Inoue, E. Kako, S. Noguchi, M. Ono, K. Saito, T. Shishido, KEK, Ibaraki","Investigation on Barrel Polishing for Superconducting Niobium Cavities",723 727,
srf95f35,"T. Furuya, K. Asano, S. Mitsunobu, T. Tajima, T. Takahashi, KEK, Ibaraki; Y. Ishi, Y. Kijima, T. Murai, MELCO, Kobe; K. Sennyu, MHI, Yokohama, Kanagawa-ken","Superconducting Accelerating Cavity for KEK B-Factory",729 733,
srf95f36,"S. Mitsunobu, K. Asano, T. Furuya, T. Tajima, T. Takahashi, KEK, Ibaraki; Y. Ishi, Y. Kijima, MELCO, Kobe; K. Sennyu, MHI, Yokohama, Kanagawa-ken","High Power Test of the Input Coupler for KEKB SC Cavity",735 739,
srf95f37,"T. Fujino, H. Inoue, E. Kako, S. Noguchi, M. Ono, K. Saito, T. Shishido, KEK, Ibaraki; A. Kubota, Advanced Technology Consulting Co. Ltd, Tokyo; S. Koide, San Planing Co. Ltd, Kanagawa-ken","Status of the Seamless L-Band Cavity Fabrication at KEK",741 745,
srf95g01,"E. Chiaveri, CERN, Geneva","Production by Industry of a Large Number of Superconducting Cavities: Status and Future",181 194,
srf95g02,"M.S. Champion, Fermilab, Batavia, Illinois","RF Input Couplers and Windows: Performances, Limitations, and Recent Developments",195 221,
srf95h01,"B. Bonin, CEA-Saclay, Gif-sur-Yvette","Gradient Limitations in Superconducting Cavities, 1) Thermomagnetic Quenches",749 749,
srf95i01,"H. Padamsee, Cornell University, Ithaca, New York","Gradient Limitations in Superconducting Cavities, 2) Field Emission",750 751,
srf95j01,"B. Rusnak, LANL, Los Alamos, New Mexico","High Intensity Proton Linacs",752 752,
srf95k01,"H. Heinrichs, University of Wuppertal, Wuppertal","Application of Superconductivity to Intense Proton Linacs",223 235,
srf95k02,"V. Palmieri, INFN/LNL, Legnaro (PD)","New Developments in Low Beta Superconducting Structures",237 258,
srf95k03,"D. Proch, DESY, Hamburg","New Ways of Cavity Fabrication",259 266,
srf95l01,"M.A. Hein, University of Wuppertal, Wuppertal","Potential of High-Temperature Superconductors for Short-Term Microwave Applications",267 309,
srf95l02,"P. Kneisel, B. Lewis, CEBAF, Newport News","Advanced Surface Cleaning Methods - Three Years of Experience with High Pressure Ultrapure Water Rinsing of Superconducting Cavities",311 327,
srf95l03,"B. Aune, DESY, Hamburg","TESLA Test Facility: Status",329 333,
