FR101,"Simon Yu (LBNL)","Overview of International Heavy Ion Fusion Experiments",,"heavy-ion, space-charge-dominated-beams, experiments"
TH403,"Y. Igarashi, S. Yamaguchi, Y. Higashi, A. Enomoto, T. Oogoe, K. Kakihara, and S. Ohsawa (KEK)","High Gradient Tests on An S-Band Accelerating Structure",,"linac, linear-collider, rf-structure"
TH404,"E. J. Minehara (JAERI)","The JAERI Energy-Recovery Linac for Free-Electron Lasers",,"free-electron-laser, industrial-accelerators, superconducting-rf, recirculation, cryogenics,"
TH405,"Y. Iwashita (Kyoto Univ.)","Phase Rotated Intense Slow Muons with Linac",,"muons-factory, pulsed-power, rf-structure, secondary-beams"
TH407,"S. H. Nam, J. Y. Huang, Y. J. Han, and M. Yoon (PAL)","Status of The PLS 2-2.5 GeV Electron Linac",,"linac"
TH408,"Leigh Harwood (TJNAF)","Upgrading CEBAF to 12 GeV",,"electron, linac, recirculation, superconducting-rf"
TH409,"Huaibi Chen (Tsinghua Univ.)","Research on A 16 MeV Backward Traveling Wave ( BTW ) Electron Linac",,"electron-linac, accelerating-structure, BTW"
TH410,"M. Uesaka, A. Fukasawa (Tokyo Univ.), K. Dobashi, H. Iijima (NIRS), J. Urakawa, T. Higo, M. Akemoto, H. Hayano (KEK)","X-Band RF Gun/Linac for Inverse Compton Scattering Hard X-Ray Source",,"acceleration, x-band, hard-x-ray, laser, compton-scattering"
TH411,"M. Ikegami, T. Kato (KEK), K. Hasegawa (JAERI)","Beam Dynamics Design of The Annular-Coupled-Structure Linac and Its Beam Matching Section for The KEK/JAERI Joint Project",,"proton, linac, space-charge, simulation"
TH412,"J. M. Han, H. H. Lee, K. Y. Seo, H. J. Kweon, Y. S. Cho, B. H. Choi (KAERI)","3.0 MeV KTF RFQ Linac",,"radio-frequency-quadrupole"
TH414,"H. Matsumoto, Shigeru. Takeda, N. Sato (KEK), T. Shintake, H. Kitamura (RIKEN), A. Suzuki, H. Yoshioka (TAKENAKA Co.), M. Ohtsuka, N. Yoshimura (OHTSUKA Co.)","The Precise Active Alignment Support System for Accelerator Structures",,"linear-collider, alignment, linac"
TH416,"A. Tremaine, S. Anderson, W. Brown, C. Barty, R. Cauble, J Crane, H. Cynn, C. Ebbers, D. Fittinghoff, D. Gibson, F. Hartemann, I. Jovanovich, J. Kuba, G. LeSage, A. McMahan, R. Minich, J. Moriarty, B. Remington, D. Slaughter, P. Springer, F. H. Steitz, C-s. Yoo  (LLNL), J. Rosenzweig (UCLA), T. Ditmire (Univ. of Texas)","Ultrafast Materials Probing with The LLNL Thomson X-Ray Source",,"scattering, photon, longitudinal-dynamics, beam-dynamics"
TH417,"G. D'Auria, C.J. Bocchetta, D. Bulfone, F. Cargnello, M. Danailov, S. Di Mitri, B. Diviacco, M. Ferianis, A. Gambitta, E. Karantzoulis, M. Lonza, F. Mazzolini, D. Morelli, V. Smaluk, M. Svandrlik, L. Tosi, G. Tromba, V. Verzilov, R. Visintini (Sincrotrone Trieste)","The FERMI Project at Trieste: A Linac-Based Ultra Bright Photon Source",,"brightness, emittance, free-electron-laser, linac, wiggler"
TH419,"A. Noda., Y. Iwashita, S. Nakamura, T. Shirai, A. Yamazaki (Kyoto Univ.), H. Daido, Y. Hayashi (JAERI),  M. Uesaka, K. Yoshii, T. Watanabe, T. Hosokai, K. Kinoshita (Tokyo Univ.), A. Ogata, Y. Wada, T. Kubota (Hiroshima Univ.), K. Matsukado, K. Takahashi, Z. Li, S. Yamada ( NIRS)","Laser Ion Production As The Injector for Cancer Therapy Synchrotron",,"laser, plasma, ion,"
TH421,"Han S. Uhm (Ajou Univ.), Ronald C. Davidson, Igor Kaganovich (PPPL)","Sausage and Hollowing Instabilities in High-Intensity Particle Beams",,"ion, electron, plasma, proton, heavy-ion, space-charge"
TH422,"A. Sauer, H. Deitinghoff, H. Klein, H. Liebermann, H. Podlech, U. Ratzinger, R. Tiede (Univ. of Frankfurt)","Beam Dynamics Layout of H-Type Drift Tube Linacs for Intense Light Ion Beams",,"acceleration, emittance, beam-losses"
TH423,"A. Franchi, M. Comunian, A. Pisent (INFN), G. Turchetti, S. Rambaldi, A. Bazzani (INFN-Bologna)","HALODYN: A 3D Poisson-Vlasov Code to Simulate The Space Charge Effects in The High Intensity TRASCO Linac",,"beam-transport, space-charge, linac"
TH424,"E. Tanke (SNS/ORNL), S. Valero, P. Lapostolle (consultants), A. M. Lombardi (CERN)","HERSC: A New 3 Dimensional Space Charge Routine for High Intensity Bunched Beams",,"space-charge, simulation, leptons, hadrons, beam-dynamics"
TH426,"T. Shintake (RIKEN/SPring-8)","New Real-Time Simulation Technique for Synchrotron and Undulator Radiations",,"simulation, radiation, electromagnetic-fields, undulator, synchrotron-radiation"
TH427,"H. J. Lee (KERI), J. Kim (POSTECH), C. Kim, G. H. Kim, J. U. Kim, H. Suk (KERI)","Simulations of Photon Acceleration and Laser Pulse Amplification Using Laser Plasma Interactions",,"photon-acceleration, plasma-wakefield, laser-amplification, raman-scattering"
TH429,"E. Tanke (SNS/ORNL), S. Valero, P. Lapostolle (consultants)","DYNAC: A Multi-Particle Beam Dynamics Code for Leptons and Hadrons in Complex Accelerating Elements",,"space-charge, simulation, leptons, hadrons, beam-dynamics"
TH430,"Marc Doleans and Sang-ho Kim (ORNL)","Analytical and Semi-Analytical Expressions for The Voltage in A Cavity Under Dynamic Detuning",,"SRF, elliptical-cavity, Lorentz-detuning"
TH432,"J. W. Lewellen (ANL)","Simulation of A Higher-Order Mode RF Photoinjector",,"rf-structure, higher-order-mode, gun, emittance, simulation"
