mopo050,"J. Rose, N.A. Towne [BNL, Upton, Long Island, New York, USA] C.H. Boulware, T.L. Grimm [Niowave, Inc., Lansing, Michigan, USA] ","Design of a 1500 MHz Bunch Lengthening Cavity for NSLS-II",210 212,
mopo051,"S.J. Miller, J. Binkowski, M.J. Johnson, Y. Xu [FRIB, East Lansing, Michigan, USA] A. Facco [INFN/LNL, Legnaro (PD), Italy] ","Design for Manufacture of a Superconducting Half Wave Resonator =0.53",213 215,
mopo052,"J.L. Munoz, J. Feuchtwanger, J. Verdu [ESS-Bilbao, Zamudio, Spain] F.J. Bermejo [Bilbao, Faculty of Science and Technology, Bilbao, Spain] V. Etxebarria, J. Portilla [University of the Basque Country, Faculty of Science and Technology, Bilbao, Spain] N. Garmendia [ESS Bilbao, Bilbao, Spain] ","Studies on a Plunger Tuner System for a Double Spoke Cavity",216 218,
mopo053,"J.R. Delayen, S.U. De Silva [ODU, Norfolk, Virginia, USA] J.R. Delayen [JLAB, Newport News, Virginia, USA] ","Designs of Superconducting Parallel-Bar Deflecting Cavities for Deflecting/Crabbing Applications",219 222,
mopo054,"S.A. Belomestnykh, I. Ben-Zvi, X. Chang, X. Liang, T. Rao, J. Skaritka, R. Than, Q. Wu, T. Xin [BNL, Upton, Long Island, New York, USA] C.H. Boulware, T.L. Grimm, B. Siegel, M.J. Winowski [Niowave, Inc., Lansing, Michigan, USA] ","Superconducting 112 MHz QWR Electron Gun",223 225,
mopo055,"C. Compton, A. Facco, W. Hartung, M. Hodek, J.P. Holzbauer, M.J. Johnson, T. Kole, M. Leitner, F. Marti, D. R. Miller, S.J. Miller, J. Popielarski, L. Popielarski, J. Wei, K. Witgen, J. Wlodarczak [FRIB, East Lansing, Michigan, USA] ","Superconducting Resonator Production for Ion Linac at Michigan State University",226 228,
mopo056,"N.R.A. Valles, D.S. Klein, M. Liepe [CLASSE, Ithaca, New York, USA] ","Beam Break Up Studies for Cornell's Energy Recovery Linac",229 231,
mopo057,"N.R.A. Valles, M. Liepe, V.D. Shemelin [CLASSE, Ithaca, New York, USA] ","Coupler Kick Studies in Cornell's 7-Cell Superconducting Cavities",232 235,
mopo058,"Y. Zhang, D. Stout, J. Wei [FRIB, East Lansing, Michigan, USA] ","Analysis of Beam Damage to FRIB Driver Linac",236 238,
mopo060,"N. Baboi, P. Zhang [DESY, Hamburg, Germany] N. Eddy [Fermilab, Batavia, USA] T. Flisgen, H.-W. Glock [Rostock University, Faculty of Computer Science and Electrical Engineering, Rostock, Germany] R.M. Jones, I.R.R. Shinton [UMAN, Manchester, United Kingdom] ","Higher Order Modes for Beam Diagnostics in Third Harmonic 3.9 GHz Accelerating Modules",239 243,
mopo061,"L. Xiao, K. Ko, K.H. Lee, C.-K. Ng [SLAC, Menlo Park, California, USA] M. Liepe, N.R.A. Valles [CLASSE, Ithaca, New York, USA] ","Effects of Elliptically Deformed Cell Shape in the Cornell ERL Cavity",244 246,
mopo062,"Y. Sun, J.P. Dai, T.M. Huang, H.Y. Lin, Y.P. Liu, G. Li, S.P. Li, Z.Q. Li, Q. Ma, W.M. Pan, F. Qiu, H. Qu, P. Sha, G.W. Wang, Q.Y. Wang, B. Xu, L.P. Yang, Y.L. Yu, M.C. Zhan, Z. Zhang [IHEP Beijing, Beijing, People's Republic of China] ","BEPCII Superconducting RF System Operation Status",247 250,
mopo063,"S. Posen, M. Liepe [CLASSE, Ithaca, New York, USA] ","HOM Measurements with Beam at the Cornell Injector Cryomodule",251 253,
mopo064,"W. Schappert, R.V. Pilipenko, Y.M. Pischalnikov [Fermilab, Batavia, USA] H. Hayano, E. Kako, S. Noguchi, N. Ohuchi, Y. Yamamoto [KEK, Ibaraki, Japan] ","Adaptive Lorentz Force Detuning Compensation in the ILC S1-G Cryomodule at KEK",254 257,
mopo066,"Y.I. Eidelman, S. Nagaitsev, N. Solyak [Fermilab, Batavia, USA] ","SCREAMm – Modified Code SCREAM to Simulate the Acceleration of a Pulsed Beam Through the Superconducting Linac",258 261,
mopo067,"A. Neumann, W. Anders, R. Goergen (Görgen), J. Knobloch, O. Kugeler [HZB, Berlin, Germany] S.A. Belomestnykh [BNL, Upton, Long Island, New York, USA] J. Dobbins, R.P.K. Kaplan, M. Liepe, C.R. Strohman [CLASSE, Ithaca, New York, USA] ","CW Measurements of Cornell LLRF System at HoBiCaT",262 266,
mopo068,"P. Gu, M. Jensen, M. Maddock, P.J. Marten, S.A. Pande, S. Rains, A.F. Rankin, D. Spink, A.V. Watkins [Diamond, Oxfordshire, United Kingdom] ","Reliability Improvements of the Diamond Superconducting Cavities",267 270,
mopo070,"P. Kneisel, A. Burrill, P. Kushnick, F. Marhauser, R.A. Rimmer [JLAB, Newport News, Virginia, USA] ","Preliminary Test Results from 650 MHz Single Cell Medium Beta Cavities for Project X",271 274,
thioa01,"Y. Yamamoto, M. Akemoto, S. Fukuda, K. Hara, H. Hayano, N. Higashi, E. Kako, H. Katagiri, Y. Kojima, Y. Kondo, T. Matsumoto, H. Matsushita, S. Michizono, T. Miura, H. Nakai, H. Nakajima, K. Nakanishi, S. Noguchi, N. Ohuchi, T. Saeki, M. Satoh, T. Shidara, T. Shishido, T. Takenaka, A. Terashima, N. Toge, K. Tsuchiya, K. Watanabe, S. Yamaguchi, A. Yamamoto, K. Yokoya, M. Yoshida [KEK, Ibaraki, Japan] C. Adolphsen, C.D. Nantista [SLAC, Menlo Park, California, USA] T.T. Arkan, S. Barbanotti, M.A. Battistoni, H. Carter, M.S. Champion, A. Hocker, R.D. Kephart, J.S. Kerby, D.V. Mitchell, T.J. Peterson, Y.M. Pischalnikov, M.C. Ross, W. Schappert, B.E. Smith [Fermilab, Batavia, USA] A. Bosotti, C. Pagani, R. Paparella, P. Pierini [INFN/LASA, Segrate (MI), Italy] K. Jensch, D. Kostin, L. Lilje, A. Matheisen, W.-D. Moeller (Möller), P. Schilling, M. Schmoekel (Schmökel), N.J. Walker, H. Weise [DESY, Hamburg, Germany] ","Test Results of the International S1-Global Cryomodule",615 624,
thioa02,"J.P. Ozelis [Fermilab, Batavia, USA] ","Gradient R&D in the US",625 630,
thioa03,"J.R. Delayen [ODU, Norfolk, Virginia, USA] ","Compact Superconducting Cavities for Deflecting and Crabbing Applications",631 636,
thioa04,"I. Ben-Zvi [BNL, Upton, Long Island, New York, USA] ","QWR for 1 Accelerators",637 645,
thioa05,"S. Mickat, W.A. Barth, L.A. Dahl, M. Kaiser, W. Vinzenz [GSI, Darmstadt, Germany] M. Amberg, V. Gettmann, S. Jacke, S. Mickat [HIM, Mainz, Germany] K. Aulenbacher [IKP, Mainz, Germany] D. Bänsch, F.D. Dziuba, D. Mäder, H. Podlech, U. Ratzinger [IAP, Frankfurt am Main, Germany] ","The sc cw-LINAC Demonstrator - SRF-Technology finds the way into GSI",646 649,
thioa06,"O. Capatina, G. Arnau-Izquierdo, S. Atieh, I. Aviles Santillana, S. Calatroni, A. D'Elia, R. Garoby, T. Junginger, D. Maciocha, E. Montesinos, V. Parma, T. Renaglia, T. Tardy, N. Valverde Alonso, W. Weingarten [CERN, Geneva, Switzerland] S. Chel, G. Devanz, J. Plouin [CEA/DSM/IRFU, France] ","Mechanical Design Considerations for =1 Cavities",650 658,
thioa07,"A. Puntambekar, J. Dwivedi, P.D. Gupta, S.C. Joshi, G. Mundra, P. Shrivastava [RRCAT, Indore (M.P.), India] C.A. Cooper, M.H. Foley, T.N. Khabiboulline, C.S. Mishra, J.P. Ozelis, A.M. Rowe [Fermilab, Batavia, USA] P.N. Potukuchi [IUAC, New Delhi, India] G. Wu [ANL, Argonne, USA] ","Single-cell SC Cavity Development in India",659 662,
thiob01,"C.M. Ginsburg, M.S. Champion [Fermilab, Batavia, USA] ","Project X Cavity and Cryomodule Development",663 666,
