TUBAU02,"T. Shintake, RIKEN Spring-8 Harima, Hyogo","Status of SCSS & X-ray FEL Project in Japan",216 219,
TUBAU03,"M. Abo-Bakr, W. Anders, J. Bahrdt, R. Follath, K. Goldammer, S. C. Hessler, K. Holldack, T. Kamps, B. C. Kuske, A. Meseck, T. Quast, J. Knobloch, BESSY GmbH, Berlin","STARS -- an FEL to Demonstrate Cascaded HGHG",220 223,
TUBAU04,"A. Adelmann, A. Anghel, R. J. Bakker, M. Dehler, R. Ganter, C. Gough, S. Ivkovic, F. Jenni, C. Kraus, F. Le Pimpec, S. C. Leemann, K. B. Li, P. Ming, B. S.C. Oswald, M. Paraliev, M. Pedrozzi, J.-Y. Raguin, L. Rivkin, T. Schietinger, V. Schlott, L. Schulz, A. Streun, F. Stulle, D. Vermeulen, F. Q. Wei, A. F. Wrulich, A. Oppelt, PSI, Villigen","Towards a Low Emittance X-ray FEL at PSI",224 227,
TUCAU01,"Y. S. Derbenev, Jefferson Lab, Newport News, Virginia; V. Litvinenko, BNL, Upton, Long Island, New York","FELs and High-energy Electron Cooling",268 275,
TUPPH002,"D. Janssen, FZD, Dresden; V. Volkov, BINP SB RAS, Novosibirsk","High Order Mode Analyses for the Rossendorf SRF Gun",228 231,
TUPPH006,"I. Ben-Zvi, V. Litvinenko, E. Pozdeyev, D. Kayran, BNL, Upton, Long Island, New York","FEL Potential of the High Current ERLs at BNL",232 235,
TUPPH008,"M.-E. Couprie, SOLEIL, Gif-sur-Yvette; M. Hosaka, Nagoya University, Nagoya; M. Katoh, UVSOR, Okazaki; G. Lambert, RIKEN Spring-8, Hyogo; A. Mochihashi, M. Shimada, UVSOR, Okazaki; M. Labat, CEA, Gif-sur-Yvette","Beam Dynamics Studies on the UVSOR-II Free Electron Laser",236 239,
TUPPH011,"E. Schneidmiller, M. V. Yurkov, E. Saldin, DESY, Hamburg","Analytical Studies of Transverse Coherence Properties of X-ray FELs",240 243,
TUPPH012,"A. Bacci, C. Maroli, INFN-Milano, Milano; V. Petrillo, Universita' degli Studi di Milano, Milano; A. R. Rossi, INFN-Milano, Milano; P. Tomassini, INFN-Pisa, Pisa; L. Serafini, INFN-Milano, Milano","Compact X-ray Free-Electron-Laser Based on an Optical Undulator",244 247,
TUPPH013,"E. Schneidmiller, M. V. Yurkov, E. Saldin, DESY, Hamburg","Production of Ultra-short Radiation Pulses in Frequency Doubler",248 251,
TUPPH014,"A. Rousse, K. Ta Phuoc, LOA, Palaiseau; N. Vinokurov, O. A. Shevchenko, BINP SB RAS, Novosibirsk","Generation of X-ray FEL Light Using Laser Wakefield Accelerated Electron Beams",252 255,
TUPPH015,"V. A. Lebedev, S. Nagaitsev, G. M. Kazakevich, Fermilab, Batavia, Illinois","Diffraction Effects in the Coherent Transition Radiation Bunch Length Diagnostics",256 259,
TUPPH019,"Y. T. Ding, D. Dowell, P. Emma, J. C. Frisch, A. Gilevich, G. R. Hays, P. Hering, Z. Huang, R. H. Iverson, P. Krejcik, H. Loos, A. Miahnahri, J. F. Schmerge, J. L. Turner, W. E. White, J. Wu, C. Limborg-Deprey, SLAC, Menlo Park, California","Simulations for the LCLS Injector",260 263,
TUPPH020,"Y. Hao, IUCF, Bloomington, Indiana; L.-H. Yu, BNL, Upton, Long Island, New York; Y. Hao, IUCF, Bloomington, Indiana","Quiet Start Method in small signal HGHG FEL Simulation",264 267,
WEAAU01,"R. Akre, J. Castro, P. Emma, J. C. Frisch, A. Gilevich, G. R. Hays, P. Hering, R. H. Iverson, P. Krejcik, C. Limborg-Deprey, H. Loos, A. Miahnahri, J. F. Schmerge, J. L. Turner, J. J. Welch, W. E. White, J. Wu, D. Dowell, SLAC, Menlo Park, California","Commissioning Results of the SLAC LCLS Gun",276 283,
WEAAU02,"D. Alesini, INFN/LNF, Frascati (Roma); A. Bacci, INFN/LASA, Segrate (MI); M. Bellaveglia, M. Boscolo, M. Castellano, INFN/LNF, Frascati (Roma); L. Catani, INFN-Roma II, Roma; S. Cialdi, INFN-Milano, Milano; A. Cianchi, INFN-Roma II, Roma; A. Clozza, L. Cultrera, G. Di Pirro, A. Drago, A. Esposito, M. Ferrario, D. Filippetto, V. Fusco, A. Gallo, G. Gatti, A. Ghigo, INFN/LNF, Frascati (Roma); L. Giannessi, ENEA C. R. Frascati, Frascati (Roma); M. Incurvati, C. Ligi, INFN/LNF, Frascati (Roma); M. Migliorati, A. Mostacci, Rome University La Sapienza, Roma; P. Musumeci, UCLA, Los Angeles, California; L. Palumbo, Rome University La Sapienza, Roma; L. Pellegrino, INFN/LNF, Frascati (Roma); M. Petrarca, INFN-Roma, Roma; M. Quattromini, ENEA C. R. Frascati, Frascati (Roma); R. Ricci, INFN/LNF, Frascati (Roma); C. Ronsivalle, ENEA C. R. Frascati, Frascati (Roma); J. B. Rosenzweig, UCLA, Los Angeles, California; A. R. Rossi, INFN-Milano, Milano; C. Sanelli, INFN/LNF, Frascati (Roma); L. Serafini, INFN-Milano, Milano; M. Serio, F. Sgamma, B. Spataro, F. Tazzioli, S. Tomassini, C. Vaccarezza, M. Vescovi, C. Vicario, E. Chiadroni, INFN/LNF, Frascati (Roma)","Direct Measurement of Phase Space Evolution in the SPARC High Brightness Photoinjector",284 289,
WEAAU04,"A. Burrill, R. Calaga, X. Chang, BNL, Upton, Long Island, New York; M. D. Cole, M. Falletta, AES, Medford, NY; R. Grover, R. C. Gupta, H. Hahn, L. Hammons, BNL, Upton, Long Island, New York; D. Holmes, AES, Medford, NY; D. Kayran, J. Kewisch, R. F. Lambiase, V. Litvinenko, G. T. McIntyre, D. Naik, D. Pate, D. Phillips, E. Pozdeyev, T. Rao, BNL, Upton, Long Island, New York; J. Rathke, T. Schultheiss, AES, Medford, NY; J. Smedley, BNL, Upton, Long Island, New York; A. M.M. Todd, AES, Princeton, New Jersey; R. J. Todd, D. Weiss, BNL, Upton, Long Island, New York; R. Wong, AES, Medford, NY; Q. Wu, A. Zaltsman, I. Ben-Zvi, BNL, Upton, Long Island, New York","Superconducting Photoinjector for High-Power Free Electron Lasers",290 293,
WEAAU05,"R. A. Crowell, K.-J. Kim, A. H. Lumpkin, ANL, Argonne, Illinois","A Compact Electron Spectrometer for an LWFA",294 297,
WEBAU01,"T. Asaka, H. Dewa, H. Hanaki, T. Kobayashi, JASRI/SPring-8, Hyogo-ken; F. Matsui, Industrial Technology Center of Fukui, Fukui City; A. Mizuno, S. Suzuki, T. Taniuchi, K. Yanagida, H. T. Tomizawa, JASRI/SPring-8, Hyogo-ken","Adaptive 3-D UV-laser Pulse Shaping System to Minimize Emittance for Photocathode RF Gun",298 305,
WEBAU03,"H. K. Bechtold, Aarhus University, Aarhus; R. Follath, BESSY GmbH, Berlin; U. Hahn, DESY, Hamburg; J. Hartvig, Aarhus University, Aarhus; S. V. Hoffmann, ISA, Aarhus; H. Juul, Aarhus University, Aarhus; Ch. Knoechel, LBNL, Berkeley, California; G. Reichardt, BESSY GmbH, Berlin; R. Reininger, UW-Madison/SRC, Madison, Wisconsin; F. Senf, F. Siewert, BESSY GmbH, Berlin; V. Toft, Aarhus University, Aarhus; J. Viefhaus, R. Treusch, DESY, Hamburg","Performance Tests of the Photon Monochromator for Self-seeding at FLASH",306 309,
WEBAU04,"V. R. Arsov, DESY, Hamburg; G. Berden, FOM Rijnhuizen, Nieuwegein; W. A. Gillespie, University of Dundee, Nethergate, Dundee, Scotland; S. P. Jamison, STFC/DL/ASTeC, Daresbury, Warrington, Cheshire; E.-A. Knabbe, DESY, Hamburg; A. MacLeod, UAD, Dundee; P. J. Phillips, University of Dundee, Nethergate, Dundee, Scotland; B. Schmidt, P. Schmüser, DESY, Hamburg; A. F.G. van der Meer, FOM Rijnhuizen, Nieuwegein; B. Steffen, DESY, Hamburg","Single-Shot Longitudinal Bunch Profile Measurements at FLASH Using Electro-Optic Detection: Experiment, Simulation, and Validation",310 313,
WEBAU05,"V. Kaplounenko, A. W. Weidemann, Z. R. Wolf, Yu. I. Levashov, SLAC, Menlo Park, California","Magnetic Measurements, Tuning and Fiducialization of LCLS Undulators at SLAC",314 317,
WEPPH003,"A. Chesnov, JINR, Dubna, Moscow Region; O. Grimm, Y. Holler, DESY, Hamburg; E. A. Matushevsky, D. Petrov, JINR, Dubna, Moscow Region; J. Rossbach, Uni HH, Hamburg; E. Syresin, N. A. Morozov, JINR, Dubna, Moscow Region","Magnetic Measurements of the FLASH Infrared Undulator",318 321,
WEPPH004,"V. Kocharyan, J. Rossbach, O. Grimm, DESY, Hamburg","Numerical Calculations of the Radiation Emitted from the FLASH Infrared Undulator",322 325,
WEPPH005,"B. Faatz, J. Pflueger, Y. Li, DESY, Hamburg","Magnet Sorting for the European XFEL Hybrid Undulator - Comparing Study",326 329,
WEPPH006,"B. Faatz, J. Pflueger, Y. Li, DESY, Hamburg","Study of Undulator Deformation Tolerance for the European XFEL",330 333,
WEPPH007,"O. I. Brovko, JINR/LHE, Moscow; J. Feldhaus, U. Hahn, M. Hesse, U. Jastrow, DESY, Hamburg; D. Kharlamov, JINR/LHE, Moscow; V. Kocharyan, DESY, Hamburg; V. I. Lokhmatov, JINR, Dubna, Moscow Region; E. A. Matyushevskiy, JINR/LHE, Moscow; P. Radcliffe, E. Saldin, E. Schneidmiller, DESY, Hamburg; A. V. Shabunov, JINR/LHE, Moscow; E. Syresin, JINR, Dubna, Moscow Region; K. I. Tiedtke, R. Treusch, M. V. Yurkov, N. von Bargen, L. Bittner, DESY, Hamburg","MCP-based Photon Detector with Extended Wavelength Range for FLASH",334 337,
WEPPH008,"F. Loehl, E. Prat, DESY, Hamburg; K. Honkavaara, Uni HH, Hamburg","Measurements of Projected Emittances at FLASH",338 341,
WEPPH009,"G. Asova, J. W. Baehr, C. H. Boulware, H.-J. Grabosch, L. H. Hakobyan, M. Hänel, S. Khodyachykh, S. A. Korepanov, M. Krasilnikov, S. Lederer, B. Petrosyan, DESY Zeuthen, Zeuthen; R. Richter, BESSY GmbH, Berlin; S. Riemann, S. Rimjaem, DESY Zeuthen, Zeuthen; K. Rosbach, Humboldt University Berlin, Institut für Physik, Berlin; J. Rossbach, Uni HH, Hamburg; T. A. Scholz, L. Staykov, F. Stephan, DESY Zeuthen, Zeuthen; J. Roensch, Uni HH, Hamburg","Recent Measurements of the Longitudinal Phase Space at PITZ",342 345,
WEPPH011,"J. W. Baehr, DESY Zeuthen, Zeuthen; Ye. Ivanisenko, KhNU, Kharkov; S. A. Korepanov, M. Krasilnikov, F. Stephan, M. Hänel, DESY Zeuthen, Zeuthen","Photocathode Laser Pulse Diagnostics at PITZ",346 349,
WEPPH012,"G. Asova, J. W. Baehr, C. H. Boulware, DESY Zeuthen, Zeuthen; K. Boyanov, INRNE, Sofia; H.-J. Grabosch, DESY Zeuthen, Zeuthen; L. H. Hakobyan, YerPhI, Yerevan; M. Hänel, S. Khodyachykh, S. A. Korepanov, M. Krasilnikov, B. Petrosyan, DESY Zeuthen, Zeuthen; R. Richter, BESSY GmbH, Berlin; S. Rimjaem, J. Roensch, T. A. Scholz, DESY Zeuthen, Zeuthen; A. Shapovalov, MEPhI, Moscow; L. Staykov, F. Stephan, S. Lederer, DESY Zeuthen, Zeuthen","Investigations on the Thermal Emittance of Cs2Te Photocathodes at PITZ",350 353,
WEPPH013,"G. Asova, J. W. Baehr, C. H. Boulware, DESY Zeuthen, Zeuthen; K. Boyanov, INRNE, Sofia; K. Floettmann, DESY, Hamburg; H.-J. Grabosch, L. H. Hakobyan, M. Hänel, S. Khodyachykh, S. A. Korepanov, M. Krasilnikov, S. Lederer, A. Oppelt, B. Petrosyan, DESY Zeuthen, Zeuthen; R. Richter, BESSY GmbH, Berlin; S. Riemann, DESY Zeuthen, Zeuthen; J. Roensch, Uni HH, Hamburg; K. Rosbach, Humboldt University Berlin, Institut für Physik, Berlin; T. A. Scholz, DESY Zeuthen, Zeuthen; A. Shapovalov, MEPhI, Moscow; L. Staykov, F. Stephan, S. Rimjaem, DESY Zeuthen, Zeuthen","Status and Perspectives of the PITZ Facility Upgrade",354 357,
WEPPH014,"A. A. Demidovich, R. Ivanov, P. Sigalotti, M. B. Danailov, ELETTRA, Basovizza, Trieste","Performance of the FERMI FEL Photoinjector Laser",358 361,
WEPPH015,"S. Di Mitri, S. Spampinati, ELETTRA, Basovizza, Trieste","Modeling of a Laser Heater for Fermi@Elettra",362 365,
WEPPH017,"G. Gatti, INFN/LNF, Frascati (Roma); P. Miglietta, A. Perrone, INFN-Lecce, Lecce; C. Ristoscu, INFLPR, Bucharest - Magurele; F. Tazzioli, L. Cultrera, INFN/LNF, Frascati (Roma)","UV Performances of Pulsed Laser Deposition Grown Mg Photocathodes",366 369,
WEPPH018,"D. Alesini, M. Migliorati, L. Palumbo, INFN/LNF, Frascati (Roma); J. B. Rosenzweig, UCLA, Los Angeles, California; L. Serafini, INFN-Milano, Milano; B. Spataro, M. Ferrario, INFN/LNF, Frascati (Roma)","A High Brightness X-band Split Photoinjector Concept and Related Technological Challenges",370 373,
WEPPH019,"C. Bontoiu, ELETTRA, Basovizza, Trieste; M. Castronovo, Università degli Studi di Trieste, Trieste; P. Craievich, L. Rumiz, ELETTRA, Basovizza, Trieste; R. Vescovo, A. A.G. Lutman, DEEI, Trieste","Determination of the Wakefield Budget for the FERMI FEL Undulator System",374 377,
WEPPH021,"T. Shintake, RIKEN Spring-8 Harima, Hyogo","Wide Band Seeding and Wavelength Compression",378 381,
WEPPH022,"M. Kobayashi, Nanophoton corporation, Osaka; H. T. Tomizawa, JASRI/SPring-8, Hyogo-ken","Feasibility Test of Shottoky Effect-Gated Photocathode RF Gun",382 385,
WEPPH023,"K. Masuda, H. Ohgaki, S. Sasaki, T. Shiiyama, H. Zen, T. Kii, Kyoto IAE, Kyoto","Beam Properties from S-band Energy Compensated Thermionic RF Gun and Linac for KU-FEL",386 389,
