th-20,"A. Schempp, U. Bessler, H. Deitinghoff, A. Kipper, T. Sieber, IAP, Frankfurt-am-Main, Germany; J. Klabunde, P. Spädtke, GSI, Darmstadt, Germany","Low-Frequency High-Current Spiral-RFQ Injectors",746 748,
th-21,"A. Schempp, H. Deitinghoff, O. Engels, IAP, Frankfurt-am-Main, Germany; H. Homeyer, W. Pelzer, HMI, Berlin, Germany","The VE-RFQ Injector for the Cyclotron at HMI",749 751,
th-22,"H.R. Schneider, P.G. Bricault, S. Koscielniak, T. Ries, L. Root, TRIUMF, Vancouver, Canada","A Post Accelerator for a Radioactive Beam Facility at TRIUMF",752 754,
th-23,"J.W. Staples, LBL, Berkeley, California, USA","Reducing RFQ Longitudinal Emittance",755 757,
th-24,"S. Takeuchi, H. Ikezoe, T. Ishii, M. Shibata, T. Yoshida, JAERI/Tokai, Ibaraki-ken, Japan","First Operating Experience with the Superconducting Heavy Ion Tandem-Booster Linac at JAERI",758 761,
th-25,"N. Tokuda, S. Arai, University of Tokyo, Tokyo, Japan","Beam Dynamics Design of the INS Split Coaxial RFQ for Radioactive Nuclei",762 764,
th-26,"M. Tomizawa, S. Arai, Y. Arakaki, T. Katayama, K. Niki, C.-M. Velissaris, M. Yoshizawa, University of Tokyo, Tokyo, Japan; T. Hattori, Tokyo Institute of Technology, Tokyo, Japan; M. Doi, NKK Corporation, Kawasaki, Japan","Model Measurement and Present Status of Interdigital-H Linac at INS",765 767,
th-27,"S. Yamada, H. Ogawa, A. Kitagawa, T. Kohno, T. Murakami, M. Muramatsu, Y. Sato, K. Tashiro, J. Yoshizawa, NIRS, Chiba, Japan; T. Fukushima, Y. Honda, T. Iwasaki, T. Kimura, T. Kobayashi, H. Matsushita, K. Nagakura, H. Sakamoto, S. Shibuya, M. Yamamoto, K. Ueno, Accelerator Engineering Corporation, Chiba, Japan","Present Status of the HIMAC Injector (Oral Poster)",768 770,
th-28,"K. Yoshida, S. Arai, Y. Hashimoto, H. Masuda, K. Niki, University of Tokyo, Tokyo, Japan","Model Test of a Double-Coaxial lambda/4 Resonant Cavity as a Rebuncher",771 773,
th-29,"G. Bisoffi, A. Lombardi, A. Pisent, INFN/LNL, Legnaro (PD), Italy; V.A. Andreev, ITEP, Moscow, Russia","Studies of a Superconducting RFQ for Legnaro",774 776,
th-30,"R. Abbott, S. Benson, M. Crofford, D. Douglas, R. Gonzales, R. Kazimi, D. Kehne, G.A. Krafft, P. Liger, H. Liu, D. Machie, C. Sinclair, CEBAF, Newport News, Virginia, USA","Design, Commissioning and Operation of the Upgraded CEBAF Injector (Oral Poster)",777 779,
th-34,"B. Feng, Z. Lu, L. Zhang, Shanghai Institute of Optics and Fine Mechanics, Shanghai, China","Observation of Operating Mode in Raman Free Electron Lasers",780 782,
th-36,"M. Sawamura, R. Kato, N. Kikuzawa, E.J. Minehara, R. Nagai, M. Ohkubo, M. Sugimoto, M. Takao, JAERI/Tokai, Ibaraki-ken, Japan","RF Power Operations for JAERI FEL Linac",783 785,
th-38,"E.G. Bessonov, Lebedev Physics Institute, Moscow, Russia","Radiative Method of Ion Cooling in Storage Rings",786 788,
th-39,"A.S. Bogomolov, BINP, Novosibirsk, Russia","BWLAP-Backward Wave Linear Accelerator of Protons (Oral Poster)",789 791,
th-40,"N.A. Ebrahim, Atomic Energy of Canada, Chalk River, Ontario, Canada","Electron Acceleration by Relativistic Electron Plasma Waves in the Laser Plasma Beatwave Accelerator Concept",792 794,
th-41,"K. Nakajima, M. Arinaga, T. Kawakubo, T. Kawamoto, H. Nakanishi, A. Ogata, KEK, Ibaraki, Japan","A GeV Laser Wakefield Accelerator Using Table-Top-Terawatt Laser (Oral Poster)",795 797,
th-42,"K. Nakajima, T. Kawakubo, H. Nakanishi, A. Ogata, KEK, Ibaraki, Japan; Y. Kato, Y. Kitagawa, R. Kodama, K. Mima, H. Shiraga, K. Suzuki, K. Yamakawa, T. Zhang, Osaka University, Osaka, Japan; Y. Sakawa, T. Shoji, Nagoya University, Nagoya, Japan; Y. Nishida, N. Yugami, Utsunomiya University, Utsunomiya, Japan; M. Downer, D. Fisher, T. Tajima, University of Texas at Austin, Austin, Texas, USA","Proof of Principle Experiments of Laser Wakefield Acceleration",798 800,
th-43,"A. Ogata, M. Arinaga, T. Kawakubo, K. Nakajima, H. Nakanishi, KEK, Ibaraki, Japan; T. Kozawa, T. Kobayashi, H. Shibata, T. Ueda, University of Tokyo, Tokyo, Japan; Y. Nishida, N. Yugami, Utsunomiya University, Utsunomiya, Japan; D. Whittum, SLAC, Stanford, California, USA; Y. Yoshida, Osaka University, Osaka, Japan","Plasma Wakefield Acceleration in Overdense Regime Driven by Narrow Bunches",801 803,
th-45,"D.A. Swenson, Linac Systems, Waxahachie, Texas, USA","RF-Focused Drift Tube Linac Structure (Oral Poster)",804 806,
th-46,"M. Uesaka, T. Kobayashi, T. Kozawa, K. Miya, T. Ueda, University of Tokyo, Tokyo, Japan","Generation of 37 MeV Subpicosecond Electron Single Bunch at S-Band Linear Accelerator",807 809,
th-47,"X.J. Wang, R. Fernow, K.P. Kusche, Y. Liu, I. Pogorelsky, BNL, Upton, New York, USA; G.H. Kim, W.D. Kimura, R.D. Romea, L.C. Steinhauer, STI Optronics, Inc., Bellevue, Washington, USA","Inverse Cerenkov Laser Acceleration Experiment at ATF (Oral Poster)",810 812,
th-48,"P. Clout, M. Geib, J. Sinclair, R. Westervelt, Vista Control Systems Inc., Los Alamos, New Mexico, USA","Re-engineering Control Systems",813 815,
th-50,"Y. Funahashi, S. Araki, F. Hinode, K. Kudo, S. Takeda, Y. Takeuchi, J. Urakawa, M. Yoshioka, KEK, Ibaraki, Japan","Development of Active Tables for Linear Colliders",816 818,
th-51,"K. Furukawa, A. Enomoto, T. Kamitani, Y. Ogawa, S. Ohsawa, KEK, Ibaraki, Japan","Control System for a Bunch /Profile Monitor at the KEK e+e- Linac",819 821,
th-53,"N. Kamikubota, I. Abe, K. Furukawa, K. Nakahara, KEK, Ibaraki, Japan","New Control System for the KEK Linac",822 824,
th-54,"I.S. Ko, W. Namkung, POSTECH, Pohang, Korea","Control of PLS 2-GeV Linac (Oral Poster)",825 827,
th-55,"S.H. Wang, D.M. Kong, Z.H. Luo, J.M. Qiao, H.S. Zhang, IHEP Beijing, Beijing, China","Improvement and Application of the Beijing Proton Linac (Oral Poster)",828 830,
th-56,"T. Korhonen, University of Helsinki, Helsinki, Finland; H. Hayano, H. Matsumoto, T. Mimashi, T. Naito, J. Urakawa, KEK, Ibaraki, Japan","RD of the ATF Timing System",831 833,
th-57,"A.J. Kozubal, R.E. Weiss, LANL, Los Alamos, New Mexico, USA","Lessons Learned on the Ground Test Accelerator Control System",834 836,
th-58,"Y. Otake, KEK, Ibaraki, Japan","Development of Components for an S-Band Electron Linac RF Feedback Control",837 839,
th-59,"M. Sugimoto, R. Kato, R. Nagai, JAERI/Tokai, Ibaraki-ken, Japan","JAERI FEL Control System",840 841,
th-60,"M. Sugimoto, K. Noda, JAERI/Tokai, Ibaraki-ken, Japan","Energy Selective Intense Neutron Source",842 844,
th-61,"R. Wright, D. Kerstiens, G. Vaughn, R.E. Weiss, LANL, Los Alamos, New Mexico, USA","EPICS Simulation Tools for Control System Development (Oral Poster)",845 847,
th-62,"J. Komatsu, A. Asami, H. Kohjitani, K. Tamiya, Naruto University of Education, Naruto-shi, Japan; T. Suwada, H. Kobayashi, S. Ohsawa, T. Urano, KEK, Ibaraki, Japan","Dependence of the Wall-Current Monitor on the Beam Position",848 850,
th-63,"R. Bossart, CERN, Geneva, Switzerland","High Precision Beam Position Monitor Using a Re-entrant Coaxial Cavity (Oral Poster)",851 853,
th-64,"H. Dewa, H. Fujita, M. Ikegami, M. Inoue, Y. Iwashita, S. Kakigi, M. Kando, A. Noda, H. Okamoto, T. Shirai, Kyoto University, Kyoto, Japan","Pulsed Beam Current Monitor with a Toroidal Coil",854 856,
th-66,"M. Ikegami, H. Dewa, H. Fujita, M. Inoue, Y. Iwashita, S. Kakigi, M. Kando, A. Noda, T. Shirai, Kyoto University, Kyoto, Japan","Emittance Measurement at the ICR 7 MeV Proton Linac",857 859,
th-67,"H. Itoh, T. Enoto, S. Nisiyama, S. Tomioka, Hokkaido University, Sapporo, Japan","Spectrum Analysis of an Electromagnetic Field Generated by Linac Electron Beams",860 862,
th-68,"N. Kamikubota, K. Furukawa, E. Mizuno, KEK, Ibaraki, Japan; Y. Ogawa, Institute of Space and Astronautical Science, Kanagawa, Japan","Monitor of Seismic Vibration for the KEK Linac",863 865,
th-69,"T. Kobayashi, T. Kozawa, K. Miya, H. Shibata, T. Ueda, M. Uesaka, University of Tokyo, Tokyo, Japan; S. Tagawa, Y. Yoshida, Osaka University, Osaka, Japan; H. Kobayashi, KEK, Ibaraki, Japan","Development of the Non-Destructive Beam Position Monitor Using Amorphous Magnetic Wires",866 868,
th-70,"E.D. Gazazian, M.I. Ivanian, E.M. Laziev, Yerevan Physics Institute, Yerevan, Armenia; R.A. Avakian, A.E. Mailian, D.L. Oganessian, A.O. Vardanian, Research Institute of Optical  Physical Measurements, Yerevan, Armenia","Setup for Determination of the Longitudinal Profile and Duration of Ultrashort Electron Bunches",869 871,
th-71,"A. Lazos, H. Kobayashi, T. Suwada, T. Urano, KEK, Ibaraki, Japan","BPM Electronics for the B-Factory e+e- Linac at KEK",872 874,
th-73,"D.K. Liu, K.R. Ye, IHEP Beijing, Beijing, China","Improvement of Beam Diagnosis",875 877,
th-75,"E.S. McCrory, L. Allen, K.L. Junck, M. Popovicacute;, C. Schmidt, FNAL, Batavia, Illinois, USA","The Performance of the Beam Diagnostics Systems for the Fermilab 400 MeV Linac",878 880,
th-76,"K.L. Junck, E.S. McCrory, FNAL, Batavia, Illinois, USA","Beam Position Correction in the Fermilab Linac",881 883,
th-77,"M. Muto, Y. Hashimoto, Y. Kamiya, T. Koseki, H. Kudo, K. Maruyama, H. Masuda, K. Norimura, H. Okuno, K. Shiino, K. Shinoe, H. Takaki, K. Yoshida, University of Tokyo, Tokyo, Japan; H. Hayano, T. Naito, J. Urakawa, M. Yoshioka, KEK, Ibaraki, Japan; H. Okuma, SPring-8, Hyougo, Japan","A Beam Diagnostic System Using SR for JLC-ATF",884 886,
th-78,"T. Naito, H. Hayano, H. Matsumoto, S. Takeda, KEK, Ibaraki, Japan; T. Asaka, Tohokugakuin University, Miyagi, Japan","Bunch by Bunch Beam Monitor for ATF Injector Linac",887 889,
th-79,"T. Nakazato, S. Hasebe, M. Ikezawa, K. Ishi, Y. Kondo, M. Oyamada, Y. Shibata, K. Shimoyama, Y. Suzuki, S. Urasawa, T. Yamakawa, Tohokugakuin University, Miyagi, Japan; H. Hayano, T. Naito, J. Urakawa, M. Yoshioka, KEK, Ibaraki, Japan","A Bunch Length Monitor Using Coherent Radiation for JLC (Oral Poster)",890 892,
th-80,"T.L. Owens, K.L. Junck, T. Kroc, E.S. McCrory, M. Popovicacute;, FNAL, Batavia, Illinois, USA","Phase Scan Signature Matching for Linac Tuning",893 895,
th-81,"M. Popovicacute;, K.L. Junck, T. Kroc, E.S. McCrory, FNAL, Batavia, Illinois, USA; P.N. Ostroumov, RAS/INR, Moscow, Russia","Measurements of the Longitudinal Beam Parameters in the Fermilab Linac",896 898,
th-82,"Y.L. Qian, W. Berg, R. Fuja, A. Grelick, K. Ko, T. Russell, W. Wesolowski, M. White, ANL, Argonne, Illinois, USA","Beam Parameter Measurements for the APS Linac System",899 901,
th-83,"T. Sawamura, A. Homma, H. Yamazaki, Hokkaido University, Sapporo, Japan; J. Ohkuma, T. Okada, S. Okuda, S. Suemine, K. Tsumori, T. Yamamoto, Osaka University, Osaka, Japan","A General Analysis of Wireline-Type Monitor for Relativistic Electron Beams",902 904,
th-84,"R.E. Shafer, LANL, Los Alamos, New Mexico, USA","Beam Position Monitor Sensitivity for Low-beta; Beams",905 907,
th-85,"T. Shirai, H. Dewa, H. Fujita, M. Ikegami, M. Inoue, Y. Iwashita, S. Kakigi, M. Kando, A. Noda, Kyoto University, Kyoto, Japan","Emittance Monitor with View Screen and Slits",908 910,
th-86,"T. Suwada, T. Kamitani, H. Kobayashi, S. Ohsawa, T. Urano, M. Yokota, KEK, Ibaraki, Japan","Emittance Measurement of a High-Current Single-Bunch Electron Beam at the Pre-Injector of the KEK 2.5-GeV Linac",911 913,
th-87,"M. Tejima, Y. Funahashi, H. Hayano, F. Hinode, T. Mimashi, Y. Takeuchi, N. Terunuma, J. Urakawa, KEK, Ibaraki, Japan","Beam Position Monitor of the ATF-DR",914 916,
th-88,"A.M. Tron, MEPhi, Moscow Engineering Physics Institute, Moscow, Russia","Secondary Electron Monitors in Linacs for Intense Neutron Sources (Oral Poster)",917 919,
th-90,"K. Yanagida, T. Hori, Y. Itoh, A. Kuba, A. Mizuno, H. Sakaki, S. Suzuki, H. Yokomizo, H. Yoshikawa, JAERI/Tokai, Ibaraki-ken, Japan","Emittance Monitor for SPring-8 Linac",920 922,
th-91,"V.L. Smirnov, Yu. K. Krut, V.M. Nikolaev, A.V. Rjabtzev, Yu.P. Vakhrushin, D.V. Efremov Research Institute of Electrophysical Apparatus, St Petersburg, Russia; S.F. Khotuntzev, V.G. Kuperman, V.V. Pagirev, B.A. Pavlov, E.A. Petrov, V.A. Vetkin, Russian Institute of Powerful Radioconstruction, St Petersburg, Russia; E.M. Laziev, G.G. Oksuzian, S.S. Ovakimian, Yerevan Physics Institute, Yerevan, Armenia","Yerevan 120 MeV Linac Test-Facility",923 925,
th-92,"K.G. Antonyan, L.G. Hakopyan, E.M. Laziev, S.N. Movsesyan, A.G. Oganessian, Yerevan Physics Institute, Yerevan, Armenia","Beam Position Monitor Based on Diffraction Radiation",926 928,
th-93,"E.A. Begloyan, E.D. Gazazian, H.H. Haroutunian, M.I. Ivanian, V.G. Kocharian, E.M. Laziev, G.G. Oksuzian, A.D. Ter-Pogossian, Yerevan Physics Institute, Yerevan, Armenia","RD Program on Yerevan Linac Test Facility",929 931,
th1-01,"S.N. Simrock, CEBAF, Newport News, Virginia, USA","Precision Control of Large RF Systems",649 653,
th1-02,"D.J. Warner, CERN, Geneva, Switzerland","The Heavy Ion Linac for the CERN Lead Ion Facility",654 658,
th1-03,"J. Ungrin, Atomic Energy of Canada, Chalk River, Ontario, Canada","Industrial Applications of Low-Energy Linacs",659 663,
th1-04,"E.A. Heighway, LANL, Los Alamos, New Mexico, USA","An Accelerator Technology Legacy",664 668,
th2-01,"Y. Mori, KEK, Ibaraki, Japan","Recent Topics on the Development of Negative Ion Sources for High Intensity Hadron Accelerators",671 675,
th2-02,"D. Schultz, R. Alley, J. Clendenin, J. Frisch, G. Mulhollan, P. Saez, H. Tang, K. Witte, SLAC, Stanford, California, USA","The Polarized Electron Source of the Stanford Linear Accelerator Center",676 680,
th2-03,"K. Flöttmann, DESY, Hamburg, Germany","Polarized and Unpolarized Positron Sources for Linear Colliders",681 685,
tu-01,"G.V. Dolbilov, A.A. Fateev, I.I. Golubev, I.N. Ivanov, V.V. Kosukhin, N.I. Lebedev, V.A. Petrov, V.P. Sarantsev, V.S. Shvetsov, A.I. Sidorov, A.P. Sumbaev, M.V. Yurkov, JINR, Dubna, Moscow Region, Russia","Project of SILUND-21 Linear Induction Accelerator for Generation of CLIC Driving Beam (Oral Poster)",357 359,
tu-02,"G.V. Dolbilov, A.A. Fateev, V.A. Petrov, A.I. Sidorov, JINR, Dubna, Moscow Region, Russia","Development of Nanosecond Pulsed Generators for Linear Induction Accelerators at JINR",360 362,
tu-03,"G.V. Dolbilov, A.A. Fateev, I.I. Golubev, V.I. Kazacha, V.V. Kosukhin, N.I. Lebedev, V.A. Petrov, V.P. Sarantsev, A.I. Sidorov, A.P. Sumbaev, JINR, Dubna, Moscow Region, Russia","Development of Linear Induction Accelerators at JINR",363 365,
tu-04,"H. Ida, K. Yamada, NKK Corporation, Yokohama, Japan; Y. Funahashi, H. Hirayama, H. Matsumoto, Y. Namito, Y. Takeuchi, J. Urakawa, M. Yoshioka, KEK, Ibaraki, Japan","Design of an Intense Positron Source for Linear Colliders",366 368,
tu-05,"Y. Iwashita, Kyoto University, Kyoto, Japan","Axial Magnetic Field Produced by Radially Magnetized Permanent Magnet Ring",369 371,
tu-06,"A.I. Govorov, I.V. Kalagin, V.A. Monchinsky, V.V. Seleznev, JINR, Dubna, Moscow Region, Russia","The Laser Ion Source of the Synchrophasotron and the Nuclotron in Dubna",372 374,
tu-08,"T. Naito, M. Akemoto, H. Hayano, H. Matsumoto, S. Takeda, J. Urakawa, M. Yoshioka, KEK, Ibaraki, Japan; T. Asaka, Tohokugakuin University, Miyagi, Japan","Multi-Bunch Beam with Thermionic Gun for ATF",375 377,
tu-09,"T. Nakanishi, H. Aoyagi, S. Okumi, C. Takahashi, Y. Tanimoto, M. Tawada, K. Togawa, M. Tsubata, Nagoya University, Nagoya, Japan; Y. Kurihara, T. Omori, Y. Takeuchi, M. Yoshioka, KEK, Ibaraki, Japan; T. Kato, T. Saka, Daido Steel Co. Ltd., Nagoya, Japan; T. Baba, M. Mizuta, NEC Corporation, Tsukuba, Japan","High Polarization and High Quantum Efficiency Cathode Research for Electron-Positron Linear Colliders (Oral Poster)",378 380,
tu-10,"H. Oguri, K. Hasegawa, N. Ito, J. Kusano, M. Mizumoto, Y. Okumura, T. Ono, JAERI/Tokai, Ibaraki-ken, Japan; H. Murata, Sumitomo Heavy Industries Ltd., Ehime-ken, Japan; K. Sakogawa, MHI, Nagoya-shi, Japan; M. Kawai, Toshiba Corporation, Yokohama, Japan","A High Brightness Hydrogen Ion Source for the BTA at JAERI",381 383,
tu-100,"A.V. Agafonov, E.G. Krastelev, A.Yu. Kustov, A.N. Lebedev, P.S. Michalev, S.M. Zakharov, Lebedev Physics Institute, Moscow, Russia","A Low Frequency RF Electron Linac for an IR FEL",600 602,
tu-101,"A. Alimov, A. Chepurnov, O. Chubarov, D. Ermakov, K. Gudkov, V. Shvedunov, Moscow State University, Moscow, Russia","CW Linear Accelerator with High Beam Current",603 605,
tu-102,"O. Kultashev, State Research and Production Corporation ''Istok'', Fryazino, Moscow Region, Russia; V.P. Ovsiannikov, JINR, Dubna, Moscow Region, Russia","Metal Alloy Thermionic Cathode with High Emission Density",606 608,
tu-11,"V.P. Ovsiannikov, JINR, Dubna, Moscow Region, Russia","The Electron Beam Ion Source ''KRION-C'' Performance on the Linac LU-20 in the LHE",384 386,
tu-12,"S. Park, P. Davis, G. Hairapetian, M. Hogan, C. Joshi, C. Pellegrini, J. Rosenzweig, G. Travish, R. Zhang, UCLA, Los Angeles, California, USA","RF Photoinjector/Linac Development and their Applications at UCLA (Oral Poster)",387 389,
tu-13,"V.A. Batalin, T.V. Kulevoy, S.V. Petrenko, Yr.N. Volkov, ITEP, Moscow, Russia","E-MEVVA Ion Source for High Charged Uranium Ions Generation",390 392,
tu-14,"H.V. Smith, Jr., P. Allison, J.D. Schneider, J.E. Stelzer, LANL, Los Alamos, New Mexico, USA","Experimental Study of a Simple Method to Chop Penning SPS H- Beams (Oral Poster)",393 395,
tu-15,"D. Spence, C.L. Fink, ANL, Argonne, Illinois, USA","Production of High Proton Fractions from ECR Sources by Plasma Modification",396 397,
tu-16,"S.T. Melnychuk, T.W. Debiak, G. Gammel, J.J. Sredniawski, Grumman Aerospace Corporation, Bethpage, New York, USA","Recent Developments with Multicusp Ion Sources at Grumman",398 400,
tu-17,"J.S.C. Wills, N.J. Diserens, P.A. Dube, R. Halko, T. Taylor, Atomic Energy of Canada, Chalk River, Ontario, Canada","Microwave Driven Negative Ion Sources",401 403,
tu-18,"C. Travier, J.N. Cayla, B. Leblond, LAL, Orsay, France; P. Georges, P. Thomas, Université de Paris-Sud, Orsay, France; L. Boy, GANIL, Caen, France","CANDELA Photo-Injector Experimental Results",404 406,
tu-19,"X.J. Wang, K. Batchelor, I. Ben-Zvi, J. Fischer, T. Srinivasan-Rao, BNL, Upton, New York, USA","Photoelectrons Beam Measurement from a Magnesium Cathode in a RF Electron Gun",407 409,
tu-20,"H. Yoshikawa, T. Hori, Y. Itoh, T. Kodera, A. Kuba, A. Mizuno, H. Sakaki, S. Suzuki, K. Tamezane, K. Yanagida, H. Yokomizo, JAERI/Tokai, Ibaraki-ken, Japan","High Current 1ns Pulse Electron Gun",410 412,
tu-21,"K. Zhao, C. Chen, R. Geng, J. Yu, B. Zhang, Peking University, Beijing, China","Feasibility Study of Ion Implanted Photocathode for High-Brightness Injector (Oral Poster)",413 414,
tu-22,"M. Akemoto, S. Takeda, KEK, Ibaraki, Japan","Pulse Modulator for 85 MW Klystron in ATF Linac",415 417,
tu-23,"M.H. Cho, W. Namkung, J.S. Oh, S.S. Park, POSTECH, Pohang, Korea","High-Power Microwave System for PLS 2-GeV Linac (Oral Poster)",418 420,
tu-24,"N.I. Azorsky, G.V. Dolbilov, A.A. Fateev, N.I. Lebedev, V.A. Petrov, V.P. Sarantsev, V.S. Shvetsov, M.V. Yurkov, JINR, Dubna, Moscow Region, Russia; P.V. Avrakhov, V.E. Balakin, V.I. Chashuri, S.Yu. Kazakov, N.A. Solyak, V.E. Teryaev, BINP, Protvino, Moscow Region, Russia","Study of the 14 GHz Relativistic Klystron for VLEPP",421 423,
tu-26,"M.V. Fazio, B.E. Carlsten, W.B. Haynes, R.M. Stringfield, LANL, Los Alamos, New Mexico, USA","A 500 MW Annular Beam Relativistic Klystron (Oral Poster)",424 426,
tu-27,"S. Fukuda, S. Anami, S. Michizono, K. Nakao, Y. Saito, KEK, Ibaraki, Japan","Development of the B-Factory Linac 50-MW Pulse Klystron",427 429,
tu-28,"H. Hanaki, S. Anami, A. Enomoto, T. Oogoe, Y. Otake, KEK, Ibaraki, Japan","Use of SLEDs for High-Gradient Acceleration",430 432,
tu-29,"K. Hayashi, H. Iyeki, Mitsubishi Electric Corp., Hyogo, Japan","A High-Power Klystron",433 435,
tu-30,"H. Honma, S. Anami, I. Sato, T. Shidara, KEK, Ibaraki, Japan","Upgrade of the PF 2.5-GeV Linac Klystron Modulator for the KEK-B",436 438,
tu-31,"S. Isagawa, M. Yoshida, KEK, Ibaraki, Japan; Y. Ohkubo, H. Yonezawa, Toshiba Corp., Tochigi, Japan","Tuning Measurement of Multi-Cavity Klystrons in Diode Mode Operation",439 441,
tu-32,"S.Yu. Kazakov, BINP, Protvino, Moscow Region, Russia","X-Band TE10-TE01 Mode Converters (Oral Poster)",442 444,
tu-33,"R.F. Koontz, J. Eichner, S. Gold, SLAC, Stanford, California, USA","Recent Performance of Klystron Testing Modulators in the SLAC Klystron Test Lab",445 447,
tu-35,"W. Lawson, J.P. Calame, J. Cheng, V.L. Granatstein, P.E. Latham, M. Reiser, University of Maryland, College Park, Maryland, USA","Experimental Design of 100 MW X-Band and Ku-Band Gyroklystrons (Oral Poster)",448 450,
tu-37,"M.T. Lynch, D. Keffeler, D. Rees, W. Roybal, LANL, Los Alamos, New Mexico, USA; J. Sheikh, Atomic Energy of Canada, Chalk River, Ontario, Canada","Installation and Test Results of a High-Power, CW Klystrode Amplifier at Los Alamos National Laboratory",451 453,
tu-38,"M.T. Lynch, L. Eaton, G. Lawrence, A.H. Regan, P.J. Tallerico, C.D. Ziomek, LANL, Los Alamos, New Mexico, USA","RF System Considerations for Large High-Duty-Factor Linacs",454 456,
tu-39,"S. Michizono, H. Mizuno, Y. Saito, KEK, Ibaraki, Japan; S.Yu. Kazakov, BINP, Protvino, Moscow Region, Russia","High Power Tests of Pill-Box and TW-In-Ceramic Type S-Band RF Windows",457 459,
tu-40,"A. Miura, Nihon Koshuha Co. Ltd., Kanagawa, Japan; H. Matsumoto, KEK, Ibaraki, Japan","Development of S-Band RF Window for Linear Colliders",460 462,
tu-41,"H. Mizuno, Y. Otake, KEK, Ibaraki, Japan","A New RF Power Distribution System for X-Band Linac Equivalent to an RF Pulse Compression Scheme of Factor 2n",463 465,
tu-43,"H. Mizuno, S. Michizono, J. Odagiri, Y. Otake, S. Tokumoto, Y. Saito, KEK, Ibaraki, Japan; S.Yu. Kazakov, BINP, Protvino, Moscow Region, Russia","RF High Power Tests of the X-Band Windows in the TWR",466 468,
tu-45,"J. Odagiri, H. Mizuno, K. Takata, KEK, Ibaraki, Japan","FCI Simulation on 100 MW Class Klystron at X-Band",469 471,
tu-46,"M. Ono, S. Anami, H. Hanaki, Z. Igarashi, M. Kawamura, T. Kubo, C. Kubota, K. Kudo, E. Takasaki, T. Takenaka, KEK, Ibaraki, Japan","Operation of 432-MHz RF Source for the JHP Proton Linac",472 474,
tu-49,"I. Syrachev, V.F. Vogel, BINP, Protvino, Moscow Region, Russia; H. Mizuno, J. Odagiri, Y. Otake, S. Tokumoto, KEK, Ibaraki, Japan","The Results of RF High Power Tests of X-Band Open Cavity RF Pulse Compression System VPM(JLC)",475 477,
tu-51,"S. Yamaguchi, S. Anami, A. Enomoto, H. Hanaki, K.W. Kakihara, T. Oogoe, Y. Otake, I. Sato, KEK, Ibaraki, Japan","Development of an RF Pulse Compressor Using a Traveling-Wave Resonator",478 480,
tu-52,"C.E. Adolphsen, K. Bane, R.H. Miller, R.D. Ruth, K. Thompson, J. Wang, SLAC, Stanford, California, USA; H. Higo, K. Kubo, KEK, Ibaraki, Japan","Measurement of Wakefield Suppression in a Detuned X-Band Accelerator Structure (Oral Poster)",481 483,
tu-53,"A.I. Balabin, G.N. Kropachev, ITEP, Moscow, Russia","Sign-Alternating Phasing in Accelerating Systems of RF Rectangular Aperture Quadrupoles",484 486,
tu-54,"Y.K. Batygin, RIKEN, Saitama, Japan","Nonlinear Potential Distribution for High Current Beam Transport without Emittance Growth",487 489,
tu-55,"Y.K. Batygin, RIKEN, Saitama, Japan","Density Uniforming of Large Momentum Spread Beam",490 492,
tu-57,"B.E. Carlsten, LANL, Los Alamos, New Mexico, USA; T.O. Raubenheimer, SLAC, Stanford, California, USA","Centrifugal Space-Charge Force for Bunched Beams",493 495,
tu-58,"Y. Chen, S. Fu, Z. Huang, China Institute of Atomic Energy, Beijing, China; Z. Zhang, Tsinghua University, Beijing, China","Space Charge Effect of Bunched Beam with Nonuniform Distribution in Both Longitudinal and Transverse Directions",499 501,
tu-59,"J.-Y. Choi, A. Enomoto, T. Kamitani, Y. Ogawa, S. Ohsawa, I. Sato, KEK, Ibaraki, Japan","Emittance Growth and Beam Loading in Intense Electron Beams",502 504,
tu-60,"C.L. Bohn, J.R. Delayen, ANL, Argonne, Illinois, USA","Modeling the Dynamics of Charged-Particle Beams Using a Fokker-Planck Approach",505 507,
tu-61,"M. Ferrario, F Tazzioli, INFN/LNF, Frascati (Roma), Italy; L. Serafini, INFN-Milano, Milano, Italy","Multibunch Beam Dynamics in a Superconducting Linac Injector",508 510,
tu-62,"S. Fu, Y. Chen, T. Yang, China Institute of Atomic Energy, Beijing, China; Z. Zhang, Tsinghua University, Beijing, China","Physical Design on an RF-Linac for Far-Infrared Free Electron Laser",511 513,
tu-63,"J. Gao, LAL, Orsay, France","Multibunch Emittance Growth and its Correction in S-Band Linear Collider",514 516,
tu-64,"G.H. Gillespie, B.W. Hill, G.H. Gillespie Associates Inc., Del Mar, California, USA","An Interactive Graphical User Interface for the Linac Beam Dynamics Code PARMILA",517 519,
tu-65,"P. Groß, R. Dölling, J. Pozimski, H. Klein, IAP, Frankfurt-am-Main, Germany; T. Weis, Dortmund University, Dortmund, Germany","Experimental and Theoretical Investigations of Emittance Growth of Space Charge Compensated Beams in a Magnetic Transfer Line",520 522,
tu-68,"T. Kato, KEK, Ibaraki, Japan","Beam Simulation Code Using Accurate Gap Field Distributions in a Drift Tube Linac",523 525,
tu-69,"S. Koscielniak, TRIUMF, Vancouver, Canada","Reducing Longitudinal Emittance Growth in RFQ Accelerators (Oral Poster)",526 528,
