tupe06,"X. Escaler, V. Arbo SangÃ¼esa [UPC, Barcelona, Spain] J.J. Casas, C. Colldelram, M. Prieto, M. Quispe [ALBA-CELLS Synchrotron, Cerdanyola del VallÃ¨s, Spain] ","Thermo-Fluid Numerical Simulation of the Crotch Absorbers' Cooling Pinholes for ALBA Storage Ring",165 168,
tupe08,"K.J. Suthar, P.K. Den Hartog [ANL, Argonne, Illinois, USA] ","Finite Element Analysis of a Photon Absorber Based on Volumetric Absorption of the Photon Beam",169 172,
tupe09,"X. Escaler, V. Blasco, Yu.A. Kubyshin, J.A. Romero, A. Sanchez [UPC, Barcelona, Spain] M. Prieto [ALBA-CELLS Synchrotron, Cerdanyola del VallÃ¨s, Spain] V.I. Shvedunov [SINP MSU, Moscow, Russia] ","Thermo-Fluid Study of the UPC Race-Track Microtron Cooling System",173 175,
tupe10,"J.S. Stimson, M.C.L. Ward [BCU, Birmingham, United Kingdom] S. Diaz-Moreno, P. Docker, J. Kay, J. Sutter [DLS, Oxfordshire, United Kingdom] ","A Thermal Exploration of Different Monochromator Crystal Designs",176 178,
tupe11,"M. Quispe, A. Carballedo, J.J. Casas, C. Colldelram, A. Crisol, G. PeÃ±a, L. Ribo, I. Sics, I. Yousef [ALBA-CELLS Synchrotron, Cerdanyola del VallÃ¨s, Spain] ","Study on Thermal Mechanical Design and Optimization Analysis for the ALBA Infrared Microspectroscopy Beamline (MIRAS) Extraction Mirror Based on Finite Element Analysis",179 182,
tupe12,"M.H. Lee, C.Y. Chang, C.H. Chang, S.H. Chang, C. Chen, C.C. Chiu, L. Huang, L. Lai, L. Lee, D.G. Liu, Y. Su, H.Y. Yan [NSRRC, Hsinchu, Taiwan] ","Developing White Beam Components of TPS Beamline 24A",183 186,
tupe13,"X. Escaler, D. Juan Garcia [UPC, Barcelona, Spain] J.J. Casas, C. Colldelram, M. Prieto, M. Quispe [ALBA-CELLS Synchrotron, Cerdanyola del VallÃ¨s, Spain] ","Numerical Simulation of the ALBA Synchrotron Light Source Cooling System Response to Pump Start-Up and Shut-Down",187 190,
tupe14,"M. Quispe, J. Campmany, J.J. Casas, C. Colldelram, A. Crisol, J. Marcos, G. PeÃ±a, M. Tallarida [ALBA-CELLS Synchrotron, Cerdanyola del VallÃ¨s, Spain] ","Study, Design and Optimization Analysis of the ALBA LOREA Dipole Vacuum Chamber and Crotch Absorbers Based on Finite Element Analysis",191 193,
tupe15,"M. Saveri Silva, R.R. Geraldes, A. Gilmour [LNLS, Campinas, Brazil] T.A.M. Ruijl, R.M. Schneider [MI-Partners, Eindhoven, The Netherlands] ","Thermal Management and Crystal Clamping Concepts for the New High-Dynamics DCM for Sirius",194 197,
tupe16,"H.L. Qin, K. Yang [SSRF, Shanghai, People's Republic of China] L. Jin, H. Zhang, W. Zhu [SINAP, Shanghai, People's Republic of China] ","Design of A Leaf Spring Bender for Double Laue Crystal Monochromator at SSRF",198 200,
tupe18,"W. Tizzano [DLS, Oxfordshire, United Kingdom] ","Design and FEA of a 3D Printed Detector Window Frame",201 204,
tupe19,"S.Y. Chen, D. Bertwistle, K. Kei, C. Murray, T.M. Pedersen [CLS, Saskatoon, Saskatchewan, Canada] ","Application of a NEG Coated Chamber at the Canadian Light Source",205 208,
tupe21,"L.X. Lin, T.W. Wysokinski [CLS, Saskatoon, Saskatchewan, Canada] ","CLSI BMIT's Super-Conducting Wiggler Cryogenic Safety Improvements*",209 212,
tupe22,"M. Toyoda, R. Sunayama, M. Yanagihara [Tohoku University, Institute of Multidisciplinary Research for Advanced Materials, Sendai, Japan] ","Low-Order Aberrations Correction of Extreme Ultraviolet Imaging Objective with Deformable Multilayer Mirrors",213 215,
tupe23,"G.V. Claudiano, O.R. Bagnato, P.T. Fonseca, F.R. Francisco, R.L. Parise, L.M. Volpe [LNLS, Campinas, Brazil] ","Glidcop Brazing in Sirius' High Heat Load Front-End Components",216 219,
tupe25,"G. Navrotski, B. Brajuskovic [ANL, Argonne, Illinois, USA] ","Metallurgical Evaluation of Dissimilar Metal Joints for Accelerator Vacuum Chamber Construction at the Advanced Photon Source Upgrade Project",220 222,
tupe26,"L. Sanfelici, H.F. Canova, F.H. Cardoso, R. Madacki, M.A. Pereira, M.L. Roca Santo, L.G. Silva, M.S. Silva, J.E. dos Santos [LNLS, Campinas, Brazil] L. Buccianti, M.H.A. Costa, E. Palombarini [Biotec Controle Ambiental, SÃ£o JosÃ© dos Campos, SP, Brazil] C. Prudente [Prudente Engenharia Ltda., UberlÃ¢ndia, Minas Gerais, Brazil] ","Carbon-Steel/poliethylene Radiation Enclosures for the Sirius Beamlines",223 225,
tupe28,"A. Chavan [GIT/ECE, Atlanta, Georgia, USA] A. DiChiara, P.D. Hartog, B. Hu, K.J. Suthar [ANL, Argonne, Illinois, USA] ","Characterization of the Acoustic Field Generated by the Single-Axis Acoustic Levitator",226 229,
tupe29,"R. Monge, J.C. Giraldo, J. Ladrera FernÃ¡ndez, M.L. Llonch, L. Nikitina, M. Pont, M. Quispe [ALBA-CELLS Synchrotron, Cerdanyola del VallÃ¨s, Spain] ","Integration of a Stripline Kicker Prototype for CLIC Project Into ALBA Storage Ring",230 232,
tupe31,"F.A. DePaola, C. Amundsen, S.K. Sharma [BNL, Upton, Long Island, New York, USA] ","Manufacturing of Photon Beam-Intercepting Components from CuCrZr",233 235,
tupe32,"S.K. Sharma [BNL, Upton, Long Island, New York, USA] ","A Girder-Free Magnet Support System Design",236 238,
tupe33,"C.J. Spataro, C. Amundsen, H. Bassan, S.K. Sharma [BNL, Upton, Long Island, New York, USA] ","NSLS-II Beam Aperture Slit Vibration Studies",239 241,
tupe36,"R.B. Deng, F. Gao, L. Yin [SINAP, Shanghai, People's Republic of China] ","Ground Vibration Monitoring for SXFEL Construction at SSRF",242 245,
tupe38,"L. Yin, W. Fang, X. Hu, S. Sun, L. Wang, L.Y. Yu, W. Zhang [SINAP, Shanghai, People's Republic of China] ","Progress and Mechanical Engineering of FEL Projects at SINAP",246 248,
tupe40,"M. Tilmont, F. Briquez, N. BÃ©chu, L. Chapuis, M.-E. Couprie, J.M. Dubuisson, J.P. Duval, C. Herbeaux, A. Lestrade, J.L. Marlats, M. Sebdaoui, K.T. Tavakoli, C. de Olivera [SOLEIL, Gif-sur-Yvette, France] ","Cryo-Ready Undulator U15: Passing SOLEIL's 2 Meters Threshold in Useful Magnetic Length",249 250,
tupe41,"C.H. Chang, S.D. Chen, J.C. Huang, C.-S. Hwang, C.K. Yang [NSRRC, Hsinchu, Taiwan] ","Design and Development of a System of Hybrid Type to Measure the Magnetic Field of a Cryogenic Undulator",251 253,
tupe44,"Z. Liu, H. Cease, J.T. Collins, J. Nudell, C.A. Preissner [ANL, Argonne, Illinois, USA] ","Optimization for the APS-U Magnet Support Structure",254 256,
weaa02,"F. Thomas, J.C. Biasci, D. Coulon, Y. Dabin, T. Ducoing, F. Ewald, E. Gagliardini, P. Marion [ESRF, Grenoble, France] F. Thomas [ILL, Grenoble, France] ","X-Ray Absorber Design and Calculations for the EBS Storage Ring",257 261,
weaa03,"B. Tampigny, J.C. Biasci, J-F. B. Bouteille, Y. Dabin, M. Diot, L. Farvacque, F. Favier, A. Flaven-Bois, T. Marchial, D. Martin, P. Raimondi, P. Roux-Buisson [ESRF, Grenoble, France] F. Thomas [ILL, Grenoble, France] ","Thermal Stability of the New ESRF Extremely Brilliant Source",262 266,
weaa04,"V. Grama, A. Wagner [DLS, Oxfordshire, United Kingdom] ","Novel Numerical Method for Calculating the Shadow Projection and Collisions of a Multi-Axis Goniometer at Diamond",267 271,
weba01,"C.A. Preissner, H. Cease, J.T. Collins, Z. Liu, J. Nudell [ANL, Argonne, Illinois, USA] B.N. Jensen [MAX IV Laboratory, Lund University, Lund, Sweden] ","Nostradamus and the Synchrotron Engineer: Key Aspects of Predicting Accelerator Structural Response",272 276,
weba03,"S.K. Sharma, C. Amundsen, F.A. DePaola, F.C. Lincoln, J.L. Tuozzolo [BNL, Upton, Long Island, New York, USA] ","Recent Progress on the Design of High-Heat-Load Components",277 279,
weba04,"K.J. Suthar, P.K. Den Hartog, A.M. Lurie [ANL, Argonne, Illinois, USA] ","A Discussion on Utilization of Heat Pipes and Vapour Chamber Technology as a Primary Device for Heat Extraction from Photon Absorber Surfaces",280 282,
weca03,"P. Boehler, M. Bruegger (M. Brügger), M. Calvi, H. Joehri (H. Jöhri), A. Keller, M. Locher, T. Schmidt, L. Schulz [PSI, Villigen PSI, Switzerland] ","Experience With the Commissioning of the U15-Undulator for SwissFEL-Aramis Beamline and New Developments for the Athos Beamline",283 287,
weca04,"O.A. Schmidt, E. Gluskin, D.P. Jensen Jr., G. Pile, N.O. Strelnikov, K.J. Suthar, E. Trakhtenberg, I. Vasserman, J.Z. Xu [ANL, Argonne, Illinois, USA] ","Horizontal-Gap Vertically-Polarizing Undulator (HGVPU) Design Challenges and Resolutions",288 292,
weca05,"C.N. Regier [CLS, Saskatoon, Saskatchewan, Canada] ","Superconducting RF System Plans at CLS",293 298,
weca06,"K.T. Tavakoli, T. Andre (T. André), I.A. Andriyash, C. Basset, C. Benabderrahmane, P. Berteaud, S. Bobault, S. Bonnin, F. Bouvet, F. Briquez, L. Chapuis, M.-E. Couprie, D. DennetiÃ¨re, Y. Dietrich, J.P. Duval, M. El Ajjouri, T.K. El Ajjouri, C. Herbeaux, N. Hubert, M. Khojoyan, M. Labat, N. Leclercq, A. Lestrade, A. Loulergue, O. MarcouillÃ©, F. Marteau, A. Mary, P. N'gotta, F. Polack, P. Rommeluere (P. Rommeluère), M. Sebdaoui, F. Thiam, M. VallÃ©au, J. VÃ©tÃ©ran, D. Zerbib, C. de Olivera [SOLEIL, Gif-sur-Yvette, France] J. Gautier, G. Lambert, V. Malka, A. Rousse, K. Ta Phuoc, C. Thaury [LOA, Palaiseau, France] E. Roussel [Elettra-Sincrotrone Trieste S.C.p.A., Basovizza, Italy] ","Mechanical Engineering Solutions for COXINEL Project",299 303,
weca07,"J.H. Kelly [DLS, Oxfordshire, United Kingdom] ","Engineering Challenges of the VMXi Beamline",304 308,
wepe01,"M.J.P. Adam, C. Bodnarchuk [CLS, Saskatoon, Saskatchewan, Canada] ","Combined Fixed Mask, Photon Shutter, Safety Shutter, and Collimator Design for BXDS IVU at the CLS",309 311,
wepe02,"S. Takahashi [JASRI/SPring-8, Hyogo, Japan] M. Sano, A. Watanabe [Japan Synchrotron Radiation Research Institute (JASRI/SPring-8), Hyogo, Japan] ","Performance Evaluation of Fast Closing Shutter System at the SPring-8 Front-end",312 314,
wepe03,"H. Miyauchi, S. Asaoka, T. Tahara [KEK, Ibaraki, Japan] ","Beamline Front Ends at the 2.5-GeV Photon Factory Storage Ring",315 317,
wepe04,"S.H. Lee, J. Mulvey, M. Ramanathan, B.X. Yang [ANL, Argonne, Illinois, USA] ","Design of X-Ray Beam Position Monitor for High Heat Load Front Ends of the Advanced Photon Source Upgrade",318 320,
wepe05,"M.G. Breitfeller, S.L. Kramer [BNL, Upton, Long Island, New York, USA] ","Innovative Design of Radiation Shielding for Synchrotron Light Sources",321 323,
wepe06,"L.M. Volpe, H.F. Canova, P.T. Fonseca, P.P.S. Freitas, A. Gilmour, A.S. Rocha, G.L.M.P. Rodrigues, L. Sanfelici, M. Saveri Silva, H. Westfahl Jr., H.G.P. de Oliveira [LNLS, Campinas, Brazil] ","High Heat Load Front Ends for Sirius",324 326,
wepe07,"Y. Li, D. Jia, S. Xue, M. Zhang, W. Zhu [SINAP, Shanghai, People's Republic of China] ","A High Heat Load Front-End for the Superconducting Wiggler Beamline at SSRF",327 329,
wepe09,"H. Krueger, W.A. Caliebe, M. Degenhardt, M. Hesse, F. Marutzky, H.-B. Peters, R. Peters, M. Roehling, H. Schulte-Schrepping, B. Steffen [DESY, Hamburg, Germany] ","Designing the Photon Beamline Frontends in the PETRAIII Extension Project",330 332,
wepe10,"H. Aoyagi, S. Takahashi [JASRI/SPring-8, Hyogo, Japan] ","Mechanical Design of Pulse-by-Pulse X-Ray Beam Position Monitor Using Diamond Heat Sink",333 335,
wepe14,"M.V. Fisher, L. Assoufid, J.L. McChesney, J. Qian, R. Reininger, F.M. Rodolakis [ANL, Argonne, Illinois, USA] ","Minimizing Grating Slope Errors in the IEX Monochromator at the Advanced Photon Source",336 338,
wepe15,"N. Gonzalez, C. Colldelram, C. Escudero, S. Ferrer [ALBA-CELLS Synchrotron, Cerdanyola del VallÃ¨s, Spain] ","High Frequency UHV Mechanical X-Ray Beam Chopper",339 341,
wepe18,"D. Capatina, M.A. Beno, M.V. Fisher, J.J. Knopp, B. Lai, E.R. Moog, C. Roehrig, S. Vogt [ANL, Argonne, Illinois, USA] ","APS 2-ID Beamline, Upgrade to Canted Configuration",342 344,
wepe22,"G.M.A. Duller, D.R. Hall, A. Stallwood [DLS, Oxfordshire, United Kingdom] ","F-Switch: Novel 'Random Access' Manipulator for Large Numbers of Compound Refractive Lenses",345 347,
wepe24,"M.A. Webb, G. Belev, C.D. Miller, T.W. Wysokinski, N. Zhu [CLS, Saskatoon, Saskatchewan, Canada] M. Gibbons [University of Saskatchewan, Saskatoon, Canada] ","Live Animal Imaging Program at Bio-Medical Imaging and Therapy Facility at the Canadian Light Source",348 350,
wepe26,"S. Nozawa [KEK, Ibaraki, Japan] ","Upgrade the Beamline PF-AR NW14A for the High-Repetition-Rate X-Ray Pump-Probe Experiments",351 352,
wepe28,"E. Benda, J. Almer, P. Kenesei, A. Mashayekhi, J.S. Okasinski, J.S. Park, R. Ranay, S.D. Shastri [ANL, Argonne, Illinois, USA] ","Minimizing Experimental Setup Time and Effort at Aps Beamline 1-Id Through Instrumentation Design",353 356,
wepe29,"S.R. Carriere, D. Beauregard, B.A. Schneider, G.A. Steel, D.M. Taylor [CLS, Saskatoon, Saskatchewan, Canada] ","A Novel Filter Auto-Mounter for the BioXAS Beamlines at the CLS",357 359,
wepe30,"R.W. Connatser [CLS, Saskatoon, Saskatchewan, Canada] ","Introduction to Neutron Scattering Instruments - How are they Different?",360 362,
