thpha009,"B. Farnham, F. Varela, N. Ziogas [CERN, Geneva, Switzerland] ","A Homogenous Approach to CERN/vendor Collaboration Projects for Building OPC-UA Servers",1352 1355,
thpha010,"S. An, J.J. Chang, L. Ge, X.J. Liu, P.P. Wang, J.Q. Wu, W. Zhang, Y.B. Zhou [IMP/CAS, Lanzhou, People's Republic of China] ","Upgrade the Control System of HIRFL-CSR Based-on EPICS",1356 1357,
thpha012,"J.H. Kim [KAERI, Gyeongbuk, Republic of Korea] Y.-S. Cho, D.I. Kim, H.-J. Kwon, S.G. Lee, Y.G. Song, S.P. Yun [Korea Atomic Energy Research Institute (KAERI), Gyeongbuk, Republic of Korea] ","Upgrade of Vacuum Control System for Komac Linac and Beamlines",1358 1360,
thpha013,"D. Schirmer, A. Althaus, P. Hartmann, D. Rohde [DELTA, Dortmund, Germany] ","Control System Projects at the Electron Storage Ring DELTA",1361 1365,
thpha014,"A. Orlati, M. Bartolini, S. Righini [INAF - IRA, Bologna, Italy] M. Buttu, A. Fara, C. Migoni, S. Poppi [INAF - OAC, Selargius (CA), Italy] ","Evolution in the Development of the Italian Single-dish COntrol System (DISCOS)",1366 1369,
thpha016,"S. Blanchard, M. Bes, E. Blanco Vinuela (E. Blanco Viñuela), W. Booth, B. Bradu, R. Ferreira, P. Gomes, A. Gutierrez, A.P. Rocha, T.H. van Winden [CERN, Geneva, Switzerland] L. Kopylov [IHEP, Moscow Region, Russia] ","The UNICOS-CPC Vacuum Controls Package",1370 1373,
thpha018,"R. Petrocelli, D. Alloza, S. Blanch-TornÃ©, O. Matilla [ALBA-CELLS Synchrotron, Cerdanyola del VallÃ¨s, Spain] ","Upgrade of Control System of ALBA Main Booster Power Supplies",1374 1376,
thpha019,"R. Brodie, I.D. Finch [STFC/RAL/ISIS, Chilton, Didcot, Oxon, United Kingdom] ","Control System Evolution on the ISIS Spallation Neutron Source",1377 1378,
thpha020,"K.R. Lauer, A.D. Alarcon, C.J. Andrews, S. Babel, J.D. Bong, M. Boyes, J.M. D'Ewart, Yu.I. Levashov, D.S. Martinez-Galarce, B.D. McKee, H.-D. Nuhn, M. Petree, M. Rowen, Z.R. Wolf [SLAC, Menlo Park, California, USA] D. Arbelaez, D. Bianculli, A.P. Brown, J.N. Corlett, A.J. DeMello, L. Garcia Fajardo, J.-Y. Jung, M. Leitner, S. Marks, K.A. McCombs, D.V. Munson, K.L. Ray, D.A. Sadlier, E.J. WallÃ©n [LBNL, Berkeley, California, USA] G. Jansa (G. Janša), Â. Oven (Ž. Oven) [Cosylab, Ljubljana, Slovenia] M. Merritt, M.L. Smith, R.J. Voogd, J.Z. Xu [ANL, Argonne, Illinois, USA] ","LCLS-II Undulator Motion Control",1379 1383,
thpha021,"R. Kulaga, J.A.R. Arroyo Garcia, M. Boccioli, E. Genuardi, P. Golonka, M. Gonzalez-Berges, J-C. Tournier, F. Varela [CERN, Geneva, Switzerland] ","Large-Scale Upgrade Campaigns of SCADA Systems at CERN - Organisation, Tools and Lessons Learned",1384 1388,
thpha022,"D. Rogind, D.L. Flath, M.L. Gibbs, B.L. Hill, T.J. Maxwell, A. Perazzo, M.V. Shankar, G.R. White, E. Williams, S. Zelazny [SLAC, Menlo Park, California, USA] ","Roadmap for SLAC Epics-Based Software Toolkit for the LCLS-I/II Complex",1389 1392,
thpha024,"S.C. Alverson, P. Bellomo, K.J. Mattison [SLAC, Menlo Park, California, USA] ","SLAC Klystron Test Lab Bake Station Upgrade",1393 1396,
thpha025,"S.C. Alverson, D.E. Anderson, S. Gilevich [SLAC, Menlo Park, California, USA] ","LCLS-II Injector Laser System",1397 1399,
thpha026,"Y.-S. Cheng, Y.-T. Chang, J. Chen, P.C. Chiu, K.T. Hsu, S.Y. Hsu, K.H. Hu, C.H. Huang, C.H. Kuo, D. Lee, C.Y. Liao, C.-J. Wang, C.Y. Wu [NSRRC, Hsinchu, Taiwan] ","Control System Development of the TLS",1400 1404,
thpha027,"M. Justus, K.-W. Leege, P. Michel, A. Schamlott, R. SteinbrÃ¼ck [HZDR, Dresden, Germany] ","Improvements of the ELBE Control System Infrastructure and SCADA Environment",1405 1408,
thpha028,"J.M. Mosthaf, Th. Haberer, S. Hanke, K. HÃ¶ppner, A. Peters [HIT, Heidelberg, Germany] ","Status Update for the HIT Accelerator Control System",1409 1411,
thpha030,"Ph. Gayet, E. Blanco Vinuela (E. Blanco Viñuela), B. Bradu, R. Cirillo [CERN, Geneva, Switzerland] ","Online Analysis for Anticipated Failure Diagnostics of the CERN Cryogenic Systems",1412 1415,
thpha031,"J. Wilgen, B. Beutner [DESY, Hamburg, Germany] ","Fast Image Analysis for Beam Profile Measurement at the European XFEL",1416 1419,
thpha032,"C.R. Haskins [CASS, Epping, Australia] ","EPICS and Open Source Data Analytics Platforms",1420 1422,
thpha033,"K. Moriyama [CROSS, Ibaraki, Japan] T. Nakatani [JAEA/J-PARC, Tokai-mura, Japan] H.O. Ohshita, T. Tomohiro, Y. Yasu [KEK, Tokai, Ibaraki, Japan] ","Development of Status Analysis System Based on ELK Stack at J-PARC MLF",1423 1427,
thpha034,"S. Alizada, A. Khaleghi [ILSF, Tehran, Iran] A. Khaleghi [IKIU, Qazvin, Iran] ","The Study of Big Data Tools Usages in Synchrotrons",1428 1431,
thpha035,"L. Neri, L. Celona, S. Gammino [INFN/LNS, Catania, Italy] ","High Level Control System Code with Automatic Parametric Characterization Capabilities",1432 1435,
