fra01,"P. Mandrillon, M. Conjat [AIMA, Nice, France] ","Single Stage Cyclotron for an ADS Demonstrator",387 393,
tub03,"D. Trbojevic, I. Ben-Zvi, J.S. Berg, M. Blaskiewicz, S.J. Brooks, K.A. Brown, W. Fischer, Y. Hao, V. Litvinenko, G.J. Mahler, W. Meng, F. Meot (F. Méot), M.G. Minty, S. Peggs, V. Ptitsyn, T. Roser, P. Thieberger, N. Tsoupas, J.E. Tuozzolo, H. Witte [BNL, Upton, Long Island, New York, USA] J. Barley, A.C. Bartnik, I.V. Bazarov, J.A. Crittenden, J. Dobbins, B.M. Dunham, R.G. Eichhorn, F. Furuta, R.E. Gallagher, G.H. Hoffstaetter, Y. Li, W. Lou, C.E. Mayes, J.R. Patterson, D.M. Sabol, D. Sagan, K.W. Smolenski, R.M. Talman [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] S.A. Bogacz, D. Douglas, T. Satogata [JLab, Newport News, Virginia, USA] ","A Novel Use oF FFAGs in ERLs - in Colliders: eRHIC, LHeC and a Prototype at Cornell University",140 144,
tub04,"N. Sakamoto, N. Fukunishi, M. Kase, K. Suda [RIKEN Nishina Center, Wako, Japan] K. Sekiguchi [Tohoku University, Graduate School of Science, Sendai, Japan] ","Acceleration of Polarized Deuteron Beams with RIBF Cyclotrons",145 148,
tuc01,"T.J. Zhang, J.J. Yang [CIAE, Beijing, People's Republic of China] ","100 MeV H- Cyclotron Development and 800 MeV Proton Cyclotron Proposal",149 154,
tuc02,"H. Imao [RIKEN Nishina Center for Accelerator-Based Science, Wako, Saitama, Japan] N. Fukunishi, O. Kamigaito, M. Kase, H. Okuno, N. Sakamoto, K. Suda, K. Yamada, Y. Yano [RIKEN Nishina Center, Wako, Japan] ","Charge Stripper Ring for Cyclotron Cascade",155 159,
tuc03,"G. D'Agostino, L. Calabretta, A. Calanna, D. Rifuggiato [INFN/LNS, Catania, Italy] ","Extraction by Stripping in the IFNS-LNS Superconducting Cyclotron: Study of the Extraction Trajectories",160 163,
tud01,"S. Braccini [LHEP, Bern, Switzerland] ","Compact Medical Cyclotrons and their use for Radioisotope Production and Multi-disciplinary Research",229 234,
tud02,"F. Poirier, F. Bulteau-harel, J.B. Etienne, S. Girault, X. Goiziou, F. Gomez, A. Herbert, C. Huet, L. Lamouric, E. Mace, D. Poyac, H. Trichet [Cyclotron ARRONAX, Saint-Herblain, France] S. Girault, F. Poirier [CNRS - DR17, RENNES, France] C. Huet [EMN, Nantes, France] E. Mace [INSERM, Nantes, France] ","Studies and Upgrades on the C70 Cyclotron Arronax",235 237,
tud03,"B. Nactergal, M. Abs, S. De Neuter, W.J.G.M. Kleeven, E.K. Kral, V. Nuttens, S. Zaremba, J. van de Walle [IBA, Louvain-la-Neuve, Belgium] ","Development of the Cyclone® Kiube: A Compact, High Performance and Self-Shielded Cyclotron for Radioisotope Production",238 240,
tud04,"V. Sabaiduc, M. Carlson, D. Du, T. Evans, L. AC. Piazza, V. Ryjkov, I. Tarnopolski, P. Zanetti [Best Theratronics Ltd., Ottawa, Ontario, Canada] T. Boiesan, R.R. Johnson, W. Stazyk, K. Suthanthiran, S. Talmor, J. Zhu [BCSI, Vancouver, Canada] ","BEST 70P Cyclotron Commissioning at INFN LN Legnaro",241 243,
tup02,"P. Cailliau, J.C. Amelia, J. Brison, E. Forton [IBA, Louvain-la-Neuve, Belgium] M. Conjat, J. Mandrillon, P. Mandrillon [AIMA, Nice, France] ","Cold Cathode Ion Source for IBA CYCLONE®230",164 166,
tup03,"W.J.G.M. Kleeven, E. Forton, E.K. Kral, B. Nactergal, V. Nuttens, S. Zaremba, J. van de Walle [IBA, Louvain-la-Neuve, Belgium] ","Extraction System Design for the New IBA Cyclotron for PET Radioisotope Production",167 169,
tup04,"S. Zaremba, S. De Neuter, W.J.G.M. Kleeven, B. Nactergal, V. Nuttens, J. van de Walle [IBA, Louvain-la-Neuve, Belgium] ","Magnet Design of the New IBA Cyclotron for PET Radio-isotope Production",170 172,
tup05,"B. Nactergal, J.L. Delvaux, J.-M. Geets, W.J.G.M. Kleeven, T. Vanderlinden, R. Vigneron, S. Zaremba [IBA, Louvain-la-Neuve, Belgium] ","Installation and Commissioning of the First Cyclone®70p",173 174,
tup06,"S. Zaremba, M. Abs, J.L. Delvaux, W.J.G.M. Kleeven, B. Nactergal, V. Nuttens, J. van de Walle [IBA, Louvain-la-Neuve, Belgium] ","Design of the Cyclone®70p",175 177,
tup07,"S. Henrotin, M. Abs, E. Forton, Y. Jongen, W.J.G.M. Kleeven, P. Verbruggen, J. van de Walle [IBA, Louvain-la-Neuve, Belgium] ","Commissioning and Testing of the First IBA S2C2",178 180,
tup08,"S. Korenev, R. Dishman, A. Martin Yebra [Siemens Medical Solutions Molecular Imaging, Knoxville, TN, USA] N.D. Meshcheryakov, I.B. Smirnov [Siemens Healthcare, Moscow, Russia] I. Pavlovsky [ANI, Austin, USA] ","The Use of Graphene as Stripper Foils in the Siemens Eclipse Cyclotron",181 183,
tup09,"P. Antonini, E. Boratto, A. Calore, D. Campo, J. Esposito, A. Lombardi, M. Maggiore, M. Poggi, L. Pranovi [INFN/LNL, Legnaro (PD), Italy] ","Diagnostic Tool and Instrumentation for Handling 50 kW Beam Power",184 185,
tup10,"S. Carrozza, F. Burini, E. Ferrari, M.P. Pretelli, G.T. Taddia [OCEM, Valsamoggia, Italy] M.C. Bastos, G. Hudson, Q. King, G. Le Godec [CERN, Geneva, Switzerland] I.V. Bylinskii, W. L. Louie, R.B. Nussbaumer [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","A New Concept of High Current Power Supply for the Main Cyclotron Magnet at TRIUMF",186 189,
tup11,"T. Yorita, M. Fukuda, S. Hara, K. Hatanaka, K. Kamakura, H.W. Koay, T. Kume, S. Morinobu, T. Saito, R. Yamanoshita, Y. Yasuda [RCNP, Osaka, Japan] ","Developments of Ion Sources, LEBT and Injection Systems for Cyclotrons at RCNP",190 192,
tup12,"A.M. Hendy, F.M. Alrumayan [King Faisal Specialist Hospital and Research Centre, Riyadh 11211, Kingdom of Saudi Arabia] H.A. Kassim, K. Kezzar [KSU, Riyadh, Kingdom of Saudi Arabia] ","High Accuracy Cyclotron Beam Energy Measurement using Cross-correlation Method",193 195,
tup13,"F.M. Alrumayan, A. Algaith, A.M. Hendy, J.F. Schneider [King Faisal Specialist Hospital and Research Centre, Riyadh 11211, Kingdom of Saudi Arabia] SA. AL-Ghamdi, H.A. Kassim [KSU, Riyadh, Kingdom of Saudi Arabia] ","Magnetic Field Measurement System of CS-30 Cyclotron",196 198,
tup14,"Shizhong. An, L.C. Cao, X.L. Fu, Z.G. Li, G.S. Liu, Y.L. Lv, G.F. Pan, Y. Wang, L.P. Wen, J.S. Xing, T.J. Zhang, Y.W. Zhang [CIAE, Beijing, People's Republic of China] ","The Assembly and Adjustment of the Second Stripping Probe System for CYCIAE-100",199 201,
tup15,"Y.W. Zhang, H.R. Cai, L.C. Cao, T. Ge, S.M. Wei, J.J. Yang, Z.G. Yin, T.J. Zhang [CIAE, Beijing, People's Republic of China] ","Control System Dedicated for Beam Line of Proton Radiography on 100 MeV Cyclotron CYCIAE-100",202 204,
tup16,"Z.G. Li, H.R. Cai, L.C. Cao, T. Ge, G.G. Liu, J.Y. Wei, L.C. Wu, J.J. Yang [CIAE, Beijing, People's Republic of China] ","The High Quality Water Cooling System for a 100 MeV Cyclotron",205 207,
tup17,"G. Chen, Y.F. Bi, C. Chao, Y. Chen, K.Z. Ding, H. Feng, Y. Song, S.Y. Wang, M. Xu, Q. Yang, X. Zhang, J. Zheng, J. Zhou [ASIPP, Hefei, People's Republic of China] O. Karamyshev, G.A. Karamysheva, N.A. Morozov, E.V. Samsonov, G. Shirkov [JINR, Dubna, Moscow Region, Russia] ","Preliminary Design of RF System for SC200 Superconducting Cyclotron",208 211,
