fra1co03,"A. D'Audney, S. Biedron, S.V. Milton [CSU, Fort Collins, Colorado, USA] ","An Ultra-High Resolution Pulsed-Wire Magnet Measurement System",1268 1270,
wepoa37,"J.D. Kunz, P. Snopok [IIT, Chicago, Illinois, USA] M. Berz [MSU, East Lansing, Michigan, USA] J.D. Kunz [Anderson University, Anderson, USA] P. Snopok [Fermilab, Batavia, Illinois, USA] ","Hybrid Methods for Simulation of Muon Ionization Cooling Channels",775 778,
wepoa38,"M.B. Andorf [Northern Illinois University, DeKalb, Illinois, USA] V.A. Lebedev, P. Piot, J. Ruan [Fermilab, Batavia, Illinois, USA] ","Optically Based Diagnostics for Optical Stochastic Cooling",779 781,
wepoa39,"Y.-M. Shin [Northern Illinois University, DeKalb, Illinois, USA] ","Theoretical and Numerical Study on Plasmon-Assisted Channeling Interactions in Nanostructures",782 784,
wepoa40,"Y.-M. Shin, G. Fagerberg, M. Figora [Northern Illinois University, DeKalb, Illinois, USA] A.T. Green [Northern Illinois Univerity, DeKalb, Illinois, USA] ","Construction Status of a RF-Injector with a CNT-Tip Cathode for High Brightness Field-Emission Tests",785 788,
wepoa42,"N. Sipahi, S. Biedron, S.V. Milton [CSU, Fort Collins, Colorado, USA] I.V. Gonin, R.D. Kephart, T.N. Khabiboulline, N. Solyak, V.P. Yakovlev [Fermilab, Batavia, Illinois, USA] ","RF Design of a 1.3-GHz High Average Beam Power SRF Electron Source",789 791,
wepoa43,"T. Sipahi, S. Biedron, S.V. Milton [CSU, Fort Collins, Colorado, USA] J. Hylen, R.M. Zwaska [Fermilab, Batavia, Illinois, USA] ","Simulations of High Current Magnetic Horn Striplines at Fermilab",792 795,
wepoa44,"V.G. Dudnikov [Muons, Inc, Illinois, USA] A.V. Dudnikov [BINP SB RAS, Novosibirsk, Russia] ","Accleration System of Beam Brightness Booster",796 798,
wepoa45,"V.G. Dudnikov, R.P. Johnson [Muons, Inc, Illinois, USA] G. Dudnikova [ICT SB RAS, Novosibirsk, Russia] B. Han, S. Murrey, C. Stinson [ORNL RAD, Oak Ridge, Tennessee, USA] T.R. Pennisi, C. Piller, M. Santana, M.P. Stockli, R.F. Welton [ORNL, Oak Ridge, Tennessee, USA] ","Positive and Negative Ions Radio Frequency Sources with Solenoidal Magnetic Field",799 802,
wepoa46,"S-C. Kim [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] N.S. Froemming [University of Washington, CENPA, Seattle, USA] D. L. Rubin [Cornell University, Ithaca, New York, USA] D. Stratakis [Fermilab, Batavia, Illinois, USA] ","The Muon Injection Simulation Study for the Muon g-2 Experiment at Fermilab",803 806,
wepoa51,"J. Upadhyay, E.I. Simakov [LANL, Los Alamos, New Mexico, USA] ","Update on Photonic Band Gap Accelerating Structure Experiment",807 809,
wepoa52,"Y.W. Kang, S.W. Lee [ORNL, Oak Ridge, Tennessee, USA] ","Modeling and Simulation of RFQs for Analysis of Fields and Frequency Deviations with Respect to Internal Dimensional Errors",810 812,
wepoa54,"Y. Bao [UCR, Riverside, California, USA] A. Afanasev [GWU, Washington, USA] Y.S. Derbenev, V.S. Morozov, A.V. Sy [JLab, Newport News, Virginia, USA] R.P. Johnson [Muons, Inc, Illinois, USA] ","Simulation of a Skew Parametric Resonance Ionization Cooling Channel",813 815,
wepoa55,"J. Ma, X. Wang [SBU, Stony Brook, New York, USA] V. Litvinenko, V. Samulyak, G. Wang, K. Yu [BNL, Upton, Long Island, New York, USA] V. Litvinenko [Stony Brook University, Stony Brook, USA] V. Samulyak [SUNY SB, Stony Brook, New York, USA] ","Modulator Simulations for Coherent Electron Cooling",816 819,
wepoa56,"S. Ikeda, T. Kanesue, M. Okamura [BNL, Upton, Long Island, New York, USA] ","Design of RFQ Linac to Accelerate High Current Lithium Ion Beam from Laser Ion Source for Compact Neutron Source",820 822,
wepoa57,"S. Ikeda, M.R. Costanzo, T. Kanesue, R.F. Lambiase, C.J. Liaw, M. Okamura [BNL, Upton, Long Island, New York, USA] ","Stabilized Operation Mode of Laser Ion Source Using Pulsed Magnetic Field",823 825,
wepoa60,"A. Saini [Fermilab, Batavia, Illinois, USA] ","Design Considerations for the Fermilab PIP-II 800 MeV Superconducting Linac",826 829,
wepoa62,"J.R. Patterson, G.H. Hoffstaetter [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] Y.K. Kim [University of Chicago, Chicago, Illinois, USA] ","The Center for Bright Beams",830 832,
wepob01,"M. Borland, T.G. Berenc, R.R. Lindberg, V. Sajaev, Y.P. Sun [ANL, Argonne, Illinois, USA] ","Lower Emittance Lattice for the Advanced Photon Source Upgrade Using Reverse Bending Magnets",877 880,
wepob02,"M. Borland [ANL, Argonne, Illinois, USA] ","Simulation of Swap-Out Reliability for the Advance Photon Source Upgrade",881 883,
wepob03,"R.J. Dejus, H. Cease, J.T. Collins, G. Decker, A.T. Donnelly, C.L. Doose, W.G. Jansma, M.S. Jaski, J. Liu [ANL, Argonne, Illinois, USA] J. DiMarco [Fermilab, Batavia, Illinois, USA] A.K. Jain [BNL, Upton, Long Island, New York, USA] ","Magnetic Measurements of Storage Ring Magnets for the APS Upgrade Project",884 886,
wepob04,"L. Emery, G.I. Fystro, H. Shang, M.L. Smith [ANL, Argonne, Illinois, USA] ","Beamline-Controlled Steering of Source-Point Angle at the Advanced Photon Source",887 889,
wepob05,"K.C. Harkay, J.C. Dooling, V. Sajaev, J. Wang [ANL, Argonne, Illinois, USA] ","Operational Experience With Beam Abort System for Superconducting Undulator Quench Mitigation",890 893,
wepob06,"S.H. Kim [ANL, Argonne, Illinois, USA] ","Parameterization of Helical Superconducting Undulator Magnetic Field*",894 896,
wepob07,"R. Kustom, A. Nassiri, K.J. Suthar, G.J. Waldschmidt [ANL, Argonne, Illinois, USA] ","Dielectrically-Loaded Waveguide as a Short Period Superconducting Microwave Undulator",897 900,
wepob08,"R.R. Lindberg, M. Borland [ANL, Argonne, Illinois, USA] A. Blednykh [BNL, Upton, Long Island, New York, USA] ","Collective Effects at Injection for the APS-U MBA Lattice",901 903,
wepob09,"J. Liu, M. Borland, R.J. Dejus, A.T. Donnelly, C.L. Doose, J.S. Downey, M.S. Jaski [ANL, Argonne, Illinois, USA] A.K. Jain [BNL, Upton, Long Island, New York, USA] ","Field Quality from Tolerance Stack Up in R&D Quadrupoles for the Advanced Photon Source Upgrade",904 906,
wepob10,"V. Sajaev, M. Borland, Y.P. Sun, A. Xiao [ANL, Argonne, Illinois, USA] ","Simulation Study of the Helical Superconducting Undulator Installation at the Advanced Photon Source",907 909,
wepob11,"T.L. Smith, G.J. Waldschmidt [ANL, Argonne, Illinois, USA] ","Tuning of the APS Linac Accelerating Cavities After Structural Re-Alignment",910 912,
wepob12,"Y.P. Sun [ANL, Argonne, Illinois, USA] ","Multi-Objective Online Optimization of Beam Lifetime at APS",913 915,
wepob13,"Y.P. Sun [ANL, Argonne, Illinois, USA] ","Online Minimization of Vertical Beam Sizes at APS",916 919,
wepob14,"Y.P. Sun, M. Borland, R.R. Lindberg, V. Sajaev [ANL, Argonne, Illinois, USA] ","APS-U Lattice Design for Off-Axis Accumulation",920 923,
wepob15,"Y.P. Sun, M. Borland [ANL, Argonne, Illinois, USA] ","Comparison of Nonlinear Dynamics Optimization Methods for APS-U",924 927,
wepob16,"X. Sun, C. Yao [ANL, Argonne, Illinois, USA] ","Simulation Studies of a Prototype Stripline Kicker for the APS-MBA Upgrade",928 930,
wepob18,"T.T. Valicenti, J.A. Carter, P.K. Den Hartog, K.J. Suthar [ANL, Argonne, Illinois, USA] ","Bend Magnet Head Loads and Out of Orbit Scenarios",931 933,
wepob19,"E.E. Wisniewski, S.P. Antipov, M.E. Conde, D.S. Doran, W. Gai, C.-J. Jing, W. Liu, J.G. Power, J.Q. Qiu, C. Whiteford [ANL, Argonne, Illinois, USA] S.P. Antipov, C.-J. Jing, J.Q. Qiu [Euclid TechLabs, LLC, Solon, Ohio, USA] ","Summary of Cs2te Photocathode Performance and Improvements in the High-Gradient, High-Charge AWA Drive Gun",934 936,
wepob20,"E.E. Wisniewski, S.P. Antipov, M.E. Conde, D.S. Doran, W. Gai, Q. Gao, C.-J. Jing, W. Liu, J.G. Power, C. Whiteford [ANL, Argonne, Illinois, USA] S.P. Antipov, C.-J. Jing [Euclid TechLabs, LLC, Solon, Ohio, USA] Q. Gao [TUB, Beijing, People's Republic of China] G. Ha [POSTECH, Pohang, Kyungbuk, Republic of Korea] ","Multiple Scattering Effects on a Short Pulse Electron Beam Travelling Through Thin Beryllium Foils",937 939,
wepob21,"A. Xiao, B.X. Yang [ANL, Argonne, Illinois, USA] ","Benchmarking of Touschek Beam Lifetime Calculations for the Advanced Photon Source",940 942,
wepob22,"A. Xiao, M. Borland [ANL, Argonne, Illinois, USA] ","Beam Loss Simulation and Collimator System Configurations for the Advanced Photon Source Upgrade",943 945,
wepob23,"N.O. Strelnikov, E. Gluskin, I. Vasserman, J.Z. Xu [ANL, Argonne, Illinois, USA] ","Performance of the Full-Length Vertical Polarizing Undulator Prototype for LCLS-II",946 949,
wepob24,"C. Yao, A. Barcikowski, A.R. Brill, J. Carwardine, T.K. Clute, Z.A. Conway, A.R. Cours, G. Decker, R.T. Keane, F. Lenkszus, L.H. Morrison, X. Sun, J. Wang, F. Westferro, A. Xiao [ANL, Argonne, Illinois, USA] ","Preliminary Test Results of a Prototype Fast Kicker for APS MBA Upgrade",950 952,
wepob25,"J.P. Edelen [Fermilab, Batavia, Illinois, USA] J.R. Harris [Directed Energy Directorate, Air Force Research Laboratory, Albuquerque, USA] J.W. Lewellen [LANL, Los Alamos, New Mexico, USA] Y. Sun [ANL, Argonne, Illinois, USA] ","Analytical Modeling of Electron Back-Bombardment Induced Current Increase in Un-Gated Thermionic Cathode Rf Guns",953 955,
wepob26,"J.P. Edelen [Fermilab, Batavia, Illinois, USA] J.R. Harris [Directed Energy Directorate, Air Force Research Laboratory, Albuquerque, USA] J.W. Lewellen [LANL, Los Alamos, New Mexico, USA] Y. Sun [ANL, Argonne, Illinois, USA] ","Observation of Repetition-Rate Dependent Emission From an Un-Gated Thermionic Cathode Rf Gun",956 959,
wepob27,"T.N. Khabiboulline, M.H. Awida, I.V. Gonin, A. Lunin, N. Solyak, V.P. Yakovlev [Fermilab, Batavia, Illinois, USA] ","Modification of 3rd Harmonic Cavity for CW Operation in LCLS-II Accelerator",960 963,
wepob29,"J. Qiang, K. Hwang [LBNL, Berkeley, California, USA] ","Modeling of Dark Current Generation and Transport Using the IMPACT-T Code",964 966,
wepob30,"J. Qiang [LBNL, Berkeley, California, USA] Y. Ding, P. Emma, Z. Huang, D.F. Ratner, T.O. Raubenheimer, F. Zhou [SLAC, Menlo Park, California, USA] ","Simulation of the Shot-Noise Driven Microbunching Instability Experiment at the LCLS",967 970,
wepob31,"H. Xu, M.A. Shapiro, R.J. Temkin [MIT/PSFC, Cambridge, Massachusetts, USA] ","Dark Current Study of a Standing Wave Disk-Loaded Waveguide Structure at 17 GHz",971 973,
wepob32,"L. Gupta [University of Chicago, Chicago, Illinois, USA] K.-J. Kim, R.R. Lindberg [ANL, Argonne, Illinois, USA] ","Performance of a Combined System Using an X-Ray FEL Oscillator and a High-Gain FEL Amplifier",974 976,
wepob35,"Y. Hwang, T. Tajima [UCI, Irvine, California, USA] G.G. Anderson, C.P.J. Barty, D.J. Gibson, R.A. Marsh [LLNL, Livermore, California, USA] ","LLNL Laser-Compton X-Ray Characterization",977 979,
wepob36,"D. L. Rubin, J.A. Crittenden, J.P. Shanks, S. Wang [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Upgrade of the Cornell Electron Storage Ring as a Synchrotron Light Source",980 983,
wepob39,"L.D. Duffy, K. Bishofberger, J.W. Lewellen, S.J. Russell, D.Y. Shchegolkov [LANL, Los Alamos, New Mexico, USA] ","Photo-Injector Optimization and Validation Study with the OPAL Beam Simulation Code",984 986,
wepob41,"A.D. Cahill, J.B. Rosenzweig [UCLA, Los Angeles, California, USA] V.A. Dolgashev, M.A. Franzi, S.G. Tantawi, S.P. Weathersby [SLAC, Menlo Park, California, USA] ","Quality Factor in High Power Tests of Cryogenic Copper Accelerating Cavities",987 990,
wepob42,"A.D. Cahill, A. Fukasawa, J.B. Rosenzweig [UCLA, Los Angeles, California, USA] G.B. Bowden, V.A. Dolgashev, S.G. Tantawi [SLAC, Menlo Park, California, USA] ","High Gradient S-Band Cryogenic Accelerating Structure for RF Breakdown Studies",991 994,
wepob47,"F.H. O'Shea, R.B. Agustsson, Y.C. Chen, A.J. Palmowski, E. Spranza [RadiaBeam, Santa Monica, California, USA] ","Development of a Short Period Cryogenic Undulator at RadiaBeam",995 997,
wepob48,"A.V. Smirnov, R.B. Agustsson, S. Boucher, T.J. Campese, Y.C. Chen, J.J. Hartzell, B.T. Jacobson, A.Y. Murokh, F.H. O'Shea, E. Spranza [RadiaBeam, Santa Monica, California, USA] W. Berg, M. Borland, J.C. Dooling, L. Erwin, R.R. Lindberg, S.J. Pasky, N. Sereno, Y. Sun, A. Zholents [ANL, Argonne, Illinois, USA] W. Bruns [WBFB, Berlin, Germany] M.J. de Loos, S.B. van der Geer [Pulsar Physics, Eindhoven, The Netherlands] ","THz and Sub-THz Capabilities of a Table-Top Radiation Source Driven by an RF Thermionic Electron Gun",998 1000,
wepob49,"S. Li [Stanford University, Stanford, California, USA] S.C. Alverson, D.K. Bohler, A.R. Fry, S. Gilevich, Z. Huang, A. Miahnahri, D.F. Ratner, J. Robinson, F. Zhou [SLAC, Menlo Park, California, USA] ","LCLS Injector Laser Profile Shaping Using Digital Micromirror Device",1001 1004,
wepob53,"D.A. Hidas [BNL, Upton, Long Island, New York, USA] ","Computation of Synchrotron Radiation",1005 1007,
wepob54,"D. Kayran, Z. Altinbas, D.R. Beavis, S. Bellavia, D. Bruno, M.R. Costanzo, A.V. Fedotov, D.M. Gassner, J. Halinski, K. Hamdi, J.P. Jamilkowski, J. Kewisch, C.J. Liaw, G.J. Mahler, T.A. Miller, S.K. Nayak, T. Rao, S. Seletskiy, B. Sheehy, J.E. Tuozzolo, Z. Zhao [BNL, Upton, Long Island, New York, USA] ","DC Photogun Gun Test for RHIC Low Energy Electron Cooler (LEReC).",1008 1011,
wepob55,"J. Kewisch [BNL, Upton, Long Island, New York, USA] ","Simulation of Stray Electrons in the RHIC Low Energy Cooler",1012 1014,
wepob56,"J. Kewisch, A.V. Fedotov, D. Kayran, S. Seletskiy [BNL, Upton, Long Island, New York, USA] ","Beam Optics for the RHIC Low Energy Electron Cooler (LEReC)",1015 1017,
wepob57,"C.A. Kitegi, P.L. Cappadoro, O.V. Chubar, T.M. Corwin, H.C. Fernandes, D.A. Harder, D.A. Hidas, W. Licciardi, M. Musardo, J. Rank, C. Rhein, T. Tanabe [BNL, Upton, Long Island, New York, USA] ","Magnetic Optimization of Long EPUs at NSLS-II",1018 1020,
wepob58,"C.J. Liaw, V. De Monte, L. DeSanto, K. Hamdi, M. Mapes, T. Rao, A.N. Steszyn, J.E. Tuozzolo, J. Walsh [BNL, Upton, Long Island, New York, USA] K.W. Smolenski [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Cathode Puck Insertion System Design for the LEReC Photoemission DC Electron Gun",1021 1023,
wepob59,"I. Pinayev, W. Fu, Y. Hao, M. Harvey, T. Hayes, J.P. Jamilkowski, Y.C. Jing, P. K. Kankiya, D. Kayran, R. Kellermann, V. Litvinenko, G.J. Mahler, M. Mapes, K. Mernick, K. Mihara, T.A. Miller, G. Narayan, M.C. Paniccia, W.E. Pekrul, T. Rao, F. Severino, B. Sheehy, J. Skaritka, K.S. Smith, J.E. Tuozzolo, E. Wang, G. Wang, W. Xu, A. Zaltsman, Z. Zhao [BNL, Upton, Long Island, New York, USA] I. Petrushina [SUNY SB, Stony Brook, New York, USA] ","Performance of CEC Pop Gun During Commissioning",1024 1026,
wepob60,"I. Pinayev, Z. Altinbas, J.C.B. Brutus, A.J. Curcio, A. Di Lieto, C. Folz, W. Fu, D.M. Gassner, Y. Hao, M. Harvey, T. Hayes, R.L. Hulsart, J.P. Jamilkowski, Y.C. Jing, P. K. Kankiya, D. Kayran, R. Kellermann, V. Litvinenko, G.J. Mahler, M. Mapes, K. Mernick, R.J. Michnoff, K. Mihara, T.A. Miller, G. Narayan, P. Orfin, M.C. Paniccia, D. Phillips, T. Rao, F. Severino, B. Sheehy, J. Skaritka, L. Smart, K.S. Smith, V. Soria, Z. Sorrell, R. Than, J.E. Tuozzolo, E. Wang, G. Wang, B. P. Xiao, W. Xu, A. Zaltsman, Z. Zhao [BNL, Upton, Long Island, New York, USA] I. Petrushina [SUNY SB, Stony Brook, New York, USA] ","Commissioning of CeC PoP Accelerator",1027 1029,
wepob61,"S. Seletskiy, A.V. Fedotov, D.M. Gassner, D. Kayran, G.J. Mahler, W. Meng [BNL, Upton, Long Island, New York, USA] ","Magnetic Shielding of LEReC Cooling Section",1030 1032,
wepob62,"S. Seletskiy, M. Blaskiewicz, A.V. Fedotov, D. Kayran, J. Kewisch, T.A. Miller, P. Thieberger [BNL, Upton, Long Island, New York, USA] ","Absolute Energy Measurement of the LEReC Electron Beam",1033 1035,
wepob65,"G.M. Wang, B. Holub, Y. Li, J. Rose, T.V. Shaftan, V.V. Smaluk [BNL, Upton, Long Island, New York, USA] ","Experiments of Lossless Crossing - Resonance With Tune Modulation by Synchrotron Oscillations",1036 1038,
wepob66,"G.M. Wang, W.X. Cheng, J. Choi, L. Doom, K. Ha, T.V. Shaftan, R.M. Smith, J. Tagger, Y. Tian [BNL, Upton, Long Island, New York, USA] R.V. Madelon [University of Orleans, Orleans, France] ","NSLS-II Post Mortem Function Development and Data Analysis of Beam Dump",1039 1041,
wepob67,"E. Wang, Y. Hao, Y.C. Jing, V. Litvinenko, I. Pinayev, T. Rao, J. Skaritka, G. Wang, T. Xin [BNL, Upton, Long Island, New York, USA] ","K2CsSb Photocathode Performance in QWR SRF Gun",1042 1044,
wepob68,"C. Liu, A.V. Fedotov, J. Kewisch, M.G. Minty [BNL, Upton, Long Island, New York, USA] ","DESIGN AND SIMULATION OF EMITTANCE MEASUREMENT WITH MULTI-SLIT FOR LEREC",1045 1047,
wepob69,"C. Liu [BNL, Upton, Long Island, New York, USA] ","Impedance Simulation for LEReC Booster Cavity Transformed from ERL Gun Cavity",1048 1050,
wepob70,"D.J. Bromberek, W.G. Jansma, T.L. Smith, G.J. Waldschmidt [ANL, Argonne, Illinois, USA] ","Mechanical Straightening of the 3-m Accelerating Structures at the Advanced Photon Source",1051 1053,
