fra1co03,"A. D'Audney, S. Biedron, S.V. Milton [CSU, Fort Collins, Colorado, USA] ","An Ultra-High Resolution Pulsed-Wire Magnet Measurement System",1268 1270,
mopob32,"Y.M. Pischalnikov, E. Borissov, J.C. Yun [Fermilab, Batavia, Illinois, USA] ","Design and Test of the Prototype Tuner for 3.9 GHz SRF Cavity for LCLS II Project",140 142,
mopob33,"Y.M. Pischalnikov, E. Borissov, T.N. Khabiboulline, J.C. Yun [Fermilab, Batavia, Illinois, USA] ","LCLS-II Tuner Assembly for the Prototype Cryomodule at FNAL",143 145,
mopob35,"S. Tariq, K. Ammigan, K. Anderson, S.A. Buccellato, C.F. Crowley, B.D. Hartsell, P. Hurh, J. Hylen, P.H. Kasper, G.E. Krafczyk, A. Lee, B.G. Lundberg, A. Marchionni, N.V. Mokhov, C.D. Moore, V. Papadimitriou, D. Pushka, I.L. Rakhno, S.D. Reitzner, V.I. Sidorov, A.M. Stefanik, I.S. Tropin, K. Vaziri, K.E. Williams, R.M. Zwaska [Fermilab, Batavia, Illinois, USA] C.J. Densham [STFC/RAL, Chilton, Didcot, Oxon, United Kingdom] ","Design of the LBNF Beamline Target Station",146 148,
mopob36,"V. Roger, T.H. Nicol, Y.O. Orlov [Fermilab, Batavia, Illinois, USA] ","Design of the High Beta 650 MHz Cryomodule - PIP II",149 151,
mopob39,"G.W. Saewert, D. Frolov, H. Pfeffer [Fermilab, Batavia, Illinois, USA] ","A 600 Volt Multi-Stage, High Repetition Rate GaN FET Switch",152 154,
mopob40,"S. Stoynev, K.H. Riemer, A.V. Zlobin [Fermilab, Batavia, Illinois, USA] ","Quench Training Analysis of Nb3Sn Accelerator Magnets",155 157,
mopob41,"T. Strauss, G. Apollinari, E.Z. Barzi, G. Chlachidze, J. DiMarco, A. Nobrega, I. Novitski, S. Stoynev, D. Turrioni, G. Velev, A.V. Zlobin [Fermilab, Batavia, Illinois, USA] B. Auchmann, S. Izquierdo Bermudez, M. Karppinen, L. Rossi, F. Savary, D. Smekens [CERN, Geneva, Switzerland] ","Field Quality Measurements in the FNAL Twin-Aperture 11 T Dipole for LHC Upgrades",158 161,
mopob44,"I. Roth, M.P.J. Gaudreau, M.K. Kempkes, M.G. Munderville, R.E. Simpson [Diversified Technologies, Inc., Bedford, Massachusetts, USA] ","Thyratron Replacement",162 164,
mopob46,"I. Roth, M.P.J. Gaudreau, M.K. Kempkes, M.G. Munderville, R.E. Simpson [Diversified Technologies, Inc., Bedford, Massachusetts, USA] J. Domenge [Sigma Phi Electronics, Wissembourg, France] J.L. Lancelot [Sigmaphi, Vannes, France] ","Long Pulse Solid-State Pulsed Power Systems Built to ESS Specifications",165 166,
mopob47,"T.H. Luo, K.M. Baptiste, M. Betz, J.M. Byrd, S. De Santis, S. Kwiatkowski, S. Persichelli, Y. Yang [LBNL, Berkeley, California, USA] ","Beam Coupling Impedance Characterization of Third Harmonic Cavity for ALS Upgrade",167 169,
mopob49,"X. Wang, S. Caspi, S.A. Gourlay, G.L. Sabbi [LBNL, Berkeley, California, USA] A.K. Ghosh, R.C. Gupta, A.K. Jain, P. Wanderer [BNL, Upton, Long Island, New York, USA] ","Persistent Current Effects in RHIC Arc Dipole Magnets Operated at Low Currents",170 173,
mopob51,"F.H. Raab [Green Mountain Radio Research, Boone, USA] ","High-Efficiency 500-W RF-Power Modules for UHF",174 176,
