FRXBCH01,"K.J. Peach, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon","Novel Ideas and Ramp;D for High Intensity Neutrino Beams",
MOPKF064,"D.J. Scott, S.C. Appleton, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; E. Baynham, T.W. Bradshaw, S.C. Carr, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon; J.A. Clarke, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; Y. Ivanyushenkov, J. Rochford, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon; B. Todd, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire","Design Considerations for a Helical Undulator for the Production of Polarised Positrons for TESLA",
MOPKF065,"D.J. Scott, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire","Magnet Block Sorting for Variably Polarising Undulators",
MOPKF066,"B.J.A. Shepherd, J.A. Clarke, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire","Magnetic Design of a Focusing Undulator for ALPHA-X",
MOPKF067,"E. Wooldridge, C.D. Beard, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; A. Buechner, FZR/FWFE, Dresden; C. Gerth, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire","Comparison of Different Buncher Cavity Designs for the 4GLS ERLP",
MOPKF068,"S.H. Kim, C. Doose, R. Kustom, E.R. Moog, K.M. Thompson, ANL/APS, Argonne, Illinois","Experimental Study of the Stability Margin with Beam Heating in a Short-Period Superconducting Undulator for the APS",
MOPKF069,"J.W. Staples, LBNL, Berkeley, California; S.M. Lidia, LBNL/AFR, Berkeley, California; S.P. Virostek, LBNL, Berkeley, California","Engineering Design of the LUX Photoinjector",
MOPKF070,"S.M. Lidia, LBNL/AFR, Berkeley, California","Design of Injector Systems for LUX",
MOPKF071,"C. Steier, S. Marks, S. Prestemon, D. Robin, R.D. Schlueter, A. Wolski, LBNL, Berkeley, California","Study of Row Phase Dependent Skew Quadrupole Fields in Apple-II type EPUs at the ALS",
MOPKF072,"A. Zholents, J.M. Byrd, W. Fawley, Z. Hao, M.C. Martin, D. Robin, F. Sannibale, R.W. Schoenlein, M. Venturini, M.S. Zolotorev, LBNL, Berkeley, California","Towards Attosecond X-ray Pulses from the FEL",
MOPKF073,"W. Wan, J.N. Corlett, W. Fawley, A. Zholents, LBNL, Berkeley, California","Design Study of the Bending Sections between Harmonic Cascade FEL Stages",
MOPKF074,"G. Penn, J.N. Corlett, W. Fawley, M. Reinsch, W. Wan, J.S. Wurtele, A. Zholents, LBNL, Berkeley, California","Harmonic Cascade FEL Designs for LUX",
MOPKF076,"H. Padamsee, B.M. Barstow, Cornell University, Ithaca, New York; I. Bazarov, Cornell University, Department of Physics, Ithaca, New York; S.A. Belomestnykh, R. Geng, M. Liepe, Cornell University, Laboratory for Elementary-Particle Physics, Ithaca, New York; V. Medjidzade, V.D. Shemelin, Cornell University, Ithaca, New York; C.K. Sinclair, Cornell University, Department of Physics, Ithaca, New York; K.W. Smolenski, Cornell University, Ithaca, New York; M. Tigner, V. Veshcherevich, Cornell University, Laboratory for Elementary-Particle Physics, Ithaca, New York","An Overview of the Cryomodule for the Cornell ERL Injector",
MOPKF077,"G. Hoffstaetter, M. Liepe, T. Tanabe, Cornell University, Laboratory for Elementary-Particle Physics, Ithaca, New York","Reducing the Synchrotron Radiation on RF Cavity Surfaces in an Energy-recovery Linac",
MOPKF078,"G. Hoffstaetter, Cornell University, Laboratory for Elementary-Particle Physics, Ithaca, New York; I. Bazarov, H. Bilderback, M. Billing, S. Gruner, Cornell University, Department of Physics, Ithaca, New York; M. Liepe, Cornell University, Laboratory for Elementary-Particle Physics, Ithaca, New York; D. Sagan, C.K. Sinclair, Cornell University, Department of Physics, Ithaca, New York; R.M. Talman, M. Tigner, Cornell University, Laboratory for Elementary-Particle Physics, Ithaca, New York","ERL Upgrade of an Existing X-ray Facility: CHESS at CESR",
MOPKF079,"D. Dowell, R. Akre, L.D. Bentson, P. Bolton, R.M. Boyce, R. Carr, J.E. Clendenin, S.M. Gierman, A. Gilevich, K. Kotturi, Z. Li, C. Limborg-Deprey, W. Linebarger, M. Ortega, J. Schmerge, P. Smith, L. Xiao, SLAC, Menlo Park, California","The Linac Coherent Light Source Photo-Injector Overview and Some Design Details",
MOPKF080,"P. Emma, G.V. Stupakov, SLAC, Menlo Park, California","Controlling Emittance Growth in an FEL Beam Conditioner",
MOPKF081,"A.C. Kabel, P. Emma, SLAC, Menlo Park, California","Peak Current Optimization for LCLS Bunch Compressor 2",
MOPKF082,"A.C. Kabel, Y. Cai, SLAC, Menlo Park, California","A Multi-bunch, Three-dimensional, Strong-strong Beam-beam Simulation Code for Parallel Computers",
MOPKF083,"R. Carr, L.D. Bentson, P. Bolton, D. Dowell, P. Emma, A. Gilevich, Z. Huang, J.J. Welch, J. Wu, SLAC, Menlo Park, California","Inverse Free Electron Laser Heater for the LCLS",
MOPKF084,"D. Wang, MIT/BLAC, Middleton, Massachusetts; M. Blaskiewicz, BNL, Upton, Long Island, New York; M. Farkhondeh, MIT/BLAC, Middleton, Massachusetts; Y. Luo, BNL, Upton, Long Island, New York; C. Tschalaer, J. Van der Laan, F. Wang, MIT/BLAC, Middleton, Massachusetts; L. Wang, BNL, Upton, Long Island, New York; A. Zolfaghari, T. Zwart, MIT/BLAC, Middleton, Massachusetts","Beam Instabilities in Lepton Ring of eRHIC",
MOPKF085,"D. Wang, MIT/BLAC, Middleton, Massachusetts; P. Emma, SLAC, Menlo Park, California; M. Farkhondeh, W. Graves, J. Van der Laan, F. Wang, T. Zwart, MIT/BLAC, Middleton, Massachusetts","Design Optimizations of X-ray FEL Facility at MIT",
MOPKF086,"C. Limborg-Deprey, D. Dowell, S.M. Gierman, SLAC, Menlo Park, California","Modifications of the LCLS Photoinjector Beamline",
MOPKF087,"A. Freyberger, K. Beard, S.A. Bogacz, Y.-C. Chao, S. Chattopadhyay, D. Douglas, A. Hutton, L. Merminga, C. Tennant, M. Tiefenback, Jefferson Lab, Newport News, Virginia","The Cebaf Energy Recovery Experiment: Update and Future Plans",
MOPLT001,"R.A. Melikian, M.L. Petrosyan, V.S. Pogosyan, YerPhI, Yerevan","Acceleration of Electrons by Spatially Modulated Laser Wave",
MOPLT003,"J.G.R.S. Franco, R.M. Ernits, M. Fernandes, A.F.A. Gouveia, J.R. Piton, M.A. Raulik, F.D.S. Rodrigues, LNLS, Campinas","Upgrading the LNLS Control System from a Proprietary to a Commercial Communications Environment",
