FRXBCH01,"K.J. Peach, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon","Novel Ideas and Ramp;D for High Intensity Neutrino Beams",
TUPLT179,"K.A. Brown, L. Ahrens, J.M. Brennan, J. Glenn, BNL, Upton, Long Island, New York; S.R. Koscielniak, TRIUMF, Vancouver; M. Sivertz, N. Tsoupas, BNL, Upton, Long Island, New York","Mini-bunched and Micro-bunched Slow Extracted Beams from the AGS",
TUPLT180,"K.A. Brown, L. Ahrens, R.H. Beuttenmuller, I.-H. Chiang, D.C. Elliott, D. Gassner, Z. Li, I. Marneris, J. Mead, J. Morris, D. Phillips, V. Radeka, A. Rusek, N. Tsoupas, B. Yu, K. Zeno, BNL, Upton, Long Island, New York","Results of the NASA Space Radiation Laboratory Beam Studies Program at BNL",
TUPLT181,"K.A. Brown, L. Ahrens, J.M. Brennan, J. DeLong, C. Gardner, D. Gassner, J. Glenn, Y. Kotlyar, I. Marneris, A. Rusek, N. Tsoupas, K. Zeno, BNL, Upton, Long Island, New York","Results of the First Run of the NASA Space Radiation Laboratory at BNL",
TUPLT182,"J.F. Cardona, UNAL, Bogota D.C; S. Peggs, F.C. Pilat, V. Ptitsyn, BNL, Upton, Long Island, New York","Measuring Local Gradient and Skew Quadrupole Errors in RHIC IRs",
TUPLT183,"J. Kewisch, C. Montag, BNL, Upton, Long Island, New York","Magnetized Beam Transport in Electron Coolers with Opposing Solenoid Fields",
TUPLT184,"Y. Luo, P. Cameron, R. Lee, A. Marusic, F.C. Pilat, T. Roser, D. Trbojevic, J. Wei, BNL, Upton, Long Island, New York","Operational Measurement of Coupling by Skew Quadrupole Modulation",
TUPLT185,"Y. Luo, F.C. Pilat, T. Roser, D. Trbojevic, J. Wei, BNL, Upton, Long Island, New York","Principle of Skew Quadrupole Modulation to Measure Betatron Coupling",
TUPLT186,"W.J. McGahern, S. Badea, BNL, Upton, Long Island, New York; R. Cutler, J.J. Error, J. Galambos, M.P. Hechler, ORNL/SNS, Oak Ridge, Tennessee; F.M. Hemmer, BNL, Upton, Long Island, New York; S. Henderson, P.S. Hokik, ORNL/SNS, Oak Ridge, Tennessee; H.-C. Hseuh, BNL, Upton, Long Island, New York; T. Hunter, ORNL/SNS, Oak Ridge, Tennessee; J.W. Jackson, A.K. Jain, F.X. Karl, R.F. Lambiase, Y.Y. Lee, C.J. Liaw, H. Ludewig, G.J. Mahler, W. Meng, BNL, Upton, Long Island, New York; G.R. Murdoch, ORNL/SNS, Oak Ridge, Tennessee; C. Pai, C. Pearson, J. Rank, D. Raparia, BNL, Upton, Long Island, New York; K. Rust, ORNL/SNS, Oak Ridge, Tennessee; J. Sandberg, BNL, Upton, Long Island, New York; J.P. Schubert, ORNL/SNS, Oak Ridge, Tennessee; S. Tepikian, N. Tsoupas, J. Tuozzolo, P. Wanderer, J. Wei, W.-T. Weng, BNL, Upton, Long Island, New York","Managing System Parameters for SNS Magnets and Power Supplies",
TUPLT187,"J.-L. Mi, L. Hoff, R.F. Lambiase, Y.Y. Lee, J. Sandberg, Y. Tan, N. Tsoupas, R. Zapasek, W. Zhang, BNL, Upton, Long Island, New York","SNS Extraction Kicker Power Supply Control",
TUPLT188,"J.-L. Mi, H. Hahn, R.F. Lambiase, Y.Y. Lee, C. Pai, J. Sandberg, Y. Tan, N. Tsoupas, D.S. Warburton, R. Zapasek, W. Zhang, BNL, Upton, Long Island, New York","SNS Extraction Kicker Power Supply Manufacture Status",
TUPLT189,"D. Raparia, A.V. Fedotov, Y.Y. Lee, J. Wei, BNL, Upton, Long Island, New York","Dipole and Quaqdrupole Sorting for the SNS Ring",
TUPLT190,"T. Roser, L. Ahrens, M. Bai, E.D. Courant, J. Glenn, R.C. Gupta, H. Huang, A.U. Luccio, W.W. MacKay, BNL, Upton, Long Island, New York; M. Okamura, J. Takano, RIKEN, Saitama; N. Tsoupas, E. Willen, BNL, Upton, Long Island, New York","Acceleration of Polarized Beams using Multiple Strong Partial Siberian Snakes",
TUPLT191,"J. Van Zeijts, BNL, Upton, Long Island, New York","Transverse Optics Improvements for RHIC Run 4",
TUPLT192,"J. Wei, N. Tsoupas, BNL, Upton, Long Island, New York","Transition Crossing for the BNL Super Neutrino Beam",
TUXCH01,"M. Lindroos, CERN, Geneva","Review of ISOL-type Radioactive Beam Facilities",
TUXCH02,"W.F. Henning, GSI, Darmstadt","FAIR - An International Accelerator Facility for Research with Ions and Antiprotons",
TUXLH01,"R. Schmidt, J. Wenninger, CERN, Geneva","Machine Protection Issues and Strategies for the LHC",
TUXLH02,"M.G. Minty, DESY, Hamburg","HERA Performance Upgrade: Achievements and Plans for the Future",
TUXLH03,"T. Satogata, BNL, Upton, Long Island, New York","RHIC Performance and Plans Towards Higher Luminosity and Higher Polarization",
TUYACH01,"M. Roth, TU Darmstadt, Darmstadt; P. Audebert, LULI, Palaiseaux; A. Blazevic, E. Brambrink, TU Darmstadt, Darmstadt; M. Bussmann, LMU, München; R. Clarke, CCLRC/RAL, Chilton, Didcot, Oxon; J.A. Cobble, LANL, Los Alamos, New Mexico; T.E. Cowan, University of Nevada, Reno, Reno, Nevada; J. Fernandez, LANL, Los Alamos, New Mexico; J. Fuchs, University of Nevada, Reno, Reno, Nevada; M. Geissel, TU Darmstadt, Darmstadt; D. Habs, LMU, München; M. Hegelich, LANL, Los Alamos, New Mexico; S. Karsch, CCLRC/RAL, Chilton, Didcot, Oxon; A. Kemp, University of Nevada, Reno, Reno, Nevada; K. Ledingham, Strathclyde University, Glasgow; S. Letzring, LANL, Los Alamos, New Mexico; P. McKenna, Strathclyde University, Glasgow; D. Neely, CCLRC/RAL, Chilton, Didcot, Oxon; H. Ruhl, University of Nevada, Reno, Reno, Nevada; U. Schramm, J. Schreiber, LMU, München","Laser-acceleration and Laser-cooling for Ion Beams",
TUYBCH01,"H. Kitamura, RIKEN Spring-8 Harima, Hyogo; T. Bizen, JASRI/SPring-8, Hyogo; T. Hara, X. Maréchal, RIKEN Spring-8 Harima, Hyogo; T. Seike, JASRI/SPring-8, Hyogo; T. Tanaka, RIKEN Spring-8 Harima, Hyogo","Design Criteria and Technology Challenges for the Undulators of the Future",
TUYBCH02,"G. Suberlucq, CERN, Geneva","Technological Challenges for High Brightness Photo-injectors",
TUYLH01,"R. Scrivens, CERN, Geneva","Proton and Ion Sources for High Intensity Accelerators",
TUYLH02,"J. Stovall, LANL, Los Alamos, New Mexico","Low and Medium Energy Beam Acceleration in High Intensity Linacs",
TUYLH03,"Y. Irie, KEK, Ibaraki","Challenges facing the Generation of MW Proton Beams using Rapid Cycling Synchrotrons",
TUZACH01,"K. Floettmann, DESY, Hamburg","Positron Source Options for Linear Colliders",
TUZACH02,"G.J.H. Brussaard, M.J. Van der Wiel, TUE, Eindhoven","Ultra-high Gradient Compact Accelerator Developments",
TUZBCH01,"G. Arduini, CERN, Geneva","Beam Quality Preservation in the CERN PS-SPS Complex",
TUZBCH02,"F. Zimmermann, CERN, Geneva","Beam Dynamics Challenges for Future Circular Colliders",
WEILH00,"D. Proch, DESY, Hamburg","Industrial Involvement in EC Supported Accelerator Ramp;D in the 6th Framework Programme and in Preparing Large Scale Accelerator Projects",
WEILH01,"K.N. Hill, Qi3, Cambridge","Methods for Successful Technology Transfer in Physics",
WEILH03,"M. Wilcox, e2v technologies, Chelmsford, Essex","Industrial Response to RF Power Requirements",
WEILH04,"M.S. de Jong, CLS, Saskatoon, Saskatchewan","Industrial Involvement in the Construction of Synchrotron Light Sources",
WEOACH01,"C. Ohmori, S. Anami, E. Ezura, K. Hara, Y. Hashimoto, KEK, Ibaraki; M. Nomura, A. Schnase, JAERI/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; A. Takagi, KEK, Ibaraki; F. Tamura, JAERI/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; M. Toda, KEK, Ibaraki; M. Yamamoto, JAERI/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; M. Yoshii, KEK, Ibaraki","High Field Gradient Cavity for J-PARC 3 GeV RCS",
WEOACH02,"V. Baglin, B.J. Jenninger, CERN, Geneva","Gas Condensates onto a LHC Type Cryogenic Vacuum System Subjected to Electron Cloud",
WEOACH03,"L. Lilje, DESY, Hamburg","Achievement of 35 MV/m in the TESLA Superconducting Cavities Using Electropolishing as a Surface Treatment",
WEOALH01,"T. Lau, E. Gjonaj, T. Weiland, TEMF, Darmstadt","Particle-in-cell Beam Dynamics Simulations",
WEOALH02,"M. Giovannozzi, R. Cappi, S.G. Gilardoni, M. Martini, E. Métral, CERN, Geneva; A.-S. Müller, FZK-ISS-ANKA, Karlsruhe; A. Sakumi, R.R. Steerenberg, CERN, Geneva","Multiturn Extraction Based on Trapping in Stable Islands at CERN PS: Recent Measurement Advances",
WEOALH03,"S.D. Fartoukh, CERN, Geneva","Installation Strategy for the LHC Main Dipoles",
WEOBCH01,"D. Forkel-Wirth, S.M. Mayer, H.G. Menzel, A. Muller, T. Otto, M. Pangallo, D. Perrin, M. Rettig, S. Roesler, L. Scibile, CERN, Geneva; C. Theis, TUG/ITP, Graz; H. Vincke, CERN, Geneva","Performance Requirements for Monitoring Pulsed, Mixed Radiation Fields around High-energy Acclerators",
WEOBCH02,"R.A. Hardekopf, LANL, Los Alamos, New Mexico; A.V. Aleksandrov, D.E. Anderson, ORNL/SNS, Oak Ridge, Tennessee; S.S. Kurennoy, J. Power, LANL, Los Alamos, New Mexico","Design, Construction, and Initial Operation of the SNS MEBT Chopper System",
WEOCCH01,"F. Gerigk, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon","A New 180 MeV H- Linac for Upgrades of ISIS",
WEOCCH02,"J. Wei, BNL, Upton, Long Island, New York","Construction Status and Issues of the Spallation Neutron Source Ring",
WEODCH01,"A. Ruggiero, M. Blaskiewicz, T. Roser, D. Trbojevic, N. Tsoupas, W. Zhang, BNL, Upton, Long Island, New York","1.5-GeV FFAG Accelerator as Injector to the BNL-AGS",
WEODCH02,"E. Syresin, JINR, Dubna, Moscow Region; K. Noda, NIRS, Chiba-shi; T. Tanabe, KEK, Ibaraki","Interaction of Stored Ions with Electron Target in Low Energy Electrostatic Ring",
WEPKF001,"V.S. Avagyan, CANDLE, Yerevan; A. Babayan, N.M. Dobrovolski, I.V. Tunyan, YerPhI, Yerevan","Diffusion Welding of Heterogeneous Materials in Accelerator Technique",
WEPKF002,"V.G. Khachatryan, Y.L. Martirosyan, A. Petrosyan, CANDLE, Yerevan","Magnets for the CANDLE Booster Synchrotron, Design and Prototyping",
WEPKF003,"M.L. Lopes, USP/LAL, Bairro Butantan; K.-H. Kaiser, IKP, Mainz; A.A. Malafronte, M.N. Martins, J. Takahashi, USP/LAL, Bairro Butantan","Design of the End Magnets for the IFUSP Main Microtron",
WEPKF004,"T.F. Silva, M.L. Lopes, A.A. Malafronte, M.N. Martins, P.B. Rios, J. Takahashi, USP/LAL, Bairro Butantan","Magnetic Quadrupole Lenses for the IFUSP Microtron",
WEPKF005,"F.T. Degasperi, FATEC-SP, Sao Paulo, SP; M.N. Martins, J. Takahashi, USP/LAL, Bairro Butantan; L.L. Verardi, IBILCE - UNESP, Sao Jose do Rio Preto, SP","Pressure Field Distribution in a Cylindrical Geometry with Arbitrary Cross Section",
WEPKF006,"A. Santrich Badal, M. Allitt, CERN, Geneva; M. Bagre, CAT, Indore (M.P.); C. Giloux, M. Karppinen, CERN, Geneva; P. Khare, CAT, Indore (M.P.); A.M. Lombardi, CERN, Geneva; T. Maurya, A. Puntambekar, CAT, Indore (M.P.); V. Remondino, W. Venturini Delsolaro, R. Wolf, CERN, Geneva","Field Quality and Hysteresis of LHC Superconducting Corrector Magnets",
WEPKF007,"V. Baglin, H. Dupont, T. Garcin, CERN, Geneva","Vacuum Characterisation of a Woven Carbon Fiber Cryosorber in Presence of H2",
WEPKF008,"L. Bottura, S.D. Fartoukh, V. Granata, E. Todesco, CERN, Geneva","A Strategy for Sampling of the Field Quality of the LHC Dipoles",
WEPKF009,"T. Pieloni, CERN, Geneva; G. Ambrosio, P. Bauer, Fermilab, Batavia, Illinois; L. Bottura, CERN, Geneva; M. Haverkamp, METROLAB, Plan-les-Ouates; S. Sanfilippo, CERN, Geneva","A Scaling Law for Predicting Snap-back in Superconducting Accelerator Magnets",
WEPKF010,"D. Bozzini, V. Chareyre, A. Jacob, K.H. Mess, S. Russenschuck, R. Solaz Cerdan, CERN, Geneva","Design of an Automatic System for the Electrical Quality Assurance during the Assembly of the Electrical Circuits of the LHC",
WEPKF011,"N. Catalan-Lasheras, G. Kirby, R. Ostojic, J.C. Perez, H. Prin, W. Venturini Delsolaro, CERN, Geneva","Performance of the Superconducting Matching Quadrupoles for the LHC Insertions",
WEPKF012,"M. Coccoli, M. Buzio, J. Garcia Perez, CERN, Geneva","LHC Dipole Axis, Spool Piece Alignment and Field Angle in Warm and Cold Conditions",
WEPKF014,"V. Granata, J. Billan, F. Bordry, L. Bottura, P. Coutinho Ferreira, E. Effinger, G. Fernqvist, P. Galbraith, Q. King, J. Pett, A. Raimondo, A. Rijllart, H. Thiesen, CERN, Geneva","Magnetic Field Tracking Experiments for LHC",
WEPKF015,"J. Knaster, B.J. Jenninger, D.R. Ramos, G. Ratcliffe, R. Veness, CERN, Geneva","The Design of Cold to Warm Transitions of the LHC",
WEPKF016,"M. La China, G. Gubello, W. Scandale, CERN, Geneva","Instrumental Uncertainty in Measuring the Geometry of the LHC Main Dipoles.",
WEPKF017,"R. Maccaferri, M. Facchini, R. Jung, D. Tommasini, W. Venturini Delsolaro, CERN, Geneva","The 5 T Superconducting Undulator for the LHC Synchrotron Radiation Profile Monitor",
WEPKF018,"E. Mahner, I. Efthymiopoulos, J. Hansen, E. Page, H. Vincke, CERN, Geneva","Beam-loss Induced Pressure Rise of LHC Collimator Materials Irradiated with 158 GeV/u In49+ Ions at the CERN SPS",
WEPKF019,"H. Reymond, J. Billan, J. Garcia Perez, D. Giloteaux, A. Raimondo, V. Remondino, A. Rijllart, CERN, Geneva","Magnetic Measurement Systems for the LHC Dipole Assembly Firms",
WEPKF020,"L. Sermeus, J. Borburgh, CERN, Geneva; M. Crescenti, TERA, Novara; T. Fowler, M. Hourican, K.D. Metzmacher, CERN, Geneva","The Design of the Special Magnets for PIMMS/TERA",
WEPKF021,"B. Skoczen, CERN, Geneva; J. Kulka, AGH, Cracow","Non-destructive Testing of Bus-bar Joints Powering LHC Superconducting Magnets, by Using Gamma Sources",
WEPKF022,"J.-P.G. Tock, D. Bozzini, F. Laurent, S. Russenschuck, B. Skoczen, CERN, Geneva","Electro-mechanical Aspects of the Interconnection of the LHC Superconducting Corrector Magnets",
WEPKF024,"E.Y. Wildner, J. Beauquis, G. Gubello, M. La China, W. Scandale, CERN, Geneva","The Geometry of the LHC Main Dipole",
WEPKF025,"F.Q. Wei, L. Rivkin, A. Wrulich, PSI, Villigen","Experience with the Hydrostatic Levelling System of the SLS",
WEPKF026,"J. Feikes, O. Dressler, J. Kuszynski, BESSY GmbH, Berlin","Kicker Pulser with High Stability for the BESSY FEL",
WEPKF027,"H.R. Sprenger, M.C. Bellachioma, M. Bender, H. Kollmus, A. Kraemer, J. Kurdal, P.J. Spiller, GSI, Darmstadt","Ramp;D Vacuum Issues of the Future GSI Accelerator Facilities",
WEPKF028,"W. Merz, DESY, Hamburg","High Charge Transfer Operation of Light Trigged Thrystor Crowbars",
WEPKF029,"E. Huttel, FZK-ISS-ANKA, Karlsruhe; B. Barg, A. Jackson, B. Mountford, ASP, Melbourne","The Vacuum System of the Australian Synchrotron",
WEPKF030,"E. Huttel, FZK-ISS-ANKA, Karlsruhe; B. Barg, A. Jackson, G. LeBlanc, ASP, Melbourne; J. Tanabe, SLAC, Menlo Park, California","The Storage Ring Magnets of the Australian Synchrotron",
WEPKF031,"F. Hagenbuck, P. Jennewein, K.-H. Kaiser, IKP, Mainz","Magnetic Field Correction of the Bending Magnets of the 1.5 GeV HDSM",
WEPKF032,"Z. Martí, J. Campmany, M. Traveria, LLS, Bellaterra (Cerdanyola del Vallès)","A General Method for 2d Magnet Pole Design",
WEPKF033,"O.V. Chubar, C. Benabderrahmane, SOLEIL, Gif-sur-Yvette; J. Chavanne, P. Elleaume, ESRF, Grenoble; O. Marcouillé, F. Marteau, SOLEIL, Gif-sur-Yvette","Application of Finite Volume Integral Approach to Computing of 3D Magnetic Fields Created by Distributed Iron-dominated Electromagnet Structures",
WEPKF034,"S. Guiducci, S. Bertolucci, M. Incurvati, M.A. Preger, P. Raimondi, C. Sanelli, F. Sgamma, INFN/LNF, Frascati (Roma)","The Modified DAFNE Wigglers",
WEPKF035,"A. Bosotti, INFN/LASA, Segrate (MI); R. De Monte, M. Ferianis, ELETTRA, Basovizza, Trieste; R. Lange, DESY, Hamburg; C. Pagani, P. Pierini, INFN/LASA, Segrate (MI)","Analysis of the Cold Mass Displacements at the TTF",
WEPKF037,"S. Dutta, J. Dwivedi, A. Kumar, CAT, Indore (M.P.); B. Skoczen, CERN, Geneva; H.C. Soni, CAT, Indore (M.P.)","Structural Analysis of an Integrated Model of Short Straight Section, Service Module, Jumper Connection and Magnet Interconnects for the Large Hadron Collider",
WEPKF038,"J. Dwivedi, S.G. Goswami, A. Kumar, V. Madhumurthy, CAT, Indore (M.P.); V. Parma, CERN, Geneva; H.C. Soni, CAT, Indore (M.P.)","The Alignment Jacks of the LHC Cryomagnets",
WEPKF039,"H. Sakai, M. Fujisawa, A. Kakizaki, T. Kinishita, ISSP/SRL, Chiba; K. Kobayashi, KEK, Ibaraki; T. Koseki, RIKEN/RARF/BPEL, Saitama; H. Kudo, N. Nakamura, ISSP/SRL, Chiba; H. Ohkuma, JASRI/SPring-8, Hyogo; O. Okuda, S. Shibuya, K. Shinoe, ISSP/SRL, Chiba; S. Suzuki, LNS, Sendai; H. Takaki, ISSP/SRL, Chiba","The Vacuum System of Super SOR",
WEPKF040,"T. Takeuchi, NIRS, Chiba-shi; H. Fadil, M. Ikegami, A. Noda, Kyoto ICR, Uji, Kyoto; K. Noda, S. Shibuya, NIRS, Chiba-shi; T. Shirai, H. Tongu, Kyoto ICR, Uji, Kyoto","Magnetic Field Measurement of Quadrupole Magnets for S-LSR",
WEPKF041,"T. Kawakubo, KEK, Ibaraki; M. Aoki, T. Hisamura, NEOMAX Co., Ltd., Mishima-gun, Osaka; E. Nakamura, M. Numajiri, KEK, Ibaraki; E. Sugiyama, NEOMAX Co., Ltd., Mishima-gun, Osaka","Permanent Magnet Generating High and Variable Septum Magnetic Field and its Deterioration by Radiation",
WEPKF042,"S. Sakanaka, M. Izawa, T. Takahashi, K. Umemori, KEK, Ibaraki","Installation and Operation of New Klystron Power Supply with Fast Solid-State Switch for Klystron Protection at the Photon Factory Storage Ring",
WEPKF043,"S. Sakanaka, T. Mitsuhashi, T. Obina, KEK, Ibaraki","Measurement of the Vertical Quadrupolar Tune Shift in the Photon Factory Storage Ring",
WEPKF046,"Y. Iwashita, Kyoto ICR, Uji, Kyoto; Y. Arimoto, A. Sato, Osaka University, Osaka","Gradient Field Generation in a Uniform Gapped Magnet",
WEPKF047,"T. Mihara, Kyoto ICR, Uji, Kyoto; E. Antokhin, NIRS, Chiba-shi; Y. Iwashita, Kyoto ICR, Uji, Kyoto; M. Kumada, NIRS, Chiba-shi; C.M. Spencer, SLAC, Menlo Park, California; E. Sugiyama, NEOMAX Co., Ltd., Mishima-gun, Osaka","A Super Strong Adjustable Permanent Magnet for the Final Focus Quadrupole in a Linear Collider",
WEPKF048,"Y. Nakayama, T. Ito, JPOWER, Kanagawa-ken; S. Matsui, JASRI/SPring-8, Hyogo; R. Sugahara, S. Takeda, H. Yamaoka, KEK, Ibaraki; S. Yamashita, University of Tokyo, Tokyo; M. Yoshioka, KEK, Ibaraki; C. Zhang, JASRI/SPring-8, Hyogo","Characteristics of Ground Motion at KEK and SPring-8",
WEPKF049,"D.E. Kim, C.W. Chung, H.S. Han, Y.G. Jung, H.G. Lee, W.W. Lee, K.-H. Park, H.S. Suh, PAL, Pohang","Stretched Wire Flip Coil System for Magnetic Field Measurements",
WEPKF050,"S.-C. Kim, Y.J. Han, S.H. Kim, S.-H. Nam, S.S. Park, PAL, Pohang","Measurement of Fast High Voltage Pulse and High Noisy DC Siganla for Modulator at the PLS Linac",
WEPKF051,"S.S. Park, Y.J. Han, S.H. Kim, S.-C. Kim, S.-H. Nam, PAL, Pohang","Operational Analysis of PLS 2-GeV Electron Linac Klystron-modulator System",
WEPKF053,"M. Sawamura, R. Hajima, N. Kikuzawa, E.J. Minehara, R. Nagai, N. Nishimori, JAERI/FEL, Ibaraki-ken","Status and Development for the JAERI ERL-FEL for High-Power and Long-Pulse Operation",
WEPKF054,"F.-Y. Lin, C.-H. Chang, H.-H. Chen, T.-C. Fan, M.-H. Huang, C.-S. Hwang, NSRRC, Hsinchu","Auto-filling Cryogenic System for Superconducting Wiggler",
WEPKF055,"C.-Y. Liu, C.H. Kuo, K.-B. Liu, NSRRC, Hsinchu","Design and Implementation of a Switching Mode Bipolar Power Stage of the Correction Power Supply",
WEPKF056,"K.-B. Liu, C.-S. Fann, NSRRC, Hsinchu","Reducing Output Current Ripple of Power Supply with Component Replacement",
WEPKF057,"A.D. Kovalenko, N.N. Agapov, V. Bartenev, A. Donyagin, I. Eliseeva, JINR, Dubna, Moscow Region; E. Fischer, GSI, Darmstadt; H.G. Khodzhibagiyan, G.L. Kuznetsov, JINR, Dubna, Moscow Region; G. Moritz, GSI, Darmstadt; A. Smirnov, M.A. Voevodin, JINR, Dubna, Moscow Region","Design and Study of a Superferric Model Dipole and Quadrupole Magnets for the GSI Fast-pulsed Synchrotron SIS100.",
WEPKF060,"S.V. Sinyatkin, I.N. Churkin, O.B. Kiselev, V. Korchuganov, BINP SB RAS, Novosibirsk; M. Kuroda, Saga Synchrotron Light Source, Industry Promotion Division, Saga City; A.B. Ogurtsov, A.V. Philipchenko, L.M. Schegolev, K.K. Schreiner, A.G. Steshov, BINP SB RAS, Novosibirsk; Y. Tsuchida, Saga Synchrotron Light Source, Industry Promotion Division, Saga City; V. Ushakov, BINP SB RAS, Novosibirsk","Bending Magnets for the SAGA Storage Ring: Manufacturing and Magnetic Measurements",
WEPKF061,"I. Bogdanov, IHEP Protvino, Protvino, Moscow Region; E. Fischer, F. Klos, GSI, Darmstadt; S. Kozub, IHEP Protvino, Protvino, Moscow Region; G. Moritz, C. Muehle, GSI, Darmstadt; A. Shcherbakov, L. Tkachenko, IHEP Protvino, Protvino, Moscow Region","Study of Electrical Steel Magnetic Properties for Fast Cycling Magnets of SIS100 and SIS300 Rings",
WEPKF062,"I. Bogdanov, IHEP Protvino, Protvino, Moscow Region; J. Kaugerts, GSI, Darmstadt; S. Kozub, IHEP Protvino, Protvino, Moscow Region; G. Moritz, GSI, Darmstadt; A. Shcherbakov, L. Tkachenko, S. Zintchenko, V. Zubko, IHEP Protvino, Protvino, Moscow Region","Study of the Quench Process in Fast-cycling Dipole for the SIS300 Ring",
WEPKF063,"L. Tkachenko, I. Bogdanov, IHEP Protvino, Protvino, Moscow Region; J. Kaugerts, GSI, Darmstadt; S. Kozub, IHEP Protvino, Protvino, Moscow Region; G. Moritz, GSI, Darmstadt; A. Shcherbakov, I. Slabodchikov, V. Sytnik, V. Zubko, IHEP Protvino, Protvino, Moscow Region","Comparison of Three Designs of Wide Aperture Dipole for SIS300 Ring",
WEPKF064,"L. Tkachenko, I. Bogdanov, S. Kozub, IHEP Protvino, Protvino, Moscow Region; G. Moritz, GSI, Darmstadt; A. Shcherbakov, I. Slabodchikov, IHEP Protvino, Protvino, Moscow Region; V. Sytnikov, RCSRDI, Moscow; V. Zubko, IHEP Protvino, Protvino, Moscow Region","Methods for Reducing Cable Losses in Fast-Cycling Dipoles for the SIS300 Ring",
WEPKF065,"V. Zubko, I. Bogdanov, S. Kozub, A. Shcherbakov, L. Tkachenko, IHEP Protvino, Protvino, Moscow Region","Study of Thermal Stability and Quench Process of HTS Dipole",
WEPKF066,"V. Zubko, I. Bogdanov, IHEP Protvino, Protvino, Moscow Region; M. Kauschke, GSI, Darmstadt; S. Kozub, IHEP Protvino, Protvino, Moscow Region; G. Moritz, GSI, Darmstadt; A. Shcherbakov, L. Tkachenko, S. Zintchenko, IHEP Protvino, Protvino, Moscow Region","Stability of Fast-cycling Dipole for SIS300 Ring",
WEPKF068,"G.D. Charnley, J. Cartledge, P.A.D. Dickenson, S.A. Griffiths, S.H. Hands, R.J. Smith, J.E. Theed, C.J. White, CCLRC/DL, Daresbury, Warrington, Cheshire","Developments in Magnet Power Converters at the SRS",
WEPKF069,"J.E. Theed, M. Dykes, A. Gallagher, S.A. Griffiths, S.H. Hands, A.J. Moss, J.F. Orrett, C.J. White, CCLRC/DL, Daresbury, Warrington, Cheshire","52 kV Power Supply for Energy Recovery Linac Prototype RF",
WEPKF070,"M.A. Green, G. Barr, OXFORDphysics, Oxford, Oxon; E. Baynham, T.W. Bradshaw, CCLRC/RAL, Chilton, Didcot, Oxon; J. Cobb, OXFORDphysics, Oxford, Oxon; P. Drumm, Y. Ivanyushenkov, CCLRC/RAL, Chilton, Didcot, Oxon; W. Lau, OXFORDphysics, Oxford, Oxon; J. Rochford, CCLRC/RAL, Chilton, Didcot, Oxon; R.S. Senanayake, H. Witte, S.Q. Yang, OXFORDphysics, Oxford, Oxon","Design Issues for the Superconducting Magnet that goes around the Liquid Hydrogen Absorber for the Muon Ionization Cooling Experiment (MICE)",
WEPKF071,"J. Wang, ANL, Argonne, Illinois","A New Current Regulator for the APS Storage Ring Correction Magnet Bipolar Switching Mode Power Converters",
WEPKF072,"D.R. Broemmelsiek, S. Nagaitsev, Fermilab, Batavia, Illinois","Clearing Electrodes for Vacuum Monitoring at the Fermilab Recycler",
WEPKF073,"V. Kashikhin, J. Strait, A.V. Zlobin, Fermilab, Batavia, Illinois","2nd Generation LHC IR Quadrupoles Based on Nb3Sn Racetrack Coils",
WEPKF074,"G. Velev, R. Bossert, R. Carcagno, J. DiMarco, S. Feher, H. Glass, V. Kashikhin, J.S. Kerby, M. Lamm, T. Nicol, L. Nobrega, D. Orris, T. Page, T. Peterson, R. Rabehl, P. Schlabach, J. Strait, C. Sylvester, M. Tartaglia, J. Tompkins, A.V. Zlobin, Fermilab, Batavia, Illinois","Magnetic Field Measurements of the LHC Inner Triplet Quadrupoles Produced at Fermilab",
WEPKF075,"G. Velev, J. Annala, P. Bauer, J. DiMarco, H. Glass, R. Hanft, R. Kephart, M. Lamm, M. Martens, P. Schlabach, C. Sylvester, M. Tartaglia, J. Tompkins, Fermilab, Batavia, Illinois","Measurements of Sextupole Decay and Snapback in Tevatron Dipole Magnets",
WEPKF076,"M.A. Kempkes, F.O. Arntz, J.A. Casey, M.P.J. Gaudreau, Diversified Technologies, Inc., Bedford","Solid-state Marx Bank Modulator for the Next Linear Collider",
WEPKF079,"G.D. Stover, LBNL/ALS, Berkeley, California","A Kicker Design for the Rapid Transfer of the Electron Beam between Radiator Beamlines in LUX",
WEPKF080,"F. Le Pimpec, F. King, R.E. Kirby, M.T.F. Pivi, SLAC, Menlo Park, California","Secondary Electron Yield Measurements from Thin Surface Coatings for NLC Electron Cloud Reduction",
WEPKF081,"G. Leyh, SLAC, Menlo Park, California","Prototype Development Progress toward a 500kV Solid State Marx Modulator",
WEPKF082,"J.E. Spencer, J. Allan, S. Anderson, SLAC, Menlo Park, California; M. Boussoufi, UCD/MNRC, McClellan, California; D.E. Pellet, UCD, Davis; J.T. Volk, Fermilab, Batavia, Illinois; R. Wolf, SLAC, Menlo Park, California","Radiation Damage Studies with Hadrons on Materials and Electronics",
