mooa02,"H. Loos [SLAC, Menlo Park, California, USA] ","Beam Instrumentation for X-ray FELs",99 98,
tupd04,"C.-Y. Liao, Y.-T. Chang, J. Chen, Y.-S. Cheng, P.C. Chiu, K.T. Hsu, S.Y. Hsu, K.H. Hu, C.H. Kuo, D. Lee, K.-K. Lin, K.L. Tsai, C.Y. Wu [NSRRC, Hsinchu, Taiwan] ","Diagnostics for the 150 MeV Linac and Test Transport Line of Taiwan Photon Source",308 310,
tupd05,"G. Vorobjev, C.A. Andre, W.A. Barth, E. Berdermann, M.I. Ciobanu, G. Clemente, L.A. Dahl, P. Forck, P. Gerhard, R. Haseitl, F. Herfurth, M. Kaiser, W. Kaufmann, H.J. Kluge, N. Kotovski, C. Kozhuharov, M.T. Maier, W. Quint, A. Reiter, A. Sokolov, T. Stoehlker (T. Stöhlker) [GSI, Darmstadt, Germany] O.K. Kester, J. Pfister, U. Ratzinger, A. Schempp [IAP, Frankfurt am Main, Germany] ","Diagnostic Scheme for the HITRAP Decelerator",311 313,
tupd06,"C. Jamet, T.A. Andre (T. André), E. Gueroult (E. Guéroult), B. Jacquot, N. Renoux, A. Savalle, T. Signoret, F. Varenne, J.L. Vignet [GANIL, Caen, France] J.-M. Fontbonne [LPC, Caen, France] ","Beam Diagnostic Overview of the SPIRAL2 RNB Section",314 316,
tupd07,"R. Barday, T. Kamps, A. Neumann, J. Rudolph, S.G. Schubert, J. Voelker (J. Völker) [HZB, Berlin, Germany] A. Ferrarotto, T. Weis [DELTA, Dortmund, Germany] ","Instrumentation Needs and Solutions for the Development of an SRF Photoelectron Injector at the Energy-Recovery Linac BERLinPro",317 319,
tupd11,"I. Podadera, J.M. Carmona, A. Guirao, A. Ibarra, L.M. Martinez Fresno, E. Mirones, R. Unamuno, J.G.S. de la Gama [CIEMAT, Madrid, Spain] ","Developments for IFMIF/EVEDA LIPAc Beam Position Monitors: The Sensors at the MEBT and the Wire Test Bench",320 322,
tupd12,"E. Calvo Giraldo, J.L. Gonzalez, L.K. Jensen, O.R. Jones, T. Lefevre (T. Lefèvre), J.-J. Savioz, R.J. Steinhagen, J. Wenninger [CERN, Geneva, Switzerland] ","The LHC Beam Position System: Performance during 2010 and Outlook for 2011",323 325,
tupd13,"S.R. Smith, A. Cappelletti, D. Gudkov, L. Soby (L. Søby), I. Syratchev [CERN, Geneva, Switzerland] S.R. Smith [SLAC, Menlo Park, California, USA] ","CLIC Drive Beam Position Monitor",326 328,
tupd14,"P. Craievich, T. Borden, A.O. Borga, R. De Monte, M. Ferianis, M. Predonzani [ELETTRA, Basovizza, Italy] M. Dal Forno, R. Vescovo [DIEIT, Trieste, Italy] ","Commissioning of the Cavity BPM for the FERMI@Elettra FEL Project",329 331,
tupd15,"C. Belver-Aguilar, C. Blanch Gutierrez, A. Faus-Golfe, J.J. Garcia-Garrigos (J.J. García-Garrigós) [IFIC, Valencia, Spain] E. Benveniste, M. Haguenauer, P. Poilleux [LLR, Palaiseau, France] ","Technology Selection for the Beam Position Tuning System in Hadrontherapy Facilities",332 334,
tupd16,"J.J. Garcia-Garrigos (J.J. García-Garrigós), C. Blanch Gutierrez, J.V. Civera-Navarrete, A. Faus-Golfe [IFIC, Valencia, Spain] B. Gimeno [UVEG, Burjasot (Valencia), Spain] ","High Frequency Measurements of the Beam Position Monitors for the TBL Line of the CTF3 at CERN",335 337,
