fraauio05,"L. Hatton [Kingston University, Kingston on Thames, United Kingdom] ","High-Integrity Software, Computation and the Scientific Method",1297 1301,
wepms005,"A. Voitier, P. Golonka, M. Gonzalez-Berges [CERN, Geneva, Switzerland] ","Automated Coverage Tester for the Oracle Archiver of WinCC OA",981 984,
wepms006,"B. Farnham [CERN, Geneva, Switzerland] ","Automated testing of OPC Servers",985 988,
wepms007,"V. Baggiolini, M. Arruat, D. Csikos, R. Gorbonosov, P. Tarasenko, Z. Zaharieva [CERN, Geneva, Switzerland] ","Backward Compatibility as a Key Measure for Smooth Upgrades to the LHC Control System",989 992,
wepms008,"M. Bednarek [CERN, Geneva, Switzerland] J. Ludwin [IFJ-PAN, Kraków, Poland] ","Software Tools for Electrical Quality Assurance in the LHC",993 995,
wepms011,"R. Baer (R. Bär), T. Fleck, M. Kreider, S. Mauro [GSI, Darmstadt, Germany] ","The Timing Master for the FAIR Accelerator Facility",996 998,
wepms013,"C.Y. Wu, Y.-T. Chang, J. Chen, Y.-S. Cheng, P.C. Chiu, K.T. Hsu, K.H. Hu, C.H. Kuo, D. Lee, C.Y. Liao [NSRRC, Hsinchu, Taiwan] ","Timing System of the Taiwan Photon Source",999 1002,
wepms015,"P.B. Cheblakov, S.E. Karnaev [BINP SB RAS, Novosibirsk, Russia] J.H. De Long [BNL, Upton, Long Island, New York, USA] ","NSLS-II Booster Timing System",1003 1005,
wepms016,"E. Ruiz-Martinez, T. Mary, P. Mutti, J. Ratel, F. Rey [ILL, Grenoble, France] ","Network on Chip Master Control Board for Neutron's Acquisition",1006 1009,
wepms017,"S.R. Kaneta, C. Cuevas, H. Dong, W. Gu, E. Jastrzembski, N. Nganga, B.J. Raydo, J. Wilson [JLAB, Newport News, Virginia, USA] ","The Global Trigger Processor: A VXS Switch Module for Triggering Large Scale Data Acquisition Systems",1010 1013,
wepms019,"P. Mutti, M. Jentschel, T. Mary, F. Rey [ILL, Grenoble, France] G. Mana, E. Massa [INRIM, Turin, Italy] ","Measuring Angle with Pico Meter Resolution",1014 1017,
wepms020,"P.B. Cheblakov, S.E. Karnaev, S.S. Serednyakov [BINP SB RAS, Novosibirsk, Russia] W. Louie, Y. Tian [BNL, Upton, Long Island, New York, USA] ","NSLS-II Booster Power Supplies Control",1018 1020,
wepms022,"R. Wang, R. Chen, Z.H. Chen, M. Gu [SINAP, Shanghai, People's Republic of China] ","The Controller Design for Kicker Magnet Adjustment Mechanism in SSRF",1021 1023,
wepms023,"O. Matilla, D.B. Beltran (D.B. Beltrán), D.F.C. Fernandez-Carreiras (D.F.C. Fernández-Carreiras), J.J. Jamroz, J. Klora, J. Moldes, R. Suñé [CELLS-ALBA Synchrotron, Cerdanyola del Vallès, Spain] ","ALBA Timing System - A Known Architecture with Fast Interlock System Upgrade",1024 1027,
wepms024,"J.J. Jamroz, E. Al-dmour, D.B. Beltran (D.B. Beltrán), J. Klora, R. Martin, O. Matilla, S. Rubio-Manrique [CELLS-ALBA Synchrotron, Cerdanyola del Vallès, Spain] ","ALBA High Voltage Splitter - Power Distribution to Ion Pumps",1028 1031,
wepms025,"J. Lidon-Simon (J. Lidón-Simon), D.F.C. Fernandez-Carreiras (D.F.C. Fernández-Carreiras), J.V. Gigante, J.J. Jamroz, J. Klora, O. Matilla [CELLS-ALBA Synchrotron, Cerdanyola del Vallès, Spain] ","Low Current Measurements at ALBA",1032 1035,
wepms026,"J.P. Ricaud, P. Betinelli-Deck, J. Bisou, X. Elattaoui, C. Laulhe (C. Laulhé), P. Monteiro, L.S. Nadolski, S. Ravy, G. Renaud, M.G. Silly, F. Sirotti [SOLEIL, Gif-sur-Yvette, France] ","The TimBel Synchronization Board for Time Resolved Experiments at Synchrotron SOLEIL",1036 1038,
wepms027,"S.M. Hu, J.G. Ding, G.-Y. Jiang, L.R. Shen, M.H. Zhao, S.P. Zhong [SINAP, Shanghai, People's Republic of China] ","The RF Control System of the SSRF 150MeV Linac",1039 1040,
wepms028,"Y.B. Leng, G.Q. Huang, L.W. Lai, Y.B. Yan, X. Yi [SSRF, Shanghai, People's Republic of China] ","Online Evaluation of New DBPM Processors at SINAP",1041 1043,
wepmu001,"S.S. Serednyakov, B.A. Gudkov, V.R. Kozak, E.A. Kuper, P.A. Selivanov, S.V. Tararyshkin [BINP SB RAS, Novosibirsk, Russia] ","Temperature Measurement System of Novosibirsk Free Electron Laser",1044 1046,
wepmu002,"A. Garcia Muñoz, S. Gabourin [CERN, Geneva, Switzerland] ","Testing Digital Electronic Protection Systems",1047 1050,
wepmu003,"M.T. Heron, Y.S. Chernousko, P. Hamadyk, S.C. Lay, N. Rotolo [Diamond, Oxfordshire, United Kingdom] ","The Diamond Machine Protection System",1051 1054,
wepmu005,"D.F.C. Fernandez-Carreiras (D.F.C. Fernández-Carreiras), D.B. Beltran (D.B. Beltrán), J. Klora, O. Matilla, J. Moldes, R. Montano (R. Montaño), M. Niegowski, R. Ranz, A. Rubio, S. Rubio-Manrique [CELLS-ALBA Synchrotron, Cerdanyola del Vallès, Spain] ","Personnel Protection, Equipment Protection and Fast Interlock Systems: Three Different Technologies to Provide Protection at Three Different Levels",1055 1057,
wepmu006,"S. Wagner, A. Apollonio, R. Schmidt, M. Zerlauth [CERN, Geneva, Switzerland] A. Vergara-Fernandez [ITER Organization, St. Paul lez Durance, France] ","Architecture for Interlock Systems: Reliability Analysis with Regard to Safety and Availability",1058 1061,
wepmu007,"V. Vuppala, K.D. Davidson, J. Kusler, J.J. Vincent [NSCL, East Lansing, Michigan, USA] ","Securing a Control System: Experiences from ISO 27001 Implementation",1062 1065,
wepmu008,"T. Ladzinski, Ch. Delamare, S. Di Luca, T. Hakulinen, L. Hammouti, F. Havart, J.-F. Juget, P. Ninin, R. Nunes, T.R. Riesco, E. Sanchez-Corral Mena, F. Valentini [CERN, Geneva, Switzerland] ","Access Safety Systems – New Concepts from the LHC Experience",1066 1069,
wepmu009,"J.-C. Chapuis, J.P.A. Arnoul, A. Hurst, M.G. Manson [CEA, Le Barp, France] ","The Laser MégaJoule Facility: Personnel Security and Safety Interlocks",1070 1072,
wepmu010,"H. Reymond, O.O. Andreassen, C. Charrondière, A. Rijllart, M. Zerlauth [CERN, Geneva, Switzerland] ","Automatic Analysis at the Commissioning of the LHC Superconducting Electrical Circuits",1073 1076,
wepmu011,"L.N. Drosdal, B. Goddard, R. Gorbonosov, S. Jackson, D. Jacquet, V. Kain, D. Khasbulatov, M. Misiowiec, J. Wenninger, C. Zamantzas [CERN, Geneva, Switzerland] ","Automatic Injection Quality Checks for the LHC",1077 1080,
wepmu012,"A. Jalal, S. Gabourin, M. Gasior, B. Todd [CERN, Geneva, Switzerland] ","First Experiences of Beam Presence Detection Based on Dedicated Beam Position Monitors",1081 1083,
wepmu013,"L.R. Carmichael, M.D. Church, R. Neswold, A. Warner [Fermilab, Batavia, USA] ","Development of a Machine Protection System for the Superconducting Beam Test Facility at FERMILAB",1084 1086,
wepmu015,"Z. Altinbas, J.P. Jamilkowski, D. Kayran, R.C. Lee, B. Oerter [BNL, Upton, Long Island, New York, USA] ","The Machine Protection System for the R&D Energy Recovery LINAC",1087 1089,
wepmu016,"I. Romera, M. Audrain [CERN, Geneva, Switzerland] ","Pre-Operation, During Operation and Post-Operational Verification of Protection Systems",1090 1092,
wepmu017,"J.A. Vasquez, A. Andrighetto, G. Bassato, L. Costa, M.G. Giacchini [INFN/LNL, Legnaro (PD), Italy] M. Bertocco [UNIPD, Padova (PD), Italy] ","Safety Control System and its Interface to EPICS for the Off-Line Front-End of the SPES Project",1093 1095,
wepmu018,"M.B. Jouve, C. Balorin [Association EURATOM-CEA, St Paul Lez Durance, France] G. Arnoux, S. Devaux, D. Kinna, P.D. Thomas, K-D. Zastrow [CCFE, Abingdon, Oxon, United Kingdom] P.J. Carvalho [IPFN, Lisbon, Portugal] J. Veyret [Sundance France, Matignon, France] ","Real-time Protection of the "ITER-like Wall at JET"",1096 1099,
wepmu019,"A. Antoine, C. Boucly, P. Juteau, N. Magnin, N. Voumard [CERN, Geneva, Switzerland] ","First Operational Experience with the LHC Beam Dump Trigger Synchronisation Unit",1100 1103,
wepmu020,"S. Redaelli, R.W. Assmann, M. Donze (M. Donzé), R. Losito, A. Masi [CERN, Geneva, Switzerland] ","LHC Collimator Controls for a Safe LHC Operation",1104 1107,
wepmu022,"S. Canella, D. Benini [INFN/LNL, Legnaro (PD), Italy] ","Quality-Safety Management and Protective Systems for SPES",1108 1110,
wepmu023,"N. Magnin, V. Baggiolini, E. Carlier, B. Goddard, R. Gorbonosov, D. Khasbulatov, J.A. Uythoven, M. Zerlauth [CERN, Geneva, Switzerland] ","External Post-Operational Checks for the LHC Beam Dumping System",1111 1114,
wepmu024,"O. Okhrimenko, V. Iakovenko, V.M. Pugatch [NASU/INR, Kiev, Ukraine] F. Alessio, G. Corti [CERN, Geneva, Switzerland] ","The Radiation Monitoring System for the LHCb Inner Tracker",1115 1118,
wepmu025,"F. Giacuzzo, L. Battistello, L. Froehlich (L. Fröhlich), G. Gaio, M. Lonza, G. Scalamera, G. Strangolino, D. Vittor [ELETTRA, Basovizza, Italy] ","Equipment and Machine Protection Systems for the FERMI@Elettra FEL facility",1119 1121,
wepmu026,"M. Lechman, A. Augustinus, P.Ch. Chochula, G. De Cataldo, A. Di Mauro, L.S. Jirden (L.S. Jirdén), A.N. Kurepin, P. Rosinsky (P. Rosinský), H. Schindler [CERN, Geneva, Switzerland] A. Moreno [Universidad Politécnica de Madrid, E.T.S.I Industriales, Madrid, Spain] O. Pinazza [INFN-Bologna, Bologna, Italy] ","Protecting Detectors in ALICE",1122 1125,
wepmu028,"T. Kojima, T. Narita, K. Nishiyama, H. Sakaki, H. Takahashi, K. Tsutsumi [Japan Atomic Energy Agency (JAEA), International Fusion Energy Research Center (IFERC), Rokkasho, Kamikita, Aomori, Japan] ","Development Status of Personnel Protection System for IFMIF/EVEDA Accelerator Prototype",1126 1129,
wepmu029,"F.M. Tilaro, B. Copy [CERN, Geneva, Switzerland] ","Assessment And Testing of Industrial Devices Robustness Against Cyber Security Attacks",1130 1133,
wepmu030,"T. Hakulinen, P. Ninin, F. Valentini [CERN, Geneva, Switzerland] J. Gonzalez, C. Salatko-Petryszcze [ASsystem, St Genis Pouilly, France] ","CERN Safety System Monitoring - SSM",1134 1137,
wepmu031,"L.R. Shen, D.K. Liu, T. Wan [SINAP, Shanghai, People's Republic of China] ","Virtualization in Control System Environment",1138 1140,
wepmu033,"F. Varela, F.B. Bernard, M. Gonzalez-Berges, H. Milcent, L.B. Petrova [CERN, Geneva, Switzerland] ","Monitoring Control Applications at CERN",1141 1144,
wepmu034,"Y.-T. Chang, J. Chen, Y.-S. Cheng, K.T. Hsu, S.Y. Hsu, K.H. Hu, C.H. Kuo, C.Y. Wu [NSRRC, Hsinchu, Taiwan] ","Infrastructure of Taiwan Photon Source Control Network",1145 1148,
wepmu035,"C. Haen, E. Bonaccorsi, N. Neufeld [CERN, Geneva, Switzerland] ","Distributed Monitoring System Based on ICINGA",1149 1152,
wepmu036,"D.O. Savu, B. Martin [CERN, Geneva, Switzerland] A. Al-Shabibi [Heidelberg University, Heidelberg, Germany] S.M. Batraneanu, S.N. Stancu [UCI, Irvine, California, USA] R. Sjoen [University of Oslo, Oslo, Norway] ","Efficient Network Monitoring for Large Data Acquisition Systems",1153 1156,
wepmu037,"E. Bonaccorsi, L. Brarda, M. Chebbi, N. Neufeld [CERN, Geneva, Switzerland] F. Sborzacchi [INFN/LNF, Frascati (Roma), Italy] ","Virtualization for the LHCb Experiment",1157 1160,
wepmu038,"A. Uchiyama [SHI Accelerator Service Ltd., Tokyo, Japan] M. Fujimaki, N. Fukunishi, M. Komiyama, R. Koyama [RIKEN Nishina Center, Wako, Japan] ","Network Security System and Method for RIBF Control System",1161 1164,
wepmu039,"N. Kamikubota, N. Yamamoto [J-PARC, KEK  JAEA, Ibaraki-ken, Japan] T. Iitsuka, S. Motohashi, M. Takagi, S.Y. Yoshida [Kanto Information Service (KIS), Accelerator Group, Ibaraki, Japan] H. Nemoto [ACMOS INC., Tokai-mura, Ibaraki, Japan] S. Yamada [KEK, Ibaraki, Japan] ","Virtual IO Controllers at J-PARC MR using Xen",1165 1167,
wepmu040,"K. Zagar ( Žagar), M. Kobal, N. Saje, A. Zagar (A. Žagar) [Cosylab, Ljubljana, Slovenia] F. Di Maio, D. Stepanov [ITER Organization, St. Paul lez Durance, France] R. Sabjan (R. Šabjan) [COBIK, Solkan, Slovenia] ","Packaging of Control System Software",1168 1170,
