fraauio05,"L. Hatton [Kingston University, Kingston on Thames, United Kingdom] ","High-Integrity Software, Computation and the Scientific Method",1297 1301,
mommu012,"M. Konrad, U. Bonnes, C. Burandt, R. Eichhorn, J. Enders, N. Pietralla [TU Darmstadt, Darmstadt, Germany] ","A Digital Base-band RF Control System",82 85,
mopkn002,"M. Pereira, M. Lamont, G.J. Müller, D.D. Teixeira [CERN, Geneva, Switzerland] T.E. Lahey [SLAC, Menlo Park, California, USA] E.S.M. McCrory [Fermilab, Batavia, USA] ","LHC Supertable",86 89,
mopkn005,"M. Komiyama, N. Fukunishi [RIKEN Nishina Center, Wako, Japan] A. Uchiyama [SHI Accelerator Service Ltd., Tokyo, Japan] ","Construction of New Data Archive System in RIKEN RI Beam Factory",90 93,
mopkn006,"J. Rowland, M.T. Heron, M.A. Leech, S.J. Singleton, K. Vijayan [Diamond, Oxfordshire, United Kingdom] ","Algorithms and Data Structures for the EPICS Channel Archiver",94 97,
mopkn007,"H. Reymond, O.O. Andreassen, C. Charrondière, G. Lehmann Miotto, A. Rijllart, D. Scannicchio [CERN, Geneva, Switzerland] ","Lhc Dipole Magnet Splice Resistance From Sm18 Data Mining",98 101,
mopkn009,"C. Roderick, R. Billen, M. Gourber-Pace, N. Hoibian, M. Peryt [CERN, Geneva, Switzerland] ","The CERN Accelerator Measurement Database: On the Road to Federation",102 105,
mopkn010,"M. Peryt, R. Billen, M. Martin Marquez, Z. Zaharieva [CERN, Geneva, Switzerland] ","Database and Interface Modifications: Change Management Without Affecting the Clients",106 109,
mopkn011,"Z. Zaharieva, M. Buttner [CERN, Geneva, Switzerland] ","CERN Alarms Data Management: State & Improvements",110 113,
mopkn012,"M.G. Giacchini, A. Andrighetto, G. Bassato, L.G. Giovannini, M. Montis, G.P. Prete, J.A. Vasquez [INFN/LNL, Legnaro (PD), Italy] J. Jugo [University of the Basque Country, Faculty of Science and Technology, Bilbao, Spain] K.-U. Kasemir [ORNL, Oak Ridge, Tennessee, USA] R. Lange [HZB, Berlin, Germany] R. Petkus [BNL, Upton, Long Island, New York, USA] M. del Campo [ESS-Bilbao, Zamudio, Spain] ","Hyperarchiver: An Epics Archiver Prototype Based on Hypertable",114 116,
mopkn013,"C.Y. Liao, J. Chen, Y.-S. Cheng, K.T. Hsu, K.H. Hu, C.H. Kuo, C.Y. Wu [NSRRC, Hsinchu, Taiwan] ","Image Acquisition and Analysis for Beam Diagnostics Applications of the Taiwan Photon Source",117 120,
mopkn014,"L.F. Li, C.H. Wang [IHEP Beijing, Beijing, People's Republic of China] ","A Web Based Realtime Monitor on EPICS Data",121 123,
mopkn015,"O. Pinazza [INFN-Bologna, Bologna, Italy] A. Augustinus, P.Ch. Chochula, L.S. Jirden (L.S. Jirdén), A.N. Kurepin, M. Lechman, P. Rosinsky (P. Rosinský) [CERN, Geneva, Switzerland] G. De Cataldo [INFN-Bari, Bari, Italy] A. Moreno [Universidad Politécnica de Madrid, E.T.S.I Industriales, Madrid, Spain] ","Managing Information Flow in ALICE",124 126,
mopkn016,"G. Abeille, J. Guyot, M. Ounsy, S. Pierre-Joseph Zephir [SOLEIL, Gif-sur-Yvette, France] R. Passuello, G. Strangolino [ELETTRA, Basovizza, Italy] S. Rubio-Manrique [CELLS-ALBA Synchrotron, Cerdanyola del Vallès, Spain] ","Tango Archiving Service Status",127 130,
mopkn017,"A. Marsili, E.B. Holzer, A. Nordt, M. Sapinski [CERN, Geneva, Switzerland] ","From Data Storage towards Decision Making: LHC Technical Data Integration and Analysis",131 133,
mopkn018,"P. Rosinsky (P. Rosinský), A. Augustinus, P.Ch. Chochula, L.S. Jirden (L.S. Jirdén), M. Lechman [CERN, Geneva, Switzerland] G. De Cataldo [INFN-Bari, Bari, Italy] A.N. Kurepin [RAS/INR, Moscow, Russia] A. Moreno [Universidad Politécnica de Madrid, E.T.S.I Industriales, Madrid, Spain] O. Pinazza [INFN-Bologna, Bologna, Italy] ","Computing Architecture of the ALICE Detector Control System",134 136,
mopkn019,"C.A. Tsarouchas, S.A. Roe, S. Schlenker [CERN, Geneva, Switzerland] U.X. Bitenc, M.L. Fehling-Kaschek, S.X. Winkelmann [Albert-Ludwig Universitaet Freiburg, Freiburg, Germany] S.X. D'Auria [University of Glasgow, Glasgow, United Kingdom] D. Hoffmann, O.X. Pisano [CPPM, Marseille, France] ","ATLAS Detector Control System Data Viewer",137 140,
mopkn020,"G. Jud, A. Luedeke (A. Lüdeke), W. Portmann [Paul Scherrer Institut, 5232 Villigen PSI, Switzerland] ","The PSI Web Interface to the EPICS Channel Archiver",141 143,
mopkn021,"W. Fu, J. Morris, S. Nemesure [BNL, Upton, Long Island, New York, USA] ","Asynchronous Data Change Notification between Database Server and Accelerator Control Systems",144 146,
mopkn024,"E. Fortescue-Beck, R. Billen, P. Gomes [CERN, Geneva, Switzerland] ","The Integration of the LHC Cyrogenics Control System Data into the CERN Layout Database",147 150,
mopkn025,"K.-U. Kasemir, E. Danilova [ORNL, Oak Ridge, Tennessee, USA] ","Integrating the EPICS IOC Log into the CSS Message Log",151 153,
mopkn027,"D.B. Engel, P. Laux, R. Müller [HZB, Berlin, Germany] ","BDNLS - BESSY Device Name Location Service",154 156,
mopkn029,"T. L. Larrieu, M.E. Joyce, C.J. Slominski [JLAB, Newport News, Virginia, USA] ","Design and Implementation of the CEBAF Element Database",157 159,
mopks001,"S. Gayadeen, S. Duncan [University of Oxford, Oxford, United Kingdom] C. Christou, M.T. Heron, J. Rowland [Diamond, Oxfordshire, United Kingdom] ","Diamond Light Source Booster Fast Orbit Feedback System",160 163,
mopks003,"J.G. Lopes [ISEL, Lisboa, Portugal] F.A. Corrêa Alegria [IT, Lisboa, Portugal] J.G. Lopes, L.M. Redondo [CFNUL, Lisboa, Portugal] J. Rocha [ITN, Sacavém, Portugal] ","High Resolution Ion Beam Profile Measurement System",164 167,
mopks004,"Y. Hu, L.R. Dalesio, K. Ha, O. Singh, H. Xu [BNL, Upton, Long Island, New York, USA] ","NSLS-II Beam Diagnostics Control System",168 170,
mopks006,"K. Xuan, X. Bao, C. Li, W. Li, G. Liu, J.G. Wang, L. Wang [USTC/NSRL, Hefei, Anhui, People's Republic of China] ","Application of Integral-Separated PID Algorithm in Orbit Feedback",171 173,
mopks007,"S.V. Barabin [ITEP, Moscow, Russia] G. Bassato [INFN/LNL, Legnaro (PD), Italy] ","Design of a Digital Controller for ALPI 80 MHz Resonators",174 176,
mopks010,"J.M. Koch, F. Epaud, E. Plouviez, K.B. Scheidt [ESRF, Grenoble, France] ","Fast Orbit Correction for the ESRF Storage Ring",177 179,
mopks011,"B. Kalantari, T. Korhonen [Paul Scherrer Institut, 5232 Villigen PSI, Switzerland] ","Beam Synchronous Data Acquisition for SwissFEL Test Injector",180 182,
mopks012,"H.S. Wang, J.-R. Chen, M. L. Chen, K.H. Hsu, W.Y. Lai, S.Y. Perng, Y.L. Tsai, T.C. Tseng [NSRRC, Hsinchu, Taiwan] ","Design and Test of a Girder Control System at NSRRC",183 185,
mopks013,"R.S. Mao, P. Li, L.Z. Ma, J.X. Wu, J.W. Xia, J.C. Yang, Y.J. Yuan, T.C. Zhao, Z.Z. Zhou [IMP, Lanzhou, People's Republic of China] ","Beam Spill Structure Feedback Test in HIRFL-CSR",186 188,
mopks014,"F. Epaud, J.M. Koch, E. Plouviez [ESRF, Grenoble, France] ","Architecture and Control of the Fast Orbit Correction for the ESRF Storage Ring",189 191,
mopks015,"Y. Hu, L.R. Dalesio, K. Ha, O. Singh [BNL, Upton, Long Island, New York, USA] ","Diagnostics Control Requirements and Applications at NSLS-II",192 194,
mopks019,"P. Chevtsov, F. Mueller (F. Müller), V. Schlott, D.M. Treyer [Paul Scherrer Institut, 5232 Villigen PSI, Switzerland] P. Peier [PSI, Villigen, Switzerland] B. Steffen [DESY, Hamburg, Germany] ","Electro Optical Beam Diagnostics System and its Control at PSI",195 198,
mopks020,"J. Huang, D. Li, K.F. Liu [Huazhong University of Science and Technology (HUST), Wuhan, People's Republic of China] T. Hu [HUST, Wuhan, People's Republic of China] ","Low Level RF Control System for Cyclotron 10 MeV",199 202,
mopks021,"S.Y. Park, S.H. Hahn, W.C. Kim [NFRI, Daejon, Republic of Korea] R.D. Johnson, B.G. Penaflor, D.A. Piglowski, M.L. Walker [GA, San Diego, California, USA] ","High-speed Data Handling Using Reflective Memory Thread for Tokamak Plasma Control",203 206,
mopks022,"C.H. Kuo, J. Chen, Y.-S. Cheng, P.C. Chiu, K.T. Hsu, K.H. Hu, C.Y. Wu [NSRRC, Hsinchu, Taiwan] ","BPM System And Orbit Feedback System Deisgn For the Taiwan Photon Source",207 210,
mopks023,"M.J. Sirota, G.Z. Angeli, D.G. MacMynowski [TMT, Pasadena, California, USA] G.A. Chanan [UCI, Irvine, California, USA] M.M. Colavita, C. Lindensmith, C. Shelton, M. Troy [JPL, Pasadena, California, USA] T.S. Mast, J. Nelson [UCSC, Santa Cruz, USA] P.M. Thompson [STI, Hawthorne, USA] ","An Overview of the Active Optics Control Strategy for the Thirty Meter Telescope",211 214,
mopks024,"M. Jaussi, M. E. Angoletta, P. Baudrenghien, A.C. Butterworth, J. Sanchez-Quesada, E.N. Shaposhnikova, J. Tuckmantel (J. Tückmantel) [CERN, Geneva, Switzerland] ","A Digital System for Longitudinal Emittance Blow-Up in the LHC",215 218,
mopks027,"I. Uzun, M.G. Abbott, M.T. Heron, A.F.D. Morgan, G. Rehm [Diamond, Oxfordshire, United Kingdom] ","Operational Status of theTransverse Multibunch Feedback System at Diamond",219 222,
mopks028,"O. Taché, F. Malloggi [CEA/DSM/IRAMIS/SIS2M, Gif sur Yvette, France] ","Using TANGO for Controlling a Microfluidic System with Automatic Image Analysis and Droplet Detection",223 226,
mopks029,"F. Di Maio, L. Abadie, C.S. Kim, K. Mahajan, P. Makijarvi, D. Stepanov, N. Utzel, A. Wallander [ITER Organization, St. Paul lez Durance, France] ","The CODAC Software Distribution for the ITER Plant Systems",227 230,
mopmn001,"K.J. Gajewski [TSL, Uppsala, Sweden] ","Beam Sharing between the Therapy and a Secondary User",231 234,
mopmn002,"S. Franke, W. Ackermann, T. Weiland [TEMF, TU Darmstadt, Darmstadt, Germany] R. Eichhorn, F. Hug, C. Klose, N. Pietralla, M. Platz [TU Darmstadt, Darmstadt, Germany] ","Integration of the Moment-Based Beam-Dynamics Simulation Tool V-Code into the S-DALINAC Control System",235 238,
mopmn003,"S. Rubio-Manrique, D.B. Beltran (D.B. Beltrán), I. Costa, D.F.C. Fernandez-Carreiras (D.F.C. Fernández-Carreiras), J.V. Gigante, J. Klora, O. Matilla, R. Ranz, J. Ribas, O. Sanchez [CELLS-ALBA Synchrotron, Cerdanyola del Vallès, Spain] ","A Bottom-up Approach to Automatically Configured Tango Control Systems.",239 241,
mopmn004,"S.T. Page, R. Alemany-Fernandez [CERN, Geneva, Switzerland] ","An Operational Event Announcer for the LHC Control Centre Using Speech Synthesis",242 245,
mopmn005,"R. Moser, A.B. Brett, M. Marchhart, C. Torcato de Matos [EBG MedAustron, Wr. Neustadt, Austria] J. Dedic (J. Dedič), S. Sah [Cosylab, Ljubljana, Slovenia] J. Gutleber [CERN, Geneva, Switzerland] ","ProShell – The MedAustron Accelerator Control Procedure Framework",246 249,
mopmn008,"T. Hoffmann, H. Bräuning, R. Haseitl [GSI, Darmstadt, Germany] ","LASSIE: The Large Analogue Signal and Scaling Information Environment for FAIR",250 252,
mopmn009,"S. Marsching [Aquenos GmbH, Baden-Baden, Germany] E. Huttel, M. Klein, A.-S. Mueller (A.-S. Müller), N.J. Smale [KIT, Karlsruhe, Germany] ","First Experience with the MATLAB Middle Layer at ANKA",253 256,
mopmn010,"M. Tanigaki, S. Fukutani, Y. Hirai, H. Kawabe, Y. Kobayashi, Y. Kuriyama, M. Miyabe, Y. Morimoto, T. Sano, N. Sato, K. Takamiya [KURRI, Osaka, Japan] ","Development of a Surveillance System with Motion Detection and Self-location Capability",257 259,
mopmn012,"S. Canella, O. Carletto [INFN/LNL, Legnaro (PD), Italy] ","The Electronic Logbook for LNL Accelerators",260 262,
mopmn013,"C. Scafuri [ELETTRA, Basovizza, Italy] ","Operational Status Display and Automation Tools for FERMI@Elettra",263 266,
