FR1001,"E. Esarey, LBNL, Berkeley, California","High-Quality GeV-Level Electron Beams from Laser Plasma Accelerators",,""
MOP042,"Y. Iwata, NIRS, Chiba-shi; T. Fujimoto, AEC, Chiba; T. Fujisawa, S. H. Hojo, NIRS, Chiba-shi; T. Mitsumoto, SHI, Tokyo; N. M. Miyahara, T. Murakami, M. Muramatsu, H. Ogawa, Y. S. Sakamoto, NIRS, Chiba-shi; T. Takeuchi, AEC, Chiba; H. Tsutsui, T. Ueda, T. Watanabe, SHI, Tokyo; S. Yamada, K. Yamamoto, NIRS, Chiba-shi","Performance of Alternating-Phase-Focused IH-DTL",,"linac, ion, acceleration, rfq, heavy-ion"
MOP043,"Y. R. Lu, J.-E. Chen, J. X. Fang, S. L. Gao, J. F. Guo, Z. Y. Guo, W. G. Li, S. X. Peng, F. Qian, Z. Z. Song, R. Xu, X. Q. Yan, J. X. Yu, M. L. Yu, Z. X. Yuan, H. L. Zhang, K. Zhu, PKU/IHIP, Beijing","Upgrade of 1-MeV Heavy Ion ISR RFQ Accelerator",,"ion, rfq, ion-source, simulation, acceleration"
MOP044,"T. Junquera, IPN, Orsay; P. Bertrand, R. Ferdinand, M. Jacquemet, GANIL, Caen","The High-Intensity Superconducting Linac for the SPIRAL 2 Project at GANIL",,"ion, rfq, linac, heavy-ion, ion-source"
MOP045,"A. V. Aleksandrov, S. Assadi, W. Blokland, P. Chu, S. M. Cousineau, V. V. Danilov, C. Deibele, J. Galambos, S. Henderson, D.-O. Jeon, M. A. Plum, A. P. Shishlo, M. P. Stockli, ORNL, Oak Ridge, Tennessee","Performance of SNS Front End and Warm Linac",,"linac, beam-losses, SNS, emittance, focusing"
MOP046,"B. Schlitt, R. Baer, W. Barth, GSI, Darmstadt; R. Cee, HIT, Heidelberg; G. Clemente, IAP, Frankfurt-am-Main; E. Feldmeier, HIT, Heidelberg; T. G. Fleck, M. Hoerr, G. Hutter, C. M. Kleffner, M. T. Maier, GSI, Darmstadt; S. Minaev, ITEP, Moscow; B. Naas, HIT, Heidelberg; A. Peters, GSI, Darmstadt; U. Ratzinger, IAP, Frankfurt-am-Main; S. Scheloske, HIT, Heidelberg; A. Schempp, IAP, Frankfurt-am-Main; M. Schwickert, GSI, Darmstadt; J. Suhm, HIT, Heidelberg; K. Tinschert, W. Vinzenz, GSI, Darmstadt; S. Vollmer, HIT, Heidelberg; H. Vormann, D. Wilms, GSI, Darmstadt; T. Winkelmann, HIT, Heidelberg","Commissioning of the 7-MeV/u, 217-MHz Injector Linac for the Heavy Ion Cancer Therapy Facility at the University Clinics in Heidelberg",,"ion, rfq, linac, ion-source, emittance"
MOP047,"B. Hofmann, IAP, Frankfurt-am-Main; O. K. Kester, GSI, Darmstadt; A. Schempp, IAP, Frankfurt-am-Main","An RFQ-Decelerator for HITRAP",,"rfq, emittance, ion, linac, vacuum"
MOP048,"P.-Y. Beauvais, CEA, Gif-sur-Yvette; P. Ausset, IPN, Orsay; R. Duperrier, R. Gobin, CEA, Gif-sur-Yvette","Installation of the French High-Intensity Proton Injector at Saclay",,"rfq, diagnostics, proton, linac, shielding"
MOP050,"V. P. Derenchuk, M. Ball, D. V. Baxter, A. Bogdanov, W. P. Jones, A. V. Klyachko, T. Rinckel, P. E. Sokol, K. A. Solberg, IUCF, Bloomington, Indiana","Construction Plans for the LENS Proton Linac",,"proton, rfq, klystron, target, linac"
MOP051,"O. Meusel, L. P. Chau, IAP, Frankfurt-am-Main; S. Minaev, ITEP, Moscow; I. Mueller, U. Ratzinger, A. Schempp, K. Volk, C. Zhang, IAP, Frankfurt-am-Main","Development of an Intense Neutron Source FRANZ in Frankfurt",,"rfq, proton, space-charge, ion, emittance"
MOP052,"A. Bechtold, M. Otto, A. Schempp, IAP, Frankfurt-am-Main","First Performance Test of an Integrated RFQ-Drifttube-Combination",,"rfq, ion, simulation, bunching, proton"
