wge07,"F. Gerigk, O. Brunner, S. Calatroni, E. Ciapala, M. Eshraqi, R. Garoby, A.M. Lombardi, R. Losito, V. Parma, J. Tuckmantel, M. Vretenar, U. Wagner, W. Weingarten, CERN, Geneva","Choice of Frequency, Gradient, and Temperature for a Superconducting Proton Linac",403 409,
wge08,"C.M. Ankenbrandt, Muons, Inc, Batavia; C.M. Ankenbrandt, Fermilab, Batavia, Illinois; R.P. Johnson, Muons, Inc, Batavia","Using Project X as a Proton Driver for Muon Colliders and Neutrino Factories",410 415,
wge11,"H. Okuno, RIKEN/RARF/CC, Saitama; T. Fujinawa, N. Fukunishi, A. Goto, Y. Higurashi, E. Ikezawa, O. Kamigaito, M. Kase, T. Nakagawa, J. Ohnishi, RIKEN Nishina Center, Wako, Saitama; P.N. Ostroumov, ANL, Argonne, Illinois; Y. Sato, Y. Yano, RIKEN Nishina Center, Saitama","Heavy Ion Accelerators for RIKEN RI Beam Factory and Upgrade Plans",416 421,
wge12,"J.-H. Jang, Y.-S. Cho, B.H. Choi, J-Y. Kim, K. R. Kim, J. W. Park, KAERI, Daejon","The Korean Proton Engineering Frontier Project",422 427,
wge13,"S.S. Kurennoy, J.F. O'Hara, L. Rybarcyk, LANL, Los Alamos, New Mexico","Compact Linac for Deuterons",428 430,
wge14,"R. L. Wagner, I.G. Gonin, T.N. Khabiboulline, G. Lanfranco, A. Mukherjee, J.P. Ozelis, L. Ristori, D.A. Sergatskov, R.C. Webber, Fermilab, Batavia, Illinois","High Gradient Tests of the HINS SSR1 Single Spoke Resonator",431 433,
wge15,"J.W.G. Thomason, D.J. Adams, D.J.S. Findlay, I.S.K. Gardner, B. Jones, A.P. Letchford, S.J. Payne, B.G. Pine, STFC/RAL/ISIS, Chilton, Didcot, Oxon; D.C. Plostinar, C.R. Prior, G.H. Rees, STFC/RAL/ASTeC, Chilton, Didcot, Oxon; A. Seville, C.M. Warsop, R.E. Williamson, STFC/RAL/ISIS, Chilton, Didcot, Oxon","Megawatt Upgrades for the ISIS Facility",434 437,
wge16,"D. Berkovits, B. Bazak, Soreq NRC, Yavne; K. Dunkel, ACCEL, Bergisch Gladbach; G. Feinberg, I. Mardor, A. Nagler, J. Rodnizki, A. Shor, Y. Yanay, Soreq NRC, Yavne","The 40 MeV Proton/Deuteron Linac at SARAF",438 438,
wgf01,"S. Assadi, ORNL, Oak Ridge, Tennessee","Overview of Beam Instrumentations for High-Power Operation of the Spallation Neutron Source",439 439,
wgf02,"M. Wendt, M. Hu, V.E. Scarpine, S. Shin, G. R. Tassotto, R. Thurman-Keup, J.R. Zagel, Fermilab, Batavia, Illinois","Beam Instrumentation for Future High Intense Hadron Accelerator at Fermilab",440 449,
wgf03,"T. Toyama, A. Akiyama, Y. Hashimoto, KEK, Ibaraki; N. Hayashi, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; S. Lee, H. Nakagawa, J.-I. Odagiri, KEK, Ibaraki; K. Satou, J-PARC, KEK&AEA, Ibaraki-ken; T. Suzuki, M. Tejima, KEK, Ibaraki; K. Yamamoto, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; N. Yamamoto, KEK, Ibaraki","Beam Loss Monitoring Using Proportional Counters at J-PARC",450 452,
wgf04,"A.P. Zhukov, S. Assadi, ORNL, Oak Ridge, Tennessee","SNS BLM System Overview: Detectors, Measurements, Simulations",453 453,
wgf05,"W. Pellico, Fermilab, Batavia, Illinois","Fermilab Booster Diagnostics, Monitors, and Software for Operational Control of Residual Radiation",454 454,
wgf06,"T.V. Gorlov, ORNL RAD, Oak Ridge, Tennessee; S. Assadi, C.D. Long, T.R. Pennisi, M.P. Stockli, ORNL, Oak Ridge, Tennessee","Computation of Space-Charge Effect in Allison Scanner and its Application to the Measurement of Emittance",455 457,
wgf07,"J.K. Pozimski, STFC/RAL, Chilton, Didcot, Oxon; D.C. Faircloth, STFC/RAL/ISIS, Chilton, Didcot, Oxon; C. Gabor, STFC/RAL/ASTeC, Chilton, Didcot, Oxon; S. Jolly, Imperial College of Science and Technology, Department of Physics, London; S.R. Lawrie, STFC/RAL/ISIS, Chilton, Didcot, Oxon; D.A. Lee, Imperial College of Science and Technology, Department of Physics, London; A.P. Letchford, STFC/RAL/ISIS, Chilton, Didcot, Oxon","Beam Diagnostics at the RAL Front-End Test Stand -- First Results and New Ideas",458 458,
wgf08,"I. Podadera Aliseda, CIEMAT, Madrid; P.-Y. Beauvais, CEA, Gif-sur-Yvette; B. Brañas, J.M. Carmona, CIEMAT, Madrid; N. Chauvin, CEA, Gif-sur-Yvette; A. Ibarra, CIEMAT, Madrid; J. Marroncle, A. Mosnier, CEA, Gif-sur-Yvette; C. Oliver, CIEMAT, Madrid","HEBT Diagnostics for Commissioning, Control, and Characterization of the IFMIF-EVEDA Accelerator",459 461,
wgf09,"C. Deibele, S. Assadi, ORNL, Oak Ridge, Tennessee; M.J. Schulte, Z.P. Xie, UW-Madison, Madison, Wisconsin","Status and Implementation of a Wideband Feedback System for e-p Instabilities in the SNS",462 465,
wgf10,"S.J. Payne, P.G. Barnes, G.M. Cross, A.H. Kershaw, A. Pertica, S.A. Whitehead, M. Wright, STFC/RAL/ISIS, Chilton, Didcot, Oxon","Beam Diagnostics at ISIS",466 471,
wgf11,"K. Satou, J-PARC, KEK&AEA, Ibaraki-ken; D.A. Arakawa, A. Arinaga, Y. Hashimoto, KEK, Ibaraki; N. Hayashi, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; S. Igarashi, M. Tejima, KEK, Ibaraki; T. Toyama, J-PARC, KEK & JAEA, Ibaraki-ken; K. Yamamoto, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken","Beam Diagnostic System of the Main Ring Synchrotron of J-PARC",472 474,
wgf12,"S.C. Childress, Fermilab, Batavia, Illinois","NuMI Proton Beam Diagnostics and Control: Achieving 2 Megawatt Capability",475 478,
wgf13,"C.K. Allen, W. Blokland, S.M. Cousineau, J. Galambos, ORNL, Oak Ridge, Tennessee","Extracting Information Content within Noisy, Sampled Profile Data from Charged Particle Beams",479 481,
