frb01,"P. Baxevanis, Z. Huang, A. Marinelli [SLAC, Menlo Park, California, USA] ","Time-Domain Analysis of Attosecond Pulse Generation in an X-Ray Free-Electron Laser",561 563,
mop053,"D. Mihalcea, A. Khizhanok, P. Piot [Northern Illinois University, DeKalb, Illinois, USA] B.T. Jacobson, A.Y. Murokh [RadiaBeam, Santa Monica, California, USA] P. Piot, J. Ruan [Fermilab, Batavia, Illinois, USA] ","High Spectral Density Compton Back-Scattered Gamma-Ray Sources at Fermilab",174 177,
mop054,"D.J. Dunning [STFC/DL/ASTeC, Daresbury, Warrington, Cheshire, United Kingdom] ","CLARA Facility Layout and FEL Schemes",178 181,
mop055,"Z.T. Zhao, D. Wang, L. Yin [SINAP, Shanghai, People's Republic of China] Z.H. Yang [USTC/NSRL, Hefei, Anhui, People's Republic of China] ","SCLF: An 8-GeV CW SCRF Linac-Based X-Ray FEL Facility in Shanghai",182 184,
mop056,"S.P. Kearney, K.-J. Kim, T. Kolodziej, R.R. Lindberg, D. Shu, Yu. Shvyd'ko, D. Walko, J. Wang [ANL, Argonne, Illinois, USA] S. Stoupin [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Design of Apparatus for a High-Power-Density Diamond Irradiation Endurance Experiment for XFELO Applications",185 187,
mop059,"R. Kiessling, S. Gewinner, A. Paarmann, W. Schöllkopf, M. Wolf [FHI, Berlin, Germany] ","Synchronized Mid-Infrared Pulses at the Fritz Haber Institute IR-FEL",188 191,
mop061,"G. Marcus, Y. Ding, J.P. Duris, Y. Feng, Z. Huang, J. Krzywinski, T.J. Maxwell, D.F. Ratner, T.O. Raubenheimer [SLAC, Menlo Park, California, USA] K.-J. Kim, R.R. Lindberg, Yu. Shvyd'ko [ANL, Argonne, Illinois, USA] D.C. Nguyen [LANL, Los Alamos, New Mexico, USA] ","X-ray Regenerative Amplifier Free-Electron Laser Concepts for LCLS-II",192 195,
mop062,"W. Qin, J. Wu [SLAC, Menlo Park, California, USA] K.-J. Kim, R.R. Lindberg [ANL, Argonne, Illinois, USA] ","X-ray FEL Oscillator Seeded Harmonic Amplifier for High Energy Photons",196 199,
mop064,"C.P. Maag, I. Bahns, J. Rossbach (J. Roßbach), P. Thiessen [University of Hamburg, Institut fuer Experimentalphysik, Hamburg, Germany] H. Sinn [XFEL.EU, Hamburg, Germany] J. Zemella [DESY, Hamburg, Germany] ","An Experimental Setup for Probing the Thermal Properties of Diamond Regarding Its Use in an XFELO",200 203,
mop066,"P.J. Neyman [Compass Scientific Engineering, Compass Manufacturing Services, Fremont, USA] J. Blau, K. R. Cohn, W.B. Colson [NPS, Monterey, California, USA] S.C. Gottschalk [STI Optronics, Inc., Redmond, USA] A.M.M. Todd [AES, Medford, New York, USA] ","Free Electron Lasers in 2017",204 209,
thb02,"E. Allaria, L. Badano, M.B. Danailov, A.A. Demidovich, S. Di Mitri, D. Gauthier, L. Giannessi, G. Penco, E. Roussel, P. Sigalotti, S. Spampinati, M. Trovo (M. Trovò), M. Veronese [Elettra-Sincrotrone Trieste S.C.p.A., Basovizza, Italy] E. Roussel [SOLEIL, Gif-sur-Yvette, France] ","Non-Standard Use of Laser Heater for FEL Control and THz Generation",558 560,
tua01,"S. Schreiber, E. Schneidmiller, M.V. Yurkov [DESY, Hamburg, Germany] ","Recent FEL Experiments at FLASH",210 215,
tua04,"T. Hara, T. Inagaki, C. Kondo, H. Maesaka, Y. Otake, H. Tanaka, K. Togawa [RIKEN SPring-8 Center, Hyogo, Japan] K. Fukami [JASRI/SPring-8, Hyogo, Japan] T. Hasegawa, O. Morimoto, S. Nakazawa, M. Yoshioka [SES, Hyogo-pref., Japan] ","Suppression of the CSR Effects at a Dogleg Beam Transport Using DBA Lattice",216 218,
tub01,"E. Hemsing, R.N. Coffee, W.M. Fawley, Y. Feng, B.W. Garcia, J.B. Hastings, Z. Huang, G. Marcus, D.F. Ratner, T.O. Raubenheimer [SLAC, Menlo Park, California, USA] G. Penn, R.W. Schoenlein [LBNL, Berkeley, California, USA] ","Seeding Experiments and Seeding Options for LCLS II",219 224,
tub03,"W.S. Graves, J.P.J. Chen, P. Fromme, M.R. Holl, R. Kirian, L.E. Malin, K.E. Schmidt, J. Spence, M. Underhill, U. Weierstall, N.A. Zatsepin, C. Zhang [Arizona State University, Tempe, USA] K.-H. Hong, D.E. Moncton [MIT, Cambridge, Massachusetts, USA] C. Limborg-Deprey, E.A. Nanni [SLAC, Menlo Park, California, USA] ","ASU Compact XFEL",225 228,
tub04,"J. Wu, X. Huang, T.O. Raubenheimer [SLAC, Menlo Park, California, USA] A. Scheinker [LANL, Los Alamos, New Mexico, USA] ","Recent On-Line Taper Optimization on LCLS",229 234,
tuc01,"J. Yan, H. Hao, S.F. Mikhailov, V. Popov, Y.K. Wu [FEL/Duke University, Durham, North Carolina, USA] S. Huang [PKU, Beijing, People's Republic of China] J.L. Li [IHEP, Beijing, People's Republic of China] V. Litvinenko [Stony Brook University, Stony Brook, USA] N.A. Vinokurov [BINP SB RAS, Novosibirsk, Russia] ","Polarization Control of Storage Ring FELs Using Cross Polarized Helical Undulators",235 239,
tuc02,"I. Bahns, C.P. Maag, J. Rossbach (J. Roßbach), P. Thiessen [University of Hamburg, Institut fuer Experimentalphysik, Hamburg, Germany] H. Sinn, V. Sleziona [XFEL.EU, Hamburg, Germany] J. Zemella [DESY, Hamburg, Germany] ","Thermal and Mechanical Stability of Bragg Reflectors under Pulsed XFEL Radiation",240 243,
tuc04,"H. S. Marks, A. Gover [University of Tel-Aviv, Faculty of Engineering, Tel-Aviv, Israel] E. Dyunin, Yu. Lurie [Ariel University, Ariel, Israel] ","Enhancement of Radiative Energy Extraction in an FEL Oscillator by Post-Saturation Beam Energy Ramping",244 246,
tuc05,"W. Qin, K.L.F. Bane, Y. Ding, Z. Huang, G. Marcus, T.J. Maxwell [SLAC, Menlo Park, California, USA] S. Huang, K.X. Liu [PKU, Beijing, People's Republic of China] K.-J. Kim, R.R. Lindberg [ANL, Argonne, Illinois, USA] ","Start-to-End Simulations for an X-Ray FEL Oscillator at the LCLS-II and LCLS-II-HE",247 250,
tup002,"T. Hellert, B. Beutner, W. Decking, N. Walker [DESY, Hamburg, Germany] ","Numerical Studies on RF-Induced Trajectory Variations at the European XFEL",251 254,
tup003,"S. Liu, V. Balandin, B. Beutner, W. Decking, L. Froehlich (L. Fröhlich), N. Golubeva, T. Lensch [DESY, Hamburg, Germany] ","First Beam Halo Measurements Using Wire Scanners at the European XFEL",255 258,
tup004,"S. Liu, W. Decking, G. Feng, V. Kocharyan, I. Zagorodnov [DESY, Hamburg, Germany] G. Geloni, S. Serkez [XFEL.EU, Hamburg, Germany] ","Longitudinal Phase Space Optimization for the Hard X-ray Self-Seeding",259 262,
tup005,"M. Scholz, B. Beutner [DESY, Hamburg, Germany] ","Studies of the Transverse Beam Coupling in the European XFEL Injector",263 265,
tup009,"Q.R. Marksteiner [LANL, Los Alamos, New Mexico, USA] ","The Effect of Transverse Space Charge on Beam Evolution and Photon Coherence",266 268,
tup010,"J. Björklund Svensson, O. Lundh [Lund University, Lund, Sweden] J. Andersson, F. Curbis, M. Kotur, F. Lindau, E. Mansten, S. Thorin, S. Werin [MAX IV Laboratory, Lund University, Lund, Sweden] ","Double-Bunches for Two-Color Soft X-Ray Free-Electron Laser at the MAX IV Laboratory",269 272,
tup013,"S. Thorin, J. Andersson, M. Brandin, F. Curbis, L. Isaksson, M. Kotur, F. Lindau, E. Mansten, D. Olsson, R. Svärd, S. Werin [MAX IV Laboratory, Lund University, Lund, Sweden] J. Björklund Svensson [Lund University, Division of Atomic Physics, Lund, Sweden] ","Experience and Initial Measurements of Magnetic Linearisation in the MAX IV Linac Bunch Compressors",273 275,
tup015,"A. Halavanau, P. Piot [Northern Illinois University, DeKalb, Illinois, USA] S.P. Antipov, W. Liu, N.R. Neveu, J.G. Power, C. Whiteford, E.E. Wisniewski [ANL, Argonne, Illinois, USA] A.I. Benediktovitch [BSU, Minsk, Belarus, Belarus] S.N. Galyamin, A.V. Tyukhtin [Saint Petersburg State University, Saint Petersburg, Russia] D. Mihalcea, P. Piot [Fermilab, Batavia, Illinois, USA] N.R. Neveu [IIT, Chicago, Illinois, USA] ","Coherent Transition Radiation from Transversely Modulated Electron Beams",276 279,
tup016,"Y.-M. Shin [Northern Illinois University, DeKalb, Illinois, USA] K. Bishofberger, B.E. Carlsten, F.L. Krawczyk [LANL, Los Alamos, New Mexico, USA] A.H. Lumpkin, J. Ruan, R.M. Thurman-Keup [Fermilab, Batavia, Illinois, USA] ","Beam-Dynamics Analysis of Long-Range Wakefield Effects on the SCRF Cavities at the Fast Facility",280 283,
tup022,"C.C. Hall, D.L. Bruhwiler, S.D. Webb [RadiaSoft LLC, Boulder, Colorado, USA] A.Y. Murokh [RadiaBeam, Santa Monica, California, USA] P. Musumeci, Y. Park [UCLA, Los Angeles, USA] Y. Sun, A. Zholents [ANL, Argonne, Illinois, USA] ","Modeling and Optimization of the APS Photo-Injector Using OPAL for High Efficiency FEL Experiments",284 287,
tup023,"F.-J. Decker, K.L.F. Bane, W.S. Colocho, A.A. Lutman, J.C. Sheppard [SLAC, Menlo Park, California, USA] ","Recent Developments and Plans for Two Bunch Operation with up to 1 s Separation at LCLS",288 291,
tup024,"B.W. Garcia, T.O. Raubenheimer [SLAC, Menlo Park, California, USA] R.D. Ryne [LBNL, Berkeley, California, USA] ","Stochastic Effects from Classical 3D Synchrotron Radiation",288 291,
tup027,"D. Khan, T.O. Raubenheimer [SLAC, Menlo Park, California, USA] ","Cancellation of Coherent Synchrotron Radiation Kicks at LCLS",292 295,
tup028,"D. Khan, T.O. Raubenheimer [SLAC, Menlo Park, California, USA] ","Approximated Expressions for the Coherent Synchrotron Radiation Effect in Bending Magnets",296 300,
tup030,"D. Khan, T.O. Raubenheimer [SLAC, Menlo Park, California, USA] ","An Emittance-Preservation Study of a Five-Bend Chicane for the LCLS-II-HE Beamline",301 304,
tup031,"W.K. Lau, M.C. Chou, N.Y. Huang, A.P. Lee [NSRRC, Hsinchu, Taiwan] J. Wu [SLAC, Menlo Park, California, USA] ","Design of a Dogleg Bunch Compressor with Tunable First-Order Longitudinal Dispersion",305 308,
