FRJI06,"Yu.I. Golubenko, N.K. Kuksanov, P.I. Nemytov, R.A. Salimov, S.N. Fadeev, M.E. Veis, V.V. Prudnikov","DC HIGH POWER ELV ACCELERATORS FOR INDUSTRIAL AND RESEARCH APPLICATION",
TUGO04,"V.S.Arbuzov, Yu.A.Biryuchevsky, A.A.Bushuev, N.F.Vajenin, E.I.Gorniker, A.N.Dranichnikov, E.K.Kendjebulatov, A A. Kondakov, S.A. Krutikhin, M. Kondaurov, Ya.G.Kruchkov, G.Ya.Kurkin, L.A.Mironenko, S.V. Motygin, V.N.Osipov, V.M.Petrov, A.M. Pilan, A.M.Pop","RF STATION FOR ION BEAM STAKING IN HIRFL-CSR",
TUGO05,"V.S. Arbuzov, A.A. Bushuev, N.G. Gavrilov, E.I. Gorniker, E.K. Kenjebulatov, M.A. Kholopov, A.A. Kondakov, S.A. Krutikhin, Ya.G. Kruchkov, I.V. Kuptsov, G.Ya. Kurkin, L.A. Mironenko, N.V. Mityanina, S.V. Motygin, V.N. Osipov, V.M. Petrov, A.M. Pilan, A.M"," STATUS OF 178.5 MHZ RF SYSTEM FOR THE DUKE FELL STORAGE RING",
TUGP01,"V.S.Arbuzov, E.I.Gorniker, Yu.A.Evtushenko, E.K.Kendjebulatov, E.I.Kolobanov, A.A.Kondakov, S.A.Krutikhin, I.V.Kuptsov, G.Ya.Kurkin, L.E.Medvedev, S.V.Motygin, V.N.Osipov, V.M.Petrov, A.M.Pilan, A.M.Popov, I.K.Sedlyarov, A.G.Tribendis","ACCELERATING RF SYSTEM OF MICROTRON-RECUPERATOR FOR FEL ",
TUGP02,"V.A.Bomko, S.A. Borsuk, A.F.Dyachenko, B.V.Zajtsev, A.F.Kobets, E.D.Marynina, Z.E.Ptukhina, S.S.Tishkin","TUNING THE CELLS OF THE ACCELERATING STRUCTURE WITH RF-QUADRUPOLE DOUBLETS",
TUGP05,"Arbuzov V.S., Biryuchevsky Yu.A., Bushuev A.A., Volkov В.Н., Volobuev S.V., Gorniker E.I., Kendjebulatov E.K., et al","172 MHZ RF SYSTEM FOR VEPP-2000 STORAGE RING",
TUGP06,"S.P. Guskov, G.V. Kuznetsov","THE VOLTAGE STABILIZATION ON A SHAPING LINE OF AN ANODE MODULATOR OF THE PROTON LINAC SPTI",
TUGP07,"V.S.Arbuzov, A.A.Bushuev, Yu.A.Evtushenko, E.I.Gorniker, E.K.Kenjebulatov, A. A. Kondakov, S.A. Krutikhin, G.Ya. Kurkin, S.V. Motygin, V.N.Osipov, V.M.Petrov, A.M. Pilan, A.R.Shteinke, A.M.Popov, A.G.Tribendis","RF SYSTEM FOR THE INDUSTRIAL LINEAR ELECTRON ACCELERATOR AT KAERI (DAEJEON, KOREA) ",
TUGP08,"V.S.Arbuzov, A.A.Bushuev, N.F.Vajenin, E.I.Gorniker, A.N.Dranichnikov, S.A. Krutikhin, Ya.G.Kruchkov, G.Ya. Kurkin, A A. Kondakov, M. Kondaurov, L.A.Mironenko, S.V. Motygin, V.N.Osipov, V.M.Petrov, A.M. Pilan, A.M.Popov, I.K.Sedlyarov, et al"," ACCELERATING RF STATION FOR HIRFL-CSR, LANZHOU, CHINA",
TUGP13,"A.I.Kvasha, V.V.Paramonov, A.G.Vassilyev","NEW DRIVER FOR THE POWERFUL OUTPUT RF AMPLIFIER OF MMF DTL RF SYSTEM",
TUGP14,"Dolgov A., Kildisheva O.","NEW GENERATION OF HV PULSE MODULATORS FOR TECHNOLOGICAL ACCELERTORS",
TUII02,"M.S.Avilov, A.V.Akimov, A.V.Antoshin, P.A.Bak, Yu.M.Boimelshtein, D.Yu.Bolkhovityanov, A.R.Frolov, R.Kh.Galimov, R.G.Gromov, K.V.Gubin, S.M.Gurov, E.A.Gusev, N.S.Dikansky, I.V.Kazarezov, V.D.Khambikov, S.N.Klyuschev, E.S.Konstantinov, N.Kh.Kot, et al","STATUS OF VEPP-5 INJECTION COMPLEX",
TUIO03,"A.Efremov, V. Bechterev, S. Bogomolov, P.Bondarenko, S.Dmitriev, A.Lebedev, M.Leporis, A.Nikiforov, S.Paschenko, Yu.Smirnov, B.Yakovlev, N.Yazvitsky, N.Anischenko, V.Datskov, V.Drobin, V.Seleznev, G.Tsvineva, Yu.A.Shishov","PRELIMINARY TESTS OF THE DECRIS-SC ION SOURCE",
TUIO04,"I. Azhgirey, I. Baishev, V. Talanov","MACHINE INDUCED BACKGROUND SOURCES ANALYSIS",
TUIP01,"V. Aleksandrov, N. Kazarinov, V. Shevtsov, N. Tokareva","SIMULATION OF DEPENDENCE OF BEAM INTENSITY ON PLASMA ELECTRODE POSITION FOR RIKEN 18 GHZ ECRIS",
TUIP03,"B.A. Frolov"," CALCULATION OF EXTRACTION OPTICS FOR ION SYSTEM WITH PLAZMA EMITTER",
TUIP04,"B.Yu. Bogdanovich, V.V. Kapin, A.V. Nesterovich,","CHARGING OF A SPHERICAL HIGH-VOLTAGE TERMINAL BY PARTICLE BEAM",
TUIP05,"M. Leporis, V. Bekhterev, S. Bogomolov, A. Efremov, G. Gulbekian, Yu. Kostyukhov","THE NEW ION SOURCE DECRIS–4 FOR THE SECOND PHASE OF",
TUIP06,"Kuznetsov G.I., Batazova M.A., Kokin E.N., Neyfeld V.V., Petrov V.V., Radchenko V.M., Saputin N.I., Sandyrev V.K.","MULTY-BEAM ELECTRON GUN FOR ELIT-3A",
TUIP07,"N.I.Aizatsky, V.N.Boriskin, A.N.Dovbnya, N.A.Dovbnya, N.G.Reshetnyak, V.V.Zakutin","INVISTIGATIONS ON THE AZIMUTHAL HOMOGENEITY OF AN ELECTRON BEAM IN A MAGNETRON GUN WITH A SECONDARY-EMISSION CATHODE",
TUIP08,"V.S.Dyomin, A.N.Dovbnya, L.V.Reprintsev, V.A.Shendrik","FORMATION OF PICOSECOND ELECTRON BUNCHES IN THE LINEAR ACCELERATOR BY MEANS OF AN OPTICAL DEFLECTOR",
TUIP09,"V.I.Datskov, V.M.Drobin, V.V.Seleznev, G.P.Tsvineva, N.G.Anischenko, Yu. A.Shishov, V.V.Bekhterev, S.L.Bogomolov, P.G.Bondarenko, S.N.Dmitriev, A.A.Efremov, M.Leporis, A.S.Nikiforov, S.V.Paschenko, N.Yu. Yazvitskii, B.I.Iakovlev, H.Malinowski","DESIGN AND TESTS OF A SUPERCONDUCTING MAGNET WITH A CRYOCOOLER FOR THE ION SOURCE DECRIS-SC",
TUIP10,"G.V. Trubnikov, V.A. Shvets","THE ELECTRON GUN FOR LUE-200 (PROJECT IREN)",
TUIP11,"A.N.Dovbnya, N.G.Reshetnyak, V.V.Zakutin","MODES OF ELECTRON BEAM GENERATION IN A MAGNETRON GUN WITH A SECONDARY-EMISSION CATHODE",
TUIP13,"A.A.Narits, L.P.Presnyakov"," CHARGE EXCHANGE BETWEEN HIGHLY CHARGED IONS (Z > 80) AND IONS OF MEDIUM CHARGE (Q = 2 – 15)",
TUIP14,"M.I. Ayzatsky, E.Z. Biller, K.Yu. Kramarenko, V.A. Kushnir, V.V. Mytrochenko, A.N. Opanasenko, S.A. Perezhogin, V.Ph. Zhiglo ","THE INVESTIGATIONS OF THE BEAM CHARACTERISTICS IN THE ELECTRON INJECTOR BASED ON RESONANCE SYSTEM WITH EVANESCENT OSCILLATIONS",
TUIP15,"V.P. Yakushev, S.K. Esin, A.V. Feschenko, O.T. Frolov, E.S. Nikulin","THE MMF LINAC H- INJECTOR DEVELOPMENT ",
TUIP16,"V. Bykovskiy, A. Ivanov, A. Kobets, N. Korolev, Yu. Korotaev, I. Meshkov, V. Pavlov, R.Pivin, A. Sidorin, A. Smirnov, E. Syresin, G. Trubnikov, V.Shmarovoz, S. Yakovenko"," POSITRON SOURCE FOR THE LEPTA PROJECT",
TUIP17,"E. E. Donets, E.D. Donets, E.M. Syresin","HEAVY ION INJECTION INTO SYNCHROTRONS, BASED ON ELECTRON STRING ION SOURCES",
TUIP18,"A. Larionov","OPTICAL SYSTEM OF THE POWERFUL MULTIPLE BEAM L-BAND KLYSTRON FOR LINEAR COLLIDER ",
TUJP03,"Valery Kapin, Yoshiyuki Iwata, Satoru Yamada"," EFFECTS OF FIELD DISTORTIONS IN IH-APF LINAC",
